financial_quarter,sending_location,age_group,stay_type,measure,value
2019/20 Q4,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",6
2019/20 Q4,Clackmannanshire,All Ages,Long Stay,Number of People,310
2019/20 Q4,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,0-17 years,All Stays,Number of People,0
2019/20 Q4,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0
2019/20 Q4,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,0-17 years,Long Stay,Number of People,0
2019/20 Q4,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.1
2019/20 Q4,Clackmannanshire,18-64 years,All Stays,Number of People,65
2019/20 Q4,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2019/20 Q4,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,5
2019/20 Q4,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",1.9
2019/20 Q4,Clackmannanshire,18-64 years,Long Stay,Number of People,60
2019/20 Q4,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",6.5
2019/20 Q4,Clackmannanshire,65-74 years,All Stays,Number of People,40
2019/20 Q4,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,0
2019/20 Q4,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5
2019/20 Q4,Clackmannanshire,65-74 years,Long Stay,Number of People,40
2019/20 Q4,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",33.4
2019/20 Q4,Clackmannanshire,75-84 years,All Stays,Number of People,110
2019/20 Q4,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3
2019/20 Q4,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,10
2019/20 Q4,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",31.8
2019/20 Q4,Clackmannanshire,75-84 years,Long Stay,Number of People,105
2019/20 Q4,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",112.1
2019/20 Q4,Clackmannanshire,85+ years,All Stays,Number of People,115
2019/20 Q4,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",4.9
2019/20 Q4,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,5
2019/20 Q4,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",107.2
2019/20 Q4,Clackmannanshire,85+ years,Long Stay,Number of People,110
2019/20 Q4,Clackmannanshire,Unknown,All Stays,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,Unknown,All Stays,Number of People,0
2019/20 Q4,Clackmannanshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,Unknown,Short Stay / Respite,Number of People,0
2019/20 Q4,Clackmannanshire,Unknown,Long Stay,"Rate per 1,000 People",0
2019/20 Q4,Clackmannanshire,Unknown,Long Stay,Number of People,0
2020/21 Q1,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",5.8
2020/21 Q1,Clackmannanshire,All Ages,All Stays,Number of People,300
2020/21 Q1,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2
2020/21 Q1,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,10
2020/21 Q1,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",5.8
2020/21 Q1,Clackmannanshire,All Ages,Long Stay,Number of People,295
2020/21 Q1,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,0-17 years,All Stays,Number of People,0
2020/21 Q1,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q1,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,0-17 years,Long Stay,Number of People,0
2020/21 Q1,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2
2020/21 Q1,Clackmannanshire,18-64 years,All Stays,Number of People,60
2020/21 Q1,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,0
2020/21 Q1,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2
2020/21 Q1,Clackmannanshire,18-64 years,Long Stay,Number of People,60
2020/21 Q1,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",5.7
2020/21 Q1,Clackmannanshire,65-74 years,All Stays,Number of People,35
2020/21 Q1,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,0
2020/21 Q1,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",5.7
2020/21 Q1,Clackmannanshire,65-74 years,Long Stay,Number of People,35
2020/21 Q1,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",30.8
2020/21 Q1,Clackmannanshire,75-84 years,All Stays,Number of People,105
2020/21 Q1,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",1.5
2020/21 Q1,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,5
2020/21 Q1,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",29.3
2020/21 Q1,Clackmannanshire,75-84 years,Long Stay,Number of People,100
2020/21 Q1,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",100.3
2020/21 Q1,Clackmannanshire,85+ years,All Stays,Number of People,105
2020/21 Q1,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",4.8
2020/21 Q1,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,5
2020/21 Q1,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",100.3
2020/21 Q1,Clackmannanshire,85+ years,Long Stay,Number of People,105
2020/21 Q1,Clackmannanshire,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,Unknown,All Stays,Number of People,0
2020/21 Q1,Clackmannanshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q1,Clackmannanshire,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q1,Clackmannanshire,Unknown,Long Stay,Number of People,0
2020/21 Q2,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",5.7
2020/21 Q2,Clackmannanshire,All Ages,All Stays,Number of People,290
2020/21 Q2,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.3
2020/21 Q2,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,15
2020/21 Q2,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",5.5
2020/21 Q2,Clackmannanshire,All Ages,Long Stay,Number of People,280
2020/21 Q2,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,0-17 years,All Stays,Number of People,0
2020/21 Q2,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q2,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,0-17 years,Long Stay,Number of People,0
2020/21 Q2,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2
2020/21 Q2,Clackmannanshire,18-64 years,All Stays,Number of People,60
2020/21 Q2,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,0
2020/21 Q2,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2
2020/21 Q2,Clackmannanshire,18-64 years,Long Stay,Number of People,60
2020/21 Q2,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",5.7
2020/21 Q2,Clackmannanshire,65-74 years,All Stays,Number of People,35
2020/21 Q2,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2020/21 Q2,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,5
2020/21 Q2,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",5.7
2020/21 Q2,Clackmannanshire,65-74 years,Long Stay,Number of People,35
2020/21 Q2,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",29.3
2020/21 Q2,Clackmannanshire,75-84 years,All Stays,Number of People,100
2020/21 Q2,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2.9
2020/21 Q2,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,10
2020/21 Q2,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",26.4
2020/21 Q2,Clackmannanshire,75-84 years,Long Stay,Number of People,90
2020/21 Q2,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",90.7
2020/21 Q2,Clackmannanshire,85+ years,All Stays,Number of People,95
2020/21 Q2,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,0
2020/21 Q2,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",90.7
2020/21 Q2,Clackmannanshire,85+ years,Long Stay,Number of People,95
2020/21 Q2,Clackmannanshire,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,Unknown,All Stays,Number of People,0
2020/21 Q2,Clackmannanshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q2,Clackmannanshire,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q2,Clackmannanshire,Unknown,Long Stay,Number of People,0
2020/21 Q3,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",5.6
2020/21 Q3,Clackmannanshire,All Ages,All Stays,Number of People,285
2020/21 Q3,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.1
2020/21 Q3,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,5
2020/21 Q3,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",5.5
2020/21 Q3,Clackmannanshire,All Ages,Long Stay,Number of People,280
2020/21 Q3,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,0-17 years,All Stays,Number of People,0
2020/21 Q3,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q3,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,0-17 years,Long Stay,Number of People,0
2020/21 Q3,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.1
2020/21 Q3,Clackmannanshire,18-64 years,All Stays,Number of People,65
2020/21 Q3,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,0
2020/21 Q3,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2
2020/21 Q3,Clackmannanshire,18-64 years,Long Stay,Number of People,60
2020/21 Q3,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",6.5
2020/21 Q3,Clackmannanshire,65-74 years,All Stays,Number of People,40
2020/21 Q3,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,0
2020/21 Q3,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5
2020/21 Q3,Clackmannanshire,65-74 years,Long Stay,Number of People,40
2020/21 Q3,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",26.4
2020/21 Q3,Clackmannanshire,75-84 years,All Stays,Number of People,90
2020/21 Q3,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,0
2020/21 Q3,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",24.9
2020/21 Q3,Clackmannanshire,75-84 years,Long Stay,Number of People,85
2020/21 Q3,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",90.7
2020/21 Q3,Clackmannanshire,85+ years,All Stays,Number of People,95
2020/21 Q3,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",4.8
2020/21 Q3,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,5
2020/21 Q3,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",90.7
2020/21 Q3,Clackmannanshire,85+ years,Long Stay,Number of People,95
2020/21 Q3,Clackmannanshire,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,Unknown,All Stays,Number of People,0
2020/21 Q3,Clackmannanshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q3,Clackmannanshire,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q3,Clackmannanshire,Unknown,Long Stay,Number of People,0
2020/21 Q4,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",5.7
2020/21 Q4,Clackmannanshire,All Ages,All Stays,Number of People,290
2020/21 Q4,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.3
2020/21 Q4,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,15
2020/21 Q4,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",5.5
2020/21 Q4,Clackmannanshire,All Ages,Long Stay,Number of People,280
2020/21 Q4,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,0-17 years,All Stays,Number of People,0
2020/21 Q4,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0
2020/21 Q4,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,0-17 years,Long Stay,Number of People,0
2020/21 Q4,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.1
2020/21 Q4,Clackmannanshire,18-64 years,All Stays,Number of People,65
2020/21 Q4,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2020/21 Q4,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,5
2020/21 Q4,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2
2020/21 Q4,Clackmannanshire,18-64 years,Long Stay,Number of People,60
2020/21 Q4,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",5.7
2020/21 Q4,Clackmannanshire,65-74 years,All Stays,Number of People,35
2020/21 Q4,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2020/21 Q4,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,5
2020/21 Q4,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",5.7
2020/21 Q4,Clackmannanshire,65-74 years,Long Stay,Number of People,35
2020/21 Q4,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",27.9
2020/21 Q4,Clackmannanshire,75-84 years,All Stays,Number of People,95
2020/21 Q4,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,0
2020/21 Q4,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",26.4
2020/21 Q4,Clackmannanshire,75-84 years,Long Stay,Number of People,90
2020/21 Q4,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",95.5
2020/21 Q4,Clackmannanshire,85+ years,All Stays,Number of People,100
2020/21 Q4,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",4.8
2020/21 Q4,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,5
2020/21 Q4,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",86
2020/21 Q4,Clackmannanshire,85+ years,Long Stay,Number of People,90
2020/21 Q4,Clackmannanshire,Unknown,All Stays,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,Unknown,All Stays,Number of People,0
2020/21 Q4,Clackmannanshire,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,Unknown,Short Stay / Respite,Number of People,0
2020/21 Q4,Clackmannanshire,Unknown,Long Stay,"Rate per 1,000 People",0
2020/21 Q4,Clackmannanshire,Unknown,Long Stay,Number of People,0
2017/18 Q4,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",8.4
2017/18 Q4,Dumfries and Galloway,All Ages,All Stays,Number of People,1250
2017/18 Q4,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",1
2017/18 Q4,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,150
2017/18 Q4,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",8
2017/18 Q4,Dumfries and Galloway,All Ages,Long Stay,Number of People,1190
2017/18 Q4,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0.2
2017/18 Q4,Dumfries and Galloway,0-17 years,All Stays,Number of People,5
2017/18 Q4,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2017/18 Q4,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0
2017/18 Q4,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0.2
2017/18 Q4,Dumfries and Galloway,0-17 years,Long Stay,Number of People,5
2017/18 Q4,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.9
2017/18 Q4,Dumfries and Galloway,18-64 years,All Stays,Number of People,75
2017/18 Q4,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2017/18 Q4,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,15
2017/18 Q4,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8
2017/18 Q4,Dumfries and Galloway,18-64 years,Long Stay,Number of People,70
2017/18 Q4,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",6.3
2017/18 Q4,Dumfries and Galloway,65-74 years,All Stays,Number of People,130
2017/18 Q4,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.7
2017/18 Q4,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,15
2017/18 Q4,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",5.8
2017/18 Q4,Dumfries and Galloway,65-74 years,Long Stay,Number of People,120
2017/18 Q4,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",30.8
2017/18 Q4,Dumfries and Galloway,75-84 years,All Stays,Number of People,380
2017/18 Q4,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.1
2017/18 Q4,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,50
2017/18 Q4,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",29.2
2017/18 Q4,Dumfries and Galloway,75-84 years,Long Stay,Number of People,360
2017/18 Q4,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",150.2
2017/18 Q4,Dumfries and Galloway,85+ years,All Stays,Number of People,665
2017/18 Q4,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",14.7
2017/18 Q4,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,65
2017/18 Q4,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",143.5
2017/18 Q4,Dumfries and Galloway,85+ years,Long Stay,Number of People,635
2017/18 Q4,Dumfries and Galloway,Unknown,All Stays,"Rate per 1,000 People",0
2017/18 Q4,Dumfries and Galloway,Unknown,All Stays,Number of People,0
2017/18 Q4,Dumfries and Galloway,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2017/18 Q4,Dumfries and Galloway,Unknown,Short Stay / Respite,Number of People,0
2017/18 Q4,Dumfries and Galloway,Unknown,Long Stay,"Rate per 1,000 People",0
2017/18 Q4,Dumfries and Galloway,Unknown,Long Stay,Number of People,0
2018/19 Q1,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",8.1
2018/19 Q1,Dumfries and Galloway,All Ages,All Stays,Number of People,1205
2018/19 Q1,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q1,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,100
2018/19 Q1,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",7.7
2018/19 Q1,Dumfries and Galloway,All Ages,Long Stay,Number of People,1145
2018/19 Q1,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,0-17 years,All Stays,Number of People,0
2018/19 Q1,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q1,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,0-17 years,Long Stay,Number of People,0
2018/19 Q1,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.8
2018/19 Q1,Dumfries and Galloway,18-64 years,All Stays,Number of People,65
2018/19 Q1,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2018/19 Q1,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,5
2018/19 Q1,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.7
2018/19 Q1,Dumfries and Galloway,18-64 years,Long Stay,Number of People,60
2018/19 Q1,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",5.8
2018/19 Q1,Dumfries and Galloway,65-74 years,All Stays,Number of People,120
2018/19 Q1,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2018/19 Q1,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,20
2018/19 Q1,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",5.3
2018/19 Q1,Dumfries and Galloway,65-74 years,Long Stay,Number of People,110
2018/19 Q1,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",27.1
2018/19 Q1,Dumfries and Galloway,75-84 years,All Stays,Number of People,340
2018/19 Q1,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.2
2018/19 Q1,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,40
2018/19 Q1,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",25.1
2018/19 Q1,Dumfries and Galloway,75-84 years,Long Stay,Number of People,315
2018/19 Q1,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",151.9
2018/19 Q1,Dumfries and Galloway,85+ years,All Stays,Number of People,680
2018/19 Q1,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",7.8
2018/19 Q1,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,35
2018/19 Q1,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",147.4
2018/19 Q1,Dumfries and Galloway,85+ years,Long Stay,Number of People,660
2018/19 Q1,Dumfries and Galloway,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,Unknown,All Stays,Number of People,0
2018/19 Q1,Dumfries and Galloway,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,Unknown,Short Stay / Respite,Number of People,0
2018/19 Q1,Dumfries and Galloway,Unknown,Long Stay,"Rate per 1,000 People",0
2018/19 Q1,Dumfries and Galloway,Unknown,Long Stay,Number of People,0
2018/19 Q2,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",8.3
2018/19 Q2,Dumfries and Galloway,All Ages,All Stays,Number of People,1230
2018/19 Q2,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.9
2018/19 Q2,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,140
2018/19 Q2,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",7.8
2018/19 Q2,Dumfries and Galloway,All Ages,Long Stay,Number of People,1155
2018/19 Q2,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0
2018/19 Q2,Dumfries and Galloway,0-17 years,All Stays,Number of People,0
2018/19 Q2,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0
2018/19 Q2,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0
2018/19 Q2,Dumfries and Galloway,0-17 years,Long Stay,Number of People,0
2018/19 Q2,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.8
2018/19 Q2,Dumfries and Galloway,18-64 years,All Stays,Number of People,65
2018/19 Q2,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2018/19 Q2,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,5
2018/19 Q2,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8
2018/19 Q2,Dumfries and Galloway,18-64 years,Long Stay,Number of People,65
2018/19 Q2,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",6.2
2018/19 Q2,Dumfries and Galloway,65-74 years,All Stays,Number of People,130
2018/19 Q2,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1
2018/19 Q2,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,20
2018/19 Q2,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",5.3
2018/19 Q2,Dumfries and Galloway,65-74 years,Long Stay,Number of People,110
2018/19 Q2,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",28.3
2018/19 Q2,Dumfries and Galloway,75-84 years,All Stays,Number of People,355
2018/19 Q2,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4
2018/19 Q2,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,50
2018/19 Q2,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",26.3
2018/19 Q2,Dumfries and Galloway,75-84 years,Long Stay,Number of People,330
2018/19 Q2,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",153
2018/19 Q2,Dumfries and Galloway,85+ years,All Stays,Number of People,685
2018/19 Q2,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",14.5
2018/19 Q2,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,65
2018/19 Q2,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",146.3
2018/19 Q2,Dumfries and Galloway,85+ years,Long Stay,Number of People,655
2018/19 Q2,Dumfries and Galloway,Unknown,All Stays,"Rate per 1,000 People",0
2018/19 Q2,Dumfries and Galloway,Unknown,All Stays,Number of People,0
2018/19 Q2,Dumfries and Galloway,Unknown,Short Stay / Respite,"Rate per 1,000 People",0
