financial_year,financial_quarter,sending_location,age_group,value,value_scotland,measure
2019/20,2019/20 Q2,Perth and Kinross,65+ years,1374,39696,Number of People
2019/20,2019/20 Q2,Renfrewshire,18+ years,1476,44130,Number of People
2019/20,2019/20 Q2,Renfrewshire,18-64 years,144,4434,Number of People
2019/20,2019/20 Q2,Renfrewshire,65+ years,1332,39696,Number of People
2019/20,2019/20 Q2,Scottish Borders,18+ years,930,44130,Number of People
2019/20,2019/20 Q2,Scottish Borders,18-64 years,42,4434,Number of People
2019/20,2019/20 Q2,Scottish Borders,65+ years,888,39696,Number of People
2019/20,2019/20 Q2,Shetland Islands,18+ years,168,44130,Number of People
2019/20,2019/20 Q2,Shetland Islands,18-64 years,12,4434,Number of People
2019/20,2019/20 Q2,Shetland Islands,65+ years,156,39696,Number of People
2019/20,2019/20 Q2,South Ayrshire,18+ years,1314,44130,Number of People
2019/20,2019/20 Q2,South Ayrshire,18-64 years,78,4434,Number of People
2019/20,2019/20 Q2,South Ayrshire,65+ years,1230,39696,Number of People
2019/20,2019/20 Q2,South Lanarkshire,18+ years,2580,44130,Number of People
2019/20,2019/20 Q2,South Lanarkshire,18-64 years,270,4434,Number of People
2019/20,2019/20 Q2,South Lanarkshire,65+ years,2310,39696,Number of People
2019/20,2019/20 Q2,Stirling,18+ years,750,44130,Number of People
2019/20,2019/20 Q2,Stirling,18-64 years,102,4434,Number of People
2019/20,2019/20 Q2,Stirling,65+ years,654,39696,Number of People
2019/20,2019/20 Q2,West Dunbartonshire,18+ years,834,44130,Number of People
2019/20,2019/20 Q2,West Dunbartonshire,18-64 years,72,4434,Number of People
2019/20,2019/20 Q2,West Dunbartonshire,65+ years,768,39696,Number of People
2019/20,2019/20 Q2,West Lothian,18+ years,1026,44130,Number of People
2019/20,2019/20 Q2,West Lothian,18-64 years,144,4434,Number of People
2019/20,2019/20 Q2,West Lothian,65+ years,888,39696,Number of People
2019/20,2019/20 Q3,Scotland (All Areas Submitted),18+ years,44640,44640,Number of People
2019/20,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,4470,4470,Number of People
2019/20,2019/20 Q3,Scotland (All Areas Submitted),65+ years,40170,40170,Number of People
2019/20,2019/20 Q3,Aberdeen City,18+ years,2046,44640,Number of People
2019/20,2019/20 Q3,Aberdeen City,18-64 years,324,4470,Number of People
2019/20,2019/20 Q3,Aberdeen City,65+ years,1722,40170,Number of People
2019/20,2019/20 Q3,Aberdeenshire,18+ years,2238,44640,Number of People
2019/20,2019/20 Q3,Aberdeenshire,18-64 years,258,4470,Number of People
2019/20,2019/20 Q3,Aberdeenshire,65+ years,1980,40170,Number of People
2019/20,2019/20 Q3,Angus,18+ years,1254,44640,Number of People
2019/20,2019/20 Q3,Angus,18-64 years,108,4470,Number of People
2019/20,2019/20 Q3,Angus,65+ years,1146,40170,Number of People
2019/20,2019/20 Q3,Argyll and Bute,18+ years,786,44640,Number of People
2019/20,2019/20 Q3,Argyll and Bute,18-64 years,72,4470,Number of People
2019/20,2019/20 Q3,Argyll and Bute,65+ years,714,40170,Number of People
2019/20,2019/20 Q3,City of Edinburgh,18+ years,3438,44640,Number of People
2019/20,2019/20 Q3,City of Edinburgh,18-64 years,288,4470,Number of People
2019/20,2019/20 Q3,City of Edinburgh,65+ years,3150,40170,Number of People
2019/20,2019/20 Q3,Clackmannanshire,18+ years,372,44640,Number of People
2019/20,2019/20 Q3,Clackmannanshire,18-64 years,78,4470,Number of People
2019/20,2019/20 Q3,Clackmannanshire,65+ years,294,40170,Number of People
2019/20,2019/20 Q3,Dumfries and Galloway,18+ years,1392,44640,Number of People
2019/20,2019/20 Q3,Dumfries and Galloway,18-64 years,78,4470,Number of People
2019/20,2019/20 Q3,Dumfries and Galloway,65+ years,1320,40170,Number of People
2019/20,2019/20 Q3,Dundee City,18+ years,1434,44640,Number of People
2019/20,2019/20 Q3,Dundee City,18-64 years,126,4470,Number of People
2019/20,2019/20 Q3,Dundee City,65+ years,1314,40170,Number of People
2019/20,2019/20 Q3,East Ayrshire,18+ years,954,44640,Number of People
2019/20,2019/20 Q3,East Ayrshire,18-64 years,84,4470,Number of People
2019/20,2019/20 Q3,East Ayrshire,65+ years,870,40170,Number of People
2019/20,2019/20 Q3,East Dunbartonshire,18+ years,1056,44640,Number of People
2019/20,2019/20 Q3,East Dunbartonshire,18-64 years,48,4470,Number of People
2019/20,2019/20 Q3,East Dunbartonshire,65+ years,1008,40170,Number of People
2019/20,2019/20 Q3,East Lothian,18+ years,864,44640,Number of People
2019/20,2019/20 Q3,East Lothian,18-64 years,66,4470,Number of People
2019/20,2019/20 Q3,East Lothian,65+ years,798,40170,Number of People
2019/20,2019/20 Q3,East Renfrewshire,18+ years,870,44640,Number of People
2019/20,2019/20 Q3,East Renfrewshire,18-64 years,42,4470,Number of People
2019/20,2019/20 Q3,East Renfrewshire,65+ years,828,40170,Number of People
2019/20,2019/20 Q3,Falkirk,18+ years,1404,44640,Number of People
2019/20,2019/20 Q3,Falkirk,18-64 years,210,4470,Number of People
2019/20,2019/20 Q3,Falkirk,65+ years,1194,40170,Number of People
2019/20,2019/20 Q3,Fife,18+ years,3564,44640,Number of People
2019/20,2019/20 Q3,Fife,18-64 years,258,4470,Number of People
2019/20,2019/20 Q3,Fife,65+ years,3306,40170,Number of People
2019/20,2019/20 Q3,Glasgow City,18+ years,4872,44640,Number of People
2019/20,2019/20 Q3,Glasgow City,18-64 years,762,4470,Number of People
2019/20,2019/20 Q3,Glasgow City,65+ years,4110,40170,Number of People
2019/20,2019/20 Q3,Highland,18+ years,2286,44640,Number of People
2019/20,2019/20 Q3,Highland,18-64 years,222,4470,Number of People
2019/20,2019/20 Q3,Highland,65+ years,2064,40170,Number of People
2019/20,2019/20 Q3,Inverclyde,18+ years,708,44640,Number of People
2019/20,2019/20 Q3,Inverclyde,18-64 years,66,4470,Number of People
2019/20,2019/20 Q3,Inverclyde,65+ years,642,40170,Number of People
2019/20,2019/20 Q3,Midlothian,18+ years,630,44640,Number of People
2019/20,2019/20 Q3,Midlothian,18-64 years,48,4470,Number of People
2019/20,2019/20 Q3,Midlothian,65+ years,582,40170,Number of People
2019/20,2019/20 Q3,Moray,18+ years,744,44640,Number of People
2019/20,2019/20 Q3,Moray,18-64 years,102,4470,Number of People
2019/20,2019/20 Q3,Moray,65+ years,642,40170,Number of People
2019/20,2019/20 Q3,North Ayrshire,18+ years,1080,44640,Number of People
2019/20,2019/20 Q3,North Ayrshire,18-64 years,108,4470,Number of People
2019/20,2019/20 Q3,North Ayrshire,65+ years,966,40170,Number of People
2019/20,2019/20 Q3,North Lanarkshire,18+ years,1914,44640,Number of People
2019/20,2019/20 Q3,North Lanarkshire,18-64 years,102,4470,Number of People
2019/20,2019/20 Q3,North Lanarkshire,65+ years,1812,40170,Number of People
2019/20,2019/20 Q3,Perth and Kinross,18+ years,1530,44640,Number of People
2019/20,2019/20 Q3,Perth and Kinross,18-64 years,156,4470,Number of People
2019/20,2019/20 Q3,Perth and Kinross,65+ years,1380,40170,Number of People
2019/20,2019/20 Q3,Renfrewshire,18+ years,1494,44640,Number of People
2019/20,2019/20 Q3,Renfrewshire,18-64 years,138,4470,Number of People
2019/20,2019/20 Q3,Renfrewshire,65+ years,1356,40170,Number of People
2019/20,2019/20 Q3,Scottish Borders,18+ years,942,44640,Number of People
2019/20,2019/20 Q3,Scottish Borders,18-64 years,42,4470,Number of People
2019/20,2019/20 Q3,Scottish Borders,65+ years,900,40170,Number of People
2019/20,2019/20 Q3,Shetland Islands,18+ years,162,44640,Number of People
2019/20,2019/20 Q3,Shetland Islands,18-64 years,6,4470,Number of People
2019/20,2019/20 Q3,Shetland Islands,65+ years,156,40170,Number of People
2019/20,2019/20 Q3,South Ayrshire,18+ years,1308,44640,Number of People
2019/20,2019/20 Q3,South Ayrshire,18-64 years,84,4470,Number of People
2019/20,2019/20 Q3,South Ayrshire,65+ years,1224,40170,Number of People
2019/20,2019/20 Q3,South Lanarkshire,18+ years,2598,44640,Number of People
2019/20,2019/20 Q3,South Lanarkshire,18-64 years,276,4470,Number of People
2019/20,2019/20 Q3,South Lanarkshire,65+ years,2322,40170,Number of People
2019/20,2019/20 Q3,Stirling,18+ years,744,44640,Number of People
2019/20,2019/20 Q3,Stirling,18-64 years,102,4470,Number of People
2019/20,2019/20 Q3,Stirling,65+ years,648,40170,Number of People
2019/20,2019/20 Q3,West Dunbartonshire,18+ years,834,44640,Number of People
2019/20,2019/20 Q3,West Dunbartonshire,18-64 years,72,4470,Number of People
2019/20,2019/20 Q3,West Dunbartonshire,65+ years,762,40170,Number of People
2019/20,2019/20 Q3,West Lothian,18+ years,1128,44640,Number of People
2019/20,2019/20 Q3,West Lothian,18-64 years,144,4470,Number of People
2019/20,2019/20 Q3,West Lothian,65+ years,984,40170,Number of People
2019/20,2019/20 Q4,Scotland (All Areas Submitted),18+ years,44238,44238,Number of People
2019/20,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,4434,4434,Number of People
2019/20,2019/20 Q4,Scotland (All Areas Submitted),65+ years,39804,39804,Number of People
2019/20,2019/20 Q4,Aberdeen City,18+ years,2058,44238,Number of People
2019/20,2019/20 Q4,Aberdeen City,18-64 years,318,4434,Number of People
2019/20,2019/20 Q4,Aberdeen City,65+ years,1740,39804,Number of People
2019/20,2019/20 Q4,Aberdeenshire,18+ years,2268,44238,Number of People
2019/20,2019/20 Q4,Aberdeenshire,18-64 years,258,4434,Number of People
2019/20,2019/20 Q4,Aberdeenshire,65+ years,2010,39804,Number of People
2019/20,2019/20 Q4,Angus,18+ years,1236,44238,Number of People
2019/20,2019/20 Q4,Angus,18-64 years,108,4434,Number of People
2019/20,2019/20 Q4,Angus,65+ years,1128,39804,Number of People
2019/20,2019/20 Q4,Argyll and Bute,18+ years,774,44238,Number of People
2019/20,2019/20 Q4,Argyll and Bute,18-64 years,66,4434,Number of People
2019/20,2019/20 Q4,Argyll and Bute,65+ years,708,39804,Number of People
2019/20,2019/20 Q4,City of Edinburgh,18+ years,3342,44238,Number of People
2019/20,2019/20 Q4,City of Edinburgh,18-64 years,282,4434,Number of People
2019/20,2019/20 Q4,City of Edinburgh,65+ years,3060,39804,Number of People
2019/20,2019/20 Q4,Clackmannanshire,18+ years,372,44238,Number of People
2019/20,2019/20 Q4,Clackmannanshire,18-64 years,78,4434,Number of People
2019/20,2019/20 Q4,Clackmannanshire,65+ years,294,39804,Number of People
2019/20,2019/20 Q4,Dumfries and Galloway,18+ years,1386,44238,Number of People
2019/20,2019/20 Q4,Dumfries and Galloway,18-64 years,72,4434,Number of People
2019/20,2019/20 Q4,Dumfries and Galloway,65+ years,1308,39804,Number of People
2019/20,2019/20 Q4,Dundee City,18+ years,1440,44238,Number of People
2019/20,2019/20 Q4,Dundee City,18-64 years,132,4434,Number of People
2019/20,2019/20 Q4,Dundee City,65+ years,1308,39804,Number of People
2019/20,2019/20 Q4,East Ayrshire,18+ years,960,44238,Number of People
2019/20,2019/20 Q4,East Ayrshire,18-64 years,90,4434,Number of People
2019/20,2019/20 Q4,East Ayrshire,65+ years,870,39804,Number of People
2019/20,2019/20 Q4,East Dunbartonshire,18+ years,1086,44238,Number of People
2019/20,2019/20 Q4,East Dunbartonshire,18-64 years,48,4434,Number of People
2019/20,2019/20 Q4,East Dunbartonshire,65+ years,1032,39804,Number of People
2019/20,2019/20 Q4,East Lothian,18+ years,870,44238,Number of People
2019/20,2019/20 Q4,East Lothian,18-64 years,66,4434,Number of People
2019/20,2019/20 Q4,East Lothian,65+ years,810,39804,Number of People
2019/20,2019/20 Q4,East Renfrewshire,18+ years,888,44238,Number of People
2019/20,2019/20 Q4,East Renfrewshire,18-64 years,42,4434,Number of People
2019/20,2019/20 Q4,East Renfrewshire,65+ years,846,39804,Number of People
2019/20,2019/20 Q4,Falkirk,18+ years,1392,44238,Number of People
2019/20,2019/20 Q4,Falkirk,18-64 years,210,4434,Number of People
2019/20,2019/20 Q4,Falkirk,65+ years,1176,39804,Number of People
2019/20,2019/20 Q4,Fife,18+ years,3378,44238,Number of People
2019/20,2019/20 Q4,Fife,18-64 years,246,4434,Number of People
2019/20,2019/20 Q4,Fife,65+ years,3138,39804,Number of People
2019/20,2019/20 Q4,Glasgow City,18+ years,4836,44238,Number of People
2019/20,2019/20 Q4,Glasgow City,18-64 years,738,4434,Number of People
2019/20,2019/20 Q4,Glasgow City,65+ years,4098,39804,Number of People
2019/20,2019/20 Q4,Highland,18+ years,2190,44238,Number of People
2019/20,2019/20 Q4,Highland,18-64 years,228,4434,Number of People
2019/20,2019/20 Q4,Highland,65+ years,1968,39804,Number of People
2019/20,2019/20 Q4,Inverclyde,18+ years,798,44238,Number of People
2019/20,2019/20 Q4,Inverclyde,18-64 years,66,4434,Number of People
2019/20,2019/20 Q4,Inverclyde,65+ years,738,39804,Number of People
2019/20,2019/20 Q4,Midlothian,18+ years,582,44238,Number of People
2019/20,2019/20 Q4,Midlothian,18-64 years,54,4434,Number of People
2019/20,2019/20 Q4,Midlothian,65+ years,528,39804,Number of People
2019/20,2019/20 Q4,Moray,18+ years,744,44238,Number of People
2019/20,2019/20 Q4,Moray,18-64 years,102,4434,Number of People
2019/20,2019/20 Q4,Moray,65+ years,642,39804,Number of People
2019/20,2019/20 Q4,North Ayrshire,18+ years,1026,44238,Number of People
2019/20,2019/20 Q4,North Ayrshire,18-64 years,114,4434,Number of People
2019/20,2019/20 Q4,North Ayrshire,65+ years,918,39804,Number of People
2019/20,2019/20 Q4,North Lanarkshire,18+ years,1932,44238,Number of People
2019/20,2019/20 Q4,North Lanarkshire,18-64 years,102,4434,Number of People
2019/20,2019/20 Q4,North Lanarkshire,65+ years,1830,39804,Number of People
2019/20,2019/20 Q4,Perth and Kinross,18+ years,1536,44238,Number of People
2019/20,2019/20 Q4,Perth and Kinross,18-64 years,150,4434,Number of People
2019/20,2019/20 Q4,Perth and Kinross,65+ years,1386,39804,Number of People
2019/20,2019/20 Q4,Renfrewshire,18+ years,1494,44238,Number of People
2019/20,2019/20 Q4,Renfrewshire,18-64 years,132,4434,Number of People
2019/20,2019/20 Q4,Renfrewshire,65+ years,1362,39804,Number of People
2019/20,2019/20 Q4,Scottish Borders,18+ years,942,44238,Number of People
2019/20,2019/20 Q4,Scottish Borders,18-64 years,42,4434,Number of People
2019/20,2019/20 Q4,Scottish Borders,65+ years,894,39804,Number of People
2019/20,2019/20 Q4,Shetland Islands,18+ years,168,44238,Number of People
2019/20,2019/20 Q4,Shetland Islands,18-64 years,12,4434,Number of People
2019/20,2019/20 Q4,Shetland Islands,65+ years,156,39804,Number of People
2019/20,2019/20 Q4,South Ayrshire,18+ years,1278,44238,Number of People
2019/20,2019/20 Q4,South Ayrshire,18-64 years,84,4434,Number of People
2019/20,2019/20 Q4,South Ayrshire,65+ years,1194,39804,Number of People
2019/20,2019/20 Q4,South Lanarkshire,18+ years,2574,44238,Number of People
2019/20,2019/20 Q4,South Lanarkshire,18-64 years,276,4434,Number of People
2019/20,2019/20 Q4,South Lanarkshire,65+ years,2298,39804,Number of People
2019/20,2019/20 Q4,Stirling,18+ years,732,44238,Number of People
2019/20,2019/20 Q4,Stirling,18-64 years,102,4434,Number of People
2019/20,2019/20 Q4,Stirling,65+ years,630,39804,Number of People
2019/20,2019/20 Q4,West Dunbartonshire,18+ years,816,44238,Number of People
2019/20,2019/20 Q4,West Dunbartonshire,18-64 years,72,4434,Number of People
2019/20,2019/20 Q4,West Dunbartonshire,65+ years,744,39804,Number of People
2019/20,2019/20 Q4,West Lothian,18+ years,1140,44238,Number of People
2019/20,2019/20 Q4,West Lothian,18-64 years,156,4434,Number of People
2019/20,2019/20 Q4,West Lothian,65+ years,984,39804,Number of People
2020/21,2020/21 Q1,Scotland (All Areas Submitted),18+ years,52797.6,52797.6,Number of People
2020/21,2020/21 Q1,Scotland (All Areas Submitted),18-64 years,5284.8,5284.8,Number of People
2020/21,2020/21 Q1,Scotland (All Areas Submitted),65+ years,47512.8,47512.8,Number of People
2020/21,2020/21 Q1,Aberdeen City,18+ years,2419.2,52797.6,Number of People
2020/21,2020/21 Q1,Aberdeen City,18-64 years,403.2,5284.8,Number of People
2020/21,2020/21 Q1,Aberdeen City,65+ years,2016,47512.8,Number of People
2020/21,2020/21 Q1,Aberdeenshire,18+ years,2620.8,52797.6,Number of People
2020/21,2020/21 Q1,Aberdeenshire,18-64 years,295.2,5284.8,Number of People
2020/21,2020/21 Q1,Aberdeenshire,65+ years,2325.6,47512.8,Number of People
2020/21,2020/21 Q1,Angus,18+ years,1497.6,52797.6,Number of People
2020/21,2020/21 Q1,Angus,18-64 years,136.8,5284.8,Number of People
2020/21,2020/21 Q1,Angus,65+ years,1360.8,47512.8,Number of People
2020/21,2020/21 Q1,Argyll and Bute,18+ years,936,52797.6,Number of People
2020/21,2020/21 Q1,Argyll and Bute,18-64 years,72,5284.8,Number of People
2020/21,2020/21 Q1,Argyll and Bute,65+ years,864,47512.8,Number of People
2020/21,2020/21 Q1,City of Edinburgh,18+ years,4284,52797.6,Number of People
2020/21,2020/21 Q1,City of Edinburgh,18-64 years,360,5284.8,Number of People
2020/21,2020/21 Q1,City of Edinburgh,65+ years,3924,47512.8,Number of People
2020/21,2020/21 Q1,Clackmannanshire,18+ years,432,52797.6,Number of People
2020/21,2020/21 Q1,Clackmannanshire,18-64 years,93.6,5284.8,Number of People
2020/21,2020/21 Q1,Clackmannanshire,65+ years,345.6,47512.8,Number of People
2020/21,2020/21 Q1,Dumfries and Galloway,18+ years,1656,52797.6,Number of People
2020/21,2020/21 Q1,Dumfries and Galloway,18-64 years,93.6,5284.8,Number of People
2020/21,2020/21 Q1,Dumfries and Galloway,65+ years,1562.4,47512.8,Number of People
2020/21,2020/21 Q1,Dundee City,18+ years,1749.6,52797.6,Number of People
2020/21,2020/21 Q1,Dundee City,18-64 years,151.2,5284.8,Number of People
2020/21,2020/21 Q1,Dundee City,65+ years,1605.6,47512.8,Number of People
2020/21,2020/21 Q1,East Ayrshire,18+ years,1144.8,52797.6,Number of People
2020/21,2020/21 Q1,East Ayrshire,18-64 years,93.6,5284.8,Number of People
2020/21,2020/21 Q1,East Ayrshire,65+ years,1051.2,47512.8,Number of People
2020/21,2020/21 Q1,East Dunbartonshire,18+ years,1267.2,52797.6,Number of People
2020/21,2020/21 Q1,East Dunbartonshire,18-64 years,64.8,5284.8,Number of People
2020/21,2020/21 Q1,East Dunbartonshire,65+ years,1202.4,47512.8,Number of People
2020/21,2020/21 Q1,East Lothian,18+ years,1015.2,52797.6,Number of People
2020/21,2020/21 Q1,East Lothian,18-64 years,72,5284.8,Number of People
2020/21,2020/21 Q1,East Lothian,65+ years,943.2,47512.8,Number of People
2020/21,2020/21 Q1,East Renfrewshire,18+ years,864,52797.6,Number of People
2020/21,2020/21 Q1,East Renfrewshire,18-64 years,43.2,5284.8,Number of People
2020/21,2020/21 Q1,East Renfrewshire,65+ years,820.8,47512.8,Number of People
2020/21,2020/21 Q1,Falkirk,18+ years,1648.8,52797.6,Number of People
2020/21,2020/21 Q1,Falkirk,18-64 years,252,5284.8,Number of People
2020/21,2020/21 Q1,Falkirk,65+ years,1389.6,47512.8,Number of People
2020/21,2020/21 Q1,Fife,18+ years,3909.6,52797.6,Number of People
2020/21,2020/21 Q1,Fife,18-64 years,280.8,5284.8,Number of People
2020/21,2020/21 Q1,Fife,65+ years,3628.8,47512.8,Number of People
2020/21,2020/21 Q1,Glasgow City,18+ years,5709.6,52797.6,Number of People
2020/21,2020/21 Q1,Glasgow City,18-64 years,871.2,5284.8,Number of People
2020/21,2020/21 Q1,Glasgow City,65+ years,4838.4,47512.8,Number of People
2020/21,2020/21 Q1,Highland,18+ years,2750.4,52797.6,Number of People
2020/21,2020/21 Q1,Highland,18-64 years,266.4,5284.8,Number of People
2020/21,2020/21 Q1,Highland,65+ years,2484,47512.8,Number of People
2020/21,2020/21 Q1,Inverclyde,18+ years,964.8,52797.6,Number of People
2020/21,2020/21 Q1,Inverclyde,18-64 years,100.8,5284.8,Number of People
2020/21,2020/21 Q1,Inverclyde,65+ years,864,47512.8,Number of People
2020/21,2020/21 Q1,Midlothian,18+ years,669.6,52797.6,Number of People
2020/21,2020/21 Q1,Midlothian,18-64 years,50.4,5284.8,Number of People
2020/21,2020/21 Q1,Midlothian,65+ years,619.2,47512.8,Number of People
2020/21,2020/21 Q1,Moray,18+ years,878.4,52797.6,Number of People
2020/21,2020/21 Q1,Moray,18-64 years,122.4,5284.8,Number of People
2020/21,2020/21 Q1,Moray,65+ years,756,47512.8,Number of People
2020/21,2020/21 Q1,North Ayrshire,18+ years,1396.8,52797.6,Number of People
2020/21,2020/21 Q1,North Ayrshire,18-64 years,136.8,5284.8,Number of People
2020/21,2020/21 Q1,North Ayrshire,65+ years,1260,47512.8,Number of People
2020/21,2020/21 Q1,North Lanarkshire,18+ years,2275.2,52797.6,Number of People
2020/21,2020/21 Q1,North Lanarkshire,18-64 years,115.2,5284.8,Number of People
2020/21,2020/21 Q1,North Lanarkshire,65+ years,2160,47512.8,Number of People
2020/21,2020/21 Q1,Perth and Kinross,18+ years,1836,52797.6,Number of People
2020/21,2020/21 Q1,Perth and Kinross,18-64 years,187.2,5284.8,Number of People
2020/21,2020/21 Q1,Perth and Kinross,65+ years,1648.8,47512.8,Number of People
2020/21,2020/21 Q1,Renfrewshire,18+ years,1756.8,52797.6,Number of People
2020/21,2020/21 Q1,Renfrewshire,18-64 years,165.6,5284.8,Number of People
2020/21,2020/21 Q1,Renfrewshire,65+ years,1591.2,47512.8,Number of People
2020/21,2020/21 Q1,Scottish Borders,18+ years,1080,52797.6,Number of People
2020/21,2020/21 Q1,Scottish Borders,18-64 years,43.2,5284.8,Number of People
2020/21,2020/21 Q1,Scottish Borders,65+ years,1036.8,47512.8,Number of People
2020/21,2020/21 Q1,Shetland Islands,18+ years,216,52797.6,Number of People
2020/21,2020/21 Q1,Shetland Islands,18-64 years,14.4,5284.8,Number of People
2020/21,2020/21 Q1,Shetland Islands,65+ years,201.6,47512.8,Number of People
2020/21,2020/21 Q1,South Ayrshire,18+ years,1576.8,52797.6,Number of People
2020/21,2020/21 Q1,South Ayrshire,18-64 years,93.6,5284.8,Number of People
2020/21,2020/21 Q1,South Ayrshire,65+ years,1483.2,47512.8,Number of People
2020/21,2020/21 Q1,South Lanarkshire,18+ years,3045.6,52797.6,Number of People
2020/21,2020/21 Q1,South Lanarkshire,18-64 years,324,5284.8,Number of People
2020/21,2020/21 Q1,South Lanarkshire,65+ years,2721.6,47512.8,Number of People
2020/21,2020/21 Q1,Stirling,18+ years,885.6,52797.6,Number of People
2020/21,2020/21 Q1,Stirling,18-64 years,122.4,5284.8,Number of People
2020/21,2020/21 Q1,Stirling,65+ years,763.2,47512.8,Number of People
2020/21,2020/21 Q1,West Dunbartonshire,18+ years,986.4,52797.6,Number of People
2020/21,2020/21 Q1,West Dunbartonshire,18-64 years,79.2,5284.8,Number of People
2020/21,2020/21 Q1,West Dunbartonshire,65+ years,907.2,47512.8,Number of People
2020/21,2020/21 Q1,West Lothian,18+ years,1310.4,52797.6,Number of People
2020/21,2020/21 Q1,West Lothian,18-64 years,172.8,5284.8,Number of People
2020/21,2020/21 Q1,West Lothian,65+ years,1137.6,47512.8,Number of People
2020/21,2020/21 Q2,Scotland (All Areas Submitted),18+ years,52956,52956,Number of People
2020/21,2020/21 Q2,Scotland (All Areas Submitted),18-64 years,5320.8,5320.8,Number of People
2020/21,2020/21 Q2,Scotland (All Areas Submitted),65+ years,47635.2,47635.2,Number of People
2020/21,2020/21 Q2,Aberdeen City,18+ years,2433.6,52956,Number of People
2020/21,2020/21 Q2,Aberdeen City,18-64 years,396,5320.8,Number of People
2020/21,2020/21 Q2,Aberdeen City,65+ years,2037.6,47635.2,Number of People
2020/21,2020/21 Q2,Aberdeenshire,18+ years,2656.8,52956,Number of People
2020/21,2020/21 Q2,Aberdeenshire,18-64 years,295.2,5320.8,Number of People
2020/21,2020/21 Q2,Aberdeenshire,65+ years,2361.6,47635.2,Number of People
2020/21,2020/21 Q2,Angus,18+ years,1490.4,52956,Number of People
2020/21,2020/21 Q2,Angus,18-64 years,129.6,5320.8,Number of People
2020/21,2020/21 Q2,Angus,65+ years,1360.8,47635.2,Number of People
2020/21,2020/21 Q2,Argyll and Bute,18+ years,928.8,52956,Number of People
2020/21,2020/21 Q2,Argyll and Bute,18-64 years,86.4,5320.8,Number of People
2020/21,2020/21 Q2,Argyll and Bute,65+ years,842.4,47635.2,Number of People
2020/21,2020/21 Q2,City of Edinburgh,18+ years,4255.2,52956,Number of People
2020/21,2020/21 Q2,City of Edinburgh,18-64 years,352.8,5320.8,Number of People
2020/21,2020/21 Q2,City of Edinburgh,65+ years,3909.6,47635.2,Number of People
2020/21,2020/21 Q2,Clackmannanshire,18+ years,446.4,52956,Number of People
2020/21,2020/21 Q2,Clackmannanshire,18-64 years,93.6,5320.8,Number of People
2020/21,2020/21 Q2,Clackmannanshire,65+ years,352.8,47635.2,Number of People
2020/21,2020/21 Q2,Dumfries and Galloway,18+ years,1670.4,52956,Number of People
2020/21,2020/21 Q2,Dumfries and Galloway,18-64 years,93.6,5320.8,Number of People
2020/21,2020/21 Q2,Dumfries and Galloway,65+ years,1576.8,47635.2,Number of People
2020/21,2020/21 Q2,Dundee City,18+ years,1699.2,52956,Number of People
2020/21,2020/21 Q2,Dundee City,18-64 years,144,5320.8,Number of People
2020/21,2020/21 Q2,Dundee City,65+ years,1555.2,47635.2,Number of People
2020/21,2020/21 Q2,East Ayrshire,18+ years,1144.8,52956,Number of People
2020/21,2020/21 Q2,East Ayrshire,18-64 years,100.8,5320.8,Number of People
2020/21,2020/21 Q2,East Ayrshire,65+ years,1051.2,47635.2,Number of People
2020/21,2020/21 Q2,East Dunbartonshire,18+ years,1245.6,52956,Number of People
2020/21,2020/21 Q2,East Dunbartonshire,18-64 years,64.8,5320.8,Number of People
2020/21,2020/21 Q2,East Dunbartonshire,65+ years,1188,47635.2,Number of People
2020/21,2020/21 Q2,East Lothian,18+ years,1022.4,52956,Number of People
2020/21,2020/21 Q2,East Lothian,18-64 years,72,5320.8,Number of People
2020/21,2020/21 Q2,East Lothian,65+ years,950.4,47635.2,Number of People
2020/21,2020/21 Q2,East Renfrewshire,18+ years,856.8,52956,Number of People
2020/21,2020/21 Q2,East Renfrewshire,18-64 years,43.2,5320.8,Number of People
2020/21,2020/21 Q2,East Renfrewshire,65+ years,813.6,47635.2,Number of People
2020/21,2020/21 Q2,Falkirk,18+ years,1656,52956,Number of People
2020/21,2020/21 Q2,Falkirk,18-64 years,252,5320.8,Number of People
2020/21,2020/21 Q2,Falkirk,65+ years,1404,47635.2,Number of People
2020/21,2020/21 Q2,Fife,18+ years,4060.8,52956,Number of People
2020/21,2020/21 Q2,Fife,18-64 years,295.2,5320.8,Number of People
2020/21,2020/21 Q2,Fife,65+ years,3765.6,47635.2,Number of People
2020/21,2020/21 Q2,Glasgow City,18+ years,5774.4,52956,Number of People
2020/21,2020/21 Q2,Glasgow City,18-64 years,900,5320.8,Number of People
2020/21,2020/21 Q2,Glasgow City,65+ years,4874.4,47635.2,Number of People
2020/21,2020/21 Q2,Highland,18+ years,2736,52956,Number of People
2020/21,2020/21 Q2,Highland,18-64 years,266.4,5320.8,Number of People
2020/21,2020/21 Q2,Highland,65+ years,2469.6,47635.2,Number of People
2020/21,2020/21 Q2,Inverclyde,18+ years,936,52956,Number of People
2020/21,2020/21 Q2,Inverclyde,18-64 years,86.4,5320.8,Number of People
2020/21,2020/21 Q2,Inverclyde,65+ years,849.6,47635.2,Number of People
2020/21,2020/21 Q2,Midlothian,18+ years,741.6,52956,Number of People
