financial_year,sending_location,age_group,nursing_care_provision,number_nc_provision,propn_nc_provision
2017/18,South Lanarkshire,18-64 years,Stays with Nursing Provision,140,63.6
2017/18,South Lanarkshire,18-64 years,Stays with no Nursing Provision,80,36.4
2017/18,South Lanarkshire,65-74 years,Stays with Nursing Provision,185,78.7
2017/18,South Lanarkshire,65-74 years,Stays with no Nursing Provision,50,21.3
2017/18,South Lanarkshire,75-84 years,Stays with Nursing Provision,495,78.6
2017/18,South Lanarkshire,75-84 years,Stays with no Nursing Provision,135,21.4
2017/18,South Lanarkshire,85+ years,Stays with Nursing Provision,775,81.2
2017/18,South Lanarkshire,85+ years,Stays with no Nursing Provision,180,18.8
2017/18,South Lanarkshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,South Lanarkshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Stirling,All Ages,Stays with Nursing Provision,225,40.9
2017/18,Stirling,All Ages,Stays with no Nursing Provision,325,59.1
2017/18,Stirling,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Stirling,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Stirling,18-64 years,Stays with Nursing Provision,15,20
2017/18,Stirling,18-64 years,Stays with no Nursing Provision,60,80
2017/18,Stirling,65-74 years,Stays with Nursing Provision,25,45.5
2017/18,Stirling,65-74 years,Stays with no Nursing Provision,30,54.5
2017/18,Stirling,75-84 years,Stays with Nursing Provision,85,48.6
2017/18,Stirling,75-84 years,Stays with no Nursing Provision,90,51.4
2017/18,Stirling,85+ years,Stays with Nursing Provision,105,42.9
2017/18,Stirling,85+ years,Stays with no Nursing Provision,140,57.1
2017/18,Stirling,Unknown,Stays with Nursing Provision,0,NA
2017/18,Stirling,Unknown,Stays with no Nursing Provision,0,NA
2017/18,West Dunbartonshire,All Ages,Stays with Nursing Provision,390,56.1
2017/18,West Dunbartonshire,All Ages,Stays with no Nursing Provision,305,43.9
2017/18,West Dunbartonshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,West Dunbartonshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,West Dunbartonshire,18-64 years,Stays with Nursing Provision,40,66.7
2017/18,West Dunbartonshire,18-64 years,Stays with no Nursing Provision,20,33.3
2017/18,West Dunbartonshire,65-74 years,Stays with Nursing Provision,45,60
2017/18,West Dunbartonshire,65-74 years,Stays with no Nursing Provision,30,40
2017/18,West Dunbartonshire,75-84 years,Stays with Nursing Provision,145,60.4
2017/18,West Dunbartonshire,75-84 years,Stays with no Nursing Provision,95,39.6
2017/18,West Dunbartonshire,85+ years,Stays with Nursing Provision,160,50.8
2017/18,West Dunbartonshire,85+ years,Stays with no Nursing Provision,155,49.2
2017/18,West Dunbartonshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,West Dunbartonshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,West Lothian,All Ages,Stays with Nursing Provision,680,73.1
2017/18,West Lothian,All Ages,Stays with no Nursing Provision,250,26.9
2017/18,West Lothian,0-17 years,Stays with Nursing Provision,0,NA
2017/18,West Lothian,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,West Lothian,18-64 years,Stays with Nursing Provision,35,31.8
2017/18,West Lothian,18-64 years,Stays with no Nursing Provision,75,68.2
2017/18,West Lothian,65-74 years,Stays with Nursing Provision,75,65.2
2017/18,West Lothian,65-74 years,Stays with no Nursing Provision,40,34.8
2017/18,West Lothian,75-84 years,Stays with Nursing Provision,245,80.3
2017/18,West Lothian,75-84 years,Stays with no Nursing Provision,60,19.7
2017/18,West Lothian,85+ years,Stays with Nursing Provision,325,81.2
2017/18,West Lothian,85+ years,Stays with no Nursing Provision,75,18.8
2017/18,West Lothian,Unknown,Stays with Nursing Provision,0,NA
2017/18,West Lothian,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Scotland (All Areas Submitted),All Ages,Stays with Nursing Provision,27910,60.4
2018/19,Scotland (All Areas Submitted),All Ages,Stays with no Nursing Provision,18305,39.6
2018/19,Scotland (All Areas Submitted),0-17 years,Stays with Nursing Provision,0,0
2018/19,Scotland (All Areas Submitted),0-17 years,Stays with no Nursing Provision,80,100
2018/19,Scotland (All Areas Submitted),18-64 years,Stays with Nursing Provision,2000,46.9
2018/19,Scotland (All Areas Submitted),18-64 years,Stays with no Nursing Provision,2260,53.1
2018/19,Scotland (All Areas Submitted),65-74 years,Stays with Nursing Provision,3205,65.7
2018/19,Scotland (All Areas Submitted),65-74 years,Stays with no Nursing Provision,1675,34.3
2018/19,Scotland (All Areas Submitted),75-84 years,Stays with Nursing Provision,9040,65.4
2018/19,Scotland (All Areas Submitted),75-84 years,Stays with no Nursing Provision,4780,34.6
2018/19,Scotland (All Areas Submitted),85+ years,Stays with Nursing Provision,13660,59
2018/19,Scotland (All Areas Submitted),85+ years,Stays with no Nursing Provision,9505,41
2018/19,Scotland (All Areas Submitted),Unknown,Stays with Nursing Provision,10,66.7
2018/19,Scotland (All Areas Submitted),Unknown,Stays with no Nursing Provision,5,33.3
2018/19,Aberdeen City,All Ages,Stays with Nursing Provision,1330,62.7
2018/19,Aberdeen City,All Ages,Stays with no Nursing Provision,790,37.3
2018/19,Aberdeen City,0-17 years,Stays with Nursing Provision,0,0
2018/19,Aberdeen City,0-17 years,Stays with no Nursing Provision,65,100
2018/19,Aberdeen City,18-64 years,Stays with Nursing Provision,95,30.6
2018/19,Aberdeen City,18-64 years,Stays with no Nursing Provision,215,69.4
2018/19,Aberdeen City,65-74 years,Stays with Nursing Provision,140,59.6
2018/19,Aberdeen City,65-74 years,Stays with no Nursing Provision,95,40.4
2018/19,Aberdeen City,75-84 years,Stays with Nursing Provision,430,78.2
2018/19,Aberdeen City,75-84 years,Stays with no Nursing Provision,120,21.8
2018/19,Aberdeen City,85+ years,Stays with Nursing Provision,665,68.9
2018/19,Aberdeen City,85+ years,Stays with no Nursing Provision,300,31.1
2018/19,Aberdeen City,Unknown,Stays with Nursing Provision,0,NA
2018/19,Aberdeen City,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Aberdeenshire,All Ages,Stays with Nursing Provision,1465,64.4
2018/19,Aberdeenshire,All Ages,Stays with no Nursing Provision,810,35.6
2018/19,Aberdeenshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Aberdeenshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Aberdeenshire,18-64 years,Stays with Nursing Provision,50,21.3
2018/19,Aberdeenshire,18-64 years,Stays with no Nursing Provision,185,78.7
2018/19,Aberdeenshire,65-74 years,Stays with Nursing Provision,150,65.2
2018/19,Aberdeenshire,65-74 years,Stays with no Nursing Provision,80,34.8
2018/19,Aberdeenshire,75-84 years,Stays with Nursing Provision,485,74.6
2018/19,Aberdeenshire,75-84 years,Stays with no Nursing Provision,165,25.4
2018/19,Aberdeenshire,85+ years,Stays with Nursing Provision,775,67.4
2018/19,Aberdeenshire,85+ years,Stays with no Nursing Provision,375,32.6
2018/19,Aberdeenshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,Aberdeenshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Angus,All Ages,Stays with Nursing Provision,470,36.3
2018/19,Angus,All Ages,Stays with no Nursing Provision,825,63.7
2018/19,Angus,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Angus,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Angus,18-64 years,Stays with Nursing Provision,15,15
2018/19,Angus,18-64 years,Stays with no Nursing Provision,85,85
2018/19,Angus,65-74 years,Stays with Nursing Provision,60,52.2
2018/19,Angus,65-74 years,Stays with no Nursing Provision,55,47.8
2018/19,Angus,75-84 years,Stays with Nursing Provision,155,43.1
2018/19,Angus,75-84 years,Stays with no Nursing Provision,205,56.9
2018/19,Angus,85+ years,Stays with Nursing Provision,240,33.1
2018/19,Angus,85+ years,Stays with no Nursing Provision,485,66.9
2018/19,Angus,Unknown,Stays with Nursing Provision,0,NA
2018/19,Angus,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Argyll and Bute,All Ages,Stays with Nursing Provision,395,47.3
2018/19,Argyll and Bute,All Ages,Stays with no Nursing Provision,440,52.7
2018/19,Argyll and Bute,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Argyll and Bute,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Argyll and Bute,18-64 years,Stays with Nursing Provision,15,23.1
2018/19,Argyll and Bute,18-64 years,Stays with no Nursing Provision,50,76.9
2018/19,Argyll and Bute,65-74 years,Stays with Nursing Provision,55,57.9
2018/19,Argyll and Bute,65-74 years,Stays with no Nursing Provision,40,42.1
2018/19,Argyll and Bute,75-84 years,Stays with Nursing Provision,125,51
2018/19,Argyll and Bute,75-84 years,Stays with no Nursing Provision,120,49
2018/19,Argyll and Bute,85+ years,Stays with Nursing Provision,195,45.9
2018/19,Argyll and Bute,85+ years,Stays with no Nursing Provision,230,54.1
2018/19,Argyll and Bute,Unknown,Stays with Nursing Provision,0,NA
2018/19,Argyll and Bute,Unknown,Stays with no Nursing Provision,0,NA
2018/19,City of Edinburgh,All Ages,Stays with Nursing Provision,2115,57.2
2018/19,City of Edinburgh,All Ages,Stays with no Nursing Provision,1585,42.8
2018/19,City of Edinburgh,0-17 years,Stays with Nursing Provision,0,NA
2018/19,City of Edinburgh,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,City of Edinburgh,18-64 years,Stays with Nursing Provision,270,94.7
2018/19,City of Edinburgh,18-64 years,Stays with no Nursing Provision,15,5.3
2018/19,City of Edinburgh,65-74 years,Stays with Nursing Provision,220,62.9
2018/19,City of Edinburgh,65-74 years,Stays with no Nursing Provision,130,37.1
2018/19,City of Edinburgh,75-84 years,Stays with Nursing Provision,545,54.2
2018/19,City of Edinburgh,75-84 years,Stays with no Nursing Provision,460,45.8
2018/19,City of Edinburgh,85+ years,Stays with Nursing Provision,1080,52.4
2018/19,City of Edinburgh,85+ years,Stays with no Nursing Provision,980,47.6
2018/19,City of Edinburgh,Unknown,Stays with Nursing Provision,0,NA
2018/19,City of Edinburgh,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Clackmannanshire,All Ages,Stays with Nursing Provision,230,60.5
2018/19,Clackmannanshire,All Ages,Stays with no Nursing Provision,150,39.5
2018/19,Clackmannanshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Clackmannanshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Clackmannanshire,18-64 years,Stays with Nursing Provision,25,35.7
2018/19,Clackmannanshire,18-64 years,Stays with no Nursing Provision,45,64.3
2018/19,Clackmannanshire,65-74 years,Stays with Nursing Provision,25,50
2018/19,Clackmannanshire,65-74 years,Stays with no Nursing Provision,25,50
2018/19,Clackmannanshire,75-84 years,Stays with Nursing Provision,80,69.6
2018/19,Clackmannanshire,75-84 years,Stays with no Nursing Provision,35,30.4
2018/19,Clackmannanshire,85+ years,Stays with Nursing Provision,95,67.9
2018/19,Clackmannanshire,85+ years,Stays with no Nursing Provision,45,32.1
2018/19,Clackmannanshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,Clackmannanshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Dumfries and Galloway,All Ages,Stays with Nursing Provision,170,11.6
2018/19,Dumfries and Galloway,All Ages,Stays with no Nursing Provision,1290,88.4
2018/19,Dumfries and Galloway,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Dumfries and Galloway,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Dumfries and Galloway,18-64 years,Stays with Nursing Provision,20,30.8
2018/19,Dumfries and Galloway,18-64 years,Stays with no Nursing Provision,45,69.2
2018/19,Dumfries and Galloway,65-74 years,Stays with Nursing Provision,15,10.7
2018/19,Dumfries and Galloway,65-74 years,Stays with no Nursing Provision,125,89.3
2018/19,Dumfries and Galloway,75-84 years,Stays with Nursing Provision,60,13.8
2018/19,Dumfries and Galloway,75-84 years,Stays with no Nursing Provision,375,86.2
2018/19,Dumfries and Galloway,85+ years,Stays with Nursing Provision,75,9.1
2018/19,Dumfries and Galloway,85+ years,Stays with no Nursing Provision,745,90.9
2018/19,Dumfries and Galloway,Unknown,Stays with Nursing Provision,0,NA
2018/19,Dumfries and Galloway,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Dundee City,All Ages,Stays with Nursing Provision,960,64.4
2018/19,Dundee City,All Ages,Stays with no Nursing Provision,530,35.6
2018/19,Dundee City,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Dundee City,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Dundee City,18-64 years,Stays with Nursing Provision,75,65.2
2018/19,Dundee City,18-64 years,Stays with no Nursing Provision,40,34.8
2018/19,Dundee City,65-74 years,Stays with Nursing Provision,115,71.9
2018/19,Dundee City,65-74 years,Stays with no Nursing Provision,45,28.1
2018/19,Dundee City,75-84 years,Stays with Nursing Provision,305,69.3
2018/19,Dundee City,75-84 years,Stays with no Nursing Provision,135,30.7
2018/19,Dundee City,85+ years,Stays with Nursing Provision,465,59.6
2018/19,Dundee City,85+ years,Stays with no Nursing Provision,315,40.4
2018/19,Dundee City,Unknown,Stays with Nursing Provision,0,NA
2018/19,Dundee City,Unknown,Stays with no Nursing Provision,0,NA
2018/19,East Ayrshire,All Ages,Stays with Nursing Provision,720,72.4
2018/19,East Ayrshire,All Ages,Stays with no Nursing Provision,275,27.6
2018/19,East Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,East Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,East Ayrshire,18-64 years,Stays with Nursing Provision,45,56.2
2018/19,East Ayrshire,18-64 years,Stays with no Nursing Provision,35,43.8
2018/19,East Ayrshire,65-74 years,Stays with Nursing Provision,80,76.2
2018/19,East Ayrshire,65-74 years,Stays with no Nursing Provision,25,23.8
2018/19,East Ayrshire,75-84 years,Stays with Nursing Provision,255,76.1
2018/19,East Ayrshire,75-84 years,Stays with no Nursing Provision,80,23.9
2018/19,East Ayrshire,85+ years,Stays with Nursing Provision,340,71.6
2018/19,East Ayrshire,85+ years,Stays with no Nursing Provision,135,28.4
2018/19,East Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,East Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,East Dunbartonshire,All Ages,Stays with Nursing Provision,995,88.8
2018/19,East Dunbartonshire,All Ages,Stays with no Nursing Provision,125,11.2
2018/19,East Dunbartonshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,East Dunbartonshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,East Dunbartonshire,18-64 years,Stays with Nursing Provision,25,45.5
2018/19,East Dunbartonshire,18-64 years,Stays with no Nursing Provision,30,54.5
2018/19,East Dunbartonshire,65-74 years,Stays with Nursing Provision,80,88.9
2018/19,East Dunbartonshire,65-74 years,Stays with no Nursing Provision,10,11.1
2018/19,East Dunbartonshire,75-84 years,Stays with Nursing Provision,310,93.9
2018/19,East Dunbartonshire,75-84 years,Stays with no Nursing Provision,20,6.1
2018/19,East Dunbartonshire,85+ years,Stays with Nursing Provision,580,89.2
2018/19,East Dunbartonshire,85+ years,Stays with no Nursing Provision,70,10.8
2018/19,East Dunbartonshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,East Dunbartonshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,East Lothian,All Ages,Stays with Nursing Provision,610,67
2018/19,East Lothian,All Ages,Stays with no Nursing Provision,300,33
2018/19,East Lothian,0-17 years,Stays with Nursing Provision,0,NA
2018/19,East Lothian,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,East Lothian,18-64 years,Stays with Nursing Provision,25,38.5
2018/19,East Lothian,18-64 years,Stays with no Nursing Provision,40,61.5
2018/19,East Lothian,65-74 years,Stays with Nursing Provision,55,68.8
2018/19,East Lothian,65-74 years,Stays with no Nursing Provision,25,31.2
2018/19,East Lothian,75-84 years,Stays with Nursing Provision,195,73.6
2018/19,East Lothian,75-84 years,Stays with no Nursing Provision,70,26.4
2018/19,East Lothian,85+ years,Stays with Nursing Provision,335,66.3
2018/19,East Lothian,85+ years,Stays with no Nursing Provision,170,33.7
2018/19,East Lothian,Unknown,Stays with Nursing Provision,0,NA
2018/19,East Lothian,Unknown,Stays with no Nursing Provision,0,NA
2018/19,East Renfrewshire,All Ages,Stays with Nursing Provision,435,52.4
2018/19,East Renfrewshire,All Ages,Stays with no Nursing Provision,395,47.6
2018/19,East Renfrewshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,East Renfrewshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,East Renfrewshire,18-64 years,Stays with Nursing Provision,15,50
2018/19,East Renfrewshire,18-64 years,Stays with no Nursing Provision,15,50
2018/19,East Renfrewshire,65-74 years,Stays with Nursing Provision,45,60
2018/19,East Renfrewshire,65-74 years,Stays with no Nursing Provision,30,40
2018/19,East Renfrewshire,75-84 years,Stays with Nursing Provision,145,60.4
2018/19,East Renfrewshire,75-84 years,Stays with no Nursing Provision,95,39.6
2018/19,East Renfrewshire,85+ years,Stays with Nursing Provision,225,46.9
2018/19,East Renfrewshire,85+ years,Stays with no Nursing Provision,255,53.1
2018/19,East Renfrewshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,East Renfrewshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Falkirk,All Ages,Stays with Nursing Provision,985,70.9
2018/19,Falkirk,All Ages,Stays with no Nursing Provision,405,29.1
2018/19,Falkirk,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Falkirk,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Falkirk,18-64 years,Stays with Nursing Provision,50,27
2018/19,Falkirk,18-64 years,Stays with no Nursing Provision,135,73
2018/19,Falkirk,65-74 years,Stays with Nursing Provision,120,66.7
2018/19,Falkirk,65-74 years,Stays with no Nursing Provision,60,33.3
2018/19,Falkirk,75-84 years,Stays with Nursing Provision,335,77.9
2018/19,Falkirk,75-84 years,Stays with no Nursing Provision,95,22.1
2018/19,Falkirk,85+ years,Stays with Nursing Provision,480,80
2018/19,Falkirk,85+ years,Stays with no Nursing Provision,120,20
2018/19,Falkirk,Unknown,Stays with Nursing Provision,0,NA
2018/19,Falkirk,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Fife,All Ages,Stays with Nursing Provision,1860,50
2018/19,Fife,All Ages,Stays with no Nursing Provision,1860,50
2018/19,Fife,0-17 years,Stays with Nursing Provision,0,0
2018/19,Fife,0-17 years,Stays with no Nursing Provision,5,100
2018/19,Fife,18-64 years,Stays with Nursing Provision,160,69.6
2018/19,Fife,18-64 years,Stays with no Nursing Provision,70,30.4
2018/19,Fife,65-74 years,Stays with Nursing Provision,250,60.2
2018/19,Fife,65-74 years,Stays with no Nursing Provision,165,39.8
2018/19,Fife,75-84 years,Stays with Nursing Provision,630,54.1
2018/19,Fife,75-84 years,Stays with no Nursing Provision,535,45.9
2018/19,Fife,85+ years,Stays with Nursing Provision,825,43.2
2018/19,Fife,85+ years,Stays with no Nursing Provision,1085,56.8
2018/19,Fife,Unknown,Stays with Nursing Provision,0,NA
2018/19,Fife,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Glasgow City,All Ages,Stays with Nursing Provision,2715,54.5
2018/19,Glasgow City,All Ages,Stays with no Nursing Provision,2270,45.5
2018/19,Glasgow City,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Glasgow City,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Glasgow City,18-64 years,Stays with Nursing Provision,315,39.6
2018/19,Glasgow City,18-64 years,Stays with no Nursing Provision,480,60.4
2018/19,Glasgow City,65-74 years,Stays with Nursing Provision,405,60.9
2018/19,Glasgow City,65-74 years,Stays with no Nursing Provision,260,39.1
2018/19,Glasgow City,75-84 years,Stays with Nursing Provision,860,58.3
2018/19,Glasgow City,75-84 years,Stays with no Nursing Provision,615,41.7
2018/19,Glasgow City,85+ years,Stays with Nursing Provision,1140,55.6
2018/19,Glasgow City,85+ years,Stays with no Nursing Provision,910,44.4
2018/19,Glasgow City,Unknown,Stays with Nursing Provision,0,NA
2018/19,Glasgow City,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Highland,All Ages,Stays with Nursing Provision,1055,45.8
2018/19,Highland,All Ages,Stays with no Nursing Provision,1250,54.2
2018/19,Highland,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Highland,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Highland,18-64 years,Stays with Nursing Provision,125,59.5
2018/19,Highland,18-64 years,Stays with no Nursing Provision,85,40.5
2018/19,Highland,65-74 years,Stays with Nursing Provision,145,63
2018/19,Highland,65-74 years,Stays with no Nursing Provision,85,37
2018/19,Highland,75-84 years,Stays with Nursing Provision,335,50.4
2018/19,Highland,75-84 years,Stays with no Nursing Provision,330,49.6
2018/19,Highland,85+ years,Stays with Nursing Provision,450,37.5
2018/19,Highland,85+ years,Stays with no Nursing Provision,750,62.5
2018/19,Highland,Unknown,Stays with Nursing Provision,0,NA
2018/19,Highland,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Inverclyde,All Ages,Stays with Nursing Provision,745,88.7
2018/19,Inverclyde,All Ages,Stays with no Nursing Provision,95,11.3
2018/19,Inverclyde,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Inverclyde,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Inverclyde,18-64 years,Stays with Nursing Provision,35,41.2
2018/19,Inverclyde,18-64 years,Stays with no Nursing Provision,50,58.8
2018/19,Inverclyde,65-74 years,Stays with Nursing Provision,80,88.9
2018/19,Inverclyde,65-74 years,Stays with no Nursing Provision,10,11.1
2018/19,Inverclyde,75-84 years,Stays with Nursing Provision,225,93.8
2018/19,Inverclyde,75-84 years,Stays with no Nursing Provision,15,6.2
2018/19,Inverclyde,85+ years,Stays with Nursing Provision,405,95.3
2018/19,Inverclyde,85+ years,Stays with no Nursing Provision,20,4.7
2018/19,Inverclyde,Unknown,Stays with Nursing Provision,0,NA
2018/19,Inverclyde,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Midlothian,All Ages,Stays with Nursing Provision,445,70.1
2018/19,Midlothian,All Ages,Stays with no Nursing Provision,190,29.9
2018/19,Midlothian,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Midlothian,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Midlothian,18-64 years,Stays with Nursing Provision,20,44.4
2018/19,Midlothian,18-64 years,Stays with no Nursing Provision,25,55.6
2018/19,Midlothian,65-74 years,Stays with Nursing Provision,50,71.4
2018/19,Midlothian,65-74 years,Stays with no Nursing Provision,20,28.6
2018/19,Midlothian,75-84 years,Stays with Nursing Provision,140,75.7
2018/19,Midlothian,75-84 years,Stays with no Nursing Provision,45,24.3
2018/19,Midlothian,85+ years,Stays with Nursing Provision,230,69.7
2018/19,Midlothian,85+ years,Stays with no Nursing Provision,100,30.3
2018/19,Midlothian,Unknown,Stays with Nursing Provision,0,NA
2018/19,Midlothian,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Moray,All Ages,Stays with Nursing Provision,240,31.2
2018/19,Moray,All Ages,Stays with no Nursing Provision,530,68.8
2018/19,Moray,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Moray,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Moray,18-64 years,Stays with Nursing Provision,25,26.3
2018/19,Moray,18-64 years,Stays with no Nursing Provision,70,73.7
2018/19,Moray,65-74 years,Stays with Nursing Provision,35,50
2018/19,Moray,65-74 years,Stays with no Nursing Provision,35,50
2018/19,Moray,75-84 years,Stays with Nursing Provision,80,36.4
2018/19,Moray,75-84 years,Stays with no Nursing Provision,140,63.6
2018/19,Moray,85+ years,Stays with Nursing Provision,105,26.9
2018/19,Moray,85+ years,Stays with no Nursing Provision,285,73.1
2018/19,Moray,Unknown,Stays with Nursing Provision,0,NA
2018/19,Moray,Unknown,Stays with no Nursing Provision,0,NA
2018/19,North Ayrshire,All Ages,Stays with Nursing Provision,700,64.2
2018/19,North Ayrshire,All Ages,Stays with no Nursing Provision,390,35.8
2018/19,North Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,North Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,North Ayrshire,18-64 years,Stays with Nursing Provision,40,40
2018/19,North Ayrshire,18-64 years,Stays with no Nursing Provision,60,60
2018/19,North Ayrshire,65-74 years,Stays with Nursing Provision,85,73.9
2018/19,North Ayrshire,65-74 years,Stays with no Nursing Provision,30,26.1
2018/19,North Ayrshire,75-84 years,Stays with Nursing Provision,260,71.2
2018/19,North Ayrshire,75-84 years,Stays with no Nursing Provision,105,28.8
2018/19,North Ayrshire,85+ years,Stays with Nursing Provision,310,61.4
2018/19,North Ayrshire,85+ years,Stays with no Nursing Provision,195,38.6
2018/19,North Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,North Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,North Lanarkshire,All Ages,Stays with Nursing Provision,1855,94.9
2018/19,North Lanarkshire,All Ages,Stays with no Nursing Provision,100,5.1
2018/19,North Lanarkshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,North Lanarkshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,North Lanarkshire,18-64 years,Stays with Nursing Provision,75,83.3
2018/19,North Lanarkshire,18-64 years,Stays with no Nursing Provision,15,16.7
2018/19,North Lanarkshire,65-74 years,Stays with Nursing Provision,220,95.7
2018/19,North Lanarkshire,65-74 years,Stays with no Nursing Provision,10,4.3
2018/19,North Lanarkshire,75-84 years,Stays with Nursing Provision,665,95.7
2018/19,North Lanarkshire,75-84 years,Stays with no Nursing Provision,30,4.3
2018/19,North Lanarkshire,85+ years,Stays with Nursing Provision,890,94.7
2018/19,North Lanarkshire,85+ years,Stays with no Nursing Provision,50,5.3
2018/19,North Lanarkshire,Unknown,Stays with Nursing Provision,0,NA
2018/19,North Lanarkshire,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Perth and Kinross,All Ages,Stays with Nursing Provision,960,59.3
2018/19,Perth and Kinross,All Ages,Stays with no Nursing Provision,660,40.7
2018/19,Perth and Kinross,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Perth and Kinross,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Perth and Kinross,18-64 years,Stays with Nursing Provision,60,41.4
2018/19,Perth and Kinross,18-64 years,Stays with no Nursing Provision,85,58.6
2018/19,Perth and Kinross,65-74 years,Stays with Nursing Provision,95,65.5
2018/19,Perth and Kinross,65-74 years,Stays with no Nursing Provision,50,34.5
2018/19,Perth and Kinross,75-84 years,Stays with Nursing Provision,295,67
2018/19,Perth and Kinross,75-84 years,Stays with no Nursing Provision,145,33
2018/19,Perth and Kinross,85+ years,Stays with Nursing Provision,515,57.2
2018/19,Perth and Kinross,85+ years,Stays with no Nursing Provision,385,42.8
2018/19,Perth and Kinross,Unknown,Stays with Nursing Provision,0,NA
2018/19,Perth and Kinross,Unknown,Stays with no Nursing Provision,0,NA
2018/19,Renfrewshire,All Ages,Stays with Nursing Provision,1055,67.6
2018/19,Renfrewshire,All Ages,Stays with no Nursing Provision,505,32.4
2018/19,Renfrewshire,0-17 years,Stays with Nursing Provision,0,NA
2018/19,Renfrewshire,0-17 years,Stays with no Nursing Provision,0,NA
2018/19,Renfrewshire,18-64 years,Stays with Nursing Provision,55,42.3
2018/19,Renfrewshire,18-64 years,Stays with no Nursing Provision,75,57.7
2018/19,Renfrewshire,65-74 years,Stays with Nursing Provision,130,72.2
2018/19,Renfrewshire,65-74 years,Stays with no Nursing Provision,50,27.8
2018/19,Renfrewshire,75-84 years,Stays with Nursing Provision,375,71.4
2018/19,Renfrewshire,75-84 years,Stays with no Nursing Provision,150,28.6
