financial_quarter,sending_location,age_group,measure,value,scotland_value,rate,scotland_rate
2018/19 Q1,West Dunbartonshire,85+ years,Emergency Admissions Bed Days,350,14495,1060.6,785.2
2018/19 Q1,West Dunbartonshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q1,West Dunbartonshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q1,West Dunbartonshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q1,West Lothian,All Ages,A&E Attendances,120,3670,134.1,101
2018/19 Q1,West Lothian,All Ages,Emergency Admissions,105,3225,117.3,88.4
2018/19 Q1,West Lothian,All Ages,Emergency Admissions Bed Days,2220,45325,2480.4,1246.9
2018/19 Q1,West Lothian,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q1,West Lothian,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q1,West Lothian,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q1,West Lothian,18-64 years,A&E Attendances,15,375,136.4,104.6
2018/19 Q1,West Lothian,18-64 years,Emergency Admissions,5,295,45.5,81.8
2018/19 Q1,West Lothian,18-64 years,Emergency Admissions Bed Days,835,8480,7590.9,2365.4
2018/19 Q1,West Lothian,65-74 years,A&E Attendances,15,430,176.5,113
2018/19 Q1,West Lothian,65-74 years,Emergency Admissions,10,405,117.6,106.2
2018/19 Q1,West Lothian,65-74 years,Emergency Admissions Bed Days,105,6195,1235.3,1628.1
2018/19 Q1,West Lothian,75-84 years,A&E Attendances,40,1055,137.9,101.1
2018/19 Q1,West Lothian,75-84 years,Emergency Admissions,35,1005,120.7,96
2018/19 Q1,West Lothian,75-84 years,Emergency Admissions Bed Days,440,16125,1517.2,1544.5
2018/19 Q1,West Lothian,85+ years,A&E Attendances,55,1805,134.1,97.8
2018/19 Q1,West Lothian,85+ years,Emergency Admissions,50,1515,122,81.8
2018/19 Q1,West Lothian,85+ years,Emergency Admissions Bed Days,840,14495,2048.8,785.2
2018/19 Q1,West Lothian,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q1,West Lothian,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q1,West Lothian,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Scotland (All Areas Submitted),All Ages,A&E Attendances,3830,3830,104.8,104.8
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Emergency Admissions,3280,3280,89.4,89.4
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Emergency Admissions Bed Days,52255,52255,1430.5,1430.5
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,A&E Attendances,10,10,166.7,166.7
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Emergency Admissions,5,5,83.3,83.3
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Emergency Admissions Bed Days,40,40,666.7,666.7
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,A&E Attendances,405,405,111.3,111.3
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,320,320,87.4,87.4
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Emergency Admissions Bed Days,5465,5465,1501.4,1501.4
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,A&E Attendances,405,405,103.6,103.6
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Emergency Admissions,405,405,103.3,103.3
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Emergency Admissions Bed Days,8620,8620,2204.6,2204.6
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,A&E Attendances,1125,1125,104.7,104.7
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Emergency Admissions,1010,1010,93.7,93.7
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Emergency Admissions Bed Days,19030,19030,1771.9,1771.9
2018/19 Q2,Scotland (All Areas Submitted),85+ years,A&E Attendances,1880,1880,103.4,103.4
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Emergency Admissions,1545,1545,84.6,84.6
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Emergency Admissions Bed Days,19095,19095,1050.3,1050.3
2018/19 Q2,Scotland (All Areas Submitted),Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Aberdeen City,All Ages,A&E Attendances,115,3830,67.3,104.8
2018/19 Q2,Aberdeen City,All Ages,Emergency Admissions,120,3280,70.2,89.4
2018/19 Q2,Aberdeen City,All Ages,Emergency Admissions Bed Days,1825,52255,1067.3,1430.5
2018/19 Q2,Aberdeen City,0-17 years,A&E Attendances,10,10,181.8,166.7
2018/19 Q2,Aberdeen City,0-17 years,Emergency Admissions,5,5,90.9,83.3
2018/19 Q2,Aberdeen City,0-17 years,Emergency Admissions Bed Days,40,40,727.3,666.7
2018/19 Q2,Aberdeen City,18-64 years,A&E Attendances,20,405,74.1,111.3
2018/19 Q2,Aberdeen City,18-64 years,Emergency Admissions,20,320,74.1,87.4
2018/19 Q2,Aberdeen City,18-64 years,Emergency Admissions Bed Days,375,5465,1388.9,1501.4
2018/19 Q2,Aberdeen City,65-74 years,A&E Attendances,10,405,52.6,103.6
2018/19 Q2,Aberdeen City,65-74 years,Emergency Admissions,20,405,105.3,103.3
2018/19 Q2,Aberdeen City,65-74 years,Emergency Admissions Bed Days,400,8620,2105.3,2204.6
2018/19 Q2,Aberdeen City,75-84 years,A&E Attendances,30,1125,68.2,104.7
2018/19 Q2,Aberdeen City,75-84 years,Emergency Admissions,35,1010,79.5,93.7
2018/19 Q2,Aberdeen City,75-84 years,Emergency Admissions Bed Days,450,19030,1022.7,1771.9
2018/19 Q2,Aberdeen City,85+ years,A&E Attendances,50,1880,66.2,103.4
2018/19 Q2,Aberdeen City,85+ years,Emergency Admissions,45,1545,59.6,84.6
2018/19 Q2,Aberdeen City,85+ years,Emergency Admissions Bed Days,560,19095,741.7,1050.3
2018/19 Q2,Aberdeen City,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Aberdeen City,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Aberdeen City,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Aberdeenshire,All Ages,A&E Attendances,80,3830,44.1,104.8
2018/19 Q2,Aberdeenshire,All Ages,Emergency Admissions,110,3280,60.4,89.4
2018/19 Q2,Aberdeenshire,All Ages,Emergency Admissions Bed Days,1565,52255,862.3,1430.5
2018/19 Q2,Aberdeenshire,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Aberdeenshire,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Aberdeenshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Aberdeenshire,18-64 years,A&E Attendances,10,405,51.3,111.3
2018/19 Q2,Aberdeenshire,18-64 years,Emergency Admissions,10,320,50,87.4
2018/19 Q2,Aberdeenshire,18-64 years,Emergency Admissions Bed Days,75,5465,384.6,1501.4
2018/19 Q2,Aberdeenshire,65-74 years,A&E Attendances,10,405,55.6,103.6
2018/19 Q2,Aberdeenshire,65-74 years,Emergency Admissions,10,405,55.6,103.3
2018/19 Q2,Aberdeenshire,65-74 years,Emergency Admissions Bed Days,125,8620,694.4,2204.6
2018/19 Q2,Aberdeenshire,75-84 years,A&E Attendances,20,1125,39.2,104.7
2018/19 Q2,Aberdeenshire,75-84 years,Emergency Admissions,30,1010,58.8,93.7
2018/19 Q2,Aberdeenshire,75-84 years,Emergency Admissions Bed Days,775,19030,1519.6,1771.9
2018/19 Q2,Aberdeenshire,85+ years,A&E Attendances,40,1880,43,103.4
2018/19 Q2,Aberdeenshire,85+ years,Emergency Admissions,55,1545,59.1,84.6
2018/19 Q2,Aberdeenshire,85+ years,Emergency Admissions Bed Days,585,19095,629,1050.3
2018/19 Q2,Aberdeenshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Aberdeenshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Aberdeenshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Angus,All Ages,A&E Attendances,60,3830,59.4,104.8
2018/19 Q2,Angus,All Ages,Emergency Admissions,80,3280,78.8,89.4
2018/19 Q2,Angus,All Ages,Emergency Admissions Bed Days,2205,52255,2183.2,1430.5
2018/19 Q2,Angus,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Angus,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Angus,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Angus,18-64 years,A&E Attendances,5,405,58.8,111.3
2018/19 Q2,Angus,18-64 years,Emergency Admissions,5,320,55.6,87.4
2018/19 Q2,Angus,18-64 years,Emergency Admissions Bed Days,45,5465,529.4,1501.4
2018/19 Q2,Angus,65-74 years,A&E Attendances,5,405,55.6,103.6
2018/19 Q2,Angus,65-74 years,Emergency Admissions,10,405,105.3,103.3
2018/19 Q2,Angus,65-74 years,Emergency Admissions Bed Days,430,8620,4777.8,2204.6
2018/19 Q2,Angus,75-84 years,A&E Attendances,15,1125,56.6,104.7
2018/19 Q2,Angus,75-84 years,Emergency Admissions,20,1010,75.5,93.7
2018/19 Q2,Angus,75-84 years,Emergency Admissions Bed Days,1405,19030,5301.9,1771.9
2018/19 Q2,Angus,85+ years,A&E Attendances,35,1880,61.9,103.4
2018/19 Q2,Angus,85+ years,Emergency Admissions,50,1545,88.5,84.6
2018/19 Q2,Angus,85+ years,Emergency Admissions Bed Days,320,19095,566.4,1050.3
2018/19 Q2,Angus,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Angus,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Angus,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Argyll and Bute,All Ages,A&E Attendances,50,3830,77.5,104.8
2018/19 Q2,Argyll and Bute,All Ages,Emergency Admissions,50,3280,77.5,89.4
2018/19 Q2,Argyll and Bute,All Ages,Emergency Admissions Bed Days,600,52255,930.2,1430.5
2018/19 Q2,Argyll and Bute,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Argyll and Bute,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Argyll and Bute,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Argyll and Bute,18-64 years,A&E Attendances,5,405,90.9,111.3
2018/19 Q2,Argyll and Bute,18-64 years,Emergency Admissions,0,320,0,87.4
2018/19 Q2,Argyll and Bute,18-64 years,Emergency Admissions Bed Days,20,5465,363.6,1501.4
2018/19 Q2,Argyll and Bute,65-74 years,A&E Attendances,10,405,133.3,103.6
2018/19 Q2,Argyll and Bute,65-74 years,Emergency Admissions,5,405,66.7,103.3
2018/19 Q2,Argyll and Bute,65-74 years,Emergency Admissions Bed Days,155,8620,2066.7,2204.6
2018/19 Q2,Argyll and Bute,75-84 years,A&E Attendances,10,1125,54.1,104.7
2018/19 Q2,Argyll and Bute,75-84 years,Emergency Admissions,15,1010,81.1,93.7
2018/19 Q2,Argyll and Bute,75-84 years,Emergency Admissions Bed Days,115,19030,621.6,1771.9
2018/19 Q2,Argyll and Bute,85+ years,A&E Attendances,30,1880,90.9,103.4
2018/19 Q2,Argyll and Bute,85+ years,Emergency Admissions,30,1545,90.9,84.6
2018/19 Q2,Argyll and Bute,85+ years,Emergency Admissions Bed Days,305,19095,924.2,1050.3
2018/19 Q2,Argyll and Bute,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Argyll and Bute,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Argyll and Bute,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,City of Edinburgh,All Ages,A&E Attendances,330,3830,111.3,104.8
2018/19 Q2,City of Edinburgh,All Ages,Emergency Admissions,210,3280,70.8,89.4
2018/19 Q2,City of Edinburgh,All Ages,Emergency Admissions Bed Days,3790,52255,1278.2,1430.5
2018/19 Q2,City of Edinburgh,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,City of Edinburgh,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,City of Edinburgh,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,City of Edinburgh,18-64 years,A&E Attendances,35,405,142.9,111.3
2018/19 Q2,City of Edinburgh,18-64 years,Emergency Admissions,25,320,102,87.4
2018/19 Q2,City of Edinburgh,18-64 years,Emergency Admissions Bed Days,300,5465,1224.5,1501.4
2018/19 Q2,City of Edinburgh,65-74 years,A&E Attendances,25,405,87.7,103.6
2018/19 Q2,City of Edinburgh,65-74 years,Emergency Admissions,25,405,87.7,103.3
2018/19 Q2,City of Edinburgh,65-74 years,Emergency Admissions Bed Days,1300,8620,4561.4,2204.6
2018/19 Q2,City of Edinburgh,75-84 years,A&E Attendances,80,1125,100,104.7
2018/19 Q2,City of Edinburgh,75-84 years,Emergency Admissions,50,1010,62.5,93.7
2018/19 Q2,City of Edinburgh,75-84 years,Emergency Admissions Bed Days,720,19030,900,1771.9
2018/19 Q2,City of Edinburgh,85+ years,A&E Attendances,190,1880,116.2,103.4
2018/19 Q2,City of Edinburgh,85+ years,Emergency Admissions,115,1545,70.3,84.6
2018/19 Q2,City of Edinburgh,85+ years,Emergency Admissions Bed Days,1465,19095,896,1050.3
2018/19 Q2,City of Edinburgh,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,City of Edinburgh,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,City of Edinburgh,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Clackmannanshire,All Ages,A&E Attendances,15,3830,48.4,104.8
2018/19 Q2,Clackmannanshire,All Ages,Emergency Admissions,15,3280,48.4,89.4
2018/19 Q2,Clackmannanshire,All Ages,Emergency Admissions Bed Days,285,52255,919.4,1430.5
2018/19 Q2,Clackmannanshire,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Clackmannanshire,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Clackmannanshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Clackmannanshire,18-64 years,A&E Attendances,0,405,0,111.3
2018/19 Q2,Clackmannanshire,18-64 years,Emergency Admissions,5,320,76.9,87.4
2018/19 Q2,Clackmannanshire,18-64 years,Emergency Admissions Bed Days,30,5465,461.5,1501.4
2018/19 Q2,Clackmannanshire,65-74 years,A&E Attendances,0,405,0,103.6
2018/19 Q2,Clackmannanshire,65-74 years,Emergency Admissions,0,405,0,103.3
2018/19 Q2,Clackmannanshire,65-74 years,Emergency Admissions Bed Days,100,8620,2857.1,2204.6
2018/19 Q2,Clackmannanshire,75-84 years,A&E Attendances,5,1125,58.8,104.7
2018/19 Q2,Clackmannanshire,75-84 years,Emergency Admissions,5,1010,58.8,93.7
2018/19 Q2,Clackmannanshire,75-84 years,Emergency Admissions Bed Days,45,19030,529.4,1771.9
2018/19 Q2,Clackmannanshire,85+ years,A&E Attendances,5,1880,41.7,103.4
2018/19 Q2,Clackmannanshire,85+ years,Emergency Admissions,10,1545,83.3,84.6
2018/19 Q2,Clackmannanshire,85+ years,Emergency Admissions Bed Days,110,19095,916.7,1050.3
2018/19 Q2,Clackmannanshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Clackmannanshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Clackmannanshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,All Ages,A&E Attendances,130,3830,112.6,104.8
2018/19 Q2,Dumfries and Galloway,All Ages,Emergency Admissions,120,3280,103.9,89.4
2018/19 Q2,Dumfries and Galloway,All Ages,Emergency Admissions Bed Days,1810,52255,1567.1,1430.5
2018/19 Q2,Dumfries and Galloway,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,18-64 years,A&E Attendances,10,405,153.8,111.3
2018/19 Q2,Dumfries and Galloway,18-64 years,Emergency Admissions,5,320,76.9,87.4
2018/19 Q2,Dumfries and Galloway,18-64 years,Emergency Admissions Bed Days,85,5465,1307.7,1501.4
2018/19 Q2,Dumfries and Galloway,65-74 years,A&E Attendances,10,405,90.9,103.6
2018/19 Q2,Dumfries and Galloway,65-74 years,Emergency Admissions,15,405,136.4,103.3
2018/19 Q2,Dumfries and Galloway,65-74 years,Emergency Admissions Bed Days,500,8620,4545.5,2204.6
2018/19 Q2,Dumfries and Galloway,75-84 years,A&E Attendances,40,1125,121.2,104.7
2018/19 Q2,Dumfries and Galloway,75-84 years,Emergency Admissions,40,1010,121.2,93.7
2018/19 Q2,Dumfries and Galloway,75-84 years,Emergency Admissions Bed Days,530,19030,1606.1,1771.9
2018/19 Q2,Dumfries and Galloway,85+ years,A&E Attendances,65,1880,99.2,103.4
2018/19 Q2,Dumfries and Galloway,85+ years,Emergency Admissions,60,1545,91.6,84.6
2018/19 Q2,Dumfries and Galloway,85+ years,Emergency Admissions Bed Days,695,19095,1061.1,1050.3
2018/19 Q2,Dumfries and Galloway,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Dumfries and Galloway,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Dundee City,All Ages,A&E Attendances,70,3830,59.3,104.8
2018/19 Q2,Dundee City,All Ages,Emergency Admissions,80,3280,67.8,89.4
2018/19 Q2,Dundee City,All Ages,Emergency Admissions Bed Days,1205,52255,1021.2,1430.5
2018/19 Q2,Dundee City,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Dundee City,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Dundee City,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Dundee City,18-64 years,A&E Attendances,5,405,50,111.3
2018/19 Q2,Dundee City,18-64 years,Emergency Admissions,10,320,100,87.4
2018/19 Q2,Dundee City,18-64 years,Emergency Admissions Bed Days,45,5465,450,1501.4
2018/19 Q2,Dundee City,65-74 years,A&E Attendances,5,405,41.7,103.6
2018/19 Q2,Dundee City,65-74 years,Emergency Admissions,10,405,83.3,103.3
2018/19 Q2,Dundee City,65-74 years,Emergency Admissions Bed Days,100,8620,833.3,2204.6
2018/19 Q2,Dundee City,75-84 years,A&E Attendances,15,1125,42.3,104.7
2018/19 Q2,Dundee City,75-84 years,Emergency Admissions,20,1010,56.3,93.7
2018/19 Q2,Dundee City,75-84 years,Emergency Admissions Bed Days,335,19030,943.7,1771.9
2018/19 Q2,Dundee City,85+ years,A&E Attendances,45,1880,74.4,103.4
2018/19 Q2,Dundee City,85+ years,Emergency Admissions,45,1545,74.4,84.6
2018/19 Q2,Dundee City,85+ years,Emergency Admissions Bed Days,720,19095,1190.1,1050.3
2018/19 Q2,Dundee City,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,Dundee City,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Dundee City,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Ayrshire,All Ages,A&E Attendances,80,3830,100.6,104.8
2018/19 Q2,East Ayrshire,All Ages,Emergency Admissions,90,3280,113.2,89.4
2018/19 Q2,East Ayrshire,All Ages,Emergency Admissions Bed Days,2070,52255,2603.8,1430.5
2018/19 Q2,East Ayrshire,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Ayrshire,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Ayrshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Ayrshire,18-64 years,A&E Attendances,10,405,153.8,111.3
2018/19 Q2,East Ayrshire,18-64 years,Emergency Admissions,10,320,153.8,87.4
2018/19 Q2,East Ayrshire,18-64 years,Emergency Admissions Bed Days,65,5465,1000,1501.4
2018/19 Q2,East Ayrshire,65-74 years,A&E Attendances,10,405,117.6,103.6
2018/19 Q2,East Ayrshire,65-74 years,Emergency Admissions,10,405,117.6,103.3
2018/19 Q2,East Ayrshire,65-74 years,Emergency Admissions Bed Days,115,8620,1352.9,2204.6
2018/19 Q2,East Ayrshire,75-84 years,A&E Attendances,25,1125,94.3,104.7
2018/19 Q2,East Ayrshire,75-84 years,Emergency Admissions,35,1010,132.1,93.7
2018/19 Q2,East Ayrshire,75-84 years,Emergency Admissions Bed Days,1440,19030,5434,1771.9
2018/19 Q2,East Ayrshire,85+ years,A&E Attendances,40,1880,105.3,103.4
2018/19 Q2,East Ayrshire,85+ years,Emergency Admissions,40,1545,105.3,84.6
2018/19 Q2,East Ayrshire,85+ years,Emergency Admissions Bed Days,455,19095,1197.4,1050.3
2018/19 Q2,East Ayrshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Ayrshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Ayrshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,All Ages,A&E Attendances,95,3830,110.5,104.8
2018/19 Q2,East Dunbartonshire,All Ages,Emergency Admissions,90,3280,104.7,89.4
2018/19 Q2,East Dunbartonshire,All Ages,Emergency Admissions Bed Days,1185,52255,1377.9,1430.5
2018/19 Q2,East Dunbartonshire,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,18-64 years,A&E Attendances,10,405,250,111.3
2018/19 Q2,East Dunbartonshire,18-64 years,Emergency Admissions,5,320,125,87.4
2018/19 Q2,East Dunbartonshire,18-64 years,Emergency Admissions Bed Days,120,5465,3000,1501.4
2018/19 Q2,East Dunbartonshire,65-74 years,A&E Attendances,10,405,142.9,103.6
2018/19 Q2,East Dunbartonshire,65-74 years,Emergency Admissions,10,405,142.9,103.3
2018/19 Q2,East Dunbartonshire,65-74 years,Emergency Admissions Bed Days,195,8620,2785.7,2204.6
2018/19 Q2,East Dunbartonshire,75-84 years,A&E Attendances,30,1125,122.4,104.7
2018/19 Q2,East Dunbartonshire,75-84 years,Emergency Admissions,30,1010,122.4,93.7
2018/19 Q2,East Dunbartonshire,75-84 years,Emergency Admissions Bed Days,405,19030,1653.1,1771.9
2018/19 Q2,East Dunbartonshire,85+ years,A&E Attendances,45,1880,89.1,103.4
2018/19 Q2,East Dunbartonshire,85+ years,Emergency Admissions,40,1545,79.2,84.6
2018/19 Q2,East Dunbartonshire,85+ years,Emergency Admissions Bed Days,465,19095,920.8,1050.3
2018/19 Q2,East Dunbartonshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Dunbartonshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Lothian,All Ages,A&E Attendances,75,3830,105.6,104.8
2018/19 Q2,East Lothian,All Ages,Emergency Admissions,65,3280,91.5,89.4
2018/19 Q2,East Lothian,All Ages,Emergency Admissions Bed Days,1625,52255,2288.7,1430.5
2018/19 Q2,East Lothian,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Lothian,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Lothian,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Lothian,18-64 years,A&E Attendances,5,405,100,111.3
2018/19 Q2,East Lothian,18-64 years,Emergency Admissions,5,320,100,87.4
2018/19 Q2,East Lothian,18-64 years,Emergency Admissions Bed Days,655,5465,13100,1501.4
2018/19 Q2,East Lothian,65-74 years,A&E Attendances,10,405,153.8,103.6
2018/19 Q2,East Lothian,65-74 years,Emergency Admissions,10,405,153.8,103.3
2018/19 Q2,East Lothian,65-74 years,Emergency Admissions Bed Days,155,8620,2384.6,2204.6
2018/19 Q2,East Lothian,75-84 years,A&E Attendances,20,1125,95.2,104.7
2018/19 Q2,East Lothian,75-84 years,Emergency Admissions,20,1010,95.2,93.7
2018/19 Q2,East Lothian,75-84 years,Emergency Admissions Bed Days,405,19030,1928.6,1771.9
2018/19 Q2,East Lothian,85+ years,A&E Attendances,45,1880,118.4,103.4
2018/19 Q2,East Lothian,85+ years,Emergency Admissions,30,1545,78.9,84.6
2018/19 Q2,East Lothian,85+ years,Emergency Admissions Bed Days,415,19095,1092.1,1050.3
2018/19 Q2,East Lothian,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Lothian,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Lothian,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Renfrewshire,All Ages,A&E Attendances,65,3830,110.2,104.8
2018/19 Q2,East Renfrewshire,All Ages,Emergency Admissions,40,3280,67.8,89.4
2018/19 Q2,East Renfrewshire,All Ages,Emergency Admissions Bed Days,670,52255,1135.6,1430.5
2018/19 Q2,East Renfrewshire,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Renfrewshire,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Renfrewshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Renfrewshire,18-64 years,A&E Attendances,5,405,166.7,111.3
2018/19 Q2,East Renfrewshire,18-64 years,Emergency Admissions,5,320,166.7,87.4
2018/19 Q2,East Renfrewshire,18-64 years,Emergency Admissions Bed Days,55,5465,1833.3,1501.4
2018/19 Q2,East Renfrewshire,65-74 years,A&E Attendances,0,405,0,103.6
2018/19 Q2,East Renfrewshire,65-74 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Renfrewshire,65-74 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,East Renfrewshire,75-84 years,A&E Attendances,15,1125,90.9,104.7
2018/19 Q2,East Renfrewshire,75-84 years,Emergency Admissions,10,1010,60.6,93.7
2018/19 Q2,East Renfrewshire,75-84 years,Emergency Admissions Bed Days,175,19030,1060.6,1771.9
2018/19 Q2,East Renfrewshire,85+ years,A&E Attendances,40,1880,112.7,103.4
2018/19 Q2,East Renfrewshire,85+ years,Emergency Admissions,20,1545,56.3,84.6
2018/19 Q2,East Renfrewshire,85+ years,Emergency Admissions Bed Days,440,19095,1239.4,1050.3
2018/19 Q2,East Renfrewshire,Unknown,A&E Attendances,0,0,NA,NA
2018/19 Q2,East Renfrewshire,Unknown,Emergency Admissions,0,0,NA,NA
2018/19 Q2,East Renfrewshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Falkirk,All Ages,A&E Attendances,100,3830,87,104.8
2018/19 Q2,Falkirk,All Ages,Emergency Admissions,85,3280,73.9,89.4
2018/19 Q2,Falkirk,All Ages,Emergency Admissions Bed Days,2340,52255,2034.8,1430.5
2018/19 Q2,Falkirk,0-17 years,A&E Attendances,0,0,NA,NA
2018/19 Q2,Falkirk,0-17 years,Emergency Admissions,0,0,NA,NA
2018/19 Q2,Falkirk,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2018/19 Q2,Falkirk,18-64 years,A&E Attendances,10,405,57.1,111.3
2018/19 Q2,Falkirk,18-64 years,Emergency Admissions,10,320,57.1,87.4
