financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2018/19,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,4830,4830
2018/19,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",46.5,46.5
2018/19,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,15415,15415
2018/19,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.6,8.6
2018/19,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,2840,2840
2018/19,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",41.3,41.3
2018/19,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,13690,13690
2018/19,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",203.3,203.3
2018/19,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,25085,25085
2018/19,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",28.4,28.4
2018/19,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,3505,3505
2018/19,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",186.7,186.7
2018/19,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,23030,23030
2018/19,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA,NA
2018/19,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,20,20
2018/19,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",NA,NA
2018/19,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,5,5
2018/19,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA,NA
2018/19,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,15,15
2018/19,Aberdeen City,All Ages,All Stays,"Rate per 1,000 People",11.4,9.5
2018/19,Aberdeen City,All Ages,All Stays,Number of People,2600,51745
2018/19,Aberdeen City,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.9,1.7
2018/19,Aberdeen City,All Ages,Short Stay / Respite,Number of People,665,9090
2018/19,Aberdeen City,All Ages,Long Stay,"Rate per 1,000 People",9.2,8.4
2018/19,Aberdeen City,All Ages,Long Stay,Number of People,2100,45865
2018/19,Aberdeen City,0-17 years,All Stays,"Rate per 1,000 People",2.3,0.1
2018/19,Aberdeen City,0-17 years,All Stays,Number of People,90,125
2018/19,Aberdeen City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0.7,0
2018/19,Aberdeen City,0-17 years,Short Stay / Respite,Number of People,25,50
2018/19,Aberdeen City,0-17 years,Long Stay,"Rate per 1,000 People",1.7,0.1
2018/19,Aberdeen City,0-17 years,Long Stay,Number of People,65,80
2018/19,Aberdeen City,18-64 years,All Stays,"Rate per 1,000 People",2.8,1.7
2018/19,Aberdeen City,18-64 years,All Stays,Number of People,430,5585
2018/19,Aberdeen City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.9,0.5
2018/19,Aberdeen City,18-64 years,Short Stay / Respite,Number of People,140,1665
2018/19,Aberdeen City,18-64 years,Long Stay,"Rate per 1,000 People",2,1.3
2018/19,Aberdeen City,18-64 years,Long Stay,Number of People,305,4230
2018/19,Aberdeen City,65-74 years,All Stays,"Rate per 1,000 People",14.5,9.7
2018/19,Aberdeen City,65-74 years,All Stays,Number of People,280,5520
2018/19,Aberdeen City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",3.4,1.8
2018/19,Aberdeen City,65-74 years,Short Stay / Respite,Number of People,65,1025
2018/19,Aberdeen City,65-74 years,Long Stay,"Rate per 1,000 People",11.9,8.5
2018/19,Aberdeen City,65-74 years,Long Stay,Number of People,230,4830
2018/19,Aberdeen City,75-84 years,All Stays,"Rate per 1,000 People",60.1,46.5
2018/19,Aberdeen City,75-84 years,All Stays,Number of People,695,15415
2018/19,Aberdeen City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",17.7,8.6
2018/19,Aberdeen City,75-84 years,Short Stay / Respite,Number of People,205,2840
2018/19,Aberdeen City,75-84 years,Long Stay,"Rate per 1,000 People",47.2,41.3
2018/19,Aberdeen City,75-84 years,Long Stay,Number of People,545,13690
2018/19,Aberdeen City,85+ years,All Stays,"Rate per 1,000 People",237.2,203.3
2018/19,Aberdeen City,85+ years,All Stays,Number of People,1110,25085
2018/19,Aberdeen City,85+ years,Short Stay / Respite,"Rate per 1,000 People",50.2,28.4
2018/19,Aberdeen City,85+ years,Short Stay / Respite,Number of People,235,3505
2018/19,Aberdeen City,85+ years,Long Stay,"Rate per 1,000 People",204.1,186.7
2018/19,Aberdeen City,85+ years,Long Stay,Number of People,955,23030
2018/19,Aberdeenshire,All Ages,All Stays,"Rate per 1,000 People",10.3,9.5
2018/19,Aberdeenshire,All Ages,All Stays,Number of People,2700,51745
2018/19,Aberdeenshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.7,1.7
2018/19,Aberdeenshire,All Ages,Short Stay / Respite,Number of People,695,9090
2018/19,Aberdeenshire,All Ages,Long Stay,"Rate per 1,000 People",8.6,8.4
2018/19,Aberdeenshire,All Ages,Long Stay,Number of People,2260,45865
2018/19,Aberdeenshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Aberdeenshire,0-17 years,All Stays,Number of People,0,125
2018/19,Aberdeenshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Aberdeenshire,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Aberdeenshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Aberdeenshire,0-17 years,Long Stay,Number of People,0,80
2018/19,Aberdeenshire,18-64 years,All Stays,"Rate per 1,000 People",2,1.7
2018/19,Aberdeenshire,18-64 years,All Stays,Number of People,310,5585
2018/19,Aberdeenshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.6,0.5
2018/19,Aberdeenshire,18-64 years,Short Stay / Respite,Number of People,100,1665
2018/19,Aberdeenshire,18-64 years,Long Stay,"Rate per 1,000 People",1.5,1.3
2018/19,Aberdeenshire,18-64 years,Long Stay,Number of People,235,4230
2018/19,Aberdeenshire,65-74 years,All Stays,"Rate per 1,000 People",9.4,9.7
2018/19,Aberdeenshire,65-74 years,All Stays,Number of People,270,5520
2018/19,Aberdeenshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.4,1.8
2018/19,Aberdeenshire,65-74 years,Short Stay / Respite,Number of People,70,1025
2018/19,Aberdeenshire,65-74 years,Long Stay,"Rate per 1,000 People",7.8,8.5
2018/19,Aberdeenshire,65-74 years,Long Stay,Number of People,225,4830
2018/19,Aberdeenshire,75-84 years,All Stays,"Rate per 1,000 People",51.9,46.5
2018/19,Aberdeenshire,75-84 years,All Stays,Number of People,800,15415
2018/19,Aberdeenshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",15.2,8.6
2018/19,Aberdeenshire,75-84 years,Short Stay / Respite,Number of People,235,2840
2018/19,Aberdeenshire,75-84 years,Long Stay,"Rate per 1,000 People",42.1,41.3
2018/19,Aberdeenshire,75-84 years,Long Stay,Number of People,650,13690
2018/19,Aberdeenshire,85+ years,All Stays,"Rate per 1,000 People",236.3,203.3
2018/19,Aberdeenshire,85+ years,All Stays,Number of People,1315,25085
2018/19,Aberdeenshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",52.1,28.4
2018/19,Aberdeenshire,85+ years,Short Stay / Respite,Number of People,290,3505
2018/19,Aberdeenshire,85+ years,Long Stay,"Rate per 1,000 People",206.6,186.7
2018/19,Aberdeenshire,85+ years,Long Stay,Number of People,1150,23030
2018/19,Angus,All Ages,All Stays,"Rate per 1,000 People",14,9.5
2018/19,Angus,All Ages,All Stays,Number of People,1620,51745
2018/19,Angus,All Ages,Short Stay / Respite,"Rate per 1,000 People",4.8,1.7
2018/19,Angus,All Ages,Short Stay / Respite,Number of People,560,9090
2018/19,Angus,All Ages,Long Stay,"Rate per 1,000 People",11.1,8.4
2018/19,Angus,All Ages,Long Stay,Number of People,1285,45865
2018/19,Angus,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Angus,0-17 years,All Stays,Number of People,0,125
2018/19,Angus,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Angus,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Angus,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Angus,0-17 years,Long Stay,Number of People,0,80
2018/19,Angus,18-64 years,All Stays,"Rate per 1,000 People",2.2,1.7
2018/19,Angus,18-64 years,All Stays,Number of People,145,5585
2018/19,Angus,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.9,0.5
2018/19,Angus,18-64 years,Short Stay / Respite,Number of People,60,1665
2018/19,Angus,18-64 years,Long Stay,"Rate per 1,000 People",1.4,1.3
2018/19,Angus,18-64 years,Long Stay,Number of People,95,4230
2018/19,Angus,65-74 years,All Stays,"Rate per 1,000 People",11.2,9.7
2018/19,Angus,65-74 years,All Stays,Number of People,170,5520
2018/19,Angus,65-74 years,Short Stay / Respite,"Rate per 1,000 People",5.3,1.8
2018/19,Angus,65-74 years,Short Stay / Respite,Number of People,80,1025
2018/19,Angus,65-74 years,Long Stay,"Rate per 1,000 People",7.6,8.5
2018/19,Angus,65-74 years,Long Stay,Number of People,115,4830
2018/19,Angus,75-84 years,All Stays,"Rate per 1,000 People",50.5,46.5
2018/19,Angus,75-84 years,All Stays,Number of People,440,15415
2018/19,Angus,75-84 years,Short Stay / Respite,"Rate per 1,000 People",19.5,8.6
2018/19,Angus,75-84 years,Short Stay / Respite,Number of People,170,2840
2018/19,Angus,75-84 years,Long Stay,"Rate per 1,000 People",40.2,41.3
2018/19,Angus,75-84 years,Long Stay,Number of People,350,13690
2018/19,Angus,85+ years,All Stays,"Rate per 1,000 People",249.9,203.3
2018/19,Angus,85+ years,All Stays,Number of People,865,25085
2018/19,Angus,85+ years,Short Stay / Respite,"Rate per 1,000 People",73.7,28.4
2018/19,Angus,85+ years,Short Stay / Respite,Number of People,255,3505
2018/19,Angus,85+ years,Long Stay,"Rate per 1,000 People",209.5,186.7
2018/19,Angus,85+ years,Long Stay,Number of People,725,23030
2018/19,Argyll and Bute,All Ages,All Stays,"Rate per 1,000 People",10.3,9.5
2018/19,Argyll and Bute,All Ages,All Stays,Number of People,885,51745
2018/19,Argyll and Bute,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.2,1.7
2018/19,Argyll and Bute,All Ages,Short Stay / Respite,Number of People,100,9090
2018/19,Argyll and Bute,All Ages,Long Stay,"Rate per 1,000 People",9.6,8.4
2018/19,Argyll and Bute,All Ages,Long Stay,Number of People,830,45865
2018/19,Argyll and Bute,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Argyll and Bute,0-17 years,All Stays,Number of People,0,125
2018/19,Argyll and Bute,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Argyll and Bute,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Argyll and Bute,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Argyll and Bute,0-17 years,Long Stay,Number of People,0,80
2018/19,Argyll and Bute,18-64 years,All Stays,"Rate per 1,000 People",1.4,1.7
2018/19,Argyll and Bute,18-64 years,All Stays,Number of People,70,5585
2018/19,Argyll and Bute,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.5
2018/19,Argyll and Bute,18-64 years,Short Stay / Respite,Number of People,10,1665
2018/19,Argyll and Bute,18-64 years,Long Stay,"Rate per 1,000 People",1.3,1.3
2018/19,Argyll and Bute,18-64 years,Long Stay,Number of People,65,4230
2018/19,Argyll and Bute,65-74 years,All Stays,"Rate per 1,000 People",7.7,9.7
2018/19,Argyll and Bute,65-74 years,All Stays,Number of People,95,5520
2018/19,Argyll and Bute,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,1.8
2018/19,Argyll and Bute,65-74 years,Short Stay / Respite,Number of People,10,1025
2018/19,Argyll and Bute,65-74 years,Long Stay,"Rate per 1,000 People",7.3,8.5
2018/19,Argyll and Bute,65-74 years,Long Stay,Number of People,90,4830
2018/19,Argyll and Bute,75-84 years,All Stays,"Rate per 1,000 People",37.1,46.5
2018/19,Argyll and Bute,75-84 years,All Stays,Number of People,265,15415
2018/19,Argyll and Bute,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5.6,8.6
2018/19,Argyll and Bute,75-84 years,Short Stay / Respite,Number of People,40,2840
2018/19,Argyll and Bute,75-84 years,Long Stay,"Rate per 1,000 People",34.3,41.3
2018/19,Argyll and Bute,75-84 years,Long Stay,Number of People,245,13690
2018/19,Argyll and Bute,85+ years,All Stays,"Rate per 1,000 People",180.4,203.3
2018/19,Argyll and Bute,85+ years,All Stays,Number of People,450,25085
2018/19,Argyll and Bute,85+ years,Short Stay / Respite,"Rate per 1,000 People",16,28.4
2018/19,Argyll and Bute,85+ years,Short Stay / Respite,Number of People,40,3505
2018/19,Argyll and Bute,85+ years,Long Stay,"Rate per 1,000 People",170.4,186.7
2018/19,Argyll and Bute,85+ years,Long Stay,Number of People,425,23030
2018/19,City of Edinburgh,All Ages,All Stays,"Rate per 1,000 People",7.5,9.5
2018/19,City of Edinburgh,All Ages,All Stays,Number of People,3885,51745
2018/19,City of Edinburgh,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,1.7
2018/19,City of Edinburgh,All Ages,Short Stay / Respite,Number of People,385,9090
2018/19,City of Edinburgh,All Ages,Long Stay,"Rate per 1,000 People",7.1,8.4
2018/19,City of Edinburgh,All Ages,Long Stay,Number of People,3685,45865
2018/19,City of Edinburgh,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,City of Edinburgh,0-17 years,All Stays,Number of People,0,125
2018/19,City of Edinburgh,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,City of Edinburgh,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,City of Edinburgh,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,City of Edinburgh,0-17 years,Long Stay,Number of People,0,80
2018/19,City of Edinburgh,18-64 years,All Stays,"Rate per 1,000 People",0.8,1.7
2018/19,City of Edinburgh,18-64 years,All Stays,Number of People,300,5585
2018/19,City of Edinburgh,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2018/19,City of Edinburgh,18-64 years,Short Stay / Respite,Number of People,35,1665
2018/19,City of Edinburgh,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.3
2018/19,City of Edinburgh,18-64 years,Long Stay,Number of People,280,4230
2018/19,City of Edinburgh,65-74 years,All Stays,"Rate per 1,000 People",8.9,9.7
2018/19,City of Edinburgh,65-74 years,All Stays,Number of People,375,5520
2018/19,City of Edinburgh,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1,1.8
2018/19,City of Edinburgh,65-74 years,Short Stay / Respite,Number of People,40,1025
2018/19,City of Edinburgh,65-74 years,Long Stay,"Rate per 1,000 People",8.3,8.5
2018/19,City of Edinburgh,65-74 years,Long Stay,Number of People,350,4830
2018/19,City of Edinburgh,75-84 years,All Stays,"Rate per 1,000 People",42.5,46.5
2018/19,City of Edinburgh,75-84 years,All Stays,Number of People,1055,15415
2018/19,City of Edinburgh,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.8,8.6
2018/19,City of Edinburgh,75-84 years,Short Stay / Respite,Number of People,120,2840
2018/19,City of Edinburgh,75-84 years,Long Stay,"Rate per 1,000 People",40.1,41.3
2018/19,City of Edinburgh,75-84 years,Long Stay,Number of People,995,13690
2018/19,City of Edinburgh,85+ years,All Stays,"Rate per 1,000 People",192.1,203.3
2018/19,City of Edinburgh,85+ years,All Stays,Number of People,2150,25085
2018/19,City of Edinburgh,85+ years,Short Stay / Respite,"Rate per 1,000 People",17,28.4
2018/19,City of Edinburgh,85+ years,Short Stay / Respite,Number of People,190,3505
2018/19,City of Edinburgh,85+ years,Long Stay,"Rate per 1,000 People",183.6,186.7
2018/19,City of Edinburgh,85+ years,Long Stay,Number of People,2055,23030
2018/19,City of Edinburgh,Unknown,All Stays,"Rate per 1,000 People",0,NA
2018/19,City of Edinburgh,Unknown,All Stays,Number of People,0,20
2018/19,City of Edinburgh,Unknown,Long Stay,"Rate per 1,000 People",0,NA
2018/19,City of Edinburgh,Unknown,Long Stay,Number of People,0,15
2018/19,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",8.3,9.5
2018/19,Clackmannanshire,All Ages,All Stays,Number of People,425,51745
2018/19,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.5,1.7
2018/19,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,75,9090
2018/19,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",7.3,8.4
2018/19,Clackmannanshire,All Ages,Long Stay,Number of People,375,45865
2018/19,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Clackmannanshire,0-17 years,All Stays,Number of People,0,125
2018/19,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Clackmannanshire,0-17 years,Long Stay,Number of People,0,80
2018/19,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.4,1.7
2018/19,Clackmannanshire,18-64 years,All Stays,Number of People,75,5585
2018/19,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3,0.5
2018/19,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,10,1665
2018/19,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2.3,1.3
2018/19,Clackmannanshire,18-64 years,Long Stay,Number of People,70,4230
2018/19,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",9.1,9.7
2018/19,Clackmannanshire,65-74 years,All Stays,Number of People,55,5520
2018/19,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.6,1.8
2018/19,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,10,1025
2018/19,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",8.2,8.5
2018/19,Clackmannanshire,65-74 years,Long Stay,Number of People,50,4830
2018/19,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",42.7,46.5
2018/19,Clackmannanshire,75-84 years,All Stays,Number of People,135,15415
2018/19,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",9.5,8.6
2018/19,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,30,2840
2018/19,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",36.4,41.3
2018/19,Clackmannanshire,75-84 years,Long Stay,Number of People,115,13690
2018/19,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",159.8,203.3
2018/19,Clackmannanshire,85+ years,All Stays,Number of People,160,25085
2018/19,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",30,28.4
2018/19,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,30,3505
2018/19,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",144.9,186.7
2018/19,Clackmannanshire,85+ years,Long Stay,Number of People,145,23030
2018/19,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",10.8,9.5
2018/19,Dumfries and Galloway,All Ages,All Stays,Number of People,1605,51745
2018/19,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",2,1.7
2018/19,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,300,9090
2018/19,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",9.8,8.4
2018/19,Dumfries and Galloway,All Ages,Long Stay,Number of People,1455,45865
2018/19,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Dumfries and Galloway,0-17 years,All Stays,Number of People,0,125
2018/19,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Dumfries and Galloway,0-17 years,Long Stay,Number of People,0,80
2018/19,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.8,1.7
2018/19,Dumfries and Galloway,18-64 years,All Stays,Number of People,70,5585
2018/19,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2018/19,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,10,1665
2018/19,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8,1.3
2018/19,Dumfries and Galloway,18-64 years,Long Stay,Number of People,65,4230
2018/19,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",8.2,9.7
2018/19,Dumfries and Galloway,65-74 years,All Stays,Number of People,170,5520
2018/19,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.2,1.8
2018/19,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,45,1025
2018/19,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",6.7,8.5
2018/19,Dumfries and Galloway,65-74 years,Long Stay,Number of People,140,4830
2018/19,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",38.2,46.5
2018/19,Dumfries and Galloway,75-84 years,All Stays,Number of People,480,15415
2018/19,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",8.4,8.6
2018/19,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,105,2840
2018/19,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",33.8,41.3
2018/19,Dumfries and Galloway,75-84 years,Long Stay,Number of People,425,13690
2018/19,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",197.6,203.3
2018/19,Dumfries and Galloway,85+ years,All Stays,Number of People,885,25085
2018/19,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",31.3,28.4
2018/19,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,140,3505
2018/19,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",183.1,186.7
2018/19,Dumfries and Galloway,85+ years,Long Stay,Number of People,820,23030
2018/19,Dundee City,All Ages,All Stays,"Rate per 1,000 People",10.1,9.5
2018/19,Dundee City,All Ages,All Stays,Number of People,1505,51745
2018/19,Dundee City,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.4,1.7
2018/19,Dundee City,All Ages,Short Stay / Respite,Number of People,60,9090
2018/19,Dundee City,All Ages,Long Stay,"Rate per 1,000 People",9.9,8.4
2018/19,Dundee City,All Ages,Long Stay,Number of People,1480,45865
2018/19,Dundee City,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,Dundee City,0-17 years,All Stays,Number of People,0,125
2018/19,Dundee City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,Dundee City,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,Dundee City,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,Dundee City,0-17 years,Long Stay,Number of People,0,80
2018/19,Dundee City,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.7
2018/19,Dundee City,18-64 years,All Stays,Number of People,115,5585
2018/19,Dundee City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.5
2018/19,Dundee City,18-64 years,Short Stay / Respite,Number of People,0,1665
2018/19,Dundee City,18-64 years,Long Stay,"Rate per 1,000 People",1.2,1.3
2018/19,Dundee City,18-64 years,Long Stay,Number of People,115,4230
2018/19,Dundee City,65-74 years,All Stays,"Rate per 1,000 People",11.6,9.7
2018/19,Dundee City,65-74 years,All Stays,Number of People,160,5520
2018/19,Dundee City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,1.8
2018/19,Dundee City,65-74 years,Short Stay / Respite,Number of People,5,1025
2018/19,Dundee City,65-74 years,Long Stay,"Rate per 1,000 People",11.3,8.5
2018/19,Dundee City,65-74 years,Long Stay,Number of People,155,4830
2018/19,Dundee City,75-84 years,All Stays,"Rate per 1,000 People",51.3,46.5
2018/19,Dundee City,75-84 years,All Stays,Number of People,445,15415
2018/19,Dundee City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2.3,8.6
2018/19,Dundee City,75-84 years,Short Stay / Respite,Number of People,20,2840
2018/19,Dundee City,75-84 years,Long Stay,"Rate per 1,000 People",50.2,41.3
2018/19,Dundee City,75-84 years,Long Stay,Number of People,435,13690
2018/19,Dundee City,85+ years,All Stays,"Rate per 1,000 People",220.7,203.3
2018/19,Dundee City,85+ years,All Stays,Number of People,785,25085
2018/19,Dundee City,85+ years,Short Stay / Respite,"Rate per 1,000 People",8.4,28.4
2018/19,Dundee City,85+ years,Short Stay / Respite,Number of People,30,3505
2018/19,Dundee City,85+ years,Long Stay,"Rate per 1,000 People",217.9,186.7
2018/19,Dundee City,85+ years,Long Stay,Number of People,775,23030
2018/19,East Ayrshire,All Ages,All Stays,"Rate per 1,000 People",8.5,9.5
2018/19,East Ayrshire,All Ages,All Stays,Number of People,1030,51745
2018/19,East Ayrshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.5,1.7
2018/19,East Ayrshire,All Ages,Short Stay / Respite,Number of People,65,9090
2018/19,East Ayrshire,All Ages,Long Stay,"Rate per 1,000 People",8.1,8.4
2018/19,East Ayrshire,All Ages,Long Stay,Number of People,990,45865
2018/19,East Ayrshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2018/19,East Ayrshire,0-17 years,All Stays,Number of People,0,125
2018/19,East Ayrshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2018/19,East Ayrshire,0-17 years,Short Stay / Respite,Number of People,0,50
2018/19,East Ayrshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2018/19,East Ayrshire,0-17 years,Long Stay,Number of People,0,80
2018/19,East Ayrshire,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.7
2018/19,East Ayrshire,18-64 years,All Stays,Number of People,85,5585
2018/19,East Ayrshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.5
2018/19,East Ayrshire,18-64 years,Short Stay / Respite,Number of People,5,1665
2018/19,East Ayrshire,18-64 years,Long Stay,"Rate per 1,000 People",1.1,1.3
2018/19,East Ayrshire,18-64 years,Long Stay,Number of People,80,4230
2018/19,East Ayrshire,65-74 years,All Stays,"Rate per 1,000 People",7.4,9.7
2018/19,East Ayrshire,65-74 years,All Stays,Number of People,105,5520
2018/19,East Ayrshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,1.8
2018/19,East Ayrshire,65-74 years,Short Stay / Respite,Number of People,5,1025
2018/19,East Ayrshire,65-74 years,Long Stay,"Rate per 1,000 People",7.4,8.5
2018/19,East Ayrshire,65-74 years,Long Stay,Number of People,105,4830
2018/19,East Ayrshire,75-84 years,All Stays,"Rate per 1,000 People",44.9,46.5
2018/19,East Ayrshire,75-84 years,All Stays,Number of People,350,15415
2018/19,East Ayrshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.8,8.6
2018/19,East Ayrshire,75-84 years,Short Stay / Respite,Number of People,30,2840
2018/19,East Ayrshire,75-84 years,Long Stay,"Rate per 1,000 People",42.3,41.3
2018/19,East Ayrshire,75-84 years,Long Stay,Number of People,330,13690
2018/19,East Ayrshire,85+ years,All Stays,"Rate per 1,000 People",189.6,203.3
