financial_year,financial_quarter,sending_location,age_group,measure,value,scotland_value,rate_per_1000,scotland_rate,nursing_care_provision
2020/21,2020/21 Q2,East Lothian,65+ years,Emergency Admissions,86.4,4485.6,132.912,142.704,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,18+ years,A&E Attendances,108,6271.2,184.608,179.28,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,18+ years,Emergency Admissions,57.6,5047.2,98.496,144.288,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,18-64 years,A&E Attendances,7.2,748.8,240.048,212.4,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,18-64 years,Emergency Admissions,7.2,561.6,240.048,159.264,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,65+ years,A&E Attendances,93.6,5515.2,168.624,175.392,Nursing Provision provided
2020/21,2020/21 Q2,East Renfrewshire,65+ years,Emergency Admissions,50.4,4485.6,90.864,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,18+ years,A&E Attendances,172.8,6271.2,152.208,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,18+ years,Emergency Admissions,151.2,5047.2,133.2,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,18-64 years,A&E Attendances,21.6,748.8,127.008,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,18-64 years,Emergency Admissions,21.6,561.6,127.008,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,65+ years,A&E Attendances,151.2,5515.2,156.672,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Falkirk,65+ years,Emergency Admissions,129.6,4485.6,134.352,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Fife,18+ years,A&E Attendances,410.4,6271.2,152.784,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Fife,18+ years,Emergency Admissions,460.8,5047.2,171.648,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Fife,18-64 years,A&E Attendances,28.8,748.8,147.744,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Fife,18-64 years,Emergency Admissions,28.8,561.6,147.744,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Fife,65+ years,A&E Attendances,374.4,5515.2,150.336,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Fife,65+ years,Emergency Admissions,432,4485.6,173.52,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,18+ years,A&E Attendances,964.8,6271.2,241.2,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,18+ years,Emergency Admissions,784.8,5047.2,196.128,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,18-64 years,A&E Attendances,201.6,748.8,322.56,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,18-64 years,Emergency Admissions,136.8,561.6,218.88,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,65+ years,A&E Attendances,763.2,5515.2,226.08,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Glasgow City,65+ years,Emergency Admissions,648,4485.6,191.952,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Highland,18+ years,A&E Attendances,280.8,6271.2,148.608,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Highland,18+ years,Emergency Admissions,237.6,5047.2,125.712,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Highland,18-64 years,A&E Attendances,21.6,748.8,119.952,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Highland,18-64 years,Emergency Admissions,21.6,561.6,119.952,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Highland,65+ years,A&E Attendances,252,5515.2,147.312,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Highland,65+ years,Emergency Admissions,216,4485.6,126.288,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,18+ years,A&E Attendances,136.8,6271.2,246.528,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,18+ years,Emergency Admissions,100.8,5047.2,181.584,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,18-64 years,A&E Attendances,21.6,748.8,432,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,18-64 years,Emergency Admissions,14.4,561.6,288,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,65+ years,A&E Attendances,115.2,5515.2,228.096,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Inverclyde,65+ years,Emergency Admissions,86.4,4485.6,171.072,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,18+ years,A&E Attendances,72,6271.2,141.12,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,18+ years,Emergency Admissions,43.2,5047.2,84.672,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,18-64 years,A&E Attendances,0,748.8,0,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,18-64 years,Emergency Admissions,0,561.6,0,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,65+ years,A&E Attendances,72,5515.2,153.216,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Midlothian,65+ years,Emergency Admissions,43.2,4485.6,91.872,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Moray,18+ years,A&E Attendances,57.6,6271.2,100.224,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Moray,18+ years,Emergency Admissions,50.4,5047.2,87.696,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Moray,18-64 years,A&E Attendances,7.2,748.8,84.672,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Moray,18-64 years,Emergency Admissions,7.2,561.6,84.672,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Moray,65+ years,A&E Attendances,50.4,5515.2,102.816,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Moray,65+ years,Emergency Admissions,43.2,4485.6,88.128,142.704,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,18+ years,A&E Attendances,172.8,6271.2,185.76,179.28,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,18+ years,Emergency Admissions,151.2,5047.2,162.576,144.288,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,18-64 years,A&E Attendances,28.8,748.8,303.12,212.4,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,18-64 years,Emergency Admissions,14.4,561.6,151.632,159.264,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,65+ years,A&E Attendances,136.8,5515.2,164.88,175.392,Nursing Provision provided
2020/21,2020/21 Q2,North Ayrshire,65+ years,Emergency Admissions,129.6,4485.6,156.096,142.704,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,18+ years,A&E Attendances,324,6271.2,216.72,179.28,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,18+ years,Emergency Admissions,201.6,5047.2,134.784,144.288,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,18-64 years,A&E Attendances,21.6,748.8,270,212.4,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,18-64 years,Emergency Admissions,14.4,561.6,180,159.264,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,65+ years,A&E Attendances,295.2,5515.2,207.936,175.392,Nursing Provision provided
2020/21,2020/21 Q2,North Lanarkshire,65+ years,Emergency Admissions,187.2,4485.6,131.76,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,18+ years,A&E Attendances,86.4,6271.2,73.152,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,18+ years,Emergency Admissions,108,5047.2,91.584,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,18-64 years,A&E Attendances,14.4,748.8,115.2,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,18-64 years,Emergency Admissions,14.4,561.6,115.2,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,65+ years,A&E Attendances,72,5515.2,68.256,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Perth and Kinross,65+ years,Emergency Admissions,93.6,4485.6,88.704,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,18+ years,A&E Attendances,381.6,6271.2,340.704,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,18+ years,Emergency Admissions,252,5047.2,224.928,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,18-64 years,A&E Attendances,21.6,748.8,205.776,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,18-64 years,Emergency Admissions,14.4,561.6,137.088,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,65+ years,A&E Attendances,360,5515.2,354.672,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Renfrewshire,65+ years,Emergency Admissions,230.4,4485.6,226.944,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,18+ years,A&E Attendances,151.2,6271.2,205.776,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,18+ years,Emergency Admissions,115.2,5047.2,156.672,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,18-64 years,A&E Attendances,0,748.8,0,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,18-64 years,Emergency Admissions,0,561.6,0,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,65+ years,A&E Attendances,151.2,5515.2,214.416,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Scottish Borders,65+ years,Emergency Admissions,115.2,4485.6,163.44,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,18+ years,A&E Attendances,36,6271.2,266.688,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,18+ years,Emergency Admissions,21.6,5047.2,159.984,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,18-64 years,A&E Attendances,7.2,748.8,720,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,18-64 years,Emergency Admissions,7.2,561.6,720,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,65+ years,A&E Attendances,28.8,5515.2,230.4,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Shetland,65+ years,Emergency Admissions,14.4,4485.6,115.2,142.704,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,18+ years,A&E Attendances,216,6271.2,230.976,179.28,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,18+ years,Emergency Admissions,187.2,5047.2,200.16,144.288,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,18-64 years,A&E Attendances,21.6,748.8,392.688,212.4,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,18-64 years,Emergency Admissions,14.4,561.6,261.792,159.264,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,65+ years,A&E Attendances,194.4,5515.2,220.896,175.392,Nursing Provision provided
2020/21,2020/21 Q2,South Ayrshire,65+ years,Emergency Admissions,172.8,4485.6,196.416,142.704,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,18+ years,A&E Attendances,532.8,6271.2,278.928,179.28,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,18+ years,Emergency Admissions,331.2,5047.2,173.376,144.288,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,18-64 years,A&E Attendances,64.8,748.8,332.352,212.4,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,18-64 years,Emergency Admissions,36,561.6,184.608,159.264,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,65+ years,A&E Attendances,460.8,5515.2,268.704,175.392,Nursing Provision provided
2020/21,2020/21 Q2,South Lanarkshire,65+ years,Emergency Admissions,295.2,4485.6,172.08,142.704,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,18+ years,A&E Attendances,79.2,6271.2,127.728,179.28,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,18+ years,Emergency Admissions,57.6,5047.2,92.88,144.288,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,18-64 years,A&E Attendances,14.4,748.8,180,212.4,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,18-64 years,Emergency Admissions,7.2,561.6,90,159.264,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,65+ years,A&E Attendances,64.8,5515.2,119.952,175.392,Nursing Provision provided
2020/21,2020/21 Q2,Stirling,65+ years,Emergency Admissions,43.2,4485.6,80.064,142.704,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,18+ years,A&E Attendances,194.4,6271.2,281.808,179.28,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,18+ years,Emergency Admissions,144,5047.2,208.656,144.288,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,18-64 years,A&E Attendances,21.6,748.8,360,212.4,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,18-64 years,Emergency Admissions,14.4,561.6,240.048,159.264,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,65+ years,A&E Attendances,172.8,5515.2,274.32,175.392,Nursing Provision provided
2020/21,2020/21 Q2,West Dunbartonshire,65+ years,Emergency Admissions,129.6,4485.6,205.776,142.704,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,18+ years,A&E Attendances,158.4,6271.2,205.776,179.28,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,18+ years,Emergency Admissions,108,5047.2,140.256,144.288,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,18-64 years,A&E Attendances,7.2,748.8,75.744,212.4,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,18-64 years,Emergency Admissions,7.2,561.6,75.744,159.264,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,65+ years,A&E Attendances,151.2,5515.2,225.648,175.392,Nursing Provision provided
2020/21,2020/21 Q2,West Lothian,65+ years,Emergency Admissions,100.8,4485.6,150.48,142.704,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),18+ years,A&E Attendances,6782.4,6782.4,191.376,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),18+ years,Emergency Admissions,5515.2,5515.2,155.664,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,A&E Attendances,705.6,705.6,198.144,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,532.8,532.8,149.616,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),65+ years,A&E Attendances,6076.8,6076.8,190.656,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Scotland (All Areas Submitted),65+ years,Emergency Admissions,4982.4,4982.4,156.24,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,18+ years,A&E Attendances,180,6782.4,106.128,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,18+ years,Emergency Admissions,216,5515.2,127.44,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,18-64 years,A&E Attendances,28.8,705.6,106.704,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,18-64 years,Emergency Admissions,14.4,532.8,53.28,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,65+ years,A&E Attendances,158.4,6076.8,111.168,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeen City,65+ years,Emergency Admissions,201.6,4982.4,141.408,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,18+ years,A&E Attendances,136.8,6782.4,80.064,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,18+ years,Emergency Admissions,165.6,5515.2,96.912,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,18-64 years,A&E Attendances,14.4,705.6,75.744,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,18-64 years,Emergency Admissions,14.4,532.8,75.744,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,65+ years,A&E Attendances,122.4,6076.8,80.784,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Aberdeenshire,65+ years,Emergency Admissions,151.2,4982.4,99.792,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Angus,18+ years,A&E Attendances,72,6782.4,89.424,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Angus,18+ years,Emergency Admissions,79.2,5515.2,98.352,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Angus,18-64 years,A&E Attendances,7.2,705.6,90,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Angus,18-64 years,Emergency Admissions,7.2,532.8,90,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Angus,65+ years,A&E Attendances,64.8,6076.8,89.424,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Angus,65+ years,Emergency Admissions,72,4982.4,99.36,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,18+ years,A&E Attendances,100.8,6782.4,158.688,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,18+ years,Emergency Admissions,115.2,5515.2,181.44,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,18-64 years,A&E Attendances,7.2,705.6,119.952,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,18-64 years,Emergency Admissions,7.2,532.8,119.952,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,65+ years,A&E Attendances,93.6,6076.8,162.72,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Argyll and Bute,65+ years,Emergency Admissions,108,4982.4,187.776,156.24,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,18+ years,A&E Attendances,604.8,6782.4,211.824,191.376,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,18+ years,Emergency Admissions,345.6,5515.2,121.104,155.664,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,18-64 years,A&E Attendances,64.8,705.6,270,198.144,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,18-64 years,Emergency Admissions,43.2,532.8,180,149.616,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,65+ years,A&E Attendances,540,6076.8,206.496,190.656,Nursing Provision provided
2020/21,2020/21 Q3,City of Edinburgh,65+ years,Emergency Admissions,309.6,4982.4,118.368,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,18+ years,A&E Attendances,43.2,6782.4,141.696,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,18+ years,Emergency Admissions,21.6,5515.2,70.848,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,18-64 years,A&E Attendances,14.4,705.6,221.472,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,18-64 years,Emergency Admissions,7.2,532.8,110.736,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,65+ years,A&E Attendances,21.6,6076.8,88.128,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Clackmannanshire,65+ years,Emergency Admissions,21.6,4982.4,88.128,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,18+ years,A&E Attendances,187.2,6782.4,173.376,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,18+ years,Emergency Admissions,165.6,5515.2,153.36,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,18-64 years,A&E Attendances,14.4,705.6,261.792,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,18-64 years,Emergency Admissions,14.4,532.8,261.792,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,65+ years,A&E Attendances,172.8,6076.8,169.344,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Dumfries and Galloway,65+ years,Emergency Admissions,151.2,4982.4,148.176,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,18+ years,A&E Attendances,144,6782.4,120.528,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,18+ years,Emergency Admissions,165.6,5515.2,138.528,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,18-64 years,A&E Attendances,7.2,705.6,68.544,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,18-64 years,Emergency Admissions,7.2,532.8,68.544,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,65+ years,A&E Attendances,129.6,6076.8,118.944,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Dundee City,65+ years,Emergency Admissions,158.4,4982.4,145.296,156.24,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,18+ years,A&E Attendances,158.4,6782.4,215.568,191.376,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,18+ years,Emergency Admissions,158.4,5515.2,215.568,155.664,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,18-64 years,A&E Attendances,14.4,705.6,221.472,198.144,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,18-64 years,Emergency Admissions,7.2,532.8,110.736,149.616,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,65+ years,A&E Attendances,144,6076.8,214.992,190.656,Nursing Provision provided
2020/21,2020/21 Q3,East Ayrshire,65+ years,Emergency Admissions,151.2,4982.4,225.648,156.24,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,18+ years,A&E Attendances,201.6,6782.4,230.4,191.376,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,18+ years,Emergency Admissions,122.4,5515.2,139.824,155.664,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,18-64 years,A&E Attendances,7.2,705.6,180,198.144,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,18-64 years,Emergency Admissions,7.2,532.8,180,149.616,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,65+ years,A&E Attendances,194.4,6076.8,234.288,190.656,Nursing Provision provided
2020/21,2020/21 Q3,East Dunbartonshire,65+ years,Emergency Admissions,115.2,4982.4,138.816,156.24,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,18+ years,A&E Attendances,122.4,6782.4,171.216,191.376,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,18+ years,Emergency Admissions,79.2,5515.2,110.736,155.664,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,18-64 years,A&E Attendances,21.6,705.6,392.688,198.144,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,18-64 years,Emergency Admissions,14.4,532.8,261.792,149.616,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,65+ years,A&E Attendances,100.8,6076.8,152.784,190.656,Nursing Provision provided
2020/21,2020/21 Q3,East Lothian,65+ years,Emergency Admissions,64.8,4982.4,98.208,156.24,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,18+ years,A&E Attendances,172.8,6782.4,245.088,191.376,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,18+ years,Emergency Admissions,100.8,5515.2,142.992,155.664,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,18-64 years,A&E Attendances,14.4,705.6,479.952,198.144,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,18-64 years,Emergency Admissions,7.2,532.8,240.048,149.616,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,65+ years,A&E Attendances,158.4,6076.8,234.72,190.656,Nursing Provision provided
2020/21,2020/21 Q3,East Renfrewshire,65+ years,Emergency Admissions,86.4,4982.4,128.016,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,18+ years,A&E Attendances,208.8,6782.4,180,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,18+ years,Emergency Admissions,180,5515.2,155.232,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,18-64 years,A&E Attendances,43.2,705.6,254.16,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,18-64 years,Emergency Admissions,28.8,532.8,169.344,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,65+ years,A&E Attendances,165.6,6076.8,168.192,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Falkirk,65+ years,Emergency Admissions,151.2,4982.4,153.504,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Fife,18+ years,A&E Attendances,460.8,6782.4,162,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Fife,18+ years,Emergency Admissions,518.4,5515.2,182.16,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Fife,18-64 years,A&E Attendances,36,705.6,175.68,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Fife,18-64 years,Emergency Admissions,36,532.8,175.68,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Fife,65+ years,A&E Attendances,424.8,6076.8,160.848,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Fife,65+ years,Emergency Admissions,482.4,4982.4,182.736,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,18+ years,A&E Attendances,1022.4,6782.4,252.72,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,18+ years,Emergency Admissions,806.4,5515.2,199.296,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,18-64 years,A&E Attendances,180,705.6,285.696,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,18-64 years,Emergency Admissions,136.8,532.8,217.152,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,65+ years,A&E Attendances,842.4,6076.8,246.672,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Glasgow City,65+ years,Emergency Admissions,676.8,4982.4,198.144,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Highland,18+ years,A&E Attendances,266.4,6782.4,140.256,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Highland,18+ years,Emergency Admissions,252,5515.2,132.624,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Highland,18-64 years,A&E Attendances,28.8,705.6,155.664,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Highland,18-64 years,Emergency Admissions,28.8,532.8,155.664,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Highland,65+ years,A&E Attendances,237.6,6076.8,138.528,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Highland,65+ years,Emergency Admissions,223.2,4982.4,130.176,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,18+ years,A&E Attendances,136.8,6782.4,276.336,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,18+ years,Emergency Admissions,93.6,5515.2,189.072,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,18-64 years,A&E Attendances,14.4,705.6,319.968,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,18-64 years,Emergency Admissions,7.2,532.8,159.984,149.616,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,65+ years,A&E Attendances,122.4,6076.8,272.016,190.656,Nursing Provision provided
2020/21,2020/21 Q3,Inverclyde,65+ years,Emergency Admissions,86.4,4982.4,191.952,156.24,Nursing Provision provided
2020/21,2020/21 Q3,Midlothian,18+ years,A&E Attendances,108,6782.4,207.648,191.376,Nursing Provision provided
2020/21,2020/21 Q3,Midlothian,18+ years,Emergency Admissions,64.8,5515.2,124.56,155.664,Nursing Provision provided
2020/21,2020/21 Q3,Midlothian,18-64 years,A&E Attendances,0,705.6,0,198.144,Nursing Provision provided
2020/21,2020/21 Q3,Midlothian,18-64 years,Emergency Admissions,0,532.8,0,149.616,Nursing Provision provided
