financial_quarter,sending_location,age_group,referral_source,referrals,percentage,scotland_referrals,scotland_percentage
2018/19 Q4,Aberdeenshire,85+ years,GP,0,0,50,2
2018/19 Q4,Aberdeenshire,85+ years,Care Home,0,0,10,0
2018/19 Q4,Aberdeenshire,85+ years,Self Referral,5,12.5,245,12
2018/19 Q4,Aberdeenshire,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,Aberdeenshire,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Aberdeenshire,Unknown,GP,0,NA,0,NA
2018/19 Q4,Aberdeenshire,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Aberdeenshire,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Aberdeenshire,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Angus,All Ages,999 Emergency Services,60,70.6,3815,80
2018/19 Q4,Angus,All Ages,GP,10,11.8,110,2
2018/19 Q4,Angus,All Ages,Care Home,5,5.9,30,1
2018/19 Q4,Angus,All Ages,Self Referral,5,5.9,620,13
2018/19 Q4,Angus,All Ages,Other/Unknown,5,5.9,175,4
2018/19 Q4,Angus,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Angus,0-17 years,GP,0,NA,0,0
2018/19 Q4,Angus,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Angus,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Angus,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,Angus,18-64 years,999 Emergency Services,0,NA,365,66
2018/19 Q4,Angus,18-64 years,GP,0,NA,15,3
2018/19 Q4,Angus,18-64 years,Care Home,0,NA,5,1
2018/19 Q4,Angus,18-64 years,Self Referral,0,NA,135,25
2018/19 Q4,Angus,18-64 years,Other/Unknown,0,NA,30,5
2018/19 Q4,Angus,65-74 years,999 Emergency Services,5,100,460,84
2018/19 Q4,Angus,65-74 years,GP,0,0,10,2
2018/19 Q4,Angus,65-74 years,Care Home,0,0,5,1
2018/19 Q4,Angus,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,Angus,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,Angus,75-84 years,999 Emergency Services,15,100,1270,83
2018/19 Q4,Angus,75-84 years,GP,0,0,30,2
2018/19 Q4,Angus,75-84 years,Care Home,0,0,10,1
2018/19 Q4,Angus,75-84 years,Self Referral,0,0,170,11
2018/19 Q4,Angus,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,Angus,85+ years,999 Emergency Services,40,66.7,1715,81
2018/19 Q4,Angus,85+ years,GP,10,16.7,50,2
2018/19 Q4,Angus,85+ years,Care Home,5,8.3,10,0
2018/19 Q4,Angus,85+ years,Self Referral,0,0,245,12
2018/19 Q4,Angus,85+ years,Other/Unknown,5,8.3,85,4
2018/19 Q4,Angus,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Angus,Unknown,GP,0,NA,0,NA
2018/19 Q4,Angus,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Angus,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Angus,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Argyll and Bute,All Ages,999 Emergency Services,60,85.7,3815,80
2018/19 Q4,Argyll and Bute,All Ages,GP,0,0,110,2
2018/19 Q4,Argyll and Bute,All Ages,Care Home,0,0,30,1
2018/19 Q4,Argyll and Bute,All Ages,Self Referral,5,7.1,620,13
2018/19 Q4,Argyll and Bute,All Ages,Other/Unknown,5,7.1,175,4
2018/19 Q4,Argyll and Bute,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Argyll and Bute,0-17 years,GP,0,NA,0,0
2018/19 Q4,Argyll and Bute,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Argyll and Bute,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Argyll and Bute,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,Argyll and Bute,18-64 years,999 Emergency Services,10,100,365,66
2018/19 Q4,Argyll and Bute,18-64 years,GP,0,0,15,3
2018/19 Q4,Argyll and Bute,18-64 years,Care Home,0,0,5,1
2018/19 Q4,Argyll and Bute,18-64 years,Self Referral,0,0,135,25
2018/19 Q4,Argyll and Bute,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,Argyll and Bute,65-74 years,999 Emergency Services,10,100,460,84
2018/19 Q4,Argyll and Bute,65-74 years,GP,0,0,10,2
2018/19 Q4,Argyll and Bute,65-74 years,Care Home,0,0,5,1
2018/19 Q4,Argyll and Bute,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,Argyll and Bute,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,Argyll and Bute,75-84 years,999 Emergency Services,10,100,1270,83
2018/19 Q4,Argyll and Bute,75-84 years,GP,0,0,30,2
2018/19 Q4,Argyll and Bute,75-84 years,Care Home,0,0,10,1
2018/19 Q4,Argyll and Bute,75-84 years,Self Referral,0,0,170,11
2018/19 Q4,Argyll and Bute,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,Argyll and Bute,85+ years,999 Emergency Services,35,100,1715,81
2018/19 Q4,Argyll and Bute,85+ years,GP,0,0,50,2
2018/19 Q4,Argyll and Bute,85+ years,Care Home,0,0,10,0
2018/19 Q4,Argyll and Bute,85+ years,Self Referral,0,0,245,12
2018/19 Q4,Argyll and Bute,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,Argyll and Bute,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Argyll and Bute,Unknown,GP,0,NA,0,NA
2018/19 Q4,Argyll and Bute,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Argyll and Bute,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Argyll and Bute,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,City of Edinburgh,All Ages,999 Emergency Services,300,77.9,3815,80
2018/19 Q4,City of Edinburgh,All Ages,GP,15,3.9,110,2
2018/19 Q4,City of Edinburgh,All Ages,Care Home,0,0,30,1
2018/19 Q4,City of Edinburgh,All Ages,Self Referral,45,11.7,620,13
2018/19 Q4,City of Edinburgh,All Ages,Other/Unknown,25,6.5,175,4
2018/19 Q4,City of Edinburgh,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,City of Edinburgh,0-17 years,GP,0,NA,0,0
2018/19 Q4,City of Edinburgh,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,City of Edinburgh,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,City of Edinburgh,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,City of Edinburgh,18-64 years,999 Emergency Services,20,57.1,365,66
2018/19 Q4,City of Edinburgh,18-64 years,GP,0,0,15,3
2018/19 Q4,City of Edinburgh,18-64 years,Care Home,0,0,5,1
2018/19 Q4,City of Edinburgh,18-64 years,Self Referral,10,28.6,135,25
2018/19 Q4,City of Edinburgh,18-64 years,Other/Unknown,5,14.3,30,5
2018/19 Q4,City of Edinburgh,65-74 years,999 Emergency Services,40,88.9,460,84
2018/19 Q4,City of Edinburgh,65-74 years,GP,0,0,10,2
2018/19 Q4,City of Edinburgh,65-74 years,Care Home,0,0,5,1
2018/19 Q4,City of Edinburgh,65-74 years,Self Referral,5,11.1,60,11
2018/19 Q4,City of Edinburgh,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,City of Edinburgh,75-84 years,999 Emergency Services,100,83.3,1270,83
2018/19 Q4,City of Edinburgh,75-84 years,GP,5,4.2,30,2
2018/19 Q4,City of Edinburgh,75-84 years,Care Home,0,0,10,1
2018/19 Q4,City of Edinburgh,75-84 years,Self Referral,10,8.3,170,11
2018/19 Q4,City of Edinburgh,75-84 years,Other/Unknown,5,4.2,45,3
2018/19 Q4,City of Edinburgh,85+ years,999 Emergency Services,140,75.7,1715,81
2018/19 Q4,City of Edinburgh,85+ years,GP,10,5.4,50,2
2018/19 Q4,City of Edinburgh,85+ years,Care Home,0,0,10,0
2018/19 Q4,City of Edinburgh,85+ years,Self Referral,20,10.8,245,12
2018/19 Q4,City of Edinburgh,85+ years,Other/Unknown,15,8.1,85,4
2018/19 Q4,City of Edinburgh,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,City of Edinburgh,Unknown,GP,0,NA,0,NA
2018/19 Q4,City of Edinburgh,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,City of Edinburgh,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,City of Edinburgh,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Clackmannanshire,All Ages,999 Emergency Services,25,71.4,3815,80
2018/19 Q4,Clackmannanshire,All Ages,GP,0,0,110,2
2018/19 Q4,Clackmannanshire,All Ages,Care Home,0,0,30,1
2018/19 Q4,Clackmannanshire,All Ages,Self Referral,10,28.6,620,13
2018/19 Q4,Clackmannanshire,All Ages,Other/Unknown,0,0,175,4
2018/19 Q4,Clackmannanshire,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Clackmannanshire,0-17 years,GP,0,NA,0,0
2018/19 Q4,Clackmannanshire,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Clackmannanshire,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Clackmannanshire,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,Clackmannanshire,18-64 years,999 Emergency Services,5,50,365,66
2018/19 Q4,Clackmannanshire,18-64 years,GP,0,0,15,3
2018/19 Q4,Clackmannanshire,18-64 years,Care Home,0,0,5,1
2018/19 Q4,Clackmannanshire,18-64 years,Self Referral,5,50,135,25
2018/19 Q4,Clackmannanshire,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,Clackmannanshire,65-74 years,999 Emergency Services,0,NA,460,84
2018/19 Q4,Clackmannanshire,65-74 years,GP,0,NA,10,2
2018/19 Q4,Clackmannanshire,65-74 years,Care Home,0,NA,5,1
2018/19 Q4,Clackmannanshire,65-74 years,Self Referral,0,NA,60,11
2018/19 Q4,Clackmannanshire,65-74 years,Other/Unknown,0,NA,10,2
2018/19 Q4,Clackmannanshire,75-84 years,999 Emergency Services,10,66.7,1270,83
2018/19 Q4,Clackmannanshire,75-84 years,GP,0,0,30,2
2018/19 Q4,Clackmannanshire,75-84 years,Care Home,0,0,10,1
2018/19 Q4,Clackmannanshire,75-84 years,Self Referral,5,33.3,170,11
2018/19 Q4,Clackmannanshire,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,Clackmannanshire,85+ years,999 Emergency Services,5,100,1715,81
2018/19 Q4,Clackmannanshire,85+ years,GP,0,0,50,2
2018/19 Q4,Clackmannanshire,85+ years,Care Home,0,0,10,0
2018/19 Q4,Clackmannanshire,85+ years,Self Referral,0,0,245,12
2018/19 Q4,Clackmannanshire,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,Clackmannanshire,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Clackmannanshire,Unknown,GP,0,NA,0,NA
2018/19 Q4,Clackmannanshire,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Clackmannanshire,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Clackmannanshire,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Dumfries and Galloway,All Ages,999 Emergency Services,115,82.1,3815,80
2018/19 Q4,Dumfries and Galloway,All Ages,GP,10,7.1,110,2
2018/19 Q4,Dumfries and Galloway,All Ages,Care Home,0,0,30,1
2018/19 Q4,Dumfries and Galloway,All Ages,Self Referral,10,7.1,620,13
2018/19 Q4,Dumfries and Galloway,All Ages,Other/Unknown,5,3.6,175,4
2018/19 Q4,Dumfries and Galloway,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Dumfries and Galloway,0-17 years,GP,0,NA,0,0
2018/19 Q4,Dumfries and Galloway,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Dumfries and Galloway,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Dumfries and Galloway,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,Dumfries and Galloway,18-64 years,999 Emergency Services,5,100,365,66
2018/19 Q4,Dumfries and Galloway,18-64 years,GP,0,0,15,3
2018/19 Q4,Dumfries and Galloway,18-64 years,Care Home,0,0,5,1
2018/19 Q4,Dumfries and Galloway,18-64 years,Self Referral,0,0,135,25
2018/19 Q4,Dumfries and Galloway,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,Dumfries and Galloway,65-74 years,999 Emergency Services,10,100,460,84
2018/19 Q4,Dumfries and Galloway,65-74 years,GP,0,0,10,2
2018/19 Q4,Dumfries and Galloway,65-74 years,Care Home,0,0,5,1
2018/19 Q4,Dumfries and Galloway,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,Dumfries and Galloway,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,Dumfries and Galloway,75-84 years,999 Emergency Services,40,88.9,1270,83
2018/19 Q4,Dumfries and Galloway,75-84 years,GP,0,0,30,2
2018/19 Q4,Dumfries and Galloway,75-84 years,Care Home,0,0,10,1
2018/19 Q4,Dumfries and Galloway,75-84 years,Self Referral,5,11.1,170,11
2018/19 Q4,Dumfries and Galloway,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,Dumfries and Galloway,85+ years,999 Emergency Services,60,85.7,1715,81
2018/19 Q4,Dumfries and Galloway,85+ years,GP,5,7.1,50,2
2018/19 Q4,Dumfries and Galloway,85+ years,Care Home,0,0,10,0
2018/19 Q4,Dumfries and Galloway,85+ years,Self Referral,5,7.1,245,12
2018/19 Q4,Dumfries and Galloway,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,Dumfries and Galloway,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Dumfries and Galloway,Unknown,GP,0,NA,0,NA
2018/19 Q4,Dumfries and Galloway,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Dumfries and Galloway,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Dumfries and Galloway,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Dundee City,All Ages,999 Emergency Services,60,66.7,3815,80
2018/19 Q4,Dundee City,All Ages,GP,5,5.6,110,2
2018/19 Q4,Dundee City,All Ages,Care Home,0,0,30,1
2018/19 Q4,Dundee City,All Ages,Self Referral,20,22.2,620,13
2018/19 Q4,Dundee City,All Ages,Other/Unknown,5,5.6,175,4
2018/19 Q4,Dundee City,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Dundee City,0-17 years,GP,0,NA,0,0
2018/19 Q4,Dundee City,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Dundee City,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Dundee City,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,Dundee City,18-64 years,999 Emergency Services,5,50,365,66
2018/19 Q4,Dundee City,18-64 years,GP,0,0,15,3
2018/19 Q4,Dundee City,18-64 years,Care Home,0,0,5,1
2018/19 Q4,Dundee City,18-64 years,Self Referral,5,50,135,25
2018/19 Q4,Dundee City,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,Dundee City,65-74 years,999 Emergency Services,10,66.7,460,84
2018/19 Q4,Dundee City,65-74 years,GP,0,0,10,2
2018/19 Q4,Dundee City,65-74 years,Care Home,0,0,5,1
2018/19 Q4,Dundee City,65-74 years,Self Referral,5,33.3,60,11
2018/19 Q4,Dundee City,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,Dundee City,75-84 years,999 Emergency Services,25,71.4,1270,83
2018/19 Q4,Dundee City,75-84 years,GP,0,0,30,2
2018/19 Q4,Dundee City,75-84 years,Care Home,0,0,10,1
2018/19 Q4,Dundee City,75-84 years,Self Referral,5,14.3,170,11
2018/19 Q4,Dundee City,75-84 years,Other/Unknown,5,14.3,45,3
2018/19 Q4,Dundee City,85+ years,999 Emergency Services,25,71.4,1715,81
2018/19 Q4,Dundee City,85+ years,GP,5,14.3,50,2
2018/19 Q4,Dundee City,85+ years,Care Home,0,0,10,0
2018/19 Q4,Dundee City,85+ years,Self Referral,5,14.3,245,12
2018/19 Q4,Dundee City,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,Dundee City,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,Dundee City,Unknown,GP,0,NA,0,NA
2018/19 Q4,Dundee City,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,Dundee City,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,Dundee City,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,East Ayrshire,All Ages,999 Emergency Services,90,72,3815,80
2018/19 Q4,East Ayrshire,All Ages,GP,0,0,110,2
2018/19 Q4,East Ayrshire,All Ages,Care Home,0,0,30,1
2018/19 Q4,East Ayrshire,All Ages,Self Referral,30,24,620,13
2018/19 Q4,East Ayrshire,All Ages,Other/Unknown,5,4,175,4
2018/19 Q4,East Ayrshire,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,East Ayrshire,0-17 years,GP,0,NA,0,0
2018/19 Q4,East Ayrshire,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,East Ayrshire,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,East Ayrshire,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,East Ayrshire,18-64 years,999 Emergency Services,10,66.7,365,66
2018/19 Q4,East Ayrshire,18-64 years,GP,0,0,15,3
2018/19 Q4,East Ayrshire,18-64 years,Care Home,0,0,5,1
2018/19 Q4,East Ayrshire,18-64 years,Self Referral,5,33.3,135,25
2018/19 Q4,East Ayrshire,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,East Ayrshire,65-74 years,999 Emergency Services,5,100,460,84
2018/19 Q4,East Ayrshire,65-74 years,GP,0,0,10,2
2018/19 Q4,East Ayrshire,65-74 years,Care Home,0,0,5,1
2018/19 Q4,East Ayrshire,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,East Ayrshire,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,East Ayrshire,75-84 years,999 Emergency Services,40,80,1270,83
2018/19 Q4,East Ayrshire,75-84 years,GP,0,0,30,2
2018/19 Q4,East Ayrshire,75-84 years,Care Home,0,0,10,1
2018/19 Q4,East Ayrshire,75-84 years,Self Referral,10,20,170,11
2018/19 Q4,East Ayrshire,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,East Ayrshire,85+ years,999 Emergency Services,40,80,1715,81
2018/19 Q4,East Ayrshire,85+ years,GP,0,0,50,2
2018/19 Q4,East Ayrshire,85+ years,Care Home,0,0,10,0
2018/19 Q4,East Ayrshire,85+ years,Self Referral,10,20,245,12
2018/19 Q4,East Ayrshire,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,East Ayrshire,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,East Ayrshire,Unknown,GP,0,NA,0,NA
2018/19 Q4,East Ayrshire,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,East Ayrshire,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,East Ayrshire,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,East Dunbartonshire,All Ages,999 Emergency Services,105,84,3815,80
2018/19 Q4,East Dunbartonshire,All Ages,GP,0,0,110,2
2018/19 Q4,East Dunbartonshire,All Ages,Care Home,0,0,30,1
2018/19 Q4,East Dunbartonshire,All Ages,Self Referral,20,16,620,13
2018/19 Q4,East Dunbartonshire,All Ages,Other/Unknown,0,0,175,4
2018/19 Q4,East Dunbartonshire,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,East Dunbartonshire,0-17 years,GP,0,NA,0,0
2018/19 Q4,East Dunbartonshire,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,East Dunbartonshire,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,East Dunbartonshire,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,East Dunbartonshire,18-64 years,999 Emergency Services,5,100,365,66
2018/19 Q4,East Dunbartonshire,18-64 years,GP,0,0,15,3
2018/19 Q4,East Dunbartonshire,18-64 years,Care Home,0,0,5,1
2018/19 Q4,East Dunbartonshire,18-64 years,Self Referral,0,0,135,25
2018/19 Q4,East Dunbartonshire,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,East Dunbartonshire,65-74 years,999 Emergency Services,10,100,460,84
2018/19 Q4,East Dunbartonshire,65-74 years,GP,0,0,10,2
2018/19 Q4,East Dunbartonshire,65-74 years,Care Home,0,0,5,1
2018/19 Q4,East Dunbartonshire,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,East Dunbartonshire,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,East Dunbartonshire,75-84 years,999 Emergency Services,45,81.8,1270,83
2018/19 Q4,East Dunbartonshire,75-84 years,GP,0,0,30,2
2018/19 Q4,East Dunbartonshire,75-84 years,Care Home,0,0,10,1
2018/19 Q4,East Dunbartonshire,75-84 years,Self Referral,10,18.2,170,11
2018/19 Q4,East Dunbartonshire,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,East Dunbartonshire,85+ years,999 Emergency Services,40,80,1715,81
2018/19 Q4,East Dunbartonshire,85+ years,GP,0,0,50,2
2018/19 Q4,East Dunbartonshire,85+ years,Care Home,0,0,10,0
2018/19 Q4,East Dunbartonshire,85+ years,Self Referral,10,20,245,12
2018/19 Q4,East Dunbartonshire,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,East Dunbartonshire,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,East Dunbartonshire,Unknown,GP,0,NA,0,NA
2018/19 Q4,East Dunbartonshire,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,East Dunbartonshire,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,East Dunbartonshire,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,East Lothian,All Ages,999 Emergency Services,70,87.5,3815,80
2018/19 Q4,East Lothian,All Ages,GP,0,0,110,2
2018/19 Q4,East Lothian,All Ages,Care Home,0,0,30,1
2018/19 Q4,East Lothian,All Ages,Self Referral,5,6.2,620,13
2018/19 Q4,East Lothian,All Ages,Other/Unknown,5,6.2,175,4
2018/19 Q4,East Lothian,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,East Lothian,0-17 years,GP,0,NA,0,0
2018/19 Q4,East Lothian,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,East Lothian,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,East Lothian,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,East Lothian,18-64 years,999 Emergency Services,5,100,365,66
2018/19 Q4,East Lothian,18-64 years,GP,0,0,15,3
2018/19 Q4,East Lothian,18-64 years,Care Home,0,0,5,1
2018/19 Q4,East Lothian,18-64 years,Self Referral,0,0,135,25
2018/19 Q4,East Lothian,18-64 years,Other/Unknown,0,0,30,5
2018/19 Q4,East Lothian,65-74 years,999 Emergency Services,5,100,460,84
2018/19 Q4,East Lothian,65-74 years,GP,0,0,10,2
2018/19 Q4,East Lothian,65-74 years,Care Home,0,0,5,1
2018/19 Q4,East Lothian,65-74 years,Self Referral,0,0,60,11
2018/19 Q4,East Lothian,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,East Lothian,75-84 years,999 Emergency Services,25,100,1270,83
2018/19 Q4,East Lothian,75-84 years,GP,0,0,30,2
2018/19 Q4,East Lothian,75-84 years,Care Home,0,0,10,1
2018/19 Q4,East Lothian,75-84 years,Self Referral,0,0,170,11
2018/19 Q4,East Lothian,75-84 years,Other/Unknown,0,0,45,3
2018/19 Q4,East Lothian,85+ years,999 Emergency Services,35,87.5,1715,81
2018/19 Q4,East Lothian,85+ years,GP,0,0,50,2
2018/19 Q4,East Lothian,85+ years,Care Home,0,0,10,0
2018/19 Q4,East Lothian,85+ years,Self Referral,0,0,245,12
2018/19 Q4,East Lothian,85+ years,Other/Unknown,5,12.5,85,4
2018/19 Q4,East Lothian,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,East Lothian,Unknown,GP,0,NA,0,NA
2018/19 Q4,East Lothian,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,East Lothian,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,East Lothian,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,East Renfrewshire,All Ages,999 Emergency Services,85,81,3815,80
2018/19 Q4,East Renfrewshire,All Ages,GP,0,0,110,2
2018/19 Q4,East Renfrewshire,All Ages,Care Home,0,0,30,1
2018/19 Q4,East Renfrewshire,All Ages,Self Referral,15,14.3,620,13
2018/19 Q4,East Renfrewshire,All Ages,Other/Unknown,5,4.8,175,4
2018/19 Q4,East Renfrewshire,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,East Renfrewshire,0-17 years,GP,0,NA,0,0
2018/19 Q4,East Renfrewshire,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,East Renfrewshire,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,East Renfrewshire,0-17 years,Other/Unknown,0,NA,0,0
2018/19 Q4,East Renfrewshire,18-64 years,999 Emergency Services,0,NA,365,66
2018/19 Q4,East Renfrewshire,18-64 years,GP,0,NA,15,3
2018/19 Q4,East Renfrewshire,18-64 years,Care Home,0,NA,5,1
2018/19 Q4,East Renfrewshire,18-64 years,Self Referral,0,NA,135,25
2018/19 Q4,East Renfrewshire,18-64 years,Other/Unknown,0,NA,30,5
2018/19 Q4,East Renfrewshire,65-74 years,999 Emergency Services,15,75,460,84
2018/19 Q4,East Renfrewshire,65-74 years,GP,0,0,10,2
2018/19 Q4,East Renfrewshire,65-74 years,Care Home,0,0,5,1
2018/19 Q4,East Renfrewshire,65-74 years,Self Referral,5,25,60,11
2018/19 Q4,East Renfrewshire,65-74 years,Other/Unknown,0,0,10,2
2018/19 Q4,East Renfrewshire,75-84 years,999 Emergency Services,25,71.4,1270,83
2018/19 Q4,East Renfrewshire,75-84 years,GP,0,0,30,2
2018/19 Q4,East Renfrewshire,75-84 years,Care Home,0,0,10,1
2018/19 Q4,East Renfrewshire,75-84 years,Self Referral,5,14.3,170,11
2018/19 Q4,East Renfrewshire,75-84 years,Other/Unknown,5,14.3,45,3
2018/19 Q4,East Renfrewshire,85+ years,999 Emergency Services,45,81.8,1715,81
2018/19 Q4,East Renfrewshire,85+ years,GP,0,0,50,2
2018/19 Q4,East Renfrewshire,85+ years,Care Home,0,0,10,0
2018/19 Q4,East Renfrewshire,85+ years,Self Referral,10,18.2,245,12
2018/19 Q4,East Renfrewshire,85+ years,Other/Unknown,0,0,85,4
2018/19 Q4,East Renfrewshire,Unknown,999 Emergency Services,0,NA,0,NA
2018/19 Q4,East Renfrewshire,Unknown,GP,0,NA,0,NA
2018/19 Q4,East Renfrewshire,Unknown,Care Home,0,NA,0,NA
2018/19 Q4,East Renfrewshire,Unknown,Self Referral,0,NA,0,NA
2018/19 Q4,East Renfrewshire,Unknown,Other/Unknown,0,NA,0,NA
2018/19 Q4,Falkirk,All Ages,999 Emergency Services,110,73.3,3815,80
2018/19 Q4,Falkirk,All Ages,GP,5,3.3,110,2
2018/19 Q4,Falkirk,All Ages,Care Home,0,0,30,1
2018/19 Q4,Falkirk,All Ages,Self Referral,30,20,620,13
2018/19 Q4,Falkirk,All Ages,Other/Unknown,5,3.3,175,4
2018/19 Q4,Falkirk,0-17 years,999 Emergency Services,0,NA,0,0
2018/19 Q4,Falkirk,0-17 years,GP,0,NA,0,0
2018/19 Q4,Falkirk,0-17 years,Care Home,0,NA,0,0
2018/19 Q4,Falkirk,0-17 years,Self Referral,0,NA,10,100
2018/19 Q4,Falkirk,0-17 years,Other/Unknown,0,NA,0,0
