financial_year,sending_location,age_group,cah_status,percentage,nclient
2020/21,Dumfries and Galloway,65-74 years,No Care at Home Service Received,55.7,270
2020/21,Dumfries and Galloway,75-84 years,Care at Home Service Received,39.4,570
2020/21,Dumfries and Galloway,75-84 years,No Care at Home Service Received,60.6,875
2020/21,Dumfries and Galloway,85+ years,Care at Home Service Received,43.6,790
2020/21,Dumfries and Galloway,85+ years,No Care at Home Service Received,56.4,1020
2021/22,Dumfries and Galloway,All Ages,Care at Home Service Received,34.3,1490
2021/22,Dumfries and Galloway,All Ages,No Care at Home Service Received,65.7,2850
2021/22,Dumfries and Galloway,0-17 years,Care at Home Service Received,0,0
2021/22,Dumfries and Galloway,0-17 years,No Care at Home Service Received,100,45
2021/22,Dumfries and Galloway,18-64 years,Care at Home Service Received,41.4,180
2021/22,Dumfries and Galloway,18-64 years,No Care at Home Service Received,58.6,255
2021/22,Dumfries and Galloway,65-74 years,Care at Home Service Received,37.6,190
2021/22,Dumfries and Galloway,65-74 years,No Care at Home Service Received,62.4,315
2021/22,Dumfries and Galloway,75-84 years,Care at Home Service Received,31.2,465
2021/22,Dumfries and Galloway,75-84 years,No Care at Home Service Received,68.8,1025
2021/22,Dumfries and Galloway,85+ years,Care at Home Service Received,35.1,655
2021/22,Dumfries and Galloway,85+ years,No Care at Home Service Received,64.9,1210
2018/19,Dundee City,All Ages,Care at Home Service Received,34.6,2030
2018/19,Dundee City,All Ages,No Care at Home Service Received,65.4,3835
2018/19,Dundee City,0-17 years,Care at Home Service Received,0,0
2018/19,Dundee City,0-17 years,No Care at Home Service Received,100,5
2018/19,Dundee City,18-64 years,Care at Home Service Received,20.3,185
2018/19,Dundee City,18-64 years,No Care at Home Service Received,79.7,725
2018/19,Dundee City,65-74 years,Care at Home Service Received,24.7,340
2018/19,Dundee City,65-74 years,No Care at Home Service Received,75.3,1035
2018/19,Dundee City,75-84 years,Care at Home Service Received,35.9,710
2018/19,Dundee City,75-84 years,No Care at Home Service Received,64.1,1270
2018/19,Dundee City,85+ years,Care at Home Service Received,49.8,800
2018/19,Dundee City,85+ years,No Care at Home Service Received,50.2,805
2019/20,Dundee City,All Ages,Care at Home Service Received,34.2,2010
2019/20,Dundee City,All Ages,No Care at Home Service Received,65.8,3870
2019/20,Dundee City,0-17 years,Care at Home Service Received,0,0
2019/20,Dundee City,0-17 years,No Care at Home Service Received,100,5
2019/20,Dundee City,18-64 years,Care at Home Service Received,24.3,210
2019/20,Dundee City,18-64 years,No Care at Home Service Received,75.7,655
2019/20,Dundee City,65-74 years,Care at Home Service Received,26.1,325
2019/20,Dundee City,65-74 years,No Care at Home Service Received,73.9,920
2019/20,Dundee City,75-84 years,Care at Home Service Received,34,675
2019/20,Dundee City,75-84 years,No Care at Home Service Received,66,1310
2019/20,Dundee City,85+ years,Care at Home Service Received,44.8,800
2019/20,Dundee City,85+ years,No Care at Home Service Received,55.2,985
2020/21,Dundee City,All Ages,Care at Home Service Received,33.1,1650
2020/21,Dundee City,All Ages,No Care at Home Service Received,66.9,3340
2020/21,Dundee City,0-17 years,Care at Home Service Received,0,0
2020/21,Dundee City,0-17 years,No Care at Home Service Received,100,5
2020/21,Dundee City,18-64 years,Care at Home Service Received,26.6,190
2020/21,Dundee City,18-64 years,No Care at Home Service Received,73.4,525
2020/21,Dundee City,65-74 years,Care at Home Service Received,24.1,270
2020/21,Dundee City,65-74 years,No Care at Home Service Received,75.9,850
2020/21,Dundee City,75-84 years,Care at Home Service Received,33.3,545
2020/21,Dundee City,75-84 years,No Care at Home Service Received,66.7,1090
2020/21,Dundee City,85+ years,Care at Home Service Received,42.6,650
2020/21,Dundee City,85+ years,No Care at Home Service Received,57.4,875
2021/22,Dundee City,All Ages,Care at Home Service Received,31.5,1640
2021/22,Dundee City,All Ages,No Care at Home Service Received,68.5,3565
2021/22,Dundee City,0-17 years,Care at Home Service Received,0,0
2021/22,Dundee City,0-17 years,No Care at Home Service Received,100,5
2021/22,Dundee City,18-64 years,Care at Home Service Received,24.3,175
2021/22,Dundee City,18-64 years,No Care at Home Service Received,75.7,545
2021/22,Dundee City,65-74 years,Care at Home Service Received,24.3,280
2021/22,Dundee City,65-74 years,No Care at Home Service Received,75.7,870
2021/22,Dundee City,75-84 years,Care at Home Service Received,31,520
2021/22,Dundee City,75-84 years,No Care at Home Service Received,69,1155
2021/22,Dundee City,85+ years,Care at Home Service Received,40.2,665
2021/22,Dundee City,85+ years,No Care at Home Service Received,59.8,990
2018/19,East Ayrshire,All Ages,Care at Home Service Received,45.2,1995
2018/19,East Ayrshire,All Ages,No Care at Home Service Received,54.8,2420
2018/19,East Ayrshire,0-17 years,Care at Home Service Received,0,0
2018/19,East Ayrshire,0-17 years,No Care at Home Service Received,100,30
2018/19,East Ayrshire,18-64 years,Care at Home Service Received,34.7,210
2018/19,East Ayrshire,18-64 years,No Care at Home Service Received,65.3,395
2018/19,East Ayrshire,65-74 years,Care at Home Service Received,44.1,300
2018/19,East Ayrshire,65-74 years,No Care at Home Service Received,55.9,380
2018/19,East Ayrshire,75-84 years,Care at Home Service Received,46.1,770
2018/19,East Ayrshire,75-84 years,No Care at Home Service Received,53.9,900
2018/19,East Ayrshire,85+ years,Care at Home Service Received,50.2,715
2018/19,East Ayrshire,85+ years,No Care at Home Service Received,49.8,710
2019/20,East Ayrshire,All Ages,Care at Home Service Received,46.5,2005
2019/20,East Ayrshire,All Ages,No Care at Home Service Received,53.5,2310
2019/20,East Ayrshire,0-17 years,Care at Home Service Received,0,0
2019/20,East Ayrshire,0-17 years,No Care at Home Service Received,100,30
2019/20,East Ayrshire,18-64 years,Care at Home Service Received,36.7,220
2019/20,East Ayrshire,18-64 years,No Care at Home Service Received,63.3,380
2019/20,East Ayrshire,65-74 years,Care at Home Service Received,43.2,270
2019/20,East Ayrshire,65-74 years,No Care at Home Service Received,56.8,355
2019/20,East Ayrshire,75-84 years,Care at Home Service Received,47.8,770
2019/20,East Ayrshire,75-84 years,No Care at Home Service Received,52.2,840
2019/20,East Ayrshire,85+ years,Care at Home Service Received,51.6,745
2019/20,East Ayrshire,85+ years,No Care at Home Service Received,48.4,700
2020/21,East Ayrshire,All Ages,Care at Home Service Received,48.2,1770
2020/21,East Ayrshire,All Ages,No Care at Home Service Received,51.8,1900
2020/21,East Ayrshire,0-17 years,Care at Home Service Received,63.2,120
2020/21,East Ayrshire,0-17 years,No Care at Home Service Received,36.8,70
2020/21,East Ayrshire,18-64 years,Care at Home Service Received,52.6,405
2020/21,East Ayrshire,18-64 years,No Care at Home Service Received,47.4,365
2020/21,East Ayrshire,65-74 years,Care at Home Service Received,39.4,195
2020/21,East Ayrshire,65-74 years,No Care at Home Service Received,60.6,300
2020/21,East Ayrshire,75-84 years,Care at Home Service Received,43.6,495
2020/21,East Ayrshire,75-84 years,No Care at Home Service Received,56.4,640
2020/21,East Ayrshire,85+ years,Care at Home Service Received,51.4,555
2020/21,East Ayrshire,85+ years,No Care at Home Service Received,48.6,525
2021/22,East Ayrshire,All Ages,Care at Home Service Received,44.5,1665
2021/22,East Ayrshire,All Ages,No Care at Home Service Received,55.5,2075
2021/22,East Ayrshire,0-17 years,Care at Home Service Received,73.3,165
2021/22,East Ayrshire,0-17 years,No Care at Home Service Received,26.7,60
2021/22,East Ayrshire,18-64 years,Care at Home Service Received,59.4,505
2021/22,East Ayrshire,18-64 years,No Care at Home Service Received,40.6,345
2021/22,East Ayrshire,65-74 years,Care at Home Service Received,35.3,180
2021/22,East Ayrshire,65-74 years,No Care at Home Service Received,64.7,330
2021/22,East Ayrshire,75-84 years,Care at Home Service Received,34.2,380
2021/22,East Ayrshire,75-84 years,No Care at Home Service Received,65.8,730
2021/22,East Ayrshire,85+ years,Care at Home Service Received,41.8,435
2021/22,East Ayrshire,85+ years,No Care at Home Service Received,58.2,605
2018/19,East Dunbartonshire,All Ages,Care at Home Service Received,49,875
2018/19,East Dunbartonshire,All Ages,No Care at Home Service Received,51,910
2018/19,East Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2018/19,East Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2018/19,East Dunbartonshire,18-64 years,Care at Home Service Received,35.7,50
2018/19,East Dunbartonshire,18-64 years,No Care at Home Service Received,64.3,90
2018/19,East Dunbartonshire,65-74 years,Care at Home Service Received,46.2,90
2018/19,East Dunbartonshire,65-74 years,No Care at Home Service Received,53.8,105
2018/19,East Dunbartonshire,75-84 years,Care at Home Service Received,50,310
2018/19,East Dunbartonshire,75-84 years,No Care at Home Service Received,50,310
2018/19,East Dunbartonshire,85+ years,Care at Home Service Received,51.5,425
2018/19,East Dunbartonshire,85+ years,No Care at Home Service Received,48.5,400
2019/20,East Dunbartonshire,All Ages,Care at Home Service Received,45.7,780
2019/20,East Dunbartonshire,All Ages,No Care at Home Service Received,54.3,925
2019/20,East Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2019/20,East Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2019/20,East Dunbartonshire,18-64 years,Care at Home Service Received,39.1,45
2019/20,East Dunbartonshire,18-64 years,No Care at Home Service Received,60.9,70
2019/20,East Dunbartonshire,65-74 years,Care at Home Service Received,38.9,70
2019/20,East Dunbartonshire,65-74 years,No Care at Home Service Received,61.1,110
2019/20,East Dunbartonshire,75-84 years,Care at Home Service Received,42.4,250
2019/20,East Dunbartonshire,75-84 years,No Care at Home Service Received,57.6,340
2019/20,East Dunbartonshire,85+ years,Care at Home Service Received,50.6,410
2019/20,East Dunbartonshire,85+ years,No Care at Home Service Received,49.4,400
2020/21,East Dunbartonshire,All Ages,Care at Home Service Received,36.3,665
2020/21,East Dunbartonshire,All Ages,No Care at Home Service Received,63.7,1165
2020/21,East Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2020/21,East Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2020/21,East Dunbartonshire,18-64 years,Care at Home Service Received,23.5,40
2020/21,East Dunbartonshire,18-64 years,No Care at Home Service Received,76.5,130
2020/21,East Dunbartonshire,65-74 years,Care at Home Service Received,34.1,70
2020/21,East Dunbartonshire,65-74 years,No Care at Home Service Received,65.9,135
2020/21,East Dunbartonshire,75-84 years,Care at Home Service Received,35.2,220
2020/21,East Dunbartonshire,75-84 years,No Care at Home Service Received,64.8,405
2020/21,East Dunbartonshire,85+ years,Care at Home Service Received,40.7,340
2020/21,East Dunbartonshire,85+ years,No Care at Home Service Received,59.3,495
2021/22,East Dunbartonshire,All Ages,Care at Home Service Received,41.1,825
2021/22,East Dunbartonshire,All Ages,No Care at Home Service Received,58.9,1180
2021/22,East Dunbartonshire,0-17 years,Care at Home Service Received,0,0
2021/22,East Dunbartonshire,0-17 years,No Care at Home Service Received,100,5
2021/22,East Dunbartonshire,18-64 years,Care at Home Service Received,30.8,60
2021/22,East Dunbartonshire,18-64 years,No Care at Home Service Received,69.2,135
2021/22,East Dunbartonshire,65-74 years,Care at Home Service Received,40,90
2021/22,East Dunbartonshire,65-74 years,No Care at Home Service Received,60,135
2021/22,East Dunbartonshire,75-84 years,Care at Home Service Received,40,280
2021/22,East Dunbartonshire,75-84 years,No Care at Home Service Received,60,420
2021/22,East Dunbartonshire,85+ years,Care at Home Service Received,44.9,395
2021/22,East Dunbartonshire,85+ years,No Care at Home Service Received,55.1,485
2018/19,East Lothian,All Ages,Care at Home Service Received,33,305
2018/19,East Lothian,All Ages,No Care at Home Service Received,67,620
2018/19,East Lothian,0-17 years,Care at Home Service Received,NA,0
2018/19,East Lothian,0-17 years,No Care at Home Service Received,NA,0
2018/19,East Lothian,18-64 years,Care at Home Service Received,19,20
2018/19,East Lothian,18-64 years,No Care at Home Service Received,81,85
2018/19,East Lothian,65-74 years,Care at Home Service Received,20,30
2018/19,East Lothian,65-74 years,No Care at Home Service Received,80,120
2018/19,East Lothian,75-84 years,Care at Home Service Received,30.9,105
2018/19,East Lothian,75-84 years,No Care at Home Service Received,69.1,235
2018/19,East Lothian,85+ years,Care at Home Service Received,47,155
2018/19,East Lothian,85+ years,No Care at Home Service Received,53,175
2019/20,East Lothian,All Ages,Care at Home Service Received,40.3,405
2019/20,East Lothian,All Ages,No Care at Home Service Received,59.7,600
2019/20,East Lothian,0-17 years,Care at Home Service Received,NA,0
2019/20,East Lothian,0-17 years,No Care at Home Service Received,NA,0
2019/20,East Lothian,18-64 years,Care at Home Service Received,30,30
2019/20,East Lothian,18-64 years,No Care at Home Service Received,70,70
2019/20,East Lothian,65-74 years,Care at Home Service Received,31,45
2019/20,East Lothian,65-74 years,No Care at Home Service Received,69,100
2019/20,East Lothian,75-84 years,Care at Home Service Received,37.5,135
2019/20,East Lothian,75-84 years,No Care at Home Service Received,62.5,225
2019/20,East Lothian,85+ years,Care at Home Service Received,48.8,195
2019/20,East Lothian,85+ years,No Care at Home Service Received,51.2,205
2018/19,East Renfrewshire,All Ages,Care at Home Service Received,34.6,1135
2018/19,East Renfrewshire,All Ages,No Care at Home Service Received,65.4,2145
2018/19,East Renfrewshire,0-17 years,Care at Home Service Received,0,0
2018/19,East Renfrewshire,0-17 years,No Care at Home Service Received,100,15
2018/19,East Renfrewshire,18-64 years,Care at Home Service Received,24.2,80
2018/19,East Renfrewshire,18-64 years,No Care at Home Service Received,75.8,250
2018/19,East Renfrewshire,65-74 years,Care at Home Service Received,32.9,135
2018/19,East Renfrewshire,65-74 years,No Care at Home Service Received,67.1,275
2018/19,East Renfrewshire,75-84 years,Care at Home Service Received,32.2,375
2018/19,East Renfrewshire,75-84 years,No Care at Home Service Received,67.8,790
2018/19,East Renfrewshire,85+ years,Care at Home Service Received,40,540
2018/19,East Renfrewshire,85+ years,No Care at Home Service Received,60,810
2019/20,East Renfrewshire,All Ages,Care at Home Service Received,36.9,1180
2019/20,East Renfrewshire,All Ages,No Care at Home Service Received,63.1,2015
2019/20,East Renfrewshire,0-17 years,Care at Home Service Received,0,0
2019/20,East Renfrewshire,0-17 years,No Care at Home Service Received,100,10
2019/20,East Renfrewshire,18-64 years,Care at Home Service Received,26.5,90
2019/20,East Renfrewshire,18-64 years,No Care at Home Service Received,73.5,250
2019/20,East Renfrewshire,65-74 years,Care at Home Service Received,33.8,130
2019/20,East Renfrewshire,65-74 years,No Care at Home Service Received,66.2,255
2019/20,East Renfrewshire,75-84 years,Care at Home Service Received,32.9,360
2019/20,East Renfrewshire,75-84 years,No Care at Home Service Received,67.1,735
2019/20,East Renfrewshire,85+ years,Care at Home Service Received,44,600
2019/20,East Renfrewshire,85+ years,No Care at Home Service Received,56,765
2020/21,East Renfrewshire,All Ages,Care at Home Service Received,40.3,1285
2020/21,East Renfrewshire,All Ages,No Care at Home Service Received,59.7,1905
2020/21,East Renfrewshire,0-17 years,Care at Home Service Received,0,0
2020/21,East Renfrewshire,0-17 years,No Care at Home Service Received,100,10
2020/21,East Renfrewshire,18-64 years,Care at Home Service Received,30.2,95
2020/21,East Renfrewshire,18-64 years,No Care at Home Service Received,69.8,220
2020/21,East Renfrewshire,65-74 years,Care at Home Service Received,37.7,145
2020/21,East Renfrewshire,65-74 years,No Care at Home Service Received,62.3,240
2020/21,East Renfrewshire,75-84 years,Care at Home Service Received,36.3,385
2020/21,East Renfrewshire,75-84 years,No Care at Home Service Received,63.7,675
2020/21,East Renfrewshire,85+ years,Care at Home Service Received,46.6,660
2020/21,East Renfrewshire,85+ years,No Care at Home Service Received,53.4,755
2021/22,East Renfrewshire,All Ages,Care at Home Service Received,39.9,1355
2021/22,East Renfrewshire,All Ages,No Care at Home Service Received,60.1,2040
2021/22,East Renfrewshire,0-17 years,Care at Home Service Received,0,0
2021/22,East Renfrewshire,0-17 years,No Care at Home Service Received,100,25
2021/22,East Renfrewshire,18-64 years,Care at Home Service Received,34.4,110
2021/22,East Renfrewshire,18-64 years,No Care at Home Service Received,65.6,210
2021/22,East Renfrewshire,65-74 years,Care at Home Service Received,37.3,155
2021/22,East Renfrewshire,65-74 years,No Care at Home Service Received,62.7,260
2021/22,East Renfrewshire,75-84 years,Care at Home Service Received,35.9,400
2021/22,East Renfrewshire,75-84 years,No Care at Home Service Received,64.1,715
2021/22,East Renfrewshire,85+ years,Care at Home Service Received,45.4,685
2021/22,East Renfrewshire,85+ years,No Care at Home Service Received,54.6,825
2018/19,Falkirk,All Ages,Care at Home Service Received,43.2,2045
2018/19,Falkirk,All Ages,No Care at Home Service Received,56.8,2685
2018/19,Falkirk,0-17 years,Care at Home Service Received,0,0
2018/19,Falkirk,0-17 years,No Care at Home Service Received,100,5
2018/19,Falkirk,18-64 years,Care at Home Service Received,28.7,165
2018/19,Falkirk,18-64 years,No Care at Home Service Received,71.3,410
2018/19,Falkirk,65-74 years,Care at Home Service Received,34.2,270
2018/19,Falkirk,65-74 years,No Care at Home Service Received,65.8,520
2018/19,Falkirk,75-84 years,Care at Home Service Received,42.3,740
2018/19,Falkirk,75-84 years,No Care at Home Service Received,57.7,1010
2018/19,Falkirk,85+ years,Care at Home Service Received,53.9,870
2018/19,Falkirk,85+ years,No Care at Home Service Received,46.1,745
2019/20,Falkirk,All Ages,Care at Home Service Received,43.8,2220
2019/20,Falkirk,All Ages,No Care at Home Service Received,56.2,2845
2019/20,Falkirk,0-17 years,Care at Home Service Received,0,0
2019/20,Falkirk,0-17 years,No Care at Home Service Received,100,5
2019/20,Falkirk,18-64 years,Care at Home Service Received,28.2,175
2019/20,Falkirk,18-64 years,No Care at Home Service Received,71.8,445
2019/20,Falkirk,65-74 years,Care at Home Service Received,36.8,300
2019/20,Falkirk,65-74 years,No Care at Home Service Received,63.2,515
2019/20,Falkirk,75-84 years,Care at Home Service Received,42.3,800
2019/20,Falkirk,75-84 years,No Care at Home Service Received,57.7,1090
2019/20,Falkirk,85+ years,Care at Home Service Received,54.3,945
2019/20,Falkirk,85+ years,No Care at Home Service Received,45.7,795
2020/21,Falkirk,All Ages,Care at Home Service Received,43.3,2145
2020/21,Falkirk,All Ages,No Care at Home Service Received,56.7,2805
2020/21,Falkirk,0-17 years,Care at Home Service Received,0,0
2020/21,Falkirk,0-17 years,No Care at Home Service Received,100,5
2020/21,Falkirk,18-64 years,Care at Home Service Received,28.7,175
2020/21,Falkirk,18-64 years,No Care at Home Service Received,71.3,435
2020/21,Falkirk,65-74 years,Care at Home Service Received,36.7,290
2020/21,Falkirk,65-74 years,No Care at Home Service Received,63.3,500
2020/21,Falkirk,75-84 years,Care at Home Service Received,40.7,720
2020/21,Falkirk,75-84 years,No Care at Home Service Received,59.3,1050
2020/21,Falkirk,85+ years,Care at Home Service Received,54,955
2020/21,Falkirk,85+ years,No Care at Home Service Received,46,815
2021/22,Falkirk,All Ages,Care at Home Service Received,38.8,1835
2021/22,Falkirk,All Ages,No Care at Home Service Received,61.2,2895
2021/22,Falkirk,0-17 years,Care at Home Service Received,0,0
2021/22,Falkirk,0-17 years,No Care at Home Service Received,100,5
2021/22,Falkirk,18-64 years,Care at Home Service Received,26.3,150
2021/22,Falkirk,18-64 years,No Care at Home Service Received,73.7,420
2021/22,Falkirk,65-74 years,Care at Home Service Received,31.1,230
2021/22,Falkirk,65-74 years,No Care at Home Service Received,68.9,510
2021/22,Falkirk,75-84 years,Care at Home Service Received,38,640
2021/22,Falkirk,75-84 years,No Care at Home Service Received,62,1045
2021/22,Falkirk,85+ years,Care at Home Service Received,47.1,810
2021/22,Falkirk,85+ years,No Care at Home Service Received,52.9,910
2018/19,Fife,All Ages,Care at Home Service Received,32,3385
2018/19,Fife,All Ages,No Care at Home Service Received,68,7205
2018/19,Fife,0-17 years,Care at Home Service Received,0,0
2018/19,Fife,0-17 years,No Care at Home Service Received,100,75
2018/19,Fife,18-64 years,Care at Home Service Received,35.9,485
2018/19,Fife,18-64 years,No Care at Home Service Received,64.1,865
2018/19,Fife,65-74 years,Care at Home Service Received,28.9,485
2018/19,Fife,65-74 years,No Care at Home Service Received,71.1,1195
2018/19,Fife,75-84 years,Care at Home Service Received,28.1,1065
2018/19,Fife,75-84 years,No Care at Home Service Received,71.9,2720
2018/19,Fife,85+ years,Care at Home Service Received,36.5,1350
2018/19,Fife,85+ years,No Care at Home Service Received,63.5,2350
2019/20,Fife,All Ages,Care at Home Service Received,28.3,2805
2019/20,Fife,All Ages,No Care at Home Service Received,71.7,7115
2019/20,Fife,0-17 years,Care at Home Service Received,0,0
2019/20,Fife,0-17 years,No Care at Home Service Received,100,70
2019/20,Fife,18-64 years,Care at Home Service Received,33.2,450
2019/20,Fife,18-64 years,No Care at Home Service Received,66.8,905
2019/20,Fife,65-74 years,Care at Home Service Received,25.8,410
2019/20,Fife,65-74 years,No Care at Home Service Received,74.2,1180
2019/20,Fife,75-84 years,Care at Home Service Received,25,855
2019/20,Fife,75-84 years,No Care at Home Service Received,75,2560
2019/20,Fife,85+ years,Care at Home Service Received,31.1,1080
2019/20,Fife,85+ years,No Care at Home Service Received,68.9,2395
2020/21,Fife,All Ages,Care at Home Service Received,30.6,3250
2020/21,Fife,All Ages,No Care at Home Service Received,69.4,7360
2020/21,Fife,0-17 years,Care at Home Service Received,0,0
2020/21,Fife,0-17 years,No Care at Home Service Received,100,80
2020/21,Fife,18-64 years,Care at Home Service Received,34.9,495
2020/21,Fife,18-64 years,No Care at Home Service Received,65.1,925
2020/21,Fife,65-74 years,Care at Home Service Received,27.1,455
2020/21,Fife,65-74 years,No Care at Home Service Received,72.9,1225
2020/21,Fife,75-84 years,Care at Home Service Received,28.4,1035
2020/21,Fife,75-84 years,No Care at Home Service Received,71.6,2615
2020/21,Fife,85+ years,Care at Home Service Received,33.4,1265
2020/21,Fife,85+ years,No Care at Home Service Received,66.6,2520
2021/22,Fife,All Ages,Care at Home Service Received,28.5,2995
2021/22,Fife,All Ages,No Care at Home Service Received,71.5,7525
2021/22,Fife,0-17 years,Care at Home Service Received,0,0
2021/22,Fife,0-17 years,No Care at Home Service Received,100,80
2021/22,Fife,18-64 years,Care at Home Service Received,28.8,405
2021/22,Fife,18-64 years,No Care at Home Service Received,71.2,1000
2021/22,Fife,65-74 years,Care at Home Service Received,26.3,430
2021/22,Fife,65-74 years,No Care at Home Service Received,73.7,1205
2021/22,Fife,75-84 years,Care at Home Service Received,26.9,950
2021/22,Fife,75-84 years,No Care at Home Service Received,73.1,2585
2021/22,Fife,85+ years,Care at Home Service Received,31.4,1215
2021/22,Fife,85+ years,No Care at Home Service Received,68.6,2655
2018/19,Glasgow City,All Ages,Care at Home Service Received,48,4775
2018/19,Glasgow City,All Ages,No Care at Home Service Received,52,5170
2018/19,Glasgow City,0-17 years,Care at Home Service Received,0,0
2018/19,Glasgow City,0-17 years,No Care at Home Service Received,100,35
2018/19,Glasgow City,18-64 years,Care at Home Service Received,16.1,195
2018/19,Glasgow City,18-64 years,No Care at Home Service Received,83.9,1015
2018/19,Glasgow City,65-74 years,Care at Home Service Received,40.9,670
2018/19,Glasgow City,65-74 years,No Care at Home Service Received,59.1,970
2018/19,Glasgow City,75-84 years,Care at Home Service Received,51.5,1830
2018/19,Glasgow City,75-84 years,No Care at Home Service Received,48.5,1725
2018/19,Glasgow City,85+ years,Care at Home Service Received,59.3,2080
2018/19,Glasgow City,85+ years,No Care at Home Service Received,40.7,1425
2019/20,Glasgow City,All Ages,Care at Home Service Received,49.3,4950
2019/20,Glasgow City,All Ages,No Care at Home Service Received,50.7,5095
2019/20,Glasgow City,0-17 years,Care at Home Service Received,0,0
2019/20,Glasgow City,0-17 years,No Care at Home Service Received,100,50
2019/20,Glasgow City,18-64 years,Care at Home Service Received,20.2,255
2019/20,Glasgow City,18-64 years,No Care at Home Service Received,79.8,1005
2019/20,Glasgow City,65-74 years,Care at Home Service Received,41.6,690
2019/20,Glasgow City,65-74 years,No Care at Home Service Received,58.4,970
2019/20,Glasgow City,75-84 years,Care at Home Service Received,52.7,1870
2019/20,Glasgow City,75-84 years,No Care at Home Service Received,47.3,1680
2019/20,Glasgow City,85+ years,Care at Home Service Received,60.5,2130
2019/20,Glasgow City,85+ years,No Care at Home Service Received,39.5,1390
2020/21,Glasgow City,All Ages,Care at Home Service Received,48.1,4655
2020/21,Glasgow City,All Ages,No Care at Home Service Received,51.9,5020
2020/21,Glasgow City,0-17 years,Care at Home Service Received,0,0
2020/21,Glasgow City,0-17 years,No Care at Home Service Received,100,60
2020/21,Glasgow City,18-64 years,Care at Home Service Received,24.7,310
2020/21,Glasgow City,18-64 years,No Care at Home Service Received,75.3,945
2020/21,Glasgow City,65-74 years,Care at Home Service Received,42.3,670
2020/21,Glasgow City,65-74 years,No Care at Home Service Received,57.7,915
2020/21,Glasgow City,75-84 years,Care at Home Service Received,51.1,1710
2020/21,Glasgow City,75-84 years,No Care at Home Service Received,48.9,1635
2020/21,Glasgow City,85+ years,Care at Home Service Received,57.4,1965
2020/21,Glasgow City,85+ years,No Care at Home Service Received,42.6,1460
2021/22,Glasgow City,All Ages,Care at Home Service Received,48,4735
2021/22,Glasgow City,All Ages,No Care at Home Service Received,52,5135
2021/22,Glasgow City,0-17 years,Care at Home Service Received,0,0
2021/22,Glasgow City,0-17 years,No Care at Home Service Received,100,75
2021/22,Glasgow City,18-64 years,Care at Home Service Received,26.7,370
2021/22,Glasgow City,18-64 years,No Care at Home Service Received,73.3,1015
2021/22,Glasgow City,65-74 years,Care at Home Service Received,42.5,720
2021/22,Glasgow City,65-74 years,No Care at Home Service Received,57.5,975
2021/22,Glasgow City,75-84 years,Care at Home Service Received,49.8,1645
2021/22,Glasgow City,75-84 years,No Care at Home Service Received,50.2,1660
2021/22,Glasgow City,85+ years,Care at Home Service Received,58.7,2000
2021/22,Glasgow City,85+ years,No Care at Home Service Received,41.3,1405
2018/19,Highland,All Ages,Care at Home Service Received,38.1,1335
2018/19,Highland,All Ages,No Care at Home Service Received,61.9,2165
2018/19,Highland,0-17 years,Care at Home Service Received,0,0
2018/19,Highland,0-17 years,No Care at Home Service Received,100,50
2018/19,Highland,18-64 years,Care at Home Service Received,18.4,80
2018/19,Highland,18-64 years,No Care at Home Service Received,81.6,355
2018/19,Highland,65-74 years,Care at Home Service Received,36.8,125
2018/19,Highland,65-74 years,No Care at Home Service Received,63.2,215
2018/19,Highland,75-84 years,Care at Home Service Received,39.7,435
2018/19,Highland,75-84 years,No Care at Home Service Received,60.3,660
2018/19,Highland,85+ years,Care at Home Service Received,44,695
2018/19,Highland,85+ years,No Care at Home Service Received,56,885
2019/20,Highland,All Ages,Care at Home Service Received,36.3,1335
2019/20,Highland,All Ages,No Care at Home Service Received,63.7,2345
2019/20,Highland,0-17 years,Care at Home Service Received,0,0
2019/20,Highland,0-17 years,No Care at Home Service Received,100,55
2019/20,Highland,18-64 years,Care at Home Service Received,15.7,70
2019/20,Highland,18-64 years,No Care at Home Service Received,84.3,375
2019/20,Highland,65-74 years,Care at Home Service Received,37,135
2019/20,Highland,65-74 years,No Care at Home Service Received,63,230
2019/20,Highland,75-84 years,Care at Home Service Received,35.5,410
2019/20,Highland,75-84 years,No Care at Home Service Received,64.5,745
2019/20,Highland,85+ years,Care at Home Service Received,43.5,720
2019/20,Highland,85+ years,No Care at Home Service Received,56.5,935
2020/21,Highland,All Ages,Care at Home Service Received,35,1135
2020/21,Highland,All Ages,No Care at Home Service Received,65,2110
2020/21,Highland,0-17 years,Care at Home Service Received,0,0
2020/21,Highland,0-17 years,No Care at Home Service Received,100,45
2020/21,Highland,18-64 years,Care at Home Service Received,21.1,80
2020/21,Highland,18-64 years,No Care at Home Service Received,78.9,300
2020/21,Highland,65-74 years,Care at Home Service Received,30.9,105
2020/21,Highland,65-74 years,No Care at Home Service Received,69.1,235
2020/21,Highland,75-84 years,Care at Home Service Received,35.1,355
2020/21,Highland,75-84 years,No Care at Home Service Received,64.9,655
2020/21,Highland,85+ years,Care at Home Service Received,40.6,595
