financial_year,sending_location,service,age_group,measure,value,scotland_value
2018/19,Dundee City,Community Alarm Only,65-74 years,Number of People,1360,11615
2018/19,Dundee City,Community Alarm Only,65-74 years,"Rate per 1,000 Population",98.8,20.32804903233936
2018/19,Dundee City,Community Alarm Only,75-84 years,Number of People,1925,26210
2018/19,Dundee City,Community Alarm Only,75-84 years,"Rate per 1,000 Population",222,79.09826170931917
2018/19,Dundee City,Community Alarm Only,85+ years,Number of People,1545,25710
2018/19,Dundee City,Community Alarm Only,85+ years,"Rate per 1,000 Population",434.4,208.3873686940734
2018/19,Dundee City,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Dundee City,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Dundee City,Telecare Only,All Ages,Number of People,45,15270
2018/19,Dundee City,Telecare Only,All Ages,"Rate per 1,000 Population",0.3,2.807966017542892
2018/19,Dundee City,Telecare Only,0-17 years,Number of People,0,330
2018/19,Dundee City,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.32076267644377227
2018/19,Dundee City,Telecare Only,18-64 years,Number of People,10,3040
2018/19,Dundee City,Telecare Only,18-64 years,"Rate per 1,000 Population",0.1,0.8985607657629432
2018/19,Dundee City,Telecare Only,65-74 years,Number of People,10,2335
2018/19,Dundee City,Telecare Only,65-74 years,"Rate per 1,000 Population",0.7,4.086611665132365
2018/19,Dundee City,Telecare Only,75-84 years,Number of People,10,4915
2018/19,Dundee City,Telecare Only,75-84 years,"Rate per 1,000 Population",1.2,14.832810236600677
2018/19,Dundee City,Telecare Only,85+ years,Number of People,15,4645
2018/19,Dundee City,Telecare Only,85+ years,"Rate per 1,000 Population",4.2,37.64913759564259
2018/19,Dundee City,Telecare Only,Unknown,Number of People,0,0
2018/19,Dundee City,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Dundee City,Receiving both Community Alarm and Telecare,All Ages,Number of People,105,38030
2018/19,Dundee City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.7,6.993251319394641
2018/19,Dundee City,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,Dundee City,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,Dundee City,Receiving both Community Alarm and Telecare,18-64 years,Number of People,20,5445
2018/19,Dundee City,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.2,1.6094287399931662
2018/19,Dundee City,Receiving both Community Alarm and Telecare,65-74 years,Number of People,10,6200
2018/19,Dundee City,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0.7,10.850960309987434
2018/19,Dundee City,Receiving both Community Alarm and Telecare,75-84 years,Number of People,40,12755
2018/19,Dundee City,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",4.6,38.49287783679382
2018/19,Dundee City,Receiving both Community Alarm and Telecare,85+ years,Number of People,40,13520
2018/19,Dundee City,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",11.2,109.58371158085852
2018/19,Dundee City,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Dundee City,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5870,125120
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",39.5,23.00803589488976
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5,540
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.2,0.5248843796352637
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,910,16650
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",9.5,4.921393667747699
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,1375,20150
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",99.9,35.26562100745916
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1975,43875
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",227.8,132.408860453887
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1605,43875
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",451.2,355.6202178705745
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Dundee City,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Ayrshire,Community Alarm Only,All Ages,Number of People,860,71815
2018/19,East Ayrshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",7.1,13.205899119177653
2018/19,East Ayrshire,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,East Ayrshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,East Ayrshire,Community Alarm Only,18-64 years,Number of People,105,8170
2018/19,East Ayrshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.4,2.4148820579879096
2018/19,East Ayrshire,Community Alarm Only,65-74 years,Number of People,155,11615
2018/19,East Ayrshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",10.9,20.32804903233936
2018/19,East Ayrshire,Community Alarm Only,75-84 years,Number of People,320,26210
2018/19,East Ayrshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",41,79.09826170931917
2018/19,East Ayrshire,Community Alarm Only,85+ years,Number of People,285,25710
2018/19,East Ayrshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",110.3,208.3873686940734
2018/19,East Ayrshire,Community Alarm Only,Unknown,Number of People,0,0
2018/19,East Ayrshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Ayrshire,Telecare Only,All Ages,Number of People,480,15270
2018/19,East Ayrshire,Telecare Only,All Ages,"Rate per 1,000 Population",3.9,2.807966017542892
2018/19,East Ayrshire,Telecare Only,0-17 years,Number of People,30,330
2018/19,East Ayrshire,Telecare Only,0-17 years,"Rate per 1,000 Population",1.3,0.32076267644377227
2018/19,East Ayrshire,Telecare Only,18-64 years,Number of People,100,3040
2018/19,East Ayrshire,Telecare Only,18-64 years,"Rate per 1,000 Population",1.4,0.8985607657629432
2018/19,East Ayrshire,Telecare Only,65-74 years,Number of People,60,2335
2018/19,East Ayrshire,Telecare Only,65-74 years,"Rate per 1,000 Population",4.2,4.086611665132365
2018/19,East Ayrshire,Telecare Only,75-84 years,Number of People,115,4915
2018/19,East Ayrshire,Telecare Only,75-84 years,"Rate per 1,000 Population",14.7,14.832810236600677
2018/19,East Ayrshire,Telecare Only,85+ years,Number of People,170,4645
2018/19,East Ayrshire,Telecare Only,85+ years,"Rate per 1,000 Population",65.8,37.64913759564259
2018/19,East Ayrshire,Telecare Only,Unknown,Number of People,0,0
2018/19,East Ayrshire,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,3080,38030
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",25.3,6.993251319394641
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,400,5445
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",5.4,1.6094287399931662
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,465,6200
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",32.8,10.850960309987434
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,1240,12755
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",159,38.49287783679382
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,970,13520
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",375.4,109.58371158085852
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,East Ayrshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,4420,125120
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",36.3,23.00803589488976
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,30,540
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",1.3,0.5248843796352637
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,605,16650
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",8.2,4.921393667747699
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,680,20150
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",48,35.26562100745916
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1675,43875
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",214.8,132.408860453887
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1425,43875
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",551.5,355.6202178705745
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,East Ayrshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Dunbartonshire,Community Alarm Only,All Ages,Number of People,1440,71815
2018/19,East Dunbartonshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",13.3,13.205899119177653
2018/19,East Dunbartonshire,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,East Dunbartonshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,East Dunbartonshire,Community Alarm Only,18-64 years,Number of People,110,8170
2018/19,East Dunbartonshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.8,2.4148820579879096
2018/19,East Dunbartonshire,Community Alarm Only,65-74 years,Number of People,155,11615
2018/19,East Dunbartonshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",12.2,20.32804903233936
2018/19,East Dunbartonshire,Community Alarm Only,75-84 years,Number of People,495,26210
2018/19,East Dunbartonshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",60.3,79.09826170931917
2018/19,East Dunbartonshire,Community Alarm Only,85+ years,Number of People,675,25710
2018/19,East Dunbartonshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",210.7,208.3873686940734
2018/19,East Dunbartonshire,Community Alarm Only,Unknown,Number of People,0,0
2018/19,East Dunbartonshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Dunbartonshire,Telecare Only,All Ages,Number of People,265,15270
2018/19,East Dunbartonshire,Telecare Only,All Ages,"Rate per 1,000 Population",2.4,2.807966017542892
2018/19,East Dunbartonshire,Telecare Only,0-17 years,Number of People,5,330
2018/19,East Dunbartonshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0.2,0.32076267644377227
2018/19,East Dunbartonshire,Telecare Only,18-64 years,Number of People,25,3040
2018/19,East Dunbartonshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0.4,0.8985607657629432
2018/19,East Dunbartonshire,Telecare Only,65-74 years,Number of People,30,2335
2018/19,East Dunbartonshire,Telecare Only,65-74 years,"Rate per 1,000 Population",2.4,4.086611665132365
2018/19,East Dunbartonshire,Telecare Only,75-84 years,Number of People,100,4915
2018/19,East Dunbartonshire,Telecare Only,75-84 years,"Rate per 1,000 Population",12.2,14.832810236600677
2018/19,East Dunbartonshire,Telecare Only,85+ years,Number of People,105,4645
2018/19,East Dunbartonshire,Telecare Only,85+ years,"Rate per 1,000 Population",32.8,37.64913759564259
2018/19,East Dunbartonshire,Telecare Only,Unknown,Number of People,0,0
2018/19,East Dunbartonshire,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,80,38030
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.7,6.993251319394641
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,0,5445
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0,1.6094287399931662
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,10,6200
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0.8,10.850960309987434
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,25,12755
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",3,38.49287783679382
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,45,13520
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",14,109.58371158085852
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,East Dunbartonshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1785,125120
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",16.5,23.00803589488976
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5,540
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.2,0.5248843796352637
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,140,16650
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",2.2,4.921393667747699
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,195,20150
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",15.4,35.26562100745916
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,620,43875
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",75.5,132.408860453887
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,825,43875
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",257.6,355.6202178705745
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Lothian,Community Alarm Only,All Ages,Number of People,925,71815
2018/19,East Lothian,Community Alarm Only,All Ages,"Rate per 1,000 Population",8.7,13.205899119177653
2018/19,East Lothian,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,East Lothian,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,East Lothian,Community Alarm Only,18-64 years,Number of People,105,8170
2018/19,East Lothian,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.7,2.4148820579879096
2018/19,East Lothian,Community Alarm Only,65-74 years,Number of People,150,11615
2018/19,East Lothian,Community Alarm Only,65-74 years,"Rate per 1,000 Population",12.8,20.32804903233936
2018/19,East Lothian,Community Alarm Only,75-84 years,Number of People,340,26210
2018/19,East Lothian,Community Alarm Only,75-84 years,"Rate per 1,000 Population",49.3,79.09826170931917
2018/19,East Lothian,Community Alarm Only,85+ years,Number of People,330,25710
2018/19,East Lothian,Community Alarm Only,85+ years,"Rate per 1,000 Population",130,208.3873686940734
2018/19,East Lothian,Community Alarm Only,Unknown,Number of People,0,0
2018/19,East Lothian,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Lothian,Telecare Only,All Ages,Number of People,0,15270
2018/19,East Lothian,Telecare Only,All Ages,"Rate per 1,000 Population",0,2.807966017542892
2018/19,East Lothian,Telecare Only,0-17 years,Number of People,0,330
2018/19,East Lothian,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.32076267644377227
2018/19,East Lothian,Telecare Only,18-64 years,Number of People,0,3040
2018/19,East Lothian,Telecare Only,18-64 years,"Rate per 1,000 Population",0,0.8985607657629432
2018/19,East Lothian,Telecare Only,65-74 years,Number of People,0,2335
2018/19,East Lothian,Telecare Only,65-74 years,"Rate per 1,000 Population",0,4.086611665132365
2018/19,East Lothian,Telecare Only,75-84 years,Number of People,0,4915
2018/19,East Lothian,Telecare Only,75-84 years,"Rate per 1,000 Population",0,14.832810236600677
2018/19,East Lothian,Telecare Only,85+ years,Number of People,0,4645
2018/19,East Lothian,Telecare Only,85+ years,"Rate per 1,000 Population",0,37.64913759564259
2018/19,East Lothian,Telecare Only,Unknown,Number of People,0,0
2018/19,East Lothian,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Lothian,Receiving both Community Alarm and Telecare,All Ages,Number of People,0,38030
2018/19,East Lothian,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0,6.993251319394641
2018/19,East Lothian,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,East Lothian,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,East Lothian,Receiving both Community Alarm and Telecare,18-64 years,Number of People,0,5445
2018/19,East Lothian,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0,1.6094287399931662
2018/19,East Lothian,Receiving both Community Alarm and Telecare,65-74 years,Number of People,0,6200
2018/19,East Lothian,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0,10.850960309987434
2018/19,East Lothian,Receiving both Community Alarm and Telecare,75-84 years,Number of People,0,12755
2018/19,East Lothian,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",0,38.49287783679382
2018/19,East Lothian,Receiving both Community Alarm and Telecare,85+ years,Number of People,0,13520
2018/19,East Lothian,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",0,109.58371158085852
2018/19,East Lothian,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,East Lothian,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,925,125120
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",8.7,23.00803589488976
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,0,540
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0,0.5248843796352637
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,105,16650
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",1.7,4.921393667747699
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,150,20150
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",12.8,35.26562100745916
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,340,43875
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",49.3,132.408860453887
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,330,43875
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",130,355.6202178705745
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,East Lothian,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Renfrewshire,Community Alarm Only,All Ages,Number of People,0,71815
2018/19,East Renfrewshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",0,13.205899119177653
2018/19,East Renfrewshire,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,East Renfrewshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,East Renfrewshire,Community Alarm Only,18-64 years,Number of People,0,8170
2018/19,East Renfrewshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",0,2.4148820579879096
2018/19,East Renfrewshire,Community Alarm Only,65-74 years,Number of People,0,11615
2018/19,East Renfrewshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",0,20.32804903233936
2018/19,East Renfrewshire,Community Alarm Only,75-84 years,Number of People,0,26210
2018/19,East Renfrewshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",0,79.09826170931917
2018/19,East Renfrewshire,Community Alarm Only,85+ years,Number of People,0,25710
2018/19,East Renfrewshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",0,208.3873686940734
2018/19,East Renfrewshire,Community Alarm Only,Unknown,Number of People,0,0
2018/19,East Renfrewshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Renfrewshire,Telecare Only,All Ages,Number of People,3280,15270
2018/19,East Renfrewshire,Telecare Only,All Ages,"Rate per 1,000 Population",34.5,2.807966017542892
2018/19,East Renfrewshire,Telecare Only,0-17 years,Number of People,15,330
2018/19,East Renfrewshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0.7,0.32076267644377227
2018/19,East Renfrewshire,Telecare Only,18-64 years,Number of People,335,3040
2018/19,East Renfrewshire,Telecare Only,18-64 years,"Rate per 1,000 Population",6.1,0.8985607657629432
2018/19,East Renfrewshire,Telecare Only,65-74 years,Number of People,415,2335
2018/19,East Renfrewshire,Telecare Only,65-74 years,"Rate per 1,000 Population",41.9,4.086611665132365
2018/19,East Renfrewshire,Telecare Only,75-84 years,Number of People,1165,4915
2018/19,East Renfrewshire,Telecare Only,75-84 years,"Rate per 1,000 Population",185.6,14.832810236600677
2018/19,East Renfrewshire,Telecare Only,85+ years,Number of People,1350,4645
2018/19,East Renfrewshire,Telecare Only,85+ years,"Rate per 1,000 Population",498.3,37.64913759564259
2018/19,East Renfrewshire,Telecare Only,Unknown,Number of People,0,0
2018/19,East Renfrewshire,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,0,38030
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0,6.993251319394641
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,0,5445
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0,1.6094287399931662
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,0,6200
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0,10.850960309987434
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,0,12755
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",0,38.49287783679382
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,0,13520
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",0,109.58371158085852
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,East Renfrewshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3280,125120
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",34.5,23.00803589488976
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,15,540
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.7,0.5248843796352637
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,335,16650
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",6.1,4.921393667747699
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,415,20150
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",41.9,35.26562100745916
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1165,43875
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",185.6,132.408860453887
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1350,43875
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",498.3,355.6202178705745
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Falkirk,Community Alarm Only,All Ages,Number of People,4550,71815
2018/19,Falkirk,Community Alarm Only,All Ages,"Rate per 1,000 Population",28.4,13.205899119177653
2018/19,Falkirk,Community Alarm Only,0-17 years,Number of People,5,100
2018/19,Falkirk,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.2,0.09720081104356736
2018/19,Falkirk,Community Alarm Only,18-64 years,Number of People,530,8170
2018/19,Falkirk,Community Alarm Only,18-64 years,"Rate per 1,000 Population",5.4,2.4148820579879096
2018/19,Falkirk,Community Alarm Only,65-74 years,Number of People,770,11615
2018/19,Falkirk,Community Alarm Only,65-74 years,"Rate per 1,000 Population",45.2,20.32804903233936
2018/19,Falkirk,Community Alarm Only,75-84 years,Number of People,1700,26210
2018/19,Falkirk,Community Alarm Only,75-84 years,"Rate per 1,000 Population",175.6,79.09826170931917
2018/19,Falkirk,Community Alarm Only,85+ years,Number of People,1550,25710
2018/19,Falkirk,Community Alarm Only,85+ years,"Rate per 1,000 Population",473.4,208.3873686940734
2018/19,Falkirk,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Falkirk,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Falkirk,Telecare Only,All Ages,Number of People,15,15270
2018/19,Falkirk,Telecare Only,All Ages,"Rate per 1,000 Population",0.1,2.807966017542892
