financial_year,sending_location,service,age_group,measure,value
2017/18,Argyll and Bute,Community Alarm Only,75-84 years,Number of People,380
2017/18,Argyll and Bute,Community Alarm Only,85+ years,"Rate per 1,000 Population",186.3
2017/18,Argyll and Bute,Community Alarm Only,85+ years,Number of People,465
2017/18,Argyll and Bute,Community Alarm Only,Unknown,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Community Alarm Only,Unknown,Number of People,0
2017/18,Argyll and Bute,Telecare Only,All Ages,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,All Ages,Number of People,0
2017/18,Argyll and Bute,Telecare Only,0-17 years,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,0-17 years,Number of People,0
2017/18,Argyll and Bute,Telecare Only,18-64 years,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,18-64 years,Number of People,0
2017/18,Argyll and Bute,Telecare Only,65-74 years,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,65-74 years,Number of People,0
2017/18,Argyll and Bute,Telecare Only,75-84 years,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,75-84 years,Number of People,0
2017/18,Argyll and Bute,Telecare Only,85+ years,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,85+ years,Number of People,0
2017/18,Argyll and Bute,Telecare Only,Unknown,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Telecare Only,Unknown,Number of People,0
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",12
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,Number of People,1045
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.3
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",3
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,Number of People,150
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",10.5
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,Number of People,130
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",51.6
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,Number of People,360
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",160.3
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,Number of People,400
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",24.2
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2100
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.3
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.8
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,240
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",20.2
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,250
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",106.2
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,740
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",346.6
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,865
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0
2017/18,City of Edinburgh,Community Alarm Only,All Ages,"Rate per 1,000 Population",14.2
2017/18,City of Edinburgh,Community Alarm Only,All Ages,Number of People,7300
2017/18,City of Edinburgh,Community Alarm Only,0-17 years,"Rate per 1,000 Population",1
2017/18,City of Edinburgh,Community Alarm Only,0-17 years,Number of People,90
2017/18,City of Edinburgh,Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.9
2017/18,City of Edinburgh,Community Alarm Only,18-64 years,Number of People,1015
2017/18,City of Edinburgh,Community Alarm Only,65-74 years,"Rate per 1,000 Population",20.6
2017/18,City of Edinburgh,Community Alarm Only,65-74 years,Number of People,850
2017/18,City of Edinburgh,Community Alarm Only,75-84 years,"Rate per 1,000 Population",86.4
2017/18,City of Edinburgh,Community Alarm Only,75-84 years,Number of People,2130
2017/18,City of Edinburgh,Community Alarm Only,85+ years,"Rate per 1,000 Population",277.2
2017/18,City of Edinburgh,Community Alarm Only,85+ years,Number of People,3085
2017/18,City of Edinburgh,Community Alarm Only,Unknown,"Rate per 1,000 Population",NA
2017/18,City of Edinburgh,Community Alarm Only,Unknown,Number of People,120
2017/18,City of Edinburgh,Telecare Only,All Ages,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,All Ages,Number of People,0
2017/18,City of Edinburgh,Telecare Only,0-17 years,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,0-17 years,Number of People,0
2017/18,City of Edinburgh,Telecare Only,18-64 years,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,18-64 years,Number of People,0
2017/18,City of Edinburgh,Telecare Only,65-74 years,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,65-74 years,Number of People,0
2017/18,City of Edinburgh,Telecare Only,75-84 years,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,75-84 years,Number of People,0
2017/18,City of Edinburgh,Telecare Only,85+ years,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,85+ years,Number of People,0
2017/18,City of Edinburgh,Telecare Only,Unknown,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Telecare Only,Unknown,Number of People,0
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.9
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,Number of People,3040
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.1
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",2.1
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,18-64 years,Number of People,750
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",22.5
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,65-74 years,Number of People,930
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",32.4
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,75-84 years,Number of People,800
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",49
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,85+ years,Number of People,545
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0
2017/18,City of Edinburgh,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.1
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,10340
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",1.2
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,100
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",5.1
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,1770
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",43.1
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,1780
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",119
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,2935
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",326.6
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,3635
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",NA
2017/18,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,120
2017/18,Clackmannanshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",28
2017/18,Clackmannanshire,Community Alarm Only,All Ages,Number of People,1440
2017/18,Clackmannanshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2017/18,Clackmannanshire,Community Alarm Only,0-17 years,Number of People,0
2017/18,Clackmannanshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",5.9
2017/18,Clackmannanshire,Community Alarm Only,18-64 years,Number of People,185
2017/18,Clackmannanshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",47.4
2017/18,Clackmannanshire,Community Alarm Only,65-74 years,Number of People,285
2017/18,Clackmannanshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",182.2
2017/18,Clackmannanshire,Community Alarm Only,75-84 years,Number of People,550
2017/18,Clackmannanshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",413.8
2017/18,Clackmannanshire,Community Alarm Only,85+ years,Number of People,420
2017/18,Clackmannanshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.7
2017/18,Clackmannanshire,Telecare Only,All Ages,Number of People,35
2017/18,Clackmannanshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0
2017/18,Clackmannanshire,Telecare Only,0-17 years,Number of People,0
2017/18,Clackmannanshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0.3
2017/18,Clackmannanshire,Telecare Only,18-64 years,Number of People,10
2017/18,Clackmannanshire,Telecare Only,65-74 years,"Rate per 1,000 Population",0.8
2017/18,Clackmannanshire,Telecare Only,65-74 years,Number of People,5
2017/18,Clackmannanshire,Telecare Only,75-84 years,"Rate per 1,000 Population",1.7
2017/18,Clackmannanshire,Telecare Only,75-84 years,Number of People,5
2017/18,Clackmannanshire,Telecare Only,85+ years,"Rate per 1,000 Population",4.9
2017/18,Clackmannanshire,Telecare Only,85+ years,Number of People,5
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",8
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,410
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",2.6
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,80
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",9.1
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,55
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",46.4
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,140
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",137.9
2017/18,Clackmannanshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,140
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",36.6
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1885
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,0
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",8.8
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,275
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",57.3
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,345
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",230.2
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,695
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",556.7
2017/18,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,565
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,"Rate per 1,000 Population",26.2
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,Number of People,705
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,0-17 years,Number of People,0
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,18-64 years,"Rate per 1,000 Population",3.9
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,18-64 years,Number of People,60
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,65-74 years,"Rate per 1,000 Population",31.4
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,65-74 years,Number of People,115
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,75-84 years,"Rate per 1,000 Population",128.5
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,75-84 years,Number of People,285
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,85+ years,"Rate per 1,000 Population",286.7
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,85+ years,Number of People,250
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,Unknown,"Rate per 1,000 Population",NA
2017/18,Comhairle nan Eilean Siar,Community Alarm Only,Unknown,Number of People,0
2017/18,Comhairle nan Eilean Siar,Telecare Only,All Ages,"Rate per 1,000 Population",1.1
2017/18,Comhairle nan Eilean Siar,Telecare Only,All Ages,Number of People,30
2017/18,Comhairle nan Eilean Siar,Telecare Only,0-17 years,"Rate per 1,000 Population",1
2017/18,Comhairle nan Eilean Siar,Telecare Only,0-17 years,Number of People,5
2017/18,Comhairle nan Eilean Siar,Telecare Only,18-64 years,"Rate per 1,000 Population",0.3
2017/18,Comhairle nan Eilean Siar,Telecare Only,18-64 years,Number of People,5
2017/18,Comhairle nan Eilean Siar,Telecare Only,65-74 years,"Rate per 1,000 Population",1.4
2017/18,Comhairle nan Eilean Siar,Telecare Only,65-74 years,Number of People,5
2017/18,Comhairle nan Eilean Siar,Telecare Only,75-84 years,"Rate per 1,000 Population",4.5
2017/18,Comhairle nan Eilean Siar,Telecare Only,75-84 years,Number of People,10
2017/18,Comhairle nan Eilean Siar,Telecare Only,85+ years,"Rate per 1,000 Population",11.5
2017/18,Comhairle nan Eilean Siar,Telecare Only,85+ years,Number of People,10
2017/18,Comhairle nan Eilean Siar,Telecare Only,Unknown,"Rate per 1,000 Population",NA
2017/18,Comhairle nan Eilean Siar,Telecare Only,Unknown,Number of People,0
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",16.1
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,All Ages,Number of People,435
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",2.3
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,18-64 years,Number of People,35
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",12.3
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,65-74 years,Number of People,45
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",69.9
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,75-84 years,Number of People,155
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",229.4
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,85+ years,Number of People,200
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",NA
2017/18,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,Unknown,Number of People,0
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",43.6
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1175
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",1
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",6.5
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,100
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",45
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,165
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",202.9
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,450
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",527.5
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,460
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",NA
2017/18,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0
2017/18,Dumfries and Galloway,Community Alarm Only,All Ages,"Rate per 1,000 Population",24.9
2017/18,Dumfries and Galloway,Community Alarm Only,All Ages,Number of People,3720
2017/18,Dumfries and Galloway,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.8
2017/18,Dumfries and Galloway,Community Alarm Only,0-17 years,Number of People,20
2017/18,Dumfries and Galloway,Community Alarm Only,18-64 years,"Rate per 1,000 Population",3.5
2017/18,Dumfries and Galloway,Community Alarm Only,18-64 years,Number of People,295
2017/18,Dumfries and Galloway,Community Alarm Only,65-74 years,"Rate per 1,000 Population",21.1
2017/18,Dumfries and Galloway,Community Alarm Only,65-74 years,Number of People,435
2017/18,Dumfries and Galloway,Community Alarm Only,75-84 years,"Rate per 1,000 Population",111.2
2017/18,Dumfries and Galloway,Community Alarm Only,75-84 years,Number of People,1370
2017/18,Dumfries and Galloway,Community Alarm Only,85+ years,"Rate per 1,000 Population",361.5
2017/18,Dumfries and Galloway,Community Alarm Only,85+ years,Number of People,1600
2017/18,Dumfries and Galloway,Telecare Only,All Ages,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,All Ages,Number of People,0
2017/18,Dumfries and Galloway,Telecare Only,0-17 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,0-17 years,Number of People,0
2017/18,Dumfries and Galloway,Telecare Only,18-64 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,18-64 years,Number of People,0
2017/18,Dumfries and Galloway,Telecare Only,65-74 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,65-74 years,Number of People,0
2017/18,Dumfries and Galloway,Telecare Only,75-84 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,75-84 years,Number of People,0
2017/18,Dumfries and Galloway,Telecare Only,85+ years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Telecare Only,85+ years,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,All Ages,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,18-64 years,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,65-74 years,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,75-84 years,Number of People,0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",0
2017/18,Dumfries and Galloway,Receiving both Community Alarm and Telecare,85+ years,Number of People,0
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",24.9
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3720
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.8
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,20
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",3.5
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,295
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",21.1
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,435
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",111.2
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1370
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",361.5
2017/18,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1600
2017/18,Dundee City,Community Alarm Only,All Ages,"Rate per 1,000 Population",39.3
2017/18,Dundee City,Community Alarm Only,All Ages,Number of People,5840
2017/18,Dundee City,Community Alarm Only,18-64 years,"Rate per 1,000 Population",8.5
2017/18,Dundee City,Community Alarm Only,18-64 years,Number of People,820
2017/18,Dundee City,Community Alarm Only,65-74 years,"Rate per 1,000 Population",98.4
2017/18,Dundee City,Community Alarm Only,65-74 years,Number of People,1340
2017/18,Dundee City,Community Alarm Only,75-84 years,"Rate per 1,000 Population",229.3
2017/18,Dundee City,Community Alarm Only,75-84 years,Number of People,2000
2017/18,Dundee City,Community Alarm Only,85+ years,"Rate per 1,000 Population",467.2
2017/18,Dundee City,Community Alarm Only,85+ years,Number of People,1680
2017/18,Dundee City,Telecare Only,All Ages,"Rate per 1,000 Population",0
2017/18,Dundee City,Telecare Only,All Ages,Number of People,0
2017/18,Dundee City,Telecare Only,18-64 years,"Rate per 1,000 Population",0
2017/18,Dundee City,Telecare Only,18-64 years,Number of People,0
2017/18,Dundee City,Telecare Only,65-74 years,"Rate per 1,000 Population",0
2017/18,Dundee City,Telecare Only,65-74 years,Number of People,0
2017/18,Dundee City,Telecare Only,75-84 years,"Rate per 1,000 Population",0
2017/18,Dundee City,Telecare Only,75-84 years,Number of People,0
2017/18,Dundee City,Telecare Only,85+ years,"Rate per 1,000 Population",0
2017/18,Dundee City,Telecare Only,85+ years,Number of People,0
2017/18,Dundee City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.4
2017/18,Dundee City,Receiving both Community Alarm and Telecare,All Ages,Number of People,210
2017/18,Dundee City,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.3
2017/18,Dundee City,Receiving both Community Alarm and Telecare,18-64 years,Number of People,30
2017/18,Dundee City,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",1.1
2017/18,Dundee City,Receiving both Community Alarm and Telecare,65-74 years,Number of People,15
2017/18,Dundee City,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",7.5
2017/18,Dundee City,Receiving both Community Alarm and Telecare,75-84 years,Number of People,65
2017/18,Dundee City,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",26.4
2017/18,Dundee City,Receiving both Community Alarm and Telecare,85+ years,Number of People,95
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",40.6
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,6045
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",8.9
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,855
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",99.5
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,1355
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",236.7
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,2065
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",493.6
2017/18,Dundee City,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1775
2017/18,East Ayrshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",1.8
2017/18,East Ayrshire,Community Alarm Only,All Ages,Number of People,215
2017/18,East Ayrshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0
2017/18,East Ayrshire,Community Alarm Only,0-17 years,Number of People,0
2017/18,East Ayrshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",0.5
2017/18,East Ayrshire,Community Alarm Only,18-64 years,Number of People,35
2017/18,East Ayrshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",2.9
2017/18,East Ayrshire,Community Alarm Only,65-74 years,Number of People,40
2017/18,East Ayrshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",10.4
2017/18,East Ayrshire,Community Alarm Only,75-84 years,Number of People,80
2017/18,East Ayrshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",23.4
2017/18,East Ayrshire,Community Alarm Only,85+ years,Number of People,60
