financial_quarter,sending_location,age_group,deprivation,simd_percentage,nclient
2018/19 Q2,Glasgow City,85+ years,Unknown,0,0
2018/19 Q2,Glasgow City,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Glasgow City,Unknown,2,NA,0
2018/19 Q2,Glasgow City,Unknown,3,NA,0
2018/19 Q2,Glasgow City,Unknown,4,NA,0
2018/19 Q2,Glasgow City,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Glasgow City,Unknown,Unknown,NA,0
2018/19 Q2,Highland,All Ages,1 (Most Deprived),25.2,530
2018/19 Q2,Highland,All Ages,2,19.3,405
2018/19 Q2,Highland,All Ages,3,17.9,375
2018/19 Q2,Highland,All Ages,4,19.8,415
2018/19 Q2,Highland,All Ages,5 (Least Deprived),17.6,370
2018/19 Q2,Highland,All Ages,Unknown,0.2,5
2018/19 Q2,Highland,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Highland,0-17 years,2,NA,0
2018/19 Q2,Highland,0-17 years,3,NA,0
2018/19 Q2,Highland,0-17 years,4,NA,0
2018/19 Q2,Highland,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Highland,0-17 years,Unknown,NA,0
2018/19 Q2,Highland,18-64 years,1 (Most Deprived),34.9,75
2018/19 Q2,Highland,18-64 years,2,27.9,60
2018/19 Q2,Highland,18-64 years,3,18.6,40
2018/19 Q2,Highland,18-64 years,4,11.6,25
2018/19 Q2,Highland,18-64 years,5 (Least Deprived),7,15
2018/19 Q2,Highland,18-64 years,Unknown,0,0
2018/19 Q2,Highland,65-74 years,1 (Most Deprived),26.2,80
2018/19 Q2,Highland,65-74 years,2,19.7,60
2018/19 Q2,Highland,65-74 years,3,16.4,50
2018/19 Q2,Highland,65-74 years,4,18,55
2018/19 Q2,Highland,65-74 years,5 (Least Deprived),19.7,60
2018/19 Q2,Highland,65-74 years,Unknown,0,0
2018/19 Q2,Highland,75-84 years,1 (Most Deprived),26.3,180
2018/19 Q2,Highland,75-84 years,2,20.4,140
2018/19 Q2,Highland,75-84 years,3,16.8,115
2018/19 Q2,Highland,75-84 years,4,19.7,135
2018/19 Q2,Highland,75-84 years,5 (Least Deprived),16.8,115
2018/19 Q2,Highland,75-84 years,Unknown,0,0
2018/19 Q2,Highland,85+ years,1 (Most Deprived),21.8,195
2018/19 Q2,Highland,85+ years,2,16.8,150
2018/19 Q2,Highland,85+ years,3,19,170
2018/19 Q2,Highland,85+ years,4,21.8,195
2018/19 Q2,Highland,85+ years,5 (Least Deprived),20.1,180
2018/19 Q2,Highland,85+ years,Unknown,0.6,5
2018/19 Q2,Highland,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Highland,Unknown,2,NA,0
2018/19 Q2,Highland,Unknown,3,NA,0
2018/19 Q2,Highland,Unknown,4,NA,0
2018/19 Q2,Highland,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Highland,Unknown,Unknown,NA,0
2018/19 Q2,Inverclyde,All Ages,1 (Most Deprived),26.4,360
2018/19 Q2,Inverclyde,All Ages,2,20.1,275
2018/19 Q2,Inverclyde,All Ages,3,16.5,225
2018/19 Q2,Inverclyde,All Ages,4,22,300
2018/19 Q2,Inverclyde,All Ages,5 (Least Deprived),15,205
2018/19 Q2,Inverclyde,All Ages,Unknown,0,0
2018/19 Q2,Inverclyde,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Inverclyde,0-17 years,2,NA,0
2018/19 Q2,Inverclyde,0-17 years,3,NA,0
2018/19 Q2,Inverclyde,0-17 years,4,NA,0
2018/19 Q2,Inverclyde,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Inverclyde,0-17 years,Unknown,NA,0
2018/19 Q2,Inverclyde,18-64 years,1 (Most Deprived),41.4,60
2018/19 Q2,Inverclyde,18-64 years,2,27.6,40
2018/19 Q2,Inverclyde,18-64 years,3,10.3,15
2018/19 Q2,Inverclyde,18-64 years,4,13.8,20
2018/19 Q2,Inverclyde,18-64 years,5 (Least Deprived),6.9,10
2018/19 Q2,Inverclyde,18-64 years,Unknown,0,0
2018/19 Q2,Inverclyde,65-74 years,1 (Most Deprived),37.5,90
2018/19 Q2,Inverclyde,65-74 years,2,18.8,45
2018/19 Q2,Inverclyde,65-74 years,3,18.8,45
2018/19 Q2,Inverclyde,65-74 years,4,14.6,35
2018/19 Q2,Inverclyde,65-74 years,5 (Least Deprived),10.4,25
2018/19 Q2,Inverclyde,65-74 years,Unknown,0,0
2018/19 Q2,Inverclyde,75-84 years,1 (Most Deprived),24,120
2018/19 Q2,Inverclyde,75-84 years,2,20,100
2018/19 Q2,Inverclyde,75-84 years,3,18,90
2018/19 Q2,Inverclyde,75-84 years,4,22,110
2018/19 Q2,Inverclyde,75-84 years,5 (Least Deprived),16,80
2018/19 Q2,Inverclyde,75-84 years,Unknown,0,0
2018/19 Q2,Inverclyde,85+ years,1 (Most Deprived),18.6,90
2018/19 Q2,Inverclyde,85+ years,2,18.6,90
2018/19 Q2,Inverclyde,85+ years,3,16.5,80
2018/19 Q2,Inverclyde,85+ years,4,27.8,135
2018/19 Q2,Inverclyde,85+ years,5 (Least Deprived),18.6,90
2018/19 Q2,Inverclyde,85+ years,Unknown,0,0
2018/19 Q2,Inverclyde,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Inverclyde,Unknown,2,NA,0
2018/19 Q2,Inverclyde,Unknown,3,NA,0
2018/19 Q2,Inverclyde,Unknown,4,NA,0
2018/19 Q2,Inverclyde,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Inverclyde,Unknown,Unknown,NA,0
2018/19 Q2,Midlothian,All Ages,1 (Most Deprived),22.1,230
2018/19 Q2,Midlothian,All Ages,2,22.6,235
2018/19 Q2,Midlothian,All Ages,3,25,260
2018/19 Q2,Midlothian,All Ages,4,15.9,165
2018/19 Q2,Midlothian,All Ages,5 (Least Deprived),14.4,150
2018/19 Q2,Midlothian,All Ages,Unknown,0,0
2018/19 Q2,Midlothian,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Midlothian,0-17 years,2,NA,0
2018/19 Q2,Midlothian,0-17 years,3,NA,0
2018/19 Q2,Midlothian,0-17 years,4,NA,0
2018/19 Q2,Midlothian,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Midlothian,0-17 years,Unknown,NA,0
2018/19 Q2,Midlothian,18-64 years,1 (Most Deprived),25.5,70
2018/19 Q2,Midlothian,18-64 years,2,27.3,75
2018/19 Q2,Midlothian,18-64 years,3,18.2,50
2018/19 Q2,Midlothian,18-64 years,4,18.2,50
2018/19 Q2,Midlothian,18-64 years,5 (Least Deprived),10.9,30
2018/19 Q2,Midlothian,18-64 years,Unknown,0,0
2018/19 Q2,Midlothian,65-74 years,1 (Most Deprived),25,40
2018/19 Q2,Midlothian,65-74 years,2,25,40
2018/19 Q2,Midlothian,65-74 years,3,25,40
2018/19 Q2,Midlothian,65-74 years,4,18.8,30
2018/19 Q2,Midlothian,65-74 years,5 (Least Deprived),6.2,10
2018/19 Q2,Midlothian,65-74 years,Unknown,0,0
2018/19 Q2,Midlothian,75-84 years,1 (Most Deprived),21.3,65
2018/19 Q2,Midlothian,75-84 years,2,23,70
2018/19 Q2,Midlothian,75-84 years,3,26.2,80
2018/19 Q2,Midlothian,75-84 years,4,13.1,40
2018/19 Q2,Midlothian,75-84 years,5 (Least Deprived),16.4,50
2018/19 Q2,Midlothian,75-84 years,Unknown,0,0
2018/19 Q2,Midlothian,85+ years,1 (Most Deprived),20,60
2018/19 Q2,Midlothian,85+ years,2,16.7,50
2018/19 Q2,Midlothian,85+ years,3,30,90
2018/19 Q2,Midlothian,85+ years,4,15,45
2018/19 Q2,Midlothian,85+ years,5 (Least Deprived),18.3,55
2018/19 Q2,Midlothian,85+ years,Unknown,0,0
2018/19 Q2,Midlothian,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Midlothian,Unknown,2,NA,0
2018/19 Q2,Midlothian,Unknown,3,NA,0
2018/19 Q2,Midlothian,Unknown,4,NA,0
2018/19 Q2,Midlothian,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Midlothian,Unknown,Unknown,NA,0
2018/19 Q2,Moray,All Ages,1 (Most Deprived),20.9,245
2018/19 Q2,Moray,All Ages,2,24.4,285
2018/19 Q2,Moray,All Ages,3,17.9,210
2018/19 Q2,Moray,All Ages,4,19.7,230
2018/19 Q2,Moray,All Ages,5 (Least Deprived),14.5,170
2018/19 Q2,Moray,All Ages,Unknown,2.6,30
2018/19 Q2,Moray,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Moray,0-17 years,2,NA,0
2018/19 Q2,Moray,0-17 years,3,NA,0
2018/19 Q2,Moray,0-17 years,4,NA,0
2018/19 Q2,Moray,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Moray,0-17 years,Unknown,NA,0
2018/19 Q2,Moray,18-64 years,1 (Most Deprived),29.5,65
2018/19 Q2,Moray,18-64 years,2,29.5,65
2018/19 Q2,Moray,18-64 years,3,18.2,40
2018/19 Q2,Moray,18-64 years,4,18.2,40
2018/19 Q2,Moray,18-64 years,5 (Least Deprived),4.5,10
2018/19 Q2,Moray,18-64 years,Unknown,0,0
2018/19 Q2,Moray,65-74 years,1 (Most Deprived),22.6,35
2018/19 Q2,Moray,65-74 years,2,25.8,40
2018/19 Q2,Moray,65-74 years,3,16.1,25
2018/19 Q2,Moray,65-74 years,4,22.6,35
2018/19 Q2,Moray,65-74 years,5 (Least Deprived),9.7,15
2018/19 Q2,Moray,65-74 years,Unknown,3.2,5
2018/19 Q2,Moray,75-84 years,1 (Most Deprived),20.6,70
2018/19 Q2,Moray,75-84 years,2,22.1,75
2018/19 Q2,Moray,75-84 years,3,17.6,60
2018/19 Q2,Moray,75-84 years,4,19.1,65
2018/19 Q2,Moray,75-84 years,5 (Least Deprived),19.1,65
2018/19 Q2,Moray,75-84 years,Unknown,1.5,5
2018/19 Q2,Moray,85+ years,1 (Most Deprived),16.9,75
2018/19 Q2,Moray,85+ years,2,23.6,105
2018/19 Q2,Moray,85+ years,3,19.1,85
2018/19 Q2,Moray,85+ years,4,19.1,85
2018/19 Q2,Moray,85+ years,5 (Least Deprived),18,80
2018/19 Q2,Moray,85+ years,Unknown,3.4,15
2018/19 Q2,Moray,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Moray,Unknown,2,NA,0
2018/19 Q2,Moray,Unknown,3,NA,0
2018/19 Q2,Moray,Unknown,4,NA,0
2018/19 Q2,Moray,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Moray,Unknown,Unknown,NA,0
2018/19 Q2,North Ayrshire,All Ages,1 (Most Deprived),28.9,725
2018/19 Q2,North Ayrshire,All Ages,2,15.8,395
2018/19 Q2,North Ayrshire,All Ages,3,20.4,510
2018/19 Q2,North Ayrshire,All Ages,4,20.8,520
2018/19 Q2,North Ayrshire,All Ages,5 (Least Deprived),14,350
2018/19 Q2,North Ayrshire,All Ages,Unknown,0.2,5
2018/19 Q2,North Ayrshire,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,North Ayrshire,0-17 years,2,NA,0
2018/19 Q2,North Ayrshire,0-17 years,3,NA,0
2018/19 Q2,North Ayrshire,0-17 years,4,NA,0
2018/19 Q2,North Ayrshire,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,North Ayrshire,0-17 years,Unknown,NA,0
2018/19 Q2,North Ayrshire,18-64 years,1 (Most Deprived),40.7,220
2018/19 Q2,North Ayrshire,18-64 years,2,16.7,90
2018/19 Q2,North Ayrshire,18-64 years,3,22.2,120
2018/19 Q2,North Ayrshire,18-64 years,4,13.9,75
2018/19 Q2,North Ayrshire,18-64 years,5 (Least Deprived),6.5,35
2018/19 Q2,North Ayrshire,18-64 years,Unknown,0,0
2018/19 Q2,North Ayrshire,65-74 years,1 (Most Deprived),34.1,140
2018/19 Q2,North Ayrshire,65-74 years,2,17.1,70
2018/19 Q2,North Ayrshire,65-74 years,3,20.7,85
2018/19 Q2,North Ayrshire,65-74 years,4,17.1,70
2018/19 Q2,North Ayrshire,65-74 years,5 (Least Deprived),11,45
2018/19 Q2,North Ayrshire,65-74 years,Unknown,0,0
2018/19 Q2,North Ayrshire,75-84 years,1 (Most Deprived),26.6,205
2018/19 Q2,North Ayrshire,75-84 years,2,16.9,130
2018/19 Q2,North Ayrshire,75-84 years,3,20.1,155
2018/19 Q2,North Ayrshire,75-84 years,4,23.4,180
2018/19 Q2,North Ayrshire,75-84 years,5 (Least Deprived),13,100
2018/19 Q2,North Ayrshire,75-84 years,Unknown,0,0
2018/19 Q2,North Ayrshire,85+ years,1 (Most Deprived),20.5,160
2018/19 Q2,North Ayrshire,85+ years,2,12.8,100
2018/19 Q2,North Ayrshire,85+ years,3,19.2,150
2018/19 Q2,North Ayrshire,85+ years,4,25,195
2018/19 Q2,North Ayrshire,85+ years,5 (Least Deprived),21.8,170
2018/19 Q2,North Ayrshire,85+ years,Unknown,0.6,5
2018/19 Q2,North Ayrshire,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,North Ayrshire,Unknown,2,NA,0
2018/19 Q2,North Ayrshire,Unknown,3,NA,0
2018/19 Q2,North Ayrshire,Unknown,4,NA,0
2018/19 Q2,North Ayrshire,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,North Ayrshire,Unknown,Unknown,NA,0
2018/19 Q2,North Lanarkshire,All Ages,1 (Most Deprived),26.7,1070
2018/19 Q2,North Lanarkshire,All Ages,2,24.2,970
2018/19 Q2,North Lanarkshire,All Ages,3,19.6,785
2018/19 Q2,North Lanarkshire,All Ages,4,18.4,735
2018/19 Q2,North Lanarkshire,All Ages,5 (Least Deprived),11,440
2018/19 Q2,North Lanarkshire,All Ages,Unknown,0.1,5
2018/19 Q2,North Lanarkshire,0-17 years,1 (Most Deprived),33.3,5
2018/19 Q2,North Lanarkshire,0-17 years,2,33.3,5
2018/19 Q2,North Lanarkshire,0-17 years,3,33.3,5
2018/19 Q2,North Lanarkshire,0-17 years,4,0,0
2018/19 Q2,North Lanarkshire,0-17 years,5 (Least Deprived),0,0
2018/19 Q2,North Lanarkshire,0-17 years,Unknown,0,0
2018/19 Q2,North Lanarkshire,18-64 years,1 (Most Deprived),31.6,120
2018/19 Q2,North Lanarkshire,18-64 years,2,28.9,110
2018/19 Q2,North Lanarkshire,18-64 years,3,19.7,75
2018/19 Q2,North Lanarkshire,18-64 years,4,13.2,50
2018/19 Q2,North Lanarkshire,18-64 years,5 (Least Deprived),6.6,25
2018/19 Q2,North Lanarkshire,18-64 years,Unknown,0,0
2018/19 Q2,North Lanarkshire,65-74 years,1 (Most Deprived),31.7,230
2018/19 Q2,North Lanarkshire,65-74 years,2,23.4,170
2018/19 Q2,North Lanarkshire,65-74 years,3,18.6,135
2018/19 Q2,North Lanarkshire,65-74 years,4,15.9,115
2018/19 Q2,North Lanarkshire,65-74 years,5 (Least Deprived),10.3,75
2018/19 Q2,North Lanarkshire,65-74 years,Unknown,0,0
2018/19 Q2,North Lanarkshire,75-84 years,1 (Most Deprived),26.2,400
2018/19 Q2,North Lanarkshire,75-84 years,2,24.3,370
2018/19 Q2,North Lanarkshire,75-84 years,3,18.4,280
2018/19 Q2,North Lanarkshire,75-84 years,4,20,305
2018/19 Q2,North Lanarkshire,75-84 years,5 (Least Deprived),11.1,170
2018/19 Q2,North Lanarkshire,75-84 years,Unknown,0,0
2018/19 Q2,North Lanarkshire,85+ years,1 (Most Deprived),22.9,310
2018/19 Q2,North Lanarkshire,85+ years,2,23.6,320
2018/19 Q2,North Lanarkshire,85+ years,3,21.4,290
2018/19 Q2,North Lanarkshire,85+ years,4,19.6,265
2018/19 Q2,North Lanarkshire,85+ years,5 (Least Deprived),12.2,165
2018/19 Q2,North Lanarkshire,85+ years,Unknown,0.4,5
2018/19 Q2,North Lanarkshire,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,North Lanarkshire,Unknown,2,NA,0
2018/19 Q2,North Lanarkshire,Unknown,3,NA,0
2018/19 Q2,North Lanarkshire,Unknown,4,NA,0
2018/19 Q2,North Lanarkshire,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,North Lanarkshire,Unknown,Unknown,NA,0
2018/19 Q2,Perth and Kinross,All Ages,1 (Most Deprived),21.2,385
2018/19 Q2,Perth and Kinross,All Ages,2,20.9,380
2018/19 Q2,Perth and Kinross,All Ages,3,20.1,365
2018/19 Q2,Perth and Kinross,All Ages,4,17.1,310
2018/19 Q2,Perth and Kinross,All Ages,5 (Least Deprived),20.4,370
2018/19 Q2,Perth and Kinross,All Ages,Unknown,0.3,5
2018/19 Q2,Perth and Kinross,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Perth and Kinross,0-17 years,2,NA,0
2018/19 Q2,Perth and Kinross,0-17 years,3,NA,0
2018/19 Q2,Perth and Kinross,0-17 years,4,NA,0
2018/19 Q2,Perth and Kinross,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Perth and Kinross,0-17 years,Unknown,NA,0
2018/19 Q2,Perth and Kinross,18-64 years,1 (Most Deprived),28.6,80
2018/19 Q2,Perth and Kinross,18-64 years,2,26.8,75
2018/19 Q2,Perth and Kinross,18-64 years,3,16.1,45
2018/19 Q2,Perth and Kinross,18-64 years,4,14.3,40
2018/19 Q2,Perth and Kinross,18-64 years,5 (Least Deprived),14.3,40
2018/19 Q2,Perth and Kinross,18-64 years,Unknown,0,0
2018/19 Q2,Perth and Kinross,65-74 years,1 (Most Deprived),29.8,70
2018/19 Q2,Perth and Kinross,65-74 years,2,17,40
2018/19 Q2,Perth and Kinross,65-74 years,3,23.4,55
2018/19 Q2,Perth and Kinross,65-74 years,4,14.9,35
2018/19 Q2,Perth and Kinross,65-74 years,5 (Least Deprived),14.9,35
2018/19 Q2,Perth and Kinross,65-74 years,Unknown,0,0
2018/19 Q2,Perth and Kinross,75-84 years,1 (Most Deprived),19.6,110
2018/19 Q2,Perth and Kinross,75-84 years,2,19.6,110
2018/19 Q2,Perth and Kinross,75-84 years,3,22.3,125
2018/19 Q2,Perth and Kinross,75-84 years,4,18.8,105
2018/19 Q2,Perth and Kinross,75-84 years,5 (Least Deprived),19.6,110
2018/19 Q2,Perth and Kinross,75-84 years,Unknown,0,0
2018/19 Q2,Perth and Kinross,85+ years,1 (Most Deprived),17,125
2018/19 Q2,Perth and Kinross,85+ years,2,20.4,150
2018/19 Q2,Perth and Kinross,85+ years,3,19,140
2018/19 Q2,Perth and Kinross,85+ years,4,17.7,130
2018/19 Q2,Perth and Kinross,85+ years,5 (Least Deprived),25.9,190
2018/19 Q2,Perth and Kinross,85+ years,Unknown,0,0
2018/19 Q2,Perth and Kinross,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Perth and Kinross,Unknown,2,NA,0
2018/19 Q2,Perth and Kinross,Unknown,3,NA,0
2018/19 Q2,Perth and Kinross,Unknown,4,NA,0
2018/19 Q2,Perth and Kinross,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Perth and Kinross,Unknown,Unknown,NA,0
2018/19 Q2,Renfrewshire,All Ages,1 (Most Deprived),27.2,660
2018/19 Q2,Renfrewshire,All Ages,2,23.9,580
2018/19 Q2,Renfrewshire,All Ages,3,27.8,675
2018/19 Q2,Renfrewshire,All Ages,4,12.3,300
2018/19 Q2,Renfrewshire,All Ages,5 (Least Deprived),8.8,215
2018/19 Q2,Renfrewshire,All Ages,Unknown,0,0
2018/19 Q2,Renfrewshire,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Renfrewshire,0-17 years,2,NA,0
2018/19 Q2,Renfrewshire,0-17 years,3,NA,0
2018/19 Q2,Renfrewshire,0-17 years,4,NA,0
2018/19 Q2,Renfrewshire,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Renfrewshire,0-17 years,Unknown,NA,0
2018/19 Q2,Renfrewshire,18-64 years,1 (Most Deprived),43.7,225
2018/19 Q2,Renfrewshire,18-64 years,2,21.4,110
2018/19 Q2,Renfrewshire,18-64 years,3,19.4,100
2018/19 Q2,Renfrewshire,18-64 years,4,10.7,55
2018/19 Q2,Renfrewshire,18-64 years,5 (Least Deprived),4.9,25
2018/19 Q2,Renfrewshire,18-64 years,Unknown,0,0
2018/19 Q2,Renfrewshire,65-74 years,1 (Most Deprived),27.4,115
2018/19 Q2,Renfrewshire,65-74 years,2,25,105
2018/19 Q2,Renfrewshire,65-74 years,3,27.4,115
2018/19 Q2,Renfrewshire,65-74 years,4,11.9,50
2018/19 Q2,Renfrewshire,65-74 years,5 (Least Deprived),8.3,35
2018/19 Q2,Renfrewshire,65-74 years,Unknown,0,0
2018/19 Q2,Renfrewshire,75-84 years,1 (Most Deprived),23.2,175
2018/19 Q2,Renfrewshire,75-84 years,2,26.5,200
2018/19 Q2,Renfrewshire,75-84 years,3,28.5,215
2018/19 Q2,Renfrewshire,75-84 years,4,11.9,90
2018/19 Q2,Renfrewshire,75-84 years,5 (Least Deprived),9.9,75
2018/19 Q2,Renfrewshire,75-84 years,Unknown,0,0
2018/19 Q2,Renfrewshire,85+ years,1 (Most Deprived),19.6,145
2018/19 Q2,Renfrewshire,85+ years,2,22.3,165
2018/19 Q2,Renfrewshire,85+ years,3,33.8,250
2018/19 Q2,Renfrewshire,85+ years,4,14.2,105
2018/19 Q2,Renfrewshire,85+ years,5 (Least Deprived),10.1,75
2018/19 Q2,Renfrewshire,85+ years,Unknown,0,0
2018/19 Q2,Renfrewshire,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Renfrewshire,Unknown,2,NA,0
2018/19 Q2,Renfrewshire,Unknown,3,NA,0
2018/19 Q2,Renfrewshire,Unknown,4,NA,0
2018/19 Q2,Renfrewshire,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Renfrewshire,Unknown,Unknown,NA,0
2018/19 Q2,Scottish Borders,All Ages,1 (Most Deprived),24.7,345
2018/19 Q2,Scottish Borders,All Ages,2,21.9,305
2018/19 Q2,Scottish Borders,All Ages,3,19.7,275
2018/19 Q2,Scottish Borders,All Ages,4,16.8,235
2018/19 Q2,Scottish Borders,All Ages,5 (Least Deprived),15.1,210
2018/19 Q2,Scottish Borders,All Ages,Unknown,1.8,25
2018/19 Q2,Scottish Borders,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Scottish Borders,0-17 years,2,NA,0
2018/19 Q2,Scottish Borders,0-17 years,3,NA,0
2018/19 Q2,Scottish Borders,0-17 years,4,NA,0
2018/19 Q2,Scottish Borders,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Scottish Borders,0-17 years,Unknown,NA,0
2018/19 Q2,Scottish Borders,18-64 years,1 (Most Deprived),28,35
2018/19 Q2,Scottish Borders,18-64 years,2,28,35
2018/19 Q2,Scottish Borders,18-64 years,3,20,25
2018/19 Q2,Scottish Borders,18-64 years,4,12,15
2018/19 Q2,Scottish Borders,18-64 years,5 (Least Deprived),12,15
2018/19 Q2,Scottish Borders,18-64 years,Unknown,0,0
2018/19 Q2,Scottish Borders,65-74 years,1 (Most Deprived),29.7,55
2018/19 Q2,Scottish Borders,65-74 years,2,18.9,35
2018/19 Q2,Scottish Borders,65-74 years,3,18.9,35
2018/19 Q2,Scottish Borders,65-74 years,4,13.5,25
2018/19 Q2,Scottish Borders,65-74 years,5 (Least Deprived),16.2,30
2018/19 Q2,Scottish Borders,65-74 years,Unknown,2.7,5
2018/19 Q2,Scottish Borders,75-84 years,1 (Most Deprived),25.6,115
2018/19 Q2,Scottish Borders,75-84 years,2,23.3,105
2018/19 Q2,Scottish Borders,75-84 years,3,17.8,80
2018/19 Q2,Scottish Borders,75-84 years,4,18.9,85
2018/19 Q2,Scottish Borders,75-84 years,5 (Least Deprived),12.2,55
2018/19 Q2,Scottish Borders,75-84 years,Unknown,2.2,10
2018/19 Q2,Scottish Borders,85+ years,1 (Most Deprived),21.3,135
2018/19 Q2,Scottish Borders,85+ years,2,20.5,130
2018/19 Q2,Scottish Borders,85+ years,3,22,140
2018/19 Q2,Scottish Borders,85+ years,4,18.1,115
2018/19 Q2,Scottish Borders,85+ years,5 (Least Deprived),17.3,110
2018/19 Q2,Scottish Borders,85+ years,Unknown,0.8,5
2018/19 Q2,Scottish Borders,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Scottish Borders,Unknown,2,NA,0
2018/19 Q2,Scottish Borders,Unknown,3,NA,0
2018/19 Q2,Scottish Borders,Unknown,4,NA,0
2018/19 Q2,Scottish Borders,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Scottish Borders,Unknown,Unknown,NA,0
2018/19 Q2,Shetland,All Ages,1 (Most Deprived),23.4,90
2018/19 Q2,Shetland,All Ages,2,26,100
2018/19 Q2,Shetland,All Ages,3,15.6,60
2018/19 Q2,Shetland,All Ages,4,14.3,55
2018/19 Q2,Shetland,All Ages,5 (Least Deprived),11.7,45
2018/19 Q2,Shetland,All Ages,Unknown,9.1,35
2018/19 Q2,Shetland,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,Shetland,0-17 years,2,NA,0
2018/19 Q2,Shetland,0-17 years,3,NA,0
2018/19 Q2,Shetland,0-17 years,4,NA,0
2018/19 Q2,Shetland,0-17 years,5 (Least Deprived),NA,0
2018/19 Q2,Shetland,0-17 years,Unknown,NA,0
2018/19 Q2,Shetland,18-64 years,1 (Most Deprived),31.2,25
2018/19 Q2,Shetland,18-64 years,2,18.8,15
2018/19 Q2,Shetland,18-64 years,3,18.8,15
2018/19 Q2,Shetland,18-64 years,4,12.5,10
2018/19 Q2,Shetland,18-64 years,5 (Least Deprived),12.5,10
2018/19 Q2,Shetland,18-64 years,Unknown,6.2,5
2018/19 Q2,Shetland,65-74 years,1 (Most Deprived),16.7,10
2018/19 Q2,Shetland,65-74 years,2,25,15
2018/19 Q2,Shetland,65-74 years,3,25,15
2018/19 Q2,Shetland,65-74 years,4,16.7,10
2018/19 Q2,Shetland,65-74 years,5 (Least Deprived),8.3,5
2018/19 Q2,Shetland,65-74 years,Unknown,8.3,5
2018/19 Q2,Shetland,75-84 years,1 (Most Deprived),21.7,25
2018/19 Q2,Shetland,75-84 years,2,30.4,35
2018/19 Q2,Shetland,75-84 years,3,13,15
2018/19 Q2,Shetland,75-84 years,4,13,15
2018/19 Q2,Shetland,75-84 years,5 (Least Deprived),13,15
2018/19 Q2,Shetland,75-84 years,Unknown,8.7,10
2018/19 Q2,Shetland,85+ years,1 (Most Deprived),25.9,35
2018/19 Q2,Shetland,85+ years,2,25.9,35
2018/19 Q2,Shetland,85+ years,3,11.1,15
2018/19 Q2,Shetland,85+ years,4,14.8,20
2018/19 Q2,Shetland,85+ years,5 (Least Deprived),11.1,15
2018/19 Q2,Shetland,85+ years,Unknown,11.1,15
2018/19 Q2,Shetland,Unknown,1 (Most Deprived),NA,0
2018/19 Q2,Shetland,Unknown,2,NA,0
2018/19 Q2,Shetland,Unknown,3,NA,0
2018/19 Q2,Shetland,Unknown,4,NA,0
2018/19 Q2,Shetland,Unknown,5 (Least Deprived),NA,0
2018/19 Q2,Shetland,Unknown,Unknown,NA,0
2018/19 Q2,South Ayrshire,All Ages,1 (Most Deprived),22.6,450
2018/19 Q2,South Ayrshire,All Ages,2,23.9,475
2018/19 Q2,South Ayrshire,All Ages,3,17.6,350
2018/19 Q2,South Ayrshire,All Ages,4,16.6,330
2018/19 Q2,South Ayrshire,All Ages,5 (Least Deprived),18.6,370
2018/19 Q2,South Ayrshire,All Ages,Unknown,0.8,15
2018/19 Q2,South Ayrshire,0-17 years,1 (Most Deprived),NA,0
2018/19 Q2,South Ayrshire,0-17 years,2,NA,0
2018/19 Q2,South Ayrshire,0-17 years,3,NA,0
2018/19 Q2,South Ayrshire,0-17 years,4,NA,0
