financial_quarter,sending_location,age_group,referral_source,percentage,numerator,scotland_percentage
2018/19 Q3,Aberdeenshire,85+ years,999 Emergency Services,82.4,70,83
2018/19 Q3,Aberdeenshire,85+ years,GP,5.9,5,2.4
2018/19 Q3,Aberdeenshire,85+ years,Care Home,0,0,0
2018/19 Q3,Aberdeenshire,85+ years,Self Referral,5.9,5,10.8
2018/19 Q3,Aberdeenshire,85+ years,Other/Unknown,5.9,5,3.8
2018/19 Q3,Aberdeenshire,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Aberdeenshire,Unknown,GP,0,0,0
2018/19 Q3,Aberdeenshire,Unknown,Care Home,0,0,0
2018/19 Q3,Aberdeenshire,Unknown,Self Referral,0,0,0
2018/19 Q3,Aberdeenshire,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Angus,All Ages,999 Emergency Services,60,90,79.2
2018/19 Q3,Angus,All Ages,GP,10,15,2.6
2018/19 Q3,Angus,All Ages,Care Home,0,0,0
2018/19 Q3,Angus,All Ages,Self Referral,16.7,25,13.7
2018/19 Q3,Angus,All Ages,Other/Unknown,13.3,20,4.5
2018/19 Q3,Angus,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Angus,0-17 years,GP,0,0,0
2018/19 Q3,Angus,0-17 years,Care Home,0,0,0
2018/19 Q3,Angus,0-17 years,Self Referral,0,0,25
2018/19 Q3,Angus,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Angus,18-64 years,999 Emergency Services,28.6,10,66.1
2018/19 Q3,Angus,18-64 years,GP,14.3,5,2.6
2018/19 Q3,Angus,18-64 years,Care Home,0,0,0
2018/19 Q3,Angus,18-64 years,Self Referral,28.6,10,22.6
2018/19 Q3,Angus,18-64 years,Other/Unknown,28.6,10,8.7
2018/19 Q3,Angus,65-74 years,999 Emergency Services,66.7,10,81.7
2018/19 Q3,Angus,65-74 years,GP,33.3,5,2.6
2018/19 Q3,Angus,65-74 years,Care Home,0,0,0
2018/19 Q3,Angus,65-74 years,Self Referral,0,0,12.5
2018/19 Q3,Angus,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,Angus,75-84 years,999 Emergency Services,62.5,25,80.8
2018/19 Q3,Angus,75-84 years,GP,12.5,5,2.8
2018/19 Q3,Angus,75-84 years,Care Home,0,0,0
2018/19 Q3,Angus,75-84 years,Self Referral,25,10,12.7
2018/19 Q3,Angus,75-84 years,Other/Unknown,0,0,3.7
2018/19 Q3,Angus,85+ years,999 Emergency Services,80,40,83
2018/19 Q3,Angus,85+ years,GP,0,0,2.4
2018/19 Q3,Angus,85+ years,Care Home,0,0,0
2018/19 Q3,Angus,85+ years,Self Referral,10,5,10.8
2018/19 Q3,Angus,85+ years,Other/Unknown,10,5,3.8
2018/19 Q3,Angus,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Angus,Unknown,GP,0,0,0
2018/19 Q3,Angus,Unknown,Care Home,0,0,0
2018/19 Q3,Angus,Unknown,Self Referral,0,0,0
2018/19 Q3,Angus,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Argyll and Bute,All Ages,999 Emergency Services,75.9,205,79.2
2018/19 Q3,Argyll and Bute,All Ages,GP,7.4,20,2.6
2018/19 Q3,Argyll and Bute,All Ages,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,All Ages,Self Referral,11.1,30,13.7
2018/19 Q3,Argyll and Bute,All Ages,Other/Unknown,5.6,15,4.5
2018/19 Q3,Argyll and Bute,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Argyll and Bute,0-17 years,GP,0,0,0
2018/19 Q3,Argyll and Bute,0-17 years,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,0-17 years,Self Referral,0,0,25
2018/19 Q3,Argyll and Bute,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Argyll and Bute,18-64 years,999 Emergency Services,62.5,25,66.1
2018/19 Q3,Argyll and Bute,18-64 years,GP,0,0,2.6
2018/19 Q3,Argyll and Bute,18-64 years,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,18-64 years,Self Referral,25,10,22.6
2018/19 Q3,Argyll and Bute,18-64 years,Other/Unknown,12.5,5,8.7
2018/19 Q3,Argyll and Bute,65-74 years,999 Emergency Services,87.5,35,81.7
2018/19 Q3,Argyll and Bute,65-74 years,GP,12.5,5,2.6
2018/19 Q3,Argyll and Bute,65-74 years,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,65-74 years,Self Referral,0,0,12.5
2018/19 Q3,Argyll and Bute,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,Argyll and Bute,75-84 years,999 Emergency Services,72.2,65,80.8
2018/19 Q3,Argyll and Bute,75-84 years,GP,11.1,10,2.8
2018/19 Q3,Argyll and Bute,75-84 years,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,75-84 years,Self Referral,11.1,10,12.7
2018/19 Q3,Argyll and Bute,75-84 years,Other/Unknown,5.6,5,3.7
2018/19 Q3,Argyll and Bute,85+ years,999 Emergency Services,81,85,83
2018/19 Q3,Argyll and Bute,85+ years,GP,4.8,5,2.4
2018/19 Q3,Argyll and Bute,85+ years,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,85+ years,Self Referral,9.5,10,10.8
2018/19 Q3,Argyll and Bute,85+ years,Other/Unknown,4.8,5,3.8
2018/19 Q3,Argyll and Bute,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Argyll and Bute,Unknown,GP,0,0,0
2018/19 Q3,Argyll and Bute,Unknown,Care Home,0,0,0
2018/19 Q3,Argyll and Bute,Unknown,Self Referral,0,0,0
2018/19 Q3,Argyll and Bute,Unknown,Other/Unknown,0,0,0
2018/19 Q3,City of Edinburgh,All Ages,999 Emergency Services,78.2,1505,79.2
2018/19 Q3,City of Edinburgh,All Ages,GP,1.6,30,2.6
2018/19 Q3,City of Edinburgh,All Ages,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,All Ages,Self Referral,8.8,170,13.7
2018/19 Q3,City of Edinburgh,All Ages,Other/Unknown,11.4,220,4.5
2018/19 Q3,City of Edinburgh,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,City of Edinburgh,0-17 years,GP,0,0,0
2018/19 Q3,City of Edinburgh,0-17 years,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,0-17 years,Self Referral,0,0,25
2018/19 Q3,City of Edinburgh,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,City of Edinburgh,18-64 years,999 Emergency Services,66.9,415,66.1
2018/19 Q3,City of Edinburgh,18-64 years,GP,1.6,10,2.6
2018/19 Q3,City of Edinburgh,18-64 years,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,18-64 years,Self Referral,15.3,95,22.6
2018/19 Q3,City of Edinburgh,18-64 years,Other/Unknown,16.1,100,8.7
2018/19 Q3,City of Edinburgh,65-74 years,999 Emergency Services,80,220,81.7
2018/19 Q3,City of Edinburgh,65-74 years,GP,1.8,5,2.6
2018/19 Q3,City of Edinburgh,65-74 years,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,65-74 years,Self Referral,10.9,30,12.5
2018/19 Q3,City of Edinburgh,65-74 years,Other/Unknown,7.3,20,3.3
2018/19 Q3,City of Edinburgh,75-84 years,999 Emergency Services,85.1,370,80.8
2018/19 Q3,City of Edinburgh,75-84 years,GP,1.1,5,2.8
2018/19 Q3,City of Edinburgh,75-84 years,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,75-84 years,Self Referral,4.6,20,12.7
2018/19 Q3,City of Edinburgh,75-84 years,Other/Unknown,9.2,40,3.7
2018/19 Q3,City of Edinburgh,85+ years,999 Emergency Services,84.7,500,83
2018/19 Q3,City of Edinburgh,85+ years,GP,0.8,5,2.4
2018/19 Q3,City of Edinburgh,85+ years,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,85+ years,Self Referral,4.2,25,10.8
2018/19 Q3,City of Edinburgh,85+ years,Other/Unknown,10.2,60,3.8
2018/19 Q3,City of Edinburgh,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,City of Edinburgh,Unknown,GP,0,0,0
2018/19 Q3,City of Edinburgh,Unknown,Care Home,0,0,0
2018/19 Q3,City of Edinburgh,Unknown,Self Referral,0,0,0
2018/19 Q3,City of Edinburgh,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Clackmannanshire,All Ages,999 Emergency Services,83.8,155,79.2
2018/19 Q3,Clackmannanshire,All Ages,GP,0,0,2.6
2018/19 Q3,Clackmannanshire,All Ages,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,All Ages,Self Referral,16.2,30,13.7
2018/19 Q3,Clackmannanshire,All Ages,Other/Unknown,0,0,4.5
2018/19 Q3,Clackmannanshire,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Clackmannanshire,0-17 years,GP,0,0,0
2018/19 Q3,Clackmannanshire,0-17 years,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,0-17 years,Self Referral,0,0,25
2018/19 Q3,Clackmannanshire,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Clackmannanshire,18-64 years,999 Emergency Services,57.1,20,66.1
2018/19 Q3,Clackmannanshire,18-64 years,GP,0,0,2.6
2018/19 Q3,Clackmannanshire,18-64 years,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,18-64 years,Self Referral,42.9,15,22.6
2018/19 Q3,Clackmannanshire,18-64 years,Other/Unknown,0,0,8.7
2018/19 Q3,Clackmannanshire,65-74 years,999 Emergency Services,88.9,40,81.7
2018/19 Q3,Clackmannanshire,65-74 years,GP,0,0,2.6
2018/19 Q3,Clackmannanshire,65-74 years,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,65-74 years,Self Referral,11.1,5,12.5
2018/19 Q3,Clackmannanshire,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,Clackmannanshire,75-84 years,999 Emergency Services,91.7,55,80.8
2018/19 Q3,Clackmannanshire,75-84 years,GP,0,0,2.8
2018/19 Q3,Clackmannanshire,75-84 years,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,75-84 years,Self Referral,8.3,5,12.7
2018/19 Q3,Clackmannanshire,75-84 years,Other/Unknown,0,0,3.7
2018/19 Q3,Clackmannanshire,85+ years,999 Emergency Services,88.9,40,83
2018/19 Q3,Clackmannanshire,85+ years,GP,0,0,2.4
2018/19 Q3,Clackmannanshire,85+ years,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,85+ years,Self Referral,11.1,5,10.8
2018/19 Q3,Clackmannanshire,85+ years,Other/Unknown,0,0,3.8
2018/19 Q3,Clackmannanshire,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Clackmannanshire,Unknown,GP,0,0,0
2018/19 Q3,Clackmannanshire,Unknown,Care Home,0,0,0
2018/19 Q3,Clackmannanshire,Unknown,Self Referral,0,0,0
2018/19 Q3,Clackmannanshire,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,All Ages,999 Emergency Services,80,60,79.2
2018/19 Q3,Comhairle nan Eilean Siar,All Ages,GP,0,0,2.6
2018/19 Q3,Comhairle nan Eilean Siar,All Ages,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,All Ages,Self Referral,13.3,10,13.7
2018/19 Q3,Comhairle nan Eilean Siar,All Ages,Other/Unknown,6.7,5,4.5
2018/19 Q3,Comhairle nan Eilean Siar,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Comhairle nan Eilean Siar,0-17 years,GP,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,0-17 years,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,0-17 years,Self Referral,0,0,25
2018/19 Q3,Comhairle nan Eilean Siar,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Comhairle nan Eilean Siar,18-64 years,999 Emergency Services,100,5,66.1
2018/19 Q3,Comhairle nan Eilean Siar,18-64 years,GP,0,0,2.6
2018/19 Q3,Comhairle nan Eilean Siar,18-64 years,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,18-64 years,Self Referral,0,0,22.6
2018/19 Q3,Comhairle nan Eilean Siar,18-64 years,Other/Unknown,0,0,8.7
2018/19 Q3,Comhairle nan Eilean Siar,65-74 years,999 Emergency Services,100,10,81.7
2018/19 Q3,Comhairle nan Eilean Siar,65-74 years,GP,0,0,2.6
2018/19 Q3,Comhairle nan Eilean Siar,65-74 years,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,65-74 years,Self Referral,0,0,12.5
2018/19 Q3,Comhairle nan Eilean Siar,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,Comhairle nan Eilean Siar,75-84 years,999 Emergency Services,80,20,80.8
2018/19 Q3,Comhairle nan Eilean Siar,75-84 years,GP,0,0,2.8
2018/19 Q3,Comhairle nan Eilean Siar,75-84 years,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,75-84 years,Self Referral,20,5,12.7
2018/19 Q3,Comhairle nan Eilean Siar,75-84 years,Other/Unknown,0,0,3.7
2018/19 Q3,Comhairle nan Eilean Siar,85+ years,999 Emergency Services,85.7,30,83
2018/19 Q3,Comhairle nan Eilean Siar,85+ years,GP,0,0,2.4
2018/19 Q3,Comhairle nan Eilean Siar,85+ years,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,85+ years,Self Referral,14.3,5,10.8
2018/19 Q3,Comhairle nan Eilean Siar,85+ years,Other/Unknown,0,0,3.8
2018/19 Q3,Comhairle nan Eilean Siar,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,Unknown,GP,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,Unknown,Care Home,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,Unknown,Self Referral,0,0,0
2018/19 Q3,Comhairle nan Eilean Siar,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Dumfries and Galloway,All Ages,999 Emergency Services,77,435,79.2
2018/19 Q3,Dumfries and Galloway,All Ages,GP,2.7,15,2.6
2018/19 Q3,Dumfries and Galloway,All Ages,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,All Ages,Self Referral,15.9,90,13.7
2018/19 Q3,Dumfries and Galloway,All Ages,Other/Unknown,4.4,25,4.5
2018/19 Q3,Dumfries and Galloway,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Dumfries and Galloway,0-17 years,GP,0,0,0
2018/19 Q3,Dumfries and Galloway,0-17 years,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,0-17 years,Self Referral,0,0,25
2018/19 Q3,Dumfries and Galloway,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Dumfries and Galloway,18-64 years,999 Emergency Services,57.1,60,66.1
2018/19 Q3,Dumfries and Galloway,18-64 years,GP,0,0,2.6
2018/19 Q3,Dumfries and Galloway,18-64 years,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,18-64 years,Self Referral,33.3,35,22.6
2018/19 Q3,Dumfries and Galloway,18-64 years,Other/Unknown,9.5,10,8.7
2018/19 Q3,Dumfries and Galloway,65-74 years,999 Emergency Services,76.2,80,81.7
2018/19 Q3,Dumfries and Galloway,65-74 years,GP,4.8,5,2.6
2018/19 Q3,Dumfries and Galloway,65-74 years,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,65-74 years,Self Referral,14.3,15,12.5
2018/19 Q3,Dumfries and Galloway,65-74 years,Other/Unknown,4.8,5,3.3
2018/19 Q3,Dumfries and Galloway,75-84 years,999 Emergency Services,81.8,135,80.8
2018/19 Q3,Dumfries and Galloway,75-84 years,GP,3,5,2.8
2018/19 Q3,Dumfries and Galloway,75-84 years,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,75-84 years,Self Referral,12.1,20,12.7
2018/19 Q3,Dumfries and Galloway,75-84 years,Other/Unknown,3,5,3.7
2018/19 Q3,Dumfries and Galloway,85+ years,999 Emergency Services,82.1,160,83
2018/19 Q3,Dumfries and Galloway,85+ years,GP,2.6,5,2.4
2018/19 Q3,Dumfries and Galloway,85+ years,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,85+ years,Self Referral,12.8,25,10.8
2018/19 Q3,Dumfries and Galloway,85+ years,Other/Unknown,2.6,5,3.8
2018/19 Q3,Dumfries and Galloway,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Dumfries and Galloway,Unknown,GP,0,0,0
2018/19 Q3,Dumfries and Galloway,Unknown,Care Home,0,0,0
2018/19 Q3,Dumfries and Galloway,Unknown,Self Referral,0,0,0
2018/19 Q3,Dumfries and Galloway,Unknown,Other/Unknown,0,0,0
2018/19 Q3,Dundee City,All Ages,999 Emergency Services,84.8,280,79.2
2018/19 Q3,Dundee City,All Ages,GP,1.5,5,2.6
2018/19 Q3,Dundee City,All Ages,Care Home,0,0,0
2018/19 Q3,Dundee City,All Ages,Self Referral,12.1,40,13.7
2018/19 Q3,Dundee City,All Ages,Other/Unknown,1.5,5,4.5
2018/19 Q3,Dundee City,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,Dundee City,0-17 years,GP,0,0,0
2018/19 Q3,Dundee City,0-17 years,Care Home,0,0,0
2018/19 Q3,Dundee City,0-17 years,Self Referral,0,0,25
2018/19 Q3,Dundee City,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,Dundee City,18-64 years,999 Emergency Services,77.8,35,66.1
2018/19 Q3,Dundee City,18-64 years,GP,0,0,2.6
2018/19 Q3,Dundee City,18-64 years,Care Home,0,0,0
2018/19 Q3,Dundee City,18-64 years,Self Referral,22.2,10,22.6
2018/19 Q3,Dundee City,18-64 years,Other/Unknown,0,0,8.7
2018/19 Q3,Dundee City,65-74 years,999 Emergency Services,91.7,55,81.7
2018/19 Q3,Dundee City,65-74 years,GP,0,0,2.6
2018/19 Q3,Dundee City,65-74 years,Care Home,0,0,0
2018/19 Q3,Dundee City,65-74 years,Self Referral,8.3,5,12.5
2018/19 Q3,Dundee City,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,Dundee City,75-84 years,999 Emergency Services,78.9,75,80.8
2018/19 Q3,Dundee City,75-84 years,GP,5.3,5,2.8
2018/19 Q3,Dundee City,75-84 years,Care Home,0,0,0
2018/19 Q3,Dundee City,75-84 years,Self Referral,15.8,15,12.7
2018/19 Q3,Dundee City,75-84 years,Other/Unknown,0,0,3.7
2018/19 Q3,Dundee City,85+ years,999 Emergency Services,88,110,83
2018/19 Q3,Dundee City,85+ years,GP,0,0,2.4
2018/19 Q3,Dundee City,85+ years,Care Home,0,0,0
2018/19 Q3,Dundee City,85+ years,Self Referral,12,15,10.8
2018/19 Q3,Dundee City,85+ years,Other/Unknown,0,0,3.8
2018/19 Q3,Dundee City,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,Dundee City,Unknown,GP,0,0,0
2018/19 Q3,Dundee City,Unknown,Care Home,0,0,0
2018/19 Q3,Dundee City,Unknown,Self Referral,0,0,0
2018/19 Q3,Dundee City,Unknown,Other/Unknown,0,0,0
2018/19 Q3,East Ayrshire,All Ages,999 Emergency Services,81.3,370,79.2
2018/19 Q3,East Ayrshire,All Ages,GP,1.1,5,2.6
2018/19 Q3,East Ayrshire,All Ages,Care Home,0,0,0
2018/19 Q3,East Ayrshire,All Ages,Self Referral,15.4,70,13.7
2018/19 Q3,East Ayrshire,All Ages,Other/Unknown,2.2,10,4.5
2018/19 Q3,East Ayrshire,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,East Ayrshire,0-17 years,GP,0,0,0
2018/19 Q3,East Ayrshire,0-17 years,Care Home,0,0,0
2018/19 Q3,East Ayrshire,0-17 years,Self Referral,0,0,25
2018/19 Q3,East Ayrshire,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,East Ayrshire,18-64 years,999 Emergency Services,62.5,50,66.1
2018/19 Q3,East Ayrshire,18-64 years,GP,0,0,2.6
2018/19 Q3,East Ayrshire,18-64 years,Care Home,0,0,0
2018/19 Q3,East Ayrshire,18-64 years,Self Referral,31.2,25,22.6
2018/19 Q3,East Ayrshire,18-64 years,Other/Unknown,6.2,5,8.7
2018/19 Q3,East Ayrshire,65-74 years,999 Emergency Services,82.4,70,81.7
2018/19 Q3,East Ayrshire,65-74 years,GP,0,0,2.6
2018/19 Q3,East Ayrshire,65-74 years,Care Home,0,0,0
2018/19 Q3,East Ayrshire,65-74 years,Self Referral,17.6,15,12.5
2018/19 Q3,East Ayrshire,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,East Ayrshire,75-84 years,999 Emergency Services,86.7,130,80.8
2018/19 Q3,East Ayrshire,75-84 years,GP,0,0,2.8
2018/19 Q3,East Ayrshire,75-84 years,Care Home,0,0,0
2018/19 Q3,East Ayrshire,75-84 years,Self Referral,10,15,12.7
2018/19 Q3,East Ayrshire,75-84 years,Other/Unknown,3.3,5,3.7
2018/19 Q3,East Ayrshire,85+ years,999 Emergency Services,88.9,120,83
2018/19 Q3,East Ayrshire,85+ years,GP,0,0,2.4
2018/19 Q3,East Ayrshire,85+ years,Care Home,0,0,0
2018/19 Q3,East Ayrshire,85+ years,Self Referral,11.1,15,10.8
2018/19 Q3,East Ayrshire,85+ years,Other/Unknown,0,0,3.8
2018/19 Q3,East Ayrshire,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,East Ayrshire,Unknown,GP,0,0,0
2018/19 Q3,East Ayrshire,Unknown,Care Home,0,0,0
2018/19 Q3,East Ayrshire,Unknown,Self Referral,0,0,0
2018/19 Q3,East Ayrshire,Unknown,Other/Unknown,0,0,0
2018/19 Q3,East Dunbartonshire,All Ages,999 Emergency Services,83.3,275,79.2
2018/19 Q3,East Dunbartonshire,All Ages,GP,1.5,5,2.6
2018/19 Q3,East Dunbartonshire,All Ages,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,All Ages,Self Referral,13.6,45,13.7
2018/19 Q3,East Dunbartonshire,All Ages,Other/Unknown,1.5,5,4.5
2018/19 Q3,East Dunbartonshire,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,East Dunbartonshire,0-17 years,GP,0,0,0
2018/19 Q3,East Dunbartonshire,0-17 years,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,0-17 years,Self Referral,0,0,25
2018/19 Q3,East Dunbartonshire,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,East Dunbartonshire,18-64 years,999 Emergency Services,80,20,66.1
2018/19 Q3,East Dunbartonshire,18-64 years,GP,0,0,2.6
2018/19 Q3,East Dunbartonshire,18-64 years,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,18-64 years,Self Referral,20,5,22.6
2018/19 Q3,East Dunbartonshire,18-64 years,Other/Unknown,0,0,8.7
2018/19 Q3,East Dunbartonshire,65-74 years,999 Emergency Services,85.7,30,81.7
2018/19 Q3,East Dunbartonshire,65-74 years,GP,0,0,2.6
2018/19 Q3,East Dunbartonshire,65-74 years,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,65-74 years,Self Referral,14.3,5,12.5
2018/19 Q3,East Dunbartonshire,65-74 years,Other/Unknown,0,0,3.3
2018/19 Q3,East Dunbartonshire,75-84 years,999 Emergency Services,83.3,100,80.8
2018/19 Q3,East Dunbartonshire,75-84 years,GP,4.2,5,2.8
2018/19 Q3,East Dunbartonshire,75-84 years,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,75-84 years,Self Referral,12.5,15,12.7
2018/19 Q3,East Dunbartonshire,75-84 years,Other/Unknown,0,0,3.7
2018/19 Q3,East Dunbartonshire,85+ years,999 Emergency Services,83.3,125,83
2018/19 Q3,East Dunbartonshire,85+ years,GP,0,0,2.4
2018/19 Q3,East Dunbartonshire,85+ years,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,85+ years,Self Referral,16.7,25,10.8
2018/19 Q3,East Dunbartonshire,85+ years,Other/Unknown,0,0,3.8
2018/19 Q3,East Dunbartonshire,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,East Dunbartonshire,Unknown,GP,0,0,0
2018/19 Q3,East Dunbartonshire,Unknown,Care Home,0,0,0
2018/19 Q3,East Dunbartonshire,Unknown,Self Referral,0,0,0
2018/19 Q3,East Dunbartonshire,Unknown,Other/Unknown,0,0,0
2018/19 Q3,East Lothian,All Ages,999 Emergency Services,84.8,335,79.2
2018/19 Q3,East Lothian,All Ages,GP,1.3,5,2.6
2018/19 Q3,East Lothian,All Ages,Care Home,0,0,0
2018/19 Q3,East Lothian,All Ages,Self Referral,3.8,15,13.7
2018/19 Q3,East Lothian,All Ages,Other/Unknown,10.1,40,4.5
2018/19 Q3,East Lothian,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,East Lothian,0-17 years,GP,0,0,0
2018/19 Q3,East Lothian,0-17 years,Care Home,0,0,0
2018/19 Q3,East Lothian,0-17 years,Self Referral,0,0,25
2018/19 Q3,East Lothian,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,East Lothian,18-64 years,999 Emergency Services,84.2,80,66.1
2018/19 Q3,East Lothian,18-64 years,GP,0,0,2.6
2018/19 Q3,East Lothian,18-64 years,Care Home,0,0,0
2018/19 Q3,East Lothian,18-64 years,Self Referral,5.3,5,22.6
2018/19 Q3,East Lothian,18-64 years,Other/Unknown,10.5,10,8.7
2018/19 Q3,East Lothian,65-74 years,999 Emergency Services,87.5,35,81.7
2018/19 Q3,East Lothian,65-74 years,GP,0,0,2.6
2018/19 Q3,East Lothian,65-74 years,Care Home,0,0,0
2018/19 Q3,East Lothian,65-74 years,Self Referral,0,0,12.5
2018/19 Q3,East Lothian,65-74 years,Other/Unknown,12.5,5,3.3
2018/19 Q3,East Lothian,75-84 years,999 Emergency Services,87,100,80.8
2018/19 Q3,East Lothian,75-84 years,GP,0,0,2.8
2018/19 Q3,East Lothian,75-84 years,Care Home,0,0,0
2018/19 Q3,East Lothian,75-84 years,Self Referral,4.3,5,12.7
2018/19 Q3,East Lothian,75-84 years,Other/Unknown,8.7,10,3.7
2018/19 Q3,East Lothian,85+ years,999 Emergency Services,88.5,115,83
2018/19 Q3,East Lothian,85+ years,GP,0,0,2.4
2018/19 Q3,East Lothian,85+ years,Care Home,0,0,0
2018/19 Q3,East Lothian,85+ years,Self Referral,3.8,5,10.8
2018/19 Q3,East Lothian,85+ years,Other/Unknown,7.7,10,3.8
2018/19 Q3,East Lothian,Unknown,999 Emergency Services,0,0,0
2018/19 Q3,East Lothian,Unknown,GP,0,0,0
2018/19 Q3,East Lothian,Unknown,Care Home,0,0,0
2018/19 Q3,East Lothian,Unknown,Self Referral,0,0,0
2018/19 Q3,East Lothian,Unknown,Other/Unknown,0,0,0
2018/19 Q3,East Renfrewshire,All Ages,999 Emergency Services,81.9,295,79.2
2018/19 Q3,East Renfrewshire,All Ages,GP,1.4,5,2.6
2018/19 Q3,East Renfrewshire,All Ages,Care Home,0,0,0
2018/19 Q3,East Renfrewshire,All Ages,Self Referral,15.3,55,13.7
2018/19 Q3,East Renfrewshire,All Ages,Other/Unknown,1.4,5,4.5
2018/19 Q3,East Renfrewshire,0-17 years,999 Emergency Services,0,0,50
2018/19 Q3,East Renfrewshire,0-17 years,GP,0,0,0
2018/19 Q3,East Renfrewshire,0-17 years,Care Home,0,0,0
2018/19 Q3,East Renfrewshire,0-17 years,Self Referral,0,0,25
2018/19 Q3,East Renfrewshire,0-17 years,Other/Unknown,0,0,25
2018/19 Q3,East Renfrewshire,18-64 years,999 Emergency Services,86.7,65,66.1
2018/19 Q3,East Renfrewshire,18-64 years,GP,0,0,2.6
2018/19 Q3,East Renfrewshire,18-64 years,Care Home,0,0,0
2018/19 Q3,East Renfrewshire,18-64 years,Self Referral,13.3,10,22.6
