time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,195,100
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2019/20 Q1,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,415,100
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,100
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,65,100
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,115,100
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,205,100
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2019/20 Q2,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,395,100
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,100
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,60,100
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,100,100
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,200,100
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2019/20 Q3,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,380,100
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,100
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,100
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,105,100
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,180,100
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2019/20 Q4,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,305,100
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,25,100
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,50,100
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,80,100
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,150,100
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2020/21 Q1,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,335,100
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,30,100
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,100
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,95,100
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,155,100
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2020/21 Q2,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,340,100
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,30,100
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,100
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,105,100
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,150,100
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2020/21 Q3,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,345,100
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,35,100
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,100
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,65-74 years,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,65-74 years,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,105,100
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,75-84 years,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,75-84 years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,75-84 years,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,75-84 years,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,155,100
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,85+ years,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,85+ years,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,85+ years,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,85+ years,Third Sector,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,Unknown,Other,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,Unknown,Other Local Authority,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,Unknown,Private only,0,0
Financial Quarter,2020/21 Q4,Comhairle nan Eilean Siar,Unknown,Third Sector,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,370,100
Census Week,2017/18,Comhairle nan Eilean Siar,All Ages,Other,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,All Ages,Other Local Authority,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,All Ages,Private only,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,All Ages,Third Sector,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,0-17 years,Other,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,0-17 years,Other Local Authority,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,0-17 years,Private only,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,0-17 years,Third Sector,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,30,100
Census Week,2017/18,Comhairle nan Eilean Siar,18-64 years,Other,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,18-64 years,Other Local Authority,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,18-64 years,Private only,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,18-64 years,Third Sector,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,100
Census Week,2017/18,Comhairle nan Eilean Siar,65-74 years,Other,0,0
Census Week,2017/18,Comhairle nan Eilean Siar,65-74 years,Other Local Authority,0,0
