financial_quarter,sending_location,locality,age_group,measure,value
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,All Ages,Number of People,335
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,All Ages,Number of Hours,34785
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,18-64 years,"Rate per 1,000 Population",7.1
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,18-64 years,Number of People,85
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,18-64 years,Number of Hours,11805
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,65-74 years,"Rate per 1,000 Population",32.5
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,65-74 years,Number of People,65
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,65-74 years,Number of Hours,8225
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,75-84 years,"Rate per 1,000 Population",78.1
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,75-84 years,Number of People,100
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,75-84 years,Number of Hours,7895
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,85+ years,"Rate per 1,000 Population",179.5
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,85+ years,Number of People,85
2018/19 Q1,South Ayrshire,Ayr North and Former Coalfield Communities,85+ years,Number of Hours,6855
2018/19 Q1,South Ayrshire,Ayr South and Coylton,All Ages,"Rate per 1,000 Population",17.1
2018/19 Q1,South Ayrshire,Ayr South and Coylton,All Ages,Number of People,535
2018/19 Q1,South Ayrshire,Ayr South and Coylton,All Ages,Number of Hours,51500
2018/19 Q1,South Ayrshire,Ayr South and Coylton,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Ayr South and Coylton,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Ayr South and Coylton,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Ayr South and Coylton,18-64 years,"Rate per 1,000 Population",4.9
2018/19 Q1,South Ayrshire,Ayr South and Coylton,18-64 years,Number of People,85
2018/19 Q1,South Ayrshire,Ayr South and Coylton,18-64 years,Number of Hours,12495
2018/19 Q1,South Ayrshire,Ayr South and Coylton,65-74 years,"Rate per 1,000 Population",17
2018/19 Q1,South Ayrshire,Ayr South and Coylton,65-74 years,Number of People,80
2018/19 Q1,South Ayrshire,Ayr South and Coylton,65-74 years,Number of Hours,7830
2018/19 Q1,South Ayrshire,Ayr South and Coylton,75-84 years,"Rate per 1,000 Population",51.9
2018/19 Q1,South Ayrshire,Ayr South and Coylton,75-84 years,Number of People,150
2018/19 Q1,South Ayrshire,Ayr South and Coylton,75-84 years,Number of Hours,12110
2018/19 Q1,South Ayrshire,Ayr South and Coylton,85+ years,"Rate per 1,000 Population",181.4
2018/19 Q1,South Ayrshire,Ayr South and Coylton,85+ years,Number of People,220
2018/19 Q1,South Ayrshire,Ayr South and Coylton,85+ years,Number of Hours,19065
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,All Ages,"Rate per 1,000 Population",19.8
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,All Ages,Number of People,185
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,All Ages,Number of Hours,19085
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,18-64 years,"Rate per 1,000 Population",6.6
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,18-64 years,Number of People,35
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,18-64 years,Number of Hours,5785
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,65-74 years,"Rate per 1,000 Population",23.6
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,65-74 years,Number of People,30
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,65-74 years,Number of Hours,4795
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,75-84 years,"Rate per 1,000 Population",71.9
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,75-84 years,Number of People,65
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,75-84 years,Number of Hours,4310
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,85+ years,"Rate per 1,000 Population",207.4
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,85+ years,Number of People,55
2018/19 Q1,South Ayrshire,Girvan and South Carrick Villages,85+ years,Number of Hours,4195
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,All Ages,"Rate per 1,000 Population",13.9
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,All Ages,Number of People,140
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,All Ages,Number of Hours,12735
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,18-64 years,"Rate per 1,000 Population",4.7
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,18-64 years,Number of People,25
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,18-64 years,Number of Hours,3300
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,65-74 years,"Rate per 1,000 Population",13.5
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,65-74 years,Number of People,20
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,65-74 years,Number of Hours,1985
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,75-84 years,"Rate per 1,000 Population",70
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,75-84 years,Number of People,45
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,75-84 years,Number of Hours,3525
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,85+ years,"Rate per 1,000 Population",186
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,85+ years,Number of People,45
2018/19 Q1,South Ayrshire,Maybole and North Carrick Communities,85+ years,Number of Hours,3920
2018/19 Q1,South Ayrshire,Outside Partnership,All Ages,Number of People,60
2018/19 Q1,South Ayrshire,Outside Partnership,All Ages,Number of Hours,9650
2018/19 Q1,South Ayrshire,Outside Partnership,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Outside Partnership,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Outside Partnership,18-64 years,Number of People,20
2018/19 Q1,South Ayrshire,Outside Partnership,18-64 years,Number of Hours,5655
2018/19 Q1,South Ayrshire,Outside Partnership,65-74 years,Number of People,10
2018/19 Q1,South Ayrshire,Outside Partnership,65-74 years,Number of Hours,1290
2018/19 Q1,South Ayrshire,Outside Partnership,75-84 years,Number of People,10
2018/19 Q1,South Ayrshire,Outside Partnership,75-84 years,Number of Hours,375
2018/19 Q1,South Ayrshire,Outside Partnership,85+ years,Number of People,25
2018/19 Q1,South Ayrshire,Outside Partnership,85+ years,Number of Hours,2330
2018/19 Q1,South Ayrshire,Prestwick,All Ages,"Rate per 1,000 Population",16.6
2018/19 Q1,South Ayrshire,Prestwick,All Ages,Number of People,380
2018/19 Q1,South Ayrshire,Prestwick,All Ages,Number of Hours,47315
2018/19 Q1,South Ayrshire,Prestwick,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Prestwick,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Prestwick,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Prestwick,18-64 years,"Rate per 1,000 Population",6.2
2018/19 Q1,South Ayrshire,Prestwick,18-64 years,Number of People,85
2018/19 Q1,South Ayrshire,Prestwick,18-64 years,Number of Hours,19485
2018/19 Q1,South Ayrshire,Prestwick,65-74 years,"Rate per 1,000 Population",16.7
2018/19 Q1,South Ayrshire,Prestwick,65-74 years,Number of People,50
2018/19 Q1,South Ayrshire,Prestwick,65-74 years,Number of Hours,6015
2018/19 Q1,South Ayrshire,Prestwick,75-84 years,"Rate per 1,000 Population",62.7
2018/19 Q1,South Ayrshire,Prestwick,75-84 years,Number of People,115
2018/19 Q1,South Ayrshire,Prestwick,75-84 years,Number of Hours,10205
2018/19 Q1,South Ayrshire,Prestwick,85+ years,"Rate per 1,000 Population",188.2
2018/19 Q1,South Ayrshire,Prestwick,85+ years,Number of People,130
2018/19 Q1,South Ayrshire,Prestwick,85+ years,Number of Hours,11610
2018/19 Q1,South Ayrshire,Troon,All Ages,"Rate per 1,000 Population",14.6
2018/19 Q1,South Ayrshire,Troon,All Ages,Number of People,275
2018/19 Q1,South Ayrshire,Troon,All Ages,Number of Hours,30570
2018/19 Q1,South Ayrshire,Troon,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,South Ayrshire,Troon,0-17 years,Number of People,0
2018/19 Q1,South Ayrshire,Troon,0-17 years,Number of Hours,0
2018/19 Q1,South Ayrshire,Troon,18-64 years,"Rate per 1,000 Population",4.2
2018/19 Q1,South Ayrshire,Troon,18-64 years,Number of People,45
2018/19 Q1,South Ayrshire,Troon,18-64 years,Number of Hours,7255
2018/19 Q1,South Ayrshire,Troon,65-74 years,"Rate per 1,000 Population",12.6
2018/19 Q1,South Ayrshire,Troon,65-74 years,Number of People,35
2018/19 Q1,South Ayrshire,Troon,65-74 years,Number of Hours,3915
2018/19 Q1,South Ayrshire,Troon,75-84 years,"Rate per 1,000 Population",50.5
2018/19 Q1,South Ayrshire,Troon,75-84 years,Number of People,85
2018/19 Q1,South Ayrshire,Troon,75-84 years,Number of Hours,7365
2018/19 Q1,South Ayrshire,Troon,85+ years,"Rate per 1,000 Population",175
2018/19 Q1,South Ayrshire,Troon,85+ years,Number of People,110
2018/19 Q1,South Ayrshire,Troon,85+ years,Number of Hours,12035
2018/19 Q1,South Lanarkshire,Clydesdale,All Ages,"Rate per 1,000 Population",13
2018/19 Q1,South Lanarkshire,Clydesdale,All Ages,Number of People,805
2018/19 Q1,South Lanarkshire,Clydesdale,All Ages,Number of Hours,97865
2018/19 Q1,South Lanarkshire,Clydesdale,0-17 years,"Rate per 1,000 Population",0.6
2018/19 Q1,South Lanarkshire,Clydesdale,0-17 years,Number of People,5
2018/19 Q1,South Lanarkshire,Clydesdale,0-17 years,Number of Hours,1470
2018/19 Q1,South Lanarkshire,Clydesdale,18-64 years,"Rate per 1,000 Population",3
2018/19 Q1,South Lanarkshire,Clydesdale,18-64 years,Number of People,110
2018/19 Q1,South Lanarkshire,Clydesdale,18-64 years,Number of Hours,25720
2018/19 Q1,South Lanarkshire,Clydesdale,65-74 years,"Rate per 1,000 Population",14.5
2018/19 Q1,South Lanarkshire,Clydesdale,65-74 years,Number of People,110
2018/19 Q1,South Lanarkshire,Clydesdale,65-74 years,Number of Hours,15720
2018/19 Q1,South Lanarkshire,Clydesdale,75-84 years,"Rate per 1,000 Population",64
2018/19 Q1,South Lanarkshire,Clydesdale,75-84 years,Number of People,260
2018/19 Q1,South Lanarkshire,Clydesdale,75-84 years,Number of Hours,25460
2018/19 Q1,South Lanarkshire,Clydesdale,85+ years,"Rate per 1,000 Population",205.2
2018/19 Q1,South Lanarkshire,Clydesdale,85+ years,Number of People,315
2018/19 Q1,South Lanarkshire,Clydesdale,85+ years,Number of Hours,29495
2018/19 Q1,South Lanarkshire,East Kilbride,All Ages,"Rate per 1,000 Population",11.7
2018/19 Q1,South Lanarkshire,East Kilbride,All Ages,Number of People,1030
2018/19 Q1,South Lanarkshire,East Kilbride,All Ages,Number of Hours,140500
2018/19 Q1,South Lanarkshire,East Kilbride,0-17 years,"Rate per 1,000 Population",0.6
2018/19 Q1,South Lanarkshire,East Kilbride,0-17 years,Number of People,10
2018/19 Q1,South Lanarkshire,East Kilbride,0-17 years,Number of Hours,900
2018/19 Q1,South Lanarkshire,East Kilbride,18-64 years,"Rate per 1,000 Population",3.1
2018/19 Q1,South Lanarkshire,East Kilbride,18-64 years,Number of People,170
2018/19 Q1,South Lanarkshire,East Kilbride,18-64 years,Number of Hours,42270
2018/19 Q1,South Lanarkshire,East Kilbride,65-74 years,"Rate per 1,000 Population",13.6
2018/19 Q1,South Lanarkshire,East Kilbride,65-74 years,Number of People,120
2018/19 Q1,South Lanarkshire,East Kilbride,65-74 years,Number of Hours,18750
2018/19 Q1,South Lanarkshire,East Kilbride,75-84 years,"Rate per 1,000 Population",57.3
2018/19 Q1,South Lanarkshire,East Kilbride,75-84 years,Number of People,325
2018/19 Q1,South Lanarkshire,East Kilbride,75-84 years,Number of Hours,33035
2018/19 Q1,South Lanarkshire,East Kilbride,85+ years,"Rate per 1,000 Population",183.7
2018/19 Q1,South Lanarkshire,East Kilbride,85+ years,Number of People,405
2018/19 Q1,South Lanarkshire,East Kilbride,85+ years,Number of Hours,45540
2018/19 Q1,South Lanarkshire,Hamilton,All Ages,"Rate per 1,000 Population",13.3
2018/19 Q1,South Lanarkshire,Hamilton,All Ages,Number of People,1445
2018/19 Q1,South Lanarkshire,Hamilton,All Ages,Number of Hours,210485
2018/19 Q1,South Lanarkshire,Hamilton,0-17 years,"Rate per 1,000 Population",0.5
2018/19 Q1,South Lanarkshire,Hamilton,0-17 years,Number of People,10
2018/19 Q1,South Lanarkshire,Hamilton,0-17 years,Number of Hours,1190
2018/19 Q1,South Lanarkshire,Hamilton,18-64 years,"Rate per 1,000 Population",3.5
2018/19 Q1,South Lanarkshire,Hamilton,18-64 years,Number of People,230
2018/19 Q1,South Lanarkshire,Hamilton,18-64 years,Number of Hours,56000
2018/19 Q1,South Lanarkshire,Hamilton,65-74 years,"Rate per 1,000 Population",18
2018/19 Q1,South Lanarkshire,Hamilton,65-74 years,Number of People,215
2018/19 Q1,South Lanarkshire,Hamilton,65-74 years,Number of Hours,32640
2018/19 Q1,South Lanarkshire,Hamilton,75-84 years,"Rate per 1,000 Population",71.2
2018/19 Q1,South Lanarkshire,Hamilton,75-84 years,Number of People,480
2018/19 Q1,South Lanarkshire,Hamilton,75-84 years,Number of Hours,58830
2018/19 Q1,South Lanarkshire,Hamilton,85+ years,"Rate per 1,000 Population",236.8
2018/19 Q1,South Lanarkshire,Hamilton,85+ years,Number of People,505
2018/19 Q1,South Lanarkshire,Hamilton,85+ years,Number of Hours,61825
2018/19 Q1,South Lanarkshire,Outside Partnership,All Ages,Number of People,145
2018/19 Q1,South Lanarkshire,Outside Partnership,All Ages,Number of Hours,15765
2018/19 Q1,South Lanarkshire,Outside Partnership,0-17 years,Number of People,0
2018/19 Q1,South Lanarkshire,Outside Partnership,0-17 years,Number of Hours,0
2018/19 Q1,South Lanarkshire,Outside Partnership,18-64 years,Number of People,15
2018/19 Q1,South Lanarkshire,Outside Partnership,18-64 years,Number of Hours,2465
2018/19 Q1,South Lanarkshire,Outside Partnership,65-74 years,Number of People,10
2018/19 Q1,South Lanarkshire,Outside Partnership,65-74 years,Number of Hours,1170
2018/19 Q1,South Lanarkshire,Outside Partnership,75-84 years,Number of People,45
2018/19 Q1,South Lanarkshire,Outside Partnership,75-84 years,Number of Hours,4475
2018/19 Q1,South Lanarkshire,Outside Partnership,85+ years,Number of People,70
2018/19 Q1,South Lanarkshire,Outside Partnership,85+ years,Number of Hours,7650
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,All Ages,"Rate per 1,000 Population",11.8
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,All Ages,Number of People,715
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,All Ages,Number of Hours,95940
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,0-17 years,"Rate per 1,000 Population",0.2
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,0-17 years,Number of People,5
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,0-17 years,Number of Hours,410
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,18-64 years,"Rate per 1,000 Population",2.5
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,18-64 years,Number of People,95
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,18-64 years,Number of Hours,22885
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,65-74 years,"Rate per 1,000 Population",19.5
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,65-74 years,Number of People,120
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,65-74 years,Number of Hours,16540
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,75-84 years,"Rate per 1,000 Population",69.8
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,75-84 years,Number of People,230
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,75-84 years,Number of Hours,25110
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,85+ years,"Rate per 1,000 Population",219
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,85+ years,Number of People,270
2018/19 Q1,South Lanarkshire,Rutherglen Cambuslang,85+ years,Number of Hours,30995
2018/19 Q1,Stirling,Outside Partnership,All Ages,Number of People,90
2018/19 Q1,Stirling,Outside Partnership,All Ages,Number of Hours,23735
2018/19 Q1,Stirling,Outside Partnership,0-17 years,Number of People,0
2018/19 Q1,Stirling,Outside Partnership,0-17 years,Number of Hours,0
2018/19 Q1,Stirling,Outside Partnership,18-64 years,Number of People,30
2018/19 Q1,Stirling,Outside Partnership,18-64 years,Number of Hours,15095
2018/19 Q1,Stirling,Outside Partnership,65-74 years,Number of People,10
2018/19 Q1,Stirling,Outside Partnership,65-74 years,Number of Hours,2855
2018/19 Q1,Stirling,Outside Partnership,75-84 years,Number of People,15
2018/19 Q1,Stirling,Outside Partnership,75-84 years,Number of Hours,2155
2018/19 Q1,Stirling,Outside Partnership,85+ years,Number of People,35
2018/19 Q1,Stirling,Outside Partnership,85+ years,Number of Hours,3630
2018/19 Q1,Stirling,Rural Stirling,All Ages,"Rate per 1,000 Population",11.4
2018/19 Q1,Stirling,Rural Stirling,All Ages,Number of People,285
2018/19 Q1,Stirling,Rural Stirling,All Ages,Number of Hours,39995
2018/19 Q1,Stirling,Rural Stirling,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,Stirling,Rural Stirling,0-17 years,Number of People,0
2018/19 Q1,Stirling,Rural Stirling,0-17 years,Number of Hours,0
2018/19 Q1,Stirling,Rural Stirling,18-64 years,"Rate per 1,000 Population",3.2
2018/19 Q1,Stirling,Rural Stirling,18-64 years,Number of People,45
2018/19 Q1,Stirling,Rural Stirling,18-64 years,Number of Hours,15930
2018/19 Q1,Stirling,Rural Stirling,65-74 years,"Rate per 1,000 Population",11.1
2018/19 Q1,Stirling,Rural Stirling,65-74 years,Number of People,35
2018/19 Q1,Stirling,Rural Stirling,65-74 years,Number of Hours,3850
2018/19 Q1,Stirling,Rural Stirling,75-84 years,"Rate per 1,000 Population",44.7
2018/19 Q1,Stirling,Rural Stirling,75-84 years,Number of People,85
2018/19 Q1,Stirling,Rural Stirling,75-84 years,Number of Hours,9410
2018/19 Q1,Stirling,Rural Stirling,85+ years,"Rate per 1,000 Population",193.9
2018/19 Q1,Stirling,Rural Stirling,85+ years,Number of People,120
2018/19 Q1,Stirling,Rural Stirling,85+ years,Number of Hours,10805
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,All Ages,"Rate per 1,000 Population",14.9
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,All Ages,Number of People,1035
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,All Ages,Number of Hours,189990
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,0-17 years,Number of People,0
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,0-17 years,Number of Hours,0
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,18-64 years,"Rate per 1,000 Population",7.4
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,18-64 years,Number of People,325
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,18-64 years,Number of Hours,111205
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,65-74 years,"Rate per 1,000 Population",19.7
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,65-74 years,Number of People,130
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,65-74 years,Number of Hours,20655
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,75-84 years,"Rate per 1,000 Population",68
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,75-84 years,Number of People,285
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,75-84 years,Number of Hours,28115
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,85+ years,"Rate per 1,000 Population",196.9
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,85+ years,Number of People,295
2018/19 Q1,Stirling,Stirling City with the Eastern Villages Bridge of Allan and Dunblane,85+ years,Number of Hours,30015
2018/19 Q1,West Dunbartonshire,Clydebank,All Ages,"Rate per 1,000 Population",19.7
2018/19 Q1,West Dunbartonshire,Clydebank,All Ages,Number of People,860
2018/19 Q1,West Dunbartonshire,Clydebank,All Ages,Number of Hours,68255
2018/19 Q1,West Dunbartonshire,Clydebank,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,West Dunbartonshire,Clydebank,0-17 years,Number of People,0
2018/19 Q1,West Dunbartonshire,Clydebank,0-17 years,Number of Hours,0
2018/19 Q1,West Dunbartonshire,Clydebank,18-64 years,"Rate per 1,000 Population",3.4
2018/19 Q1,West Dunbartonshire,Clydebank,18-64 years,Number of People,90
2018/19 Q1,West Dunbartonshire,Clydebank,18-64 years,Number of Hours,8740
2018/19 Q1,West Dunbartonshire,Clydebank,65-74 years,"Rate per 1,000 Population",33.6
2018/19 Q1,West Dunbartonshire,Clydebank,65-74 years,Number of People,150
2018/19 Q1,West Dunbartonshire,Clydebank,65-74 years,Number of Hours,10240
2018/19 Q1,West Dunbartonshire,Clydebank,75-84 years,"Rate per 1,000 Population",116.5
2018/19 Q1,West Dunbartonshire,Clydebank,75-84 years,Number of People,300
2018/19 Q1,West Dunbartonshire,Clydebank,75-84 years,Number of Hours,22455
2018/19 Q1,West Dunbartonshire,Clydebank,85+ years,"Rate per 1,000 Population",327.5
2018/19 Q1,West Dunbartonshire,Clydebank,85+ years,Number of People,320
2018/19 Q1,West Dunbartonshire,Clydebank,85+ years,Number of Hours,26815
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,All Ages,"Rate per 1,000 Population",16
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,All Ages,Number of People,725
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,All Ages,Number of Hours,61925
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,0-17 years,Number of People,0
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,0-17 years,Number of Hours,0
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,18-64 years,"Rate per 1,000 Population",3.1
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,18-64 years,Number of People,90
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,18-64 years,Number of Hours,9530
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,65-74 years,"Rate per 1,000 Population",33.3
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,65-74 years,Number of People,160
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,65-74 years,Number of Hours,11160
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,75-84 years,"Rate per 1,000 Population",95.5
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,75-84 years,Number of People,250
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,75-84 years,Number of Hours,20715
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,85+ years,"Rate per 1,000 Population",256.2
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,85+ years,Number of People,225
2018/19 Q1,West Dunbartonshire,Dumbarton/Alexandria,85+ years,Number of Hours,20520
2018/19 Q1,West Dunbartonshire,Outside Partnership,All Ages,Number of People,85
2018/19 Q1,West Dunbartonshire,Outside Partnership,All Ages,Number of Hours,8465
2018/19 Q1,West Dunbartonshire,Outside Partnership,0-17 years,Number of People,0
2018/19 Q1,West Dunbartonshire,Outside Partnership,0-17 years,Number of Hours,0
2018/19 Q1,West Dunbartonshire,Outside Partnership,18-64 years,Number of People,5
2018/19 Q1,West Dunbartonshire,Outside Partnership,18-64 years,Number of Hours,1105
2018/19 Q1,West Dunbartonshire,Outside Partnership,65-74 years,Number of People,5
2018/19 Q1,West Dunbartonshire,Outside Partnership,65-74 years,Number of Hours,500
2018/19 Q1,West Dunbartonshire,Outside Partnership,75-84 years,Number of People,30
2018/19 Q1,West Dunbartonshire,Outside Partnership,75-84 years,Number of Hours,3160
2018/19 Q1,West Dunbartonshire,Outside Partnership,85+ years,Number of People,40
2018/19 Q1,West Dunbartonshire,Outside Partnership,85+ years,Number of Hours,3695
2018/19 Q1,West Lothian,Outside Partnership,All Ages,Number of People,75
2018/19 Q1,West Lothian,Outside Partnership,All Ages,Number of Hours,21555
2018/19 Q1,West Lothian,Outside Partnership,0-17 years,Number of People,0
2018/19 Q1,West Lothian,Outside Partnership,0-17 years,Number of Hours,0
2018/19 Q1,West Lothian,Outside Partnership,18-64 years,Number of People,25
2018/19 Q1,West Lothian,Outside Partnership,18-64 years,Number of Hours,14475
2018/19 Q1,West Lothian,Outside Partnership,65-74 years,Number of People,10
2018/19 Q1,West Lothian,Outside Partnership,65-74 years,Number of Hours,3055
2018/19 Q1,West Lothian,Outside Partnership,75-84 years,Number of People,15
2018/19 Q1,West Lothian,Outside Partnership,75-84 years,Number of Hours,1485
2018/19 Q1,West Lothian,Outside Partnership,85+ years,Number of People,25
2018/19 Q1,West Lothian,Outside Partnership,85+ years,Number of Hours,2540
2018/19 Q1,West Lothian,West Lothian (East),All Ages,"Rate per 1,000 Population",10.7
2018/19 Q1,West Lothian,West Lothian (East),All Ages,Number of People,1105
2018/19 Q1,West Lothian,West Lothian (East),All Ages,Number of Hours,153560
2018/19 Q1,West Lothian,West Lothian (East),0-17 years,"Rate per 1,000 Population",0
2018/19 Q1,West Lothian,West Lothian (East),0-17 years,Number of People,0
2018/19 Q1,West Lothian,West Lothian (East),0-17 years,Number of Hours,0
2018/19 Q1,West Lothian,West Lothian (East),18-64 years,"Rate per 1,000 Population",5.2
2018/19 Q1,West Lothian,West Lothian (East),18-64 years,Number of People,330
2018/19 Q1,West Lothian,West Lothian (East),18-64 years,Number of Hours,69860
