financial_year,sending_location,service,age_group,living_alone_status,la_status_nclient,propn_la_status_nclient
2018/19,Dundee City,Community alarm only,85+ years,Not Living Alone,100,6.5
2018/19,Dundee City,Community alarm only,85+ years,Unknown,835,54
2018/19,Dundee City,Community alarm only,85+ years,Not Recorded,0,0
2018/19,Dundee City,Telecare only,All Ages,Living Alone,25,50
2018/19,Dundee City,Telecare only,All Ages,Not Living Alone,5,10
2018/19,Dundee City,Telecare only,All Ages,Unknown,20,40
2018/19,Dundee City,Telecare only,All Ages,Not Recorded,0,0
2018/19,Dundee City,Telecare only,0-17 years,Living Alone,0,0
2018/19,Dundee City,Telecare only,0-17 years,Not Living Alone,0,0
2018/19,Dundee City,Telecare only,0-17 years,Unknown,0,0
2018/19,Dundee City,Telecare only,0-17 years,Not Recorded,0,0
2018/19,Dundee City,Telecare only,18-64 years,Living Alone,0,0
2018/19,Dundee City,Telecare only,18-64 years,Not Living Alone,0,0
2018/19,Dundee City,Telecare only,18-64 years,Unknown,5,100
2018/19,Dundee City,Telecare only,18-64 years,Not Recorded,0,0
2018/19,Dundee City,Telecare only,65-74 years,Living Alone,5,50
2018/19,Dundee City,Telecare only,65-74 years,Not Living Alone,0,0
2018/19,Dundee City,Telecare only,65-74 years,Unknown,5,50
2018/19,Dundee City,Telecare only,65-74 years,Not Recorded,0,0
2018/19,Dundee City,Telecare only,75-84 years,Living Alone,5,100
2018/19,Dundee City,Telecare only,75-84 years,Not Living Alone,0,0
2018/19,Dundee City,Telecare only,75-84 years,Unknown,0,0
2018/19,Dundee City,Telecare only,75-84 years,Not Recorded,0,0
2018/19,Dundee City,Telecare only,85+ years,Living Alone,10,66.7
2018/19,Dundee City,Telecare only,85+ years,Not Living Alone,0,0
2018/19,Dundee City,Telecare only,85+ years,Unknown,5,33.3
2018/19,Dundee City,Telecare only,85+ years,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,All Ages,Living Alone,50,45.5
2018/19,Dundee City,Receiving both community alarm and telecare,All Ages,Not Living Alone,15,13.6
2018/19,Dundee City,Receiving both community alarm and telecare,All Ages,Unknown,45,40.9
2018/19,Dundee City,Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,0-17 years,Living Alone,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Living Alone,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,0-17 years,Unknown,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,18-64 years,Living Alone,5,33.3
2018/19,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Living Alone,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,18-64 years,Unknown,10,66.7
2018/19,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,65-74 years,Living Alone,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Living Alone,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,65-74 years,Unknown,5,100
2018/19,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,75-84 years,Living Alone,20,50
2018/19,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Living Alone,5,12.5
2018/19,Dundee City,Receiving both community alarm and telecare,75-84 years,Unknown,15,37.5
2018/19,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2018/19,Dundee City,Receiving both community alarm and telecare,85+ years,Living Alone,20,57.1
2018/19,Dundee City,Receiving both community alarm and telecare,85+ years,Not Living Alone,5,14.3
2018/19,Dundee City,Receiving both community alarm and telecare,85+ years,Unknown,10,28.6
2018/19,Dundee City,Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,All Ages,Living Alone,1620,27.6
2018/19,Dundee City,Total community alarms and/or telecare,All Ages,Not Living Alone,380,6.5
2018/19,Dundee City,Total community alarms and/or telecare,All Ages,Unknown,3865,65.9
2018/19,Dundee City,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2018/19,Dundee City,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2018/19,Dundee City,Total community alarms and/or telecare,0-17 years,Unknown,5,100
2018/19,Dundee City,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,18-64 years,Living Alone,175,19.2
2018/19,Dundee City,Total community alarms and/or telecare,18-64 years,Not Living Alone,65,7.1
2018/19,Dundee City,Total community alarms and/or telecare,18-64 years,Unknown,670,73.6
2018/19,Dundee City,Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,65-74 years,Living Alone,260,18.8
2018/19,Dundee City,Total community alarms and/or telecare,65-74 years,Not Living Alone,65,4.7
2018/19,Dundee City,Total community alarms and/or telecare,65-74 years,Unknown,1055,76.4
2018/19,Dundee City,Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,75-84 years,Living Alone,540,27.3
2018/19,Dundee City,Total community alarms and/or telecare,75-84 years,Not Living Alone,145,7.3
2018/19,Dundee City,Total community alarms and/or telecare,75-84 years,Unknown,1290,65.3
2018/19,Dundee City,Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2018/19,Dundee City,Total community alarms and/or telecare,85+ years,Living Alone,640,40
2018/19,Dundee City,Total community alarms and/or telecare,85+ years,Not Living Alone,110,6.9
2018/19,Dundee City,Total community alarms and/or telecare,85+ years,Unknown,850,53.1
2018/19,Dundee City,Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,All Ages,Living Alone,935,16.8
2019/20,Dundee City,Community alarm only,All Ages,Not Living Alone,340,6.1
2019/20,Dundee City,Community alarm only,All Ages,Unknown,4275,77
2019/20,Dundee City,Community alarm only,All Ages,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,0-17 years,Living Alone,0,0
2019/20,Dundee City,Community alarm only,0-17 years,Not Living Alone,0,0
2019/20,Dundee City,Community alarm only,0-17 years,Unknown,5,100
2019/20,Dundee City,Community alarm only,0-17 years,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,18-64 years,Living Alone,130,15.9
2019/20,Dundee City,Community alarm only,18-64 years,Not Living Alone,60,7.3
2019/20,Dundee City,Community alarm only,18-64 years,Unknown,630,76.8
2019/20,Dundee City,Community alarm only,18-64 years,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,65-74 years,Living Alone,165,13.8
2019/20,Dundee City,Community alarm only,65-74 years,Not Living Alone,70,5.8
2019/20,Dundee City,Community alarm only,65-74 years,Unknown,965,80.4
2019/20,Dundee City,Community alarm only,65-74 years,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,75-84 years,Living Alone,300,15.9
2019/20,Dundee City,Community alarm only,75-84 years,Not Living Alone,110,5.8
2019/20,Dundee City,Community alarm only,75-84 years,Unknown,1475,78.2
2019/20,Dundee City,Community alarm only,75-84 years,Not Recorded,0,0
2019/20,Dundee City,Community alarm only,85+ years,Living Alone,335,20.5
2019/20,Dundee City,Community alarm only,85+ years,Not Living Alone,100,6.1
2019/20,Dundee City,Community alarm only,85+ years,Unknown,1200,73.4
2019/20,Dundee City,Community alarm only,85+ years,Not Recorded,0,0
2019/20,Dundee City,Telecare only,All Ages,Living Alone,65,24.1
2019/20,Dundee City,Telecare only,All Ages,Not Living Alone,30,11.1
2019/20,Dundee City,Telecare only,All Ages,Unknown,175,64.8
2019/20,Dundee City,Telecare only,All Ages,Not Recorded,0,0
2019/20,Dundee City,Telecare only,0-17 years,Living Alone,0,0
2019/20,Dundee City,Telecare only,0-17 years,Not Living Alone,0,0
2019/20,Dundee City,Telecare only,0-17 years,Unknown,0,0
2019/20,Dundee City,Telecare only,0-17 years,Not Recorded,0,0
2019/20,Dundee City,Telecare only,18-64 years,Living Alone,5,12.5
2019/20,Dundee City,Telecare only,18-64 years,Not Living Alone,5,12.5
2019/20,Dundee City,Telecare only,18-64 years,Unknown,30,75
2019/20,Dundee City,Telecare only,18-64 years,Not Recorded,0,0
2019/20,Dundee City,Telecare only,65-74 years,Living Alone,5,14.3
2019/20,Dundee City,Telecare only,65-74 years,Not Living Alone,0,0
2019/20,Dundee City,Telecare only,65-74 years,Unknown,30,85.7
2019/20,Dundee City,Telecare only,65-74 years,Not Recorded,0,0
2019/20,Dundee City,Telecare only,75-84 years,Living Alone,25,27.8
2019/20,Dundee City,Telecare only,75-84 years,Not Living Alone,15,16.7
2019/20,Dundee City,Telecare only,75-84 years,Unknown,50,55.6
2019/20,Dundee City,Telecare only,75-84 years,Not Recorded,0,0
2019/20,Dundee City,Telecare only,85+ years,Living Alone,30,27.3
2019/20,Dundee City,Telecare only,85+ years,Not Living Alone,10,9.1
2019/20,Dundee City,Telecare only,85+ years,Unknown,70,63.6
2019/20,Dundee City,Telecare only,85+ years,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,All Ages,Living Alone,20,33.3
2019/20,Dundee City,Receiving both community alarm and telecare,All Ages,Not Living Alone,5,8.3
2019/20,Dundee City,Receiving both community alarm and telecare,All Ages,Unknown,35,58.3
2019/20,Dundee City,Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,0-17 years,Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,0-17 years,Unknown,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,18-64 years,Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,18-64 years,Unknown,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,65-74 years,Living Alone,5,50
2019/20,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,65-74 years,Unknown,5,50
2019/20,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,75-84 years,Living Alone,5,33.3
2019/20,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,75-84 years,Unknown,10,66.7
2019/20,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,85+ years,Living Alone,10,33.3
2019/20,Dundee City,Receiving both community alarm and telecare,85+ years,Not Living Alone,0,0
2019/20,Dundee City,Receiving both community alarm and telecare,85+ years,Unknown,20,66.7
2019/20,Dundee City,Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,All Ages,Living Alone,1020,17.3
2019/20,Dundee City,Total community alarms and/or telecare,All Ages,Not Living Alone,370,6.3
2019/20,Dundee City,Total community alarms and/or telecare,All Ages,Unknown,4490,76.4
2019/20,Dundee City,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2019/20,Dundee City,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2019/20,Dundee City,Total community alarms and/or telecare,0-17 years,Unknown,5,100
2019/20,Dundee City,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,18-64 years,Living Alone,140,16.2
2019/20,Dundee City,Total community alarms and/or telecare,18-64 years,Not Living Alone,65,7.5
2019/20,Dundee City,Total community alarms and/or telecare,18-64 years,Unknown,660,76.3
2019/20,Dundee City,Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,65-74 years,Living Alone,175,14.1
2019/20,Dundee City,Total community alarms and/or telecare,65-74 years,Not Living Alone,70,5.6
2019/20,Dundee City,Total community alarms and/or telecare,65-74 years,Unknown,1000,80.3
2019/20,Dundee City,Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,75-84 years,Living Alone,325,16.4
2019/20,Dundee City,Total community alarms and/or telecare,75-84 years,Not Living Alone,125,6.3
2019/20,Dundee City,Total community alarms and/or telecare,75-84 years,Unknown,1530,77.3
2019/20,Dundee City,Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2019/20,Dundee City,Total community alarms and/or telecare,85+ years,Living Alone,375,21.1
2019/20,Dundee City,Total community alarms and/or telecare,85+ years,Not Living Alone,110,6.2
2019/20,Dundee City,Total community alarms and/or telecare,85+ years,Unknown,1295,72.8
2019/20,Dundee City,Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2020/21,Dundee City,Community alarm only,All Ages,Living Alone,690,14.6
2020/21,Dundee City,Community alarm only,All Ages,Not Living Alone,365,7.7
2020/21,Dundee City,Community alarm only,All Ages,Unknown,3585,75.6
2020/21,Dundee City,Community alarm only,All Ages,Not Recorded,100,2.1
2020/21,Dundee City,Community alarm only,0-17 years,Living Alone,0,0
2020/21,Dundee City,Community alarm only,0-17 years,Not Living Alone,0,0
2020/21,Dundee City,Community alarm only,0-17 years,Unknown,0,0
2020/21,Dundee City,Community alarm only,0-17 years,Not Recorded,0,0
2020/21,Dundee City,Community alarm only,18-64 years,Living Alone,105,15.4
2020/21,Dundee City,Community alarm only,18-64 years,Not Living Alone,70,10.3
2020/21,Dundee City,Community alarm only,18-64 years,Unknown,495,72.8
2020/21,Dundee City,Community alarm only,18-64 years,Not Recorded,10,1.5
2020/21,Dundee City,Community alarm only,65-74 years,Living Alone,145,13.3
2020/21,Dundee City,Community alarm only,65-74 years,Not Living Alone,80,7.3
2020/21,Dundee City,Community alarm only,65-74 years,Unknown,855,78.4
2020/21,Dundee City,Community alarm only,65-74 years,Not Recorded,10,0.9
2020/21,Dundee City,Community alarm only,75-84 years,Living Alone,215,13.8
2020/21,Dundee City,Community alarm only,75-84 years,Not Living Alone,125,8
2020/21,Dundee City,Community alarm only,75-84 years,Unknown,1190,76.5
2020/21,Dundee City,Community alarm only,75-84 years,Not Recorded,25,1.6
2020/21,Dundee City,Community alarm only,85+ years,Living Alone,225,15.8
2020/21,Dundee City,Community alarm only,85+ years,Not Living Alone,95,6.7
2020/21,Dundee City,Community alarm only,85+ years,Unknown,1045,73.6
2020/21,Dundee City,Community alarm only,85+ years,Not Recorded,55,3.9
2020/21,Dundee City,Telecare only,All Ages,Living Alone,50,20
2020/21,Dundee City,Telecare only,All Ages,Not Living Alone,20,8
2020/21,Dundee City,Telecare only,All Ages,Unknown,165,66
2020/21,Dundee City,Telecare only,All Ages,Not Recorded,15,6
2020/21,Dundee City,Telecare only,0-17 years,Living Alone,0,0
2020/21,Dundee City,Telecare only,0-17 years,Not Living Alone,0,0
2020/21,Dundee City,Telecare only,0-17 years,Unknown,0,0
2020/21,Dundee City,Telecare only,0-17 years,Not Recorded,0,0
2020/21,Dundee City,Telecare only,18-64 years,Living Alone,10,25
2020/21,Dundee City,Telecare only,18-64 years,Not Living Alone,5,12.5
2020/21,Dundee City,Telecare only,18-64 years,Unknown,25,62.5
2020/21,Dundee City,Telecare only,18-64 years,Not Recorded,0,0
2020/21,Dundee City,Telecare only,65-74 years,Living Alone,5,16.7
2020/21,Dundee City,Telecare only,65-74 years,Not Living Alone,0,0
2020/21,Dundee City,Telecare only,65-74 years,Unknown,20,66.7
2020/21,Dundee City,Telecare only,65-74 years,Not Recorded,5,16.7
2020/21,Dundee City,Telecare only,75-84 years,Living Alone,15,18.8
2020/21,Dundee City,Telecare only,75-84 years,Not Living Alone,5,6.2
2020/21,Dundee City,Telecare only,75-84 years,Unknown,55,68.8
2020/21,Dundee City,Telecare only,75-84 years,Not Recorded,5,6.2
2020/21,Dundee City,Telecare only,85+ years,Living Alone,20,21.1
2020/21,Dundee City,Telecare only,85+ years,Not Living Alone,5,5.3
2020/21,Dundee City,Telecare only,85+ years,Unknown,65,68.4
2020/21,Dundee City,Telecare only,85+ years,Not Recorded,5,5.3
2020/21,Dundee City,Receiving both community alarm and telecare,All Ages,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,All Ages,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,All Ages,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,0-17 years,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,0-17 years,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,18-64 years,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,18-64 years,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,65-74 years,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,65-74 years,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,75-84 years,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,75-84 years,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,85+ years,Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,85+ years,Not Living Alone,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,85+ years,Unknown,0,0
2020/21,Dundee City,Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2020/21,Dundee City,Total community alarms and/or telecare,All Ages,Living Alone,740,14.8
2020/21,Dundee City,Total community alarms and/or telecare,All Ages,Not Living Alone,385,7.7
2020/21,Dundee City,Total community alarms and/or telecare,All Ages,Unknown,3750,75.2
2020/21,Dundee City,Total community alarms and/or telecare,All Ages,Not Recorded,115,2.3
2020/21,Dundee City,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2020/21,Dundee City,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2020/21,Dundee City,Total community alarms and/or telecare,0-17 years,Unknown,0,0
2020/21,Dundee City,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2020/21,Dundee City,Total community alarms and/or telecare,18-64 years,Living Alone,115,16
2020/21,Dundee City,Total community alarms and/or telecare,18-64 years,Not Living Alone,75,10.4
2020/21,Dundee City,Total community alarms and/or telecare,18-64 years,Unknown,520,72.2
2020/21,Dundee City,Total community alarms and/or telecare,18-64 years,Not Recorded,10,1.4
2020/21,Dundee City,Total community alarms and/or telecare,65-74 years,Living Alone,150,13.3
2020/21,Dundee City,Total community alarms and/or telecare,65-74 years,Not Living Alone,80,7.1
2020/21,Dundee City,Total community alarms and/or telecare,65-74 years,Unknown,880,78.2
2020/21,Dundee City,Total community alarms and/or telecare,65-74 years,Not Recorded,15,1.3
2020/21,Dundee City,Total community alarms and/or telecare,75-84 years,Living Alone,230,14.1
2020/21,Dundee City,Total community alarms and/or telecare,75-84 years,Not Living Alone,130,8
2020/21,Dundee City,Total community alarms and/or telecare,75-84 years,Unknown,1240,76.1
2020/21,Dundee City,Total community alarms and/or telecare,75-84 years,Not Recorded,30,1.8
2020/21,Dundee City,Total community alarms and/or telecare,85+ years,Living Alone,245,16.2
2020/21,Dundee City,Total community alarms and/or telecare,85+ years,Not Living Alone,100,6.6
2020/21,Dundee City,Total community alarms and/or telecare,85+ years,Unknown,1110,73.3
2020/21,Dundee City,Total community alarms and/or telecare,85+ years,Not Recorded,60,4
2018/19,East Ayrshire,Community alarm only,All Ages,Living Alone,135,15.7
2018/19,East Ayrshire,Community alarm only,All Ages,Not Living Alone,720,83.7
2018/19,East Ayrshire,Community alarm only,All Ages,Unknown,5,0.6
2018/19,East Ayrshire,Community alarm only,All Ages,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,0-17 years,Living Alone,0,0
2018/19,East Ayrshire,Community alarm only,0-17 years,Not Living Alone,0,0
2018/19,East Ayrshire,Community alarm only,0-17 years,Unknown,0,0
2018/19,East Ayrshire,Community alarm only,0-17 years,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,18-64 years,Living Alone,30,30
2018/19,East Ayrshire,Community alarm only,18-64 years,Not Living Alone,70,70
2018/19,East Ayrshire,Community alarm only,18-64 years,Unknown,0,0
2018/19,East Ayrshire,Community alarm only,18-64 years,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,65-74 years,Living Alone,20,12.9
2018/19,East Ayrshire,Community alarm only,65-74 years,Not Living Alone,135,87.1
2018/19,East Ayrshire,Community alarm only,65-74 years,Unknown,0,0
2018/19,East Ayrshire,Community alarm only,65-74 years,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,75-84 years,Living Alone,35,10.9
2018/19,East Ayrshire,Community alarm only,75-84 years,Not Living Alone,280,87.5
2018/19,East Ayrshire,Community alarm only,75-84 years,Unknown,5,1.6
2018/19,East Ayrshire,Community alarm only,75-84 years,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,85+ years,Living Alone,50,17.9
2018/19,East Ayrshire,Community alarm only,85+ years,Not Living Alone,230,82.1
2018/19,East Ayrshire,Community alarm only,85+ years,Unknown,0,0
2018/19,East Ayrshire,Community alarm only,85+ years,Not Recorded,0,0
2018/19,East Ayrshire,Community alarm only,Unknown,Living Alone,0,0
2018/19,East Ayrshire,Community alarm only,Unknown,Not Living Alone,0,0
2018/19,East Ayrshire,Community alarm only,Unknown,Unknown,0,0
2018/19,East Ayrshire,Community alarm only,Unknown,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,All Ages,Living Alone,75,15.8
2018/19,East Ayrshire,Telecare only,All Ages,Not Living Alone,400,84.2
2018/19,East Ayrshire,Telecare only,All Ages,Unknown,0,0
2018/19,East Ayrshire,Telecare only,All Ages,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,0-17 years,Living Alone,0,0
2018/19,East Ayrshire,Telecare only,0-17 years,Not Living Alone,30,100
2018/19,East Ayrshire,Telecare only,0-17 years,Unknown,0,0
2018/19,East Ayrshire,Telecare only,0-17 years,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,18-64 years,Living Alone,25,25
2018/19,East Ayrshire,Telecare only,18-64 years,Not Living Alone,75,75
2018/19,East Ayrshire,Telecare only,18-64 years,Unknown,0,0
2018/19,East Ayrshire,Telecare only,18-64 years,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,65-74 years,Living Alone,5,8.3
2018/19,East Ayrshire,Telecare only,65-74 years,Not Living Alone,55,91.7
2018/19,East Ayrshire,Telecare only,65-74 years,Unknown,0,0
2018/19,East Ayrshire,Telecare only,65-74 years,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,75-84 years,Living Alone,15,13
2018/19,East Ayrshire,Telecare only,75-84 years,Not Living Alone,100,87
2018/19,East Ayrshire,Telecare only,75-84 years,Unknown,0,0
2018/19,East Ayrshire,Telecare only,75-84 years,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,85+ years,Living Alone,35,20.6
2018/19,East Ayrshire,Telecare only,85+ years,Not Living Alone,135,79.4
2018/19,East Ayrshire,Telecare only,85+ years,Unknown,0,0
2018/19,East Ayrshire,Telecare only,85+ years,Not Recorded,0,0
2018/19,East Ayrshire,Telecare only,Unknown,Living Alone,0,0
2018/19,East Ayrshire,Telecare only,Unknown,Not Living Alone,0,0
2018/19,East Ayrshire,Telecare only,Unknown,Unknown,0,0
2018/19,East Ayrshire,Telecare only,Unknown,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,All Ages,Living Alone,415,13.5
2018/19,East Ayrshire,Receiving both community alarm and telecare,All Ages,Not Living Alone,2660,86.4
2018/19,East Ayrshire,Receiving both community alarm and telecare,All Ages,Unknown,5,0.2
2018/19,East Ayrshire,Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,0-17 years,Living Alone,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,0-17 years,Not Living Alone,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,0-17 years,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,18-64 years,Living Alone,80,20
2018/19,East Ayrshire,Receiving both community alarm and telecare,18-64 years,Not Living Alone,320,80
2018/19,East Ayrshire,Receiving both community alarm and telecare,18-64 years,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,65-74 years,Living Alone,50,10.8
2018/19,East Ayrshire,Receiving both community alarm and telecare,65-74 years,Not Living Alone,415,89.2
2018/19,East Ayrshire,Receiving both community alarm and telecare,65-74 years,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,75-84 years,Living Alone,135,10.9
2018/19,East Ayrshire,Receiving both community alarm and telecare,75-84 years,Not Living Alone,1105,89.1
2018/19,East Ayrshire,Receiving both community alarm and telecare,75-84 years,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,85+ years,Living Alone,150,15.5
2018/19,East Ayrshire,Receiving both community alarm and telecare,85+ years,Not Living Alone,820,84.5
2018/19,East Ayrshire,Receiving both community alarm and telecare,85+ years,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,Unknown,Living Alone,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,Unknown,Not Living Alone,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,Unknown,Unknown,0,0
2018/19,East Ayrshire,Receiving both community alarm and telecare,Unknown,Not Recorded,0,0
2018/19,East Ayrshire,Total community alarms and/or telecare,All Ages,Living Alone,625,14.2
2018/19,East Ayrshire,Total community alarms and/or telecare,All Ages,Not Living Alone,3780,85.6
2018/19,East Ayrshire,Total community alarms and/or telecare,All Ages,Unknown,10,0.2
2018/19,East Ayrshire,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2018/19,East Ayrshire,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2018/19,East Ayrshire,Total community alarms and/or telecare,0-17 years,Not Living Alone,30,100
2018/19,East Ayrshire,Total community alarms and/or telecare,0-17 years,Unknown,0,0
2018/19,East Ayrshire,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2018/19,East Ayrshire,Total community alarms and/or telecare,18-64 years,Living Alone,135,22.3
2018/19,East Ayrshire,Total community alarms and/or telecare,18-64 years,Not Living Alone,470,77.7
