financial_year,sending_location,age_group,simd,measure,value
2018/19,City of Edinburgh,All Ages,4,Number of People,1845
2018/19,City of Edinburgh,All Ages,4,SIMD Quintile Proportion,15.8
2018/19,City of Edinburgh,All Ages,5 (Least Deprived),Number of People,1795
2018/19,City of Edinburgh,All Ages,5 (Least Deprived),SIMD Quintile Proportion,15.3
2018/19,City of Edinburgh,All Ages,Unknown,Number of People,35
2018/19,City of Edinburgh,All Ages,Unknown,SIMD Quintile Proportion,0.3
2018/19,City of Edinburgh,0-17 years,1 (Most Deprived),Number of People,50
2018/19,City of Edinburgh,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,43.5
2018/19,City of Edinburgh,0-17 years,2,Number of People,20
2018/19,City of Edinburgh,0-17 years,2,SIMD Quintile Proportion,17.4
2018/19,City of Edinburgh,0-17 years,3,Number of People,20
2018/19,City of Edinburgh,0-17 years,3,SIMD Quintile Proportion,17.4
2018/19,City of Edinburgh,0-17 years,4,Number of People,20
2018/19,City of Edinburgh,0-17 years,4,SIMD Quintile Proportion,17.4
2018/19,City of Edinburgh,0-17 years,5 (Least Deprived),Number of People,5
2018/19,City of Edinburgh,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,4.3
2018/19,City of Edinburgh,0-17 years,Unknown,Number of People,0
2018/19,City of Edinburgh,0-17 years,Unknown,SIMD Quintile Proportion,0
2018/19,City of Edinburgh,18-64 years,1 (Most Deprived),Number of People,950
2018/19,City of Edinburgh,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,48.7
2018/19,City of Edinburgh,18-64 years,2,Number of People,505
2018/19,City of Edinburgh,18-64 years,2,SIMD Quintile Proportion,25.9
2018/19,City of Edinburgh,18-64 years,3,Number of People,275
2018/19,City of Edinburgh,18-64 years,3,SIMD Quintile Proportion,14.1
2018/19,City of Edinburgh,18-64 years,4,Number of People,135
2018/19,City of Edinburgh,18-64 years,4,SIMD Quintile Proportion,6.9
2018/19,City of Edinburgh,18-64 years,5 (Least Deprived),Number of People,80
2018/19,City of Edinburgh,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,4.1
2018/19,City of Edinburgh,18-64 years,Unknown,Number of People,5
2018/19,City of Edinburgh,18-64 years,Unknown,SIMD Quintile Proportion,0.3
2018/19,City of Edinburgh,65-74 years,1 (Most Deprived),Number of People,870
2018/19,City of Edinburgh,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,41.6
2018/19,City of Edinburgh,65-74 years,2,Number of People,495
2018/19,City of Edinburgh,65-74 years,2,SIMD Quintile Proportion,23.7
2018/19,City of Edinburgh,65-74 years,3,Number of People,355
2018/19,City of Edinburgh,65-74 years,3,SIMD Quintile Proportion,17
2018/19,City of Edinburgh,65-74 years,4,Number of People,210
2018/19,City of Edinburgh,65-74 years,4,SIMD Quintile Proportion,10
2018/19,City of Edinburgh,65-74 years,5 (Least Deprived),Number of People,155
2018/19,City of Edinburgh,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,7.4
2018/19,City of Edinburgh,65-74 years,Unknown,Number of People,5
2018/19,City of Edinburgh,65-74 years,Unknown,SIMD Quintile Proportion,0.2
2018/19,City of Edinburgh,75-84 years,1 (Most Deprived),Number of People,940
2018/19,City of Edinburgh,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,28.7
2018/19,City of Edinburgh,75-84 years,2,Number of People,625
2018/19,City of Edinburgh,75-84 years,2,SIMD Quintile Proportion,19.1
2018/19,City of Edinburgh,75-84 years,3,Number of People,665
2018/19,City of Edinburgh,75-84 years,3,SIMD Quintile Proportion,20.3
2018/19,City of Edinburgh,75-84 years,4,Number of People,535
2018/19,City of Edinburgh,75-84 years,4,SIMD Quintile Proportion,16.3
2018/19,City of Edinburgh,75-84 years,5 (Least Deprived),Number of People,505
2018/19,City of Edinburgh,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,15.4
2018/19,City of Edinburgh,75-84 years,Unknown,Number of People,10
2018/19,City of Edinburgh,75-84 years,Unknown,SIMD Quintile Proportion,0.3
2018/19,City of Edinburgh,85+ years,1 (Most Deprived),Number of People,710
2018/19,City of Edinburgh,85+ years,1 (Most Deprived),SIMD Quintile Proportion,16.7
2018/19,City of Edinburgh,85+ years,2,Number of People,635
2018/19,City of Edinburgh,85+ years,2,SIMD Quintile Proportion,14.9
2018/19,City of Edinburgh,85+ years,3,Number of People,900
2018/19,City of Edinburgh,85+ years,3,SIMD Quintile Proportion,21.1
2018/19,City of Edinburgh,85+ years,4,Number of People,945
2018/19,City of Edinburgh,85+ years,4,SIMD Quintile Proportion,22.2
2018/19,City of Edinburgh,85+ years,5 (Least Deprived),Number of People,1055
2018/19,City of Edinburgh,85+ years,5 (Least Deprived),SIMD Quintile Proportion,24.8
2018/19,City of Edinburgh,85+ years,Unknown,Number of People,15
2018/19,City of Edinburgh,85+ years,Unknown,SIMD Quintile Proportion,0.4
2018/19,Clackmannanshire,All Ages,1 (Most Deprived),Number of People,675
2018/19,Clackmannanshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,35.9
2018/19,Clackmannanshire,All Ages,2,Number of People,490
2018/19,Clackmannanshire,All Ages,2,SIMD Quintile Proportion,26.1
2018/19,Clackmannanshire,All Ages,3,Number of People,355
2018/19,Clackmannanshire,All Ages,3,SIMD Quintile Proportion,18.9
2018/19,Clackmannanshire,All Ages,4,Number of People,170
2018/19,Clackmannanshire,All Ages,4,SIMD Quintile Proportion,9
2018/19,Clackmannanshire,All Ages,5 (Least Deprived),Number of People,190
2018/19,Clackmannanshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,10.1
2018/19,Clackmannanshire,All Ages,Unknown,Number of People,0
2018/19,Clackmannanshire,All Ages,Unknown,SIMD Quintile Proportion,0
2018/19,Clackmannanshire,0-17 years,1 (Most Deprived),Number of People,0
2018/19,Clackmannanshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,0-17 years,2,Number of People,0
2018/19,Clackmannanshire,0-17 years,2,SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,0-17 years,3,Number of People,0
2018/19,Clackmannanshire,0-17 years,3,SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,0-17 years,4,Number of People,0
2018/19,Clackmannanshire,0-17 years,4,SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,0-17 years,5 (Least Deprived),Number of People,0
2018/19,Clackmannanshire,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,0-17 years,Unknown,Number of People,0
2018/19,Clackmannanshire,0-17 years,Unknown,SIMD Quintile Proportion,NA
2018/19,Clackmannanshire,18-64 years,1 (Most Deprived),Number of People,150
2018/19,Clackmannanshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,51.7
2018/19,Clackmannanshire,18-64 years,2,Number of People,70
2018/19,Clackmannanshire,18-64 years,2,SIMD Quintile Proportion,24.1
2018/19,Clackmannanshire,18-64 years,3,Number of People,35
2018/19,Clackmannanshire,18-64 years,3,SIMD Quintile Proportion,12.1
2018/19,Clackmannanshire,18-64 years,4,Number of People,20
2018/19,Clackmannanshire,18-64 years,4,SIMD Quintile Proportion,6.9
2018/19,Clackmannanshire,18-64 years,5 (Least Deprived),Number of People,15
2018/19,Clackmannanshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,5.2
2018/19,Clackmannanshire,18-64 years,Unknown,Number of People,0
2018/19,Clackmannanshire,18-64 years,Unknown,SIMD Quintile Proportion,0
2018/19,Clackmannanshire,65-74 years,1 (Most Deprived),Number of People,130
2018/19,Clackmannanshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,40
2018/19,Clackmannanshire,65-74 years,2,Number of People,90
2018/19,Clackmannanshire,65-74 years,2,SIMD Quintile Proportion,27.7
2018/19,Clackmannanshire,65-74 years,3,Number of People,50
2018/19,Clackmannanshire,65-74 years,3,SIMD Quintile Proportion,15.4
2018/19,Clackmannanshire,65-74 years,4,Number of People,25
2018/19,Clackmannanshire,65-74 years,4,SIMD Quintile Proportion,7.7
2018/19,Clackmannanshire,65-74 years,5 (Least Deprived),Number of People,30
2018/19,Clackmannanshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,9.2
2018/19,Clackmannanshire,65-74 years,Unknown,Number of People,0
2018/19,Clackmannanshire,65-74 years,Unknown,SIMD Quintile Proportion,0
2018/19,Clackmannanshire,75-84 years,1 (Most Deprived),Number of People,230
2018/19,Clackmannanshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,32.2
2018/19,Clackmannanshire,75-84 years,2,Number of People,185
2018/19,Clackmannanshire,75-84 years,2,SIMD Quintile Proportion,25.9
2018/19,Clackmannanshire,75-84 years,3,Number of People,150
2018/19,Clackmannanshire,75-84 years,3,SIMD Quintile Proportion,21
2018/19,Clackmannanshire,75-84 years,4,Number of People,75
2018/19,Clackmannanshire,75-84 years,4,SIMD Quintile Proportion,10.5
2018/19,Clackmannanshire,75-84 years,5 (Least Deprived),Number of People,75
2018/19,Clackmannanshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,10.5
2018/19,Clackmannanshire,75-84 years,Unknown,Number of People,0
2018/19,Clackmannanshire,75-84 years,Unknown,SIMD Quintile Proportion,0
2018/19,Clackmannanshire,85+ years,1 (Most Deprived),Number of People,165
2018/19,Clackmannanshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,30.3
2018/19,Clackmannanshire,85+ years,2,Number of People,145
2018/19,Clackmannanshire,85+ years,2,SIMD Quintile Proportion,26.6
2018/19,Clackmannanshire,85+ years,3,Number of People,115
2018/19,Clackmannanshire,85+ years,3,SIMD Quintile Proportion,21.1
2018/19,Clackmannanshire,85+ years,4,Number of People,50
2018/19,Clackmannanshire,85+ years,4,SIMD Quintile Proportion,9.2
2018/19,Clackmannanshire,85+ years,5 (Least Deprived),Number of People,70
2018/19,Clackmannanshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,12.8
2018/19,Clackmannanshire,85+ years,Unknown,Number of People,0
2018/19,Clackmannanshire,85+ years,Unknown,SIMD Quintile Proportion,0
2018/19,Dumfries and Galloway,All Ages,1 (Most Deprived),Number of People,770
2018/19,Dumfries and Galloway,All Ages,1 (Most Deprived),SIMD Quintile Proportion,19.8
2018/19,Dumfries and Galloway,All Ages,2,Number of People,730
2018/19,Dumfries and Galloway,All Ages,2,SIMD Quintile Proportion,18.8
2018/19,Dumfries and Galloway,All Ages,3,Number of People,860
2018/19,Dumfries and Galloway,All Ages,3,SIMD Quintile Proportion,22.1
2018/19,Dumfries and Galloway,All Ages,4,Number of People,825
2018/19,Dumfries and Galloway,All Ages,4,SIMD Quintile Proportion,21.2
2018/19,Dumfries and Galloway,All Ages,5 (Least Deprived),Number of People,690
2018/19,Dumfries and Galloway,All Ages,5 (Least Deprived),SIMD Quintile Proportion,17.7
2018/19,Dumfries and Galloway,All Ages,Unknown,Number of People,15
2018/19,Dumfries and Galloway,All Ages,Unknown,SIMD Quintile Proportion,0.4
2018/19,Dumfries and Galloway,0-17 years,1 (Most Deprived),Number of People,5
2018/19,Dumfries and Galloway,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,0-17 years,2,Number of People,5
2018/19,Dumfries and Galloway,0-17 years,2,SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,0-17 years,3,Number of People,5
2018/19,Dumfries and Galloway,0-17 years,3,SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,0-17 years,4,Number of People,5
2018/19,Dumfries and Galloway,0-17 years,4,SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,0-17 years,5 (Least Deprived),Number of People,5
2018/19,Dumfries and Galloway,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,0-17 years,Unknown,Number of People,0
2018/19,Dumfries and Galloway,0-17 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dumfries and Galloway,18-64 years,1 (Most Deprived),Number of People,110
2018/19,Dumfries and Galloway,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,37.3
2018/19,Dumfries and Galloway,18-64 years,2,Number of People,70
2018/19,Dumfries and Galloway,18-64 years,2,SIMD Quintile Proportion,23.7
2018/19,Dumfries and Galloway,18-64 years,3,Number of People,50
2018/19,Dumfries and Galloway,18-64 years,3,SIMD Quintile Proportion,16.9
2018/19,Dumfries and Galloway,18-64 years,4,Number of People,35
2018/19,Dumfries and Galloway,18-64 years,4,SIMD Quintile Proportion,11.9
2018/19,Dumfries and Galloway,18-64 years,5 (Least Deprived),Number of People,30
2018/19,Dumfries and Galloway,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,10.2
2018/19,Dumfries and Galloway,18-64 years,Unknown,Number of People,0
2018/19,Dumfries and Galloway,18-64 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dumfries and Galloway,65-74 years,1 (Most Deprived),Number of People,125
2018/19,Dumfries and Galloway,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,26.9
2018/19,Dumfries and Galloway,65-74 years,2,Number of People,85
2018/19,Dumfries and Galloway,65-74 years,2,SIMD Quintile Proportion,18.3
2018/19,Dumfries and Galloway,65-74 years,3,Number of People,90
2018/19,Dumfries and Galloway,65-74 years,3,SIMD Quintile Proportion,19.4
2018/19,Dumfries and Galloway,65-74 years,4,Number of People,85
2018/19,Dumfries and Galloway,65-74 years,4,SIMD Quintile Proportion,18.3
2018/19,Dumfries and Galloway,65-74 years,5 (Least Deprived),Number of People,80
2018/19,Dumfries and Galloway,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,17.2
2018/19,Dumfries and Galloway,65-74 years,Unknown,Number of People,0
2018/19,Dumfries and Galloway,65-74 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dumfries and Galloway,75-84 years,1 (Most Deprived),Number of People,270
2018/19,Dumfries and Galloway,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,18.6
2018/19,Dumfries and Galloway,75-84 years,2,Number of People,285
2018/19,Dumfries and Galloway,75-84 years,2,SIMD Quintile Proportion,19.7
2018/19,Dumfries and Galloway,75-84 years,3,Number of People,340
2018/19,Dumfries and Galloway,75-84 years,3,SIMD Quintile Proportion,23.4
2018/19,Dumfries and Galloway,75-84 years,4,Number of People,300
2018/19,Dumfries and Galloway,75-84 years,4,SIMD Quintile Proportion,20.7
2018/19,Dumfries and Galloway,75-84 years,5 (Least Deprived),Number of People,250
2018/19,Dumfries and Galloway,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,17.2
2018/19,Dumfries and Galloway,75-84 years,Unknown,Number of People,5
2018/19,Dumfries and Galloway,75-84 years,Unknown,SIMD Quintile Proportion,0.3
2018/19,Dumfries and Galloway,85+ years,1 (Most Deprived),Number of People,255
2018/19,Dumfries and Galloway,85+ years,1 (Most Deprived),SIMD Quintile Proportion,15.5
2018/19,Dumfries and Galloway,85+ years,2,Number of People,280
2018/19,Dumfries and Galloway,85+ years,2,SIMD Quintile Proportion,17
2018/19,Dumfries and Galloway,85+ years,3,Number of People,380
2018/19,Dumfries and Galloway,85+ years,3,SIMD Quintile Proportion,23
2018/19,Dumfries and Galloway,85+ years,4,Number of People,400
2018/19,Dumfries and Galloway,85+ years,4,SIMD Quintile Proportion,24.2
2018/19,Dumfries and Galloway,85+ years,5 (Least Deprived),Number of People,330
2018/19,Dumfries and Galloway,85+ years,5 (Least Deprived),SIMD Quintile Proportion,20
2018/19,Dumfries and Galloway,85+ years,Unknown,Number of People,5
2018/19,Dumfries and Galloway,85+ years,Unknown,SIMD Quintile Proportion,0.3
2018/19,Dundee City,All Ages,1 (Most Deprived),Number of People,1165
2018/19,Dundee City,All Ages,1 (Most Deprived),SIMD Quintile Proportion,19.8
2018/19,Dundee City,All Ages,2,Number of People,1240
2018/19,Dundee City,All Ages,2,SIMD Quintile Proportion,21.1
2018/19,Dundee City,All Ages,3,Number of People,1525
2018/19,Dundee City,All Ages,3,SIMD Quintile Proportion,26
2018/19,Dundee City,All Ages,4,Number of People,1115
2018/19,Dundee City,All Ages,4,SIMD Quintile Proportion,19
2018/19,Dundee City,All Ages,5 (Least Deprived),Number of People,820
2018/19,Dundee City,All Ages,5 (Least Deprived),SIMD Quintile Proportion,14
2018/19,Dundee City,All Ages,Unknown,Number of People,5
2018/19,Dundee City,All Ages,Unknown,SIMD Quintile Proportion,0.1
2018/19,Dundee City,0-17 years,1 (Most Deprived),Number of People,0
2018/19,Dundee City,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2018/19,Dundee City,0-17 years,2,Number of People,0
2018/19,Dundee City,0-17 years,2,SIMD Quintile Proportion,NA
2018/19,Dundee City,0-17 years,3,Number of People,0
2018/19,Dundee City,0-17 years,3,SIMD Quintile Proportion,NA
2018/19,Dundee City,0-17 years,4,Number of People,0
2018/19,Dundee City,0-17 years,4,SIMD Quintile Proportion,NA
2018/19,Dundee City,0-17 years,5 (Least Deprived),Number of People,0
2018/19,Dundee City,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2018/19,Dundee City,0-17 years,Unknown,Number of People,0
2018/19,Dundee City,0-17 years,Unknown,SIMD Quintile Proportion,NA
2018/19,Dundee City,18-64 years,1 (Most Deprived),Number of People,255
2018/19,Dundee City,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,28
2018/19,Dundee City,18-64 years,2,Number of People,235
2018/19,Dundee City,18-64 years,2,SIMD Quintile Proportion,25.8
2018/19,Dundee City,18-64 years,3,Number of People,240
2018/19,Dundee City,18-64 years,3,SIMD Quintile Proportion,26.4
2018/19,Dundee City,18-64 years,4,Number of People,130
2018/19,Dundee City,18-64 years,4,SIMD Quintile Proportion,14.3
2018/19,Dundee City,18-64 years,5 (Least Deprived),Number of People,50
2018/19,Dundee City,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,5.5
2018/19,Dundee City,18-64 years,Unknown,Number of People,0
2018/19,Dundee City,18-64 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dundee City,65-74 years,1 (Most Deprived),Number of People,365
2018/19,Dundee City,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,26.5
2018/19,Dundee City,65-74 years,2,Number of People,340
2018/19,Dundee City,65-74 years,2,SIMD Quintile Proportion,24.7
2018/19,Dundee City,65-74 years,3,Number of People,395
2018/19,Dundee City,65-74 years,3,SIMD Quintile Proportion,28.7
2018/19,Dundee City,65-74 years,4,Number of People,200
2018/19,Dundee City,65-74 years,4,SIMD Quintile Proportion,14.5
2018/19,Dundee City,65-74 years,5 (Least Deprived),Number of People,75
2018/19,Dundee City,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,5.5
2018/19,Dundee City,65-74 years,Unknown,Number of People,0
2018/19,Dundee City,65-74 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dundee City,75-84 years,1 (Most Deprived),Number of People,355
2018/19,Dundee City,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,18
2018/19,Dundee City,75-84 years,2,Number of People,420
2018/19,Dundee City,75-84 years,2,SIMD Quintile Proportion,21.3
2018/19,Dundee City,75-84 years,3,Number of People,535
2018/19,Dundee City,75-84 years,3,SIMD Quintile Proportion,27.2
2018/19,Dundee City,75-84 years,4,Number of People,385
2018/19,Dundee City,75-84 years,4,SIMD Quintile Proportion,19.5
2018/19,Dundee City,75-84 years,5 (Least Deprived),Number of People,275
2018/19,Dundee City,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,14
2018/19,Dundee City,75-84 years,Unknown,Number of People,0
2018/19,Dundee City,75-84 years,Unknown,SIMD Quintile Proportion,0
2018/19,Dundee City,85+ years,1 (Most Deprived),Number of People,185
2018/19,Dundee City,85+ years,1 (Most Deprived),SIMD Quintile Proportion,11.6
2018/19,Dundee City,85+ years,2,Number of People,245
2018/19,Dundee City,85+ years,2,SIMD Quintile Proportion,15.3
2018/19,Dundee City,85+ years,3,Number of People,350
2018/19,Dundee City,85+ years,3,SIMD Quintile Proportion,21.9
2018/19,Dundee City,85+ years,4,Number of People,395
2018/19,Dundee City,85+ years,4,SIMD Quintile Proportion,24.7
2018/19,Dundee City,85+ years,5 (Least Deprived),Number of People,420
2018/19,Dundee City,85+ years,5 (Least Deprived),SIMD Quintile Proportion,26.2
2018/19,Dundee City,85+ years,Unknown,Number of People,5
2018/19,Dundee City,85+ years,Unknown,SIMD Quintile Proportion,0.3
2018/19,East Ayrshire,All Ages,1 (Most Deprived),Number of People,930
2018/19,East Ayrshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,21
2018/19,East Ayrshire,All Ages,2,Number of People,1180
2018/19,East Ayrshire,All Ages,2,SIMD Quintile Proportion,26.7
2018/19,East Ayrshire,All Ages,3,Number of People,910
2018/19,East Ayrshire,All Ages,3,SIMD Quintile Proportion,20.6
2018/19,East Ayrshire,All Ages,4,Number of People,800
2018/19,East Ayrshire,All Ages,4,SIMD Quintile Proportion,18.1
2018/19,East Ayrshire,All Ages,5 (Least Deprived),Number of People,580
2018/19,East Ayrshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,13.1
2018/19,East Ayrshire,All Ages,Unknown,Number of People,20
2018/19,East Ayrshire,All Ages,Unknown,SIMD Quintile Proportion,0.5
2018/19,East Ayrshire,0-17 years,1 (Most Deprived),Number of People,5
2018/19,East Ayrshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,20
2018/19,East Ayrshire,0-17 years,2,Number of People,5
2018/19,East Ayrshire,0-17 years,2,SIMD Quintile Proportion,20
2018/19,East Ayrshire,0-17 years,3,Number of People,10
2018/19,East Ayrshire,0-17 years,3,SIMD Quintile Proportion,40
2018/19,East Ayrshire,0-17 years,4,Number of People,5
2018/19,East Ayrshire,0-17 years,4,SIMD Quintile Proportion,20
2018/19,East Ayrshire,0-17 years,5 (Least Deprived),Number of People,0
2018/19,East Ayrshire,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,0
2018/19,East Ayrshire,0-17 years,Unknown,Number of People,0
2018/19,East Ayrshire,0-17 years,Unknown,SIMD Quintile Proportion,0
2018/19,East Ayrshire,18-64 years,1 (Most Deprived),Number of People,185
2018/19,East Ayrshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,30.8
2018/19,East Ayrshire,18-64 years,2,Number of People,155
2018/19,East Ayrshire,18-64 years,2,SIMD Quintile Proportion,25.8
2018/19,East Ayrshire,18-64 years,3,Number of People,125
2018/19,East Ayrshire,18-64 years,3,SIMD Quintile Proportion,20.8
2018/19,East Ayrshire,18-64 years,4,Number of People,90
2018/19,East Ayrshire,18-64 years,4,SIMD Quintile Proportion,15
2018/19,East Ayrshire,18-64 years,5 (Least Deprived),Number of People,40
2018/19,East Ayrshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,6.7
2018/19,East Ayrshire,18-64 years,Unknown,Number of People,5
2018/19,East Ayrshire,18-64 years,Unknown,SIMD Quintile Proportion,0.8
2018/19,East Ayrshire,65-74 years,1 (Most Deprived),Number of People,190
2018/19,East Ayrshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,27.9
2018/19,East Ayrshire,65-74 years,2,Number of People,180
2018/19,East Ayrshire,65-74 years,2,SIMD Quintile Proportion,26.5
2018/19,East Ayrshire,65-74 years,3,Number of People,135
2018/19,East Ayrshire,65-74 years,3,SIMD Quintile Proportion,19.9
2018/19,East Ayrshire,65-74 years,4,Number of People,110
2018/19,East Ayrshire,65-74 years,4,SIMD Quintile Proportion,16.2
2018/19,East Ayrshire,65-74 years,5 (Least Deprived),Number of People,65
2018/19,East Ayrshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,9.6
2018/19,East Ayrshire,65-74 years,Unknown,Number of People,0
2018/19,East Ayrshire,65-74 years,Unknown,SIMD Quintile Proportion,0
2018/19,East Ayrshire,75-84 years,1 (Most Deprived),Number of People,315
2018/19,East Ayrshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,18.9
2018/19,East Ayrshire,75-84 years,2,Number of People,450
2018/19,East Ayrshire,75-84 years,2,SIMD Quintile Proportion,26.9
2018/19,East Ayrshire,75-84 years,3,Number of People,360
2018/19,East Ayrshire,75-84 years,3,SIMD Quintile Proportion,21.6
2018/19,East Ayrshire,75-84 years,4,Number of People,295
2018/19,East Ayrshire,75-84 years,4,SIMD Quintile Proportion,17.7
2018/19,East Ayrshire,75-84 years,5 (Least Deprived),Number of People,240
2018/19,East Ayrshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,14.4
2018/19,East Ayrshire,75-84 years,Unknown,Number of People,10
2018/19,East Ayrshire,75-84 years,Unknown,SIMD Quintile Proportion,0.6
2018/19,East Ayrshire,85+ years,1 (Most Deprived),Number of People,230
2018/19,East Ayrshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,16.1
2018/19,East Ayrshire,85+ years,2,Number of People,390
2018/19,East Ayrshire,85+ years,2,SIMD Quintile Proportion,27.3
2018/19,East Ayrshire,85+ years,3,Number of People,275
2018/19,East Ayrshire,85+ years,3,SIMD Quintile Proportion,19.2
2018/19,East Ayrshire,85+ years,4,Number of People,295
2018/19,East Ayrshire,85+ years,4,SIMD Quintile Proportion,20.6
2018/19,East Ayrshire,85+ years,5 (Least Deprived),Number of People,235
2018/19,East Ayrshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,16.4
2018/19,East Ayrshire,85+ years,Unknown,Number of People,5
2018/19,East Ayrshire,85+ years,Unknown,SIMD Quintile Proportion,0.3
2018/19,East Ayrshire,Unknown,1 (Most Deprived),Number of People,0
2018/19,East Ayrshire,Unknown,1 (Most Deprived),SIMD Quintile Proportion,NA
2018/19,East Ayrshire,Unknown,2,Number of People,0
2018/19,East Ayrshire,Unknown,2,SIMD Quintile Proportion,NA
2018/19,East Ayrshire,Unknown,3,Number of People,0
2018/19,East Ayrshire,Unknown,3,SIMD Quintile Proportion,NA
2018/19,East Ayrshire,Unknown,4,Number of People,0
2018/19,East Ayrshire,Unknown,4,SIMD Quintile Proportion,NA
2018/19,East Ayrshire,Unknown,5 (Least Deprived),Number of People,0
2018/19,East Ayrshire,Unknown,5 (Least Deprived),SIMD Quintile Proportion,NA
2018/19,East Ayrshire,Unknown,Unknown,Number of People,0
2018/19,East Ayrshire,Unknown,Unknown,SIMD Quintile Proportion,NA
2018/19,East Dunbartonshire,All Ages,1 (Most Deprived),Number of People,400
2018/19,East Dunbartonshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,22.5
2018/19,East Dunbartonshire,All Ages,2,Number of People,320
2018/19,East Dunbartonshire,All Ages,2,SIMD Quintile Proportion,18
2018/19,East Dunbartonshire,All Ages,3,Number of People,410
2018/19,East Dunbartonshire,All Ages,3,SIMD Quintile Proportion,23
2018/19,East Dunbartonshire,All Ages,4,Number of People,310
2018/19,East Dunbartonshire,All Ages,4,SIMD Quintile Proportion,17.4
2018/19,East Dunbartonshire,All Ages,5 (Least Deprived),Number of People,335
2018/19,East Dunbartonshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,18.8
2018/19,East Dunbartonshire,All Ages,Unknown,Number of People,5
2018/19,East Dunbartonshire,All Ages,Unknown,SIMD Quintile Proportion,0.3
2018/19,East Dunbartonshire,0-17 years,1 (Most Deprived),Number of People,0
2018/19,East Dunbartonshire,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2018/19,East Dunbartonshire,0-17 years,2,Number of People,0
2018/19,East Dunbartonshire,0-17 years,2,SIMD Quintile Proportion,NA
2018/19,East Dunbartonshire,0-17 years,3,Number of People,0
2018/19,East Dunbartonshire,0-17 years,3,SIMD Quintile Proportion,NA
2018/19,East Dunbartonshire,0-17 years,4,Number of People,0
2018/19,East Dunbartonshire,0-17 years,4,SIMD Quintile Proportion,NA
