financial_year,sending_location,age_group,client_group,nclient,rate
2018/19,City of Edinburgh,18-64 years,Other,585,300.77120822622106
2018/19,City of Edinburgh,65-74 years,Other,100,134.2281879194631
2018/19,City of Edinburgh,75-84 years,Other,80,60.60606060606061
2018/19,City of Edinburgh,85+ years,Other,70,36.458333333333336
2018/19,City of Edinburgh,Unknown,Other,0,0
2019/20,City of Edinburgh,All Ages,Dementia,55,8.57365549493375
2019/20,City of Edinburgh,0-17 years,Dementia,0,0
2019/20,City of Edinburgh,18-64 years,Dementia,5,2.3094688221709005
2019/20,City of Edinburgh,65-74 years,Dementia,10,12.578616352201259
2019/20,City of Edinburgh,75-84 years,Dementia,20,14.598540145985401
2019/20,City of Edinburgh,85+ years,Dementia,20,10.309278350515465
2019/20,City of Edinburgh,Unknown,Dementia,0,0
2019/20,City of Edinburgh,All Ages,Elderly / Frail,3460,539.360872954014
2019/20,City of Edinburgh,0-17 years,Elderly / Frail,10,71.42857142857143
2019/20,City of Edinburgh,18-64 years,Elderly / Frail,140,64.66512702078522
2019/20,City of Edinburgh,65-74 years,Elderly / Frail,585,735.8490566037735
2019/20,City of Edinburgh,75-84 years,Elderly / Frail,1140,832.1167883211679
2019/20,City of Edinburgh,85+ years,Elderly / Frail,1590,819.5876288659794
2019/20,City of Edinburgh,Unknown,Elderly / Frail,5,1000
2019/20,City of Edinburgh,All Ages,Learning Disability,1010,157.44349181605614
2019/20,City of Edinburgh,0-17 years,Learning Disability,40,285.7142857142857
2019/20,City of Edinburgh,18-64 years,Learning Disability,880,406.4665127020785
2019/20,City of Edinburgh,65-74 years,Learning Disability,70,88.0503144654088
2019/20,City of Edinburgh,75-84 years,Learning Disability,20,14.598540145985401
2019/20,City of Edinburgh,85+ years,Learning Disability,5,2.577319587628866
2019/20,City of Edinburgh,Unknown,Learning Disability,0,0
2019/20,City of Edinburgh,All Ages,Mental Health,890,138.7373343725643
2019/20,City of Edinburgh,0-17 years,Mental Health,0,0
2019/20,City of Edinburgh,18-64 years,Mental Health,730,337.18244803695154
2019/20,City of Edinburgh,65-74 years,Mental Health,95,119.49685534591195
2019/20,City of Edinburgh,75-84 years,Mental Health,45,32.846715328467155
2019/20,City of Edinburgh,85+ years,Mental Health,20,10.309278350515465
2019/20,City of Edinburgh,Unknown,Mental Health,0,0
2019/20,City of Edinburgh,All Ages,Physical and Sensory Disability,1450,226.0327357755261
2019/20,City of Edinburgh,0-17 years,Physical and Sensory Disability,30,214.28571428571428
2019/20,City of Edinburgh,18-64 years,Physical and Sensory Disability,755,348.72979214780605
2019/20,City of Edinburgh,65-74 years,Physical and Sensory Disability,225,283.0188679245283
2019/20,City of Edinburgh,75-84 years,Physical and Sensory Disability,195,142.33576642335765
2019/20,City of Edinburgh,85+ years,Physical and Sensory Disability,245,126.28865979381443
2019/20,City of Edinburgh,Unknown,Physical and Sensory Disability,0,0
2019/20,City of Edinburgh,All Ages,Other,890,138.7373343725643
2019/20,City of Edinburgh,0-17 years,Other,60,428.57142857142856
2019/20,City of Edinburgh,18-64 years,Other,620,286.3741339491917
2019/20,City of Edinburgh,65-74 years,Other,105,132.0754716981132
2019/20,City of Edinburgh,75-84 years,Other,60,43.79562043795621
2019/20,City of Edinburgh,85+ years,Other,45,23.195876288659793
2019/20,City of Edinburgh,Unknown,Other,0,0
2020/21,City of Edinburgh,All Ages,Dementia,50,5.717552887364208
2020/21,City of Edinburgh,0-17 years,Dementia,0,0
2020/21,City of Edinburgh,18-64 years,Dementia,5,1.6474464579901154
2020/21,City of Edinburgh,65-74 years,Dementia,5,4.545454545454545
2020/21,City of Edinburgh,75-84 years,Dementia,15,8.130081300813009
2020/21,City of Edinburgh,85+ years,Dementia,20,7.633587786259541
2020/21,City of Edinburgh,Unknown,Dementia,0,0
2020/21,City of Edinburgh,All Ages,Elderly / Frail,4860,555.746140651801
2020/21,City of Edinburgh,0-17 years,Elderly / Frail,0,0
2020/21,City of Edinburgh,18-64 years,Elderly / Frail,120,39.53871499176277
2020/21,City of Edinburgh,65-74 years,Elderly / Frail,765,695.4545454545454
2020/21,City of Edinburgh,75-84 years,Elderly / Frail,1610,872.6287262872628
2020/21,City of Edinburgh,85+ years,Elderly / Frail,2365,902.6717557251909
2020/21,City of Edinburgh,Unknown,Elderly / Frail,5,1000
2020/21,City of Edinburgh,All Ages,Learning Disability,1590,181.8181818181818
2020/21,City of Edinburgh,0-17 years,Learning Disability,40,285.7142857142857
2020/21,City of Edinburgh,18-64 years,Learning Disability,1385,456.34266886326196
2020/21,City of Edinburgh,65-74 years,Learning Disability,120,109.09090909090908
2020/21,City of Edinburgh,75-84 years,Learning Disability,40,21.680216802168022
2020/21,City of Edinburgh,85+ years,Learning Disability,5,1.9083969465648853
2020/21,City of Edinburgh,Unknown,Learning Disability,0,0
2020/21,City of Edinburgh,All Ages,Mental Health,1275,145.7975986277873
2020/21,City of Edinburgh,0-17 years,Mental Health,0,0
2020/21,City of Edinburgh,18-64 years,Mental Health,1055,347.6112026359143
2020/21,City of Edinburgh,65-74 years,Mental Health,135,122.72727272727272
2020/21,City of Edinburgh,75-84 years,Mental Health,55,29.81029810298103
2020/21,City of Edinburgh,85+ years,Mental Health,25,9.541984732824428
2020/21,City of Edinburgh,Unknown,Mental Health,0,0
2020/21,City of Edinburgh,All Ages,Physical and Sensory Disability,1925,220.125786163522
2020/21,City of Edinburgh,0-17 years,Physical and Sensory Disability,30,214.28571428571428
2020/21,City of Edinburgh,18-64 years,Physical and Sensory Disability,1010,332.78418451400324
2020/21,City of Edinburgh,65-74 years,Physical and Sensory Disability,325,295.4545454545455
2020/21,City of Edinburgh,75-84 years,Physical and Sensory Disability,240,130.08130081300814
2020/21,City of Edinburgh,85+ years,Physical and Sensory Disability,315,120.2290076335878
2020/21,City of Edinburgh,Unknown,Physical and Sensory Disability,0,0
2020/21,City of Edinburgh,All Ages,Other,1325,151.51515151515153
2020/21,City of Edinburgh,0-17 years,Other,65,464.2857142857143
2020/21,City of Edinburgh,18-64 years,Other,865,285.00823723228996
2020/21,City of Edinburgh,65-74 years,Other,175,159.0909090909091
2020/21,City of Edinburgh,75-84 years,Other,125,67.75067750677506
2020/21,City of Edinburgh,85+ years,Other,100,38.16793893129771
2020/21,City of Edinburgh,Unknown,Other,0,0
2017/18,Clackmannanshire,All Ages,Dementia,400,155.94541910331384
2017/18,Clackmannanshire,0-17 years,Dementia,0,0
2017/18,Clackmannanshire,18-64 years,Dementia,15,27.027027027027028
2017/18,Clackmannanshire,65-74 years,Dementia,45,102.27272727272728
2017/18,Clackmannanshire,75-84 years,Dementia,175,207.10059171597632
2017/18,Clackmannanshire,85+ years,Dementia,170,236.11111111111111
2017/18,Clackmannanshire,Unknown,Dementia,0,0
2017/18,Clackmannanshire,All Ages,Elderly / Frail,990,385.96491228070175
2017/18,Clackmannanshire,0-17 years,Elderly / Frail,0,0
2017/18,Clackmannanshire,18-64 years,Elderly / Frail,0,0
2017/18,Clackmannanshire,65-74 years,Elderly / Frail,105,238.63636363636365
2017/18,Clackmannanshire,75-84 years,Elderly / Frail,430,508.87573964497045
2017/18,Clackmannanshire,85+ years,Elderly / Frail,455,631.9444444444445
2017/18,Clackmannanshire,Unknown,Elderly / Frail,0,0
2017/18,Clackmannanshire,All Ages,Learning Disability,175,68.2261208576998
2017/18,Clackmannanshire,0-17 years,Learning Disability,0,0
2017/18,Clackmannanshire,18-64 years,Learning Disability,160,288.2882882882883
2017/18,Clackmannanshire,65-74 years,Learning Disability,10,22.727272727272727
2017/18,Clackmannanshire,75-84 years,Learning Disability,5,5.9171597633136095
2017/18,Clackmannanshire,85+ years,Learning Disability,0,0
2017/18,Clackmannanshire,Unknown,Learning Disability,0,0
2017/18,Clackmannanshire,All Ages,Mental Health,210,81.87134502923976
2017/18,Clackmannanshire,0-17 years,Mental Health,0,0
2017/18,Clackmannanshire,18-64 years,Mental Health,115,207.2072072072072
2017/18,Clackmannanshire,65-74 years,Mental Health,55,125
2017/18,Clackmannanshire,75-84 years,Mental Health,30,35.50295857988166
2017/18,Clackmannanshire,85+ years,Mental Health,15,20.833333333333332
2017/18,Clackmannanshire,Unknown,Mental Health,0,0
2017/18,Clackmannanshire,All Ages,Physical and Sensory Disability,1770,690.0584795321637
2017/18,Clackmannanshire,0-17 years,Physical and Sensory Disability,0,0
2017/18,Clackmannanshire,18-64 years,Physical and Sensory Disability,365,657.6576576576578
2017/18,Clackmannanshire,65-74 years,Physical and Sensory Disability,345,784.090909090909
2017/18,Clackmannanshire,75-84 years,Physical and Sensory Disability,570,674.5562130177515
2017/18,Clackmannanshire,85+ years,Physical and Sensory Disability,490,680.5555555555555
2017/18,Clackmannanshire,Unknown,Physical and Sensory Disability,0,0
2017/18,Clackmannanshire,All Ages,Other,130,50.682261208576996
2017/18,Clackmannanshire,0-17 years,Other,0,0
2017/18,Clackmannanshire,18-64 years,Other,55,99.0990990990991
2017/18,Clackmannanshire,65-74 years,Other,30,68.18181818181817
2017/18,Clackmannanshire,75-84 years,Other,30,35.50295857988166
2017/18,Clackmannanshire,85+ years,Other,10,13.888888888888888
2017/18,Clackmannanshire,Unknown,Other,0,0
2018/19,Clackmannanshire,All Ages,Dementia,385,152.17391304347828
2018/19,Clackmannanshire,0-17 years,Dementia,0,0
2018/19,Clackmannanshire,18-64 years,Dementia,15,27.777777777777775
2018/19,Clackmannanshire,65-74 years,Dementia,45,105.88235294117646
2018/19,Clackmannanshire,75-84 years,Dementia,170,195.40229885057474
2018/19,Clackmannanshire,85+ years,Dementia,155,226.27737226277372
2018/19,Clackmannanshire,Unknown,Dementia,0,0
2018/19,Clackmannanshire,All Ages,Elderly / Frail,1020,403.1620553359684
2018/19,Clackmannanshire,0-17 years,Elderly / Frail,0,0
2018/19,Clackmannanshire,18-64 years,Elderly / Frail,0,0
2018/19,Clackmannanshire,65-74 years,Elderly / Frail,110,258.82352941176475
2018/19,Clackmannanshire,75-84 years,Elderly / Frail,460,528.735632183908
2018/19,Clackmannanshire,85+ years,Elderly / Frail,445,649.6350364963504
2018/19,Clackmannanshire,Unknown,Elderly / Frail,0,0
2018/19,Clackmannanshire,All Ages,Learning Disability,175,69.1699604743083
2018/19,Clackmannanshire,0-17 years,Learning Disability,5,1000
2018/19,Clackmannanshire,18-64 years,Learning Disability,155,287.037037037037
2018/19,Clackmannanshire,65-74 years,Learning Disability,15,35.294117647058826
2018/19,Clackmannanshire,75-84 years,Learning Disability,5,5.747126436781609
2018/19,Clackmannanshire,85+ years,Learning Disability,0,0
2018/19,Clackmannanshire,Unknown,Learning Disability,0,0
2018/19,Clackmannanshire,All Ages,Mental Health,205,81.02766798418973
2018/19,Clackmannanshire,0-17 years,Mental Health,0,0
2018/19,Clackmannanshire,18-64 years,Mental Health,105,194.44444444444446
2018/19,Clackmannanshire,65-74 years,Mental Health,50,117.6470588235294
2018/19,Clackmannanshire,75-84 years,Mental Health,35,40.229885057471265
2018/19,Clackmannanshire,85+ years,Mental Health,15,21.897810218978105
2018/19,Clackmannanshire,Unknown,Mental Health,0,0
2018/19,Clackmannanshire,All Ages,Physical and Sensory Disability,1715,677.8656126482214
2018/19,Clackmannanshire,0-17 years,Physical and Sensory Disability,0,0
2018/19,Clackmannanshire,18-64 years,Physical and Sensory Disability,360,666.6666666666666
2018/19,Clackmannanshire,65-74 years,Physical and Sensory Disability,330,776.4705882352941
2018/19,Clackmannanshire,75-84 years,Physical and Sensory Disability,570,655.1724137931034
2018/19,Clackmannanshire,85+ years,Physical and Sensory Disability,460,671.5328467153284
2018/19,Clackmannanshire,Unknown,Physical and Sensory Disability,0,0
2018/19,Clackmannanshire,All Ages,Other,160,63.241106719367586
2018/19,Clackmannanshire,0-17 years,Other,5,1000
2018/19,Clackmannanshire,18-64 years,Other,65,120.37037037037037
2018/19,Clackmannanshire,65-74 years,Other,45,105.88235294117646
2018/19,Clackmannanshire,75-84 years,Other,40,45.97701149425287
2018/19,Clackmannanshire,85+ years,Other,10,14.598540145985401
2018/19,Clackmannanshire,Unknown,Other,0,0
2019/20,Clackmannanshire,All Ages,Dementia,395,153.99610136452242
2019/20,Clackmannanshire,0-17 years,Dementia,0,0
2019/20,Clackmannanshire,18-64 years,Dementia,15,28.037383177570092
2019/20,Clackmannanshire,65-74 years,Dementia,45,103.44827586206897
2019/20,Clackmannanshire,75-84 years,Dementia,170,193.1818181818182
2019/20,Clackmannanshire,85+ years,Dementia,170,237.76223776223776
2019/20,Clackmannanshire,Unknown,Dementia,0,0
2019/20,Clackmannanshire,All Ages,Elderly / Frail,1000,389.8635477582846
2019/20,Clackmannanshire,0-17 years,Elderly / Frail,0,0
2019/20,Clackmannanshire,18-64 years,Elderly / Frail,0,0
2019/20,Clackmannanshire,65-74 years,Elderly / Frail,85,195.40229885057474
2019/20,Clackmannanshire,75-84 years,Elderly / Frail,460,522.7272727272727
2019/20,Clackmannanshire,85+ years,Elderly / Frail,455,636.3636363636364
2019/20,Clackmannanshire,Unknown,Elderly / Frail,0,0
2019/20,Clackmannanshire,All Ages,Learning Disability,180,70.17543859649122
2019/20,Clackmannanshire,0-17 years,Learning Disability,0,0
2019/20,Clackmannanshire,18-64 years,Learning Disability,160,299.06542056074767
2019/20,Clackmannanshire,65-74 years,Learning Disability,10,22.988505747126435
2019/20,Clackmannanshire,75-84 years,Learning Disability,5,5.681818181818182
2019/20,Clackmannanshire,85+ years,Learning Disability,0,0
2019/20,Clackmannanshire,Unknown,Learning Disability,0,0
2019/20,Clackmannanshire,All Ages,Mental Health,200,77.97270955165692
2019/20,Clackmannanshire,0-17 years,Mental Health,0,0
2019/20,Clackmannanshire,18-64 years,Mental Health,100,186.91588785046727
2019/20,Clackmannanshire,65-74 years,Mental Health,55,126.43678160919542
2019/20,Clackmannanshire,75-84 years,Mental Health,30,34.090909090909086
2019/20,Clackmannanshire,85+ years,Mental Health,15,20.97902097902098
2019/20,Clackmannanshire,Unknown,Mental Health,0,0
2019/20,Clackmannanshire,All Ages,Physical and Sensory Disability,1755,684.2105263157895
2019/20,Clackmannanshire,0-17 years,Physical and Sensory Disability,0,0
2019/20,Clackmannanshire,18-64 years,Physical and Sensory Disability,350,654.2056074766355
2019/20,Clackmannanshire,65-74 years,Physical and Sensory Disability,345,793.1034482758621
2019/20,Clackmannanshire,75-84 years,Physical and Sensory Disability,580,659.090909090909
2019/20,Clackmannanshire,85+ years,Physical and Sensory Disability,480,671.3286713286714
2019/20,Clackmannanshire,Unknown,Physical and Sensory Disability,0,0
2019/20,Clackmannanshire,All Ages,Other,160,62.37816764132553
2019/20,Clackmannanshire,0-17 years,Other,0,0
2019/20,Clackmannanshire,18-64 years,Other,70,130.8411214953271
2019/20,Clackmannanshire,65-74 years,Other,45,103.44827586206897
2019/20,Clackmannanshire,75-84 years,Other,40,45.45454545454545
2019/20,Clackmannanshire,85+ years,Other,10,13.986013986013987
2019/20,Clackmannanshire,Unknown,Other,0,0
2020/21,Clackmannanshire,All Ages,Dementia,375,148.22134387351778
2020/21,Clackmannanshire,0-17 years,Dementia,0,0
2020/21,Clackmannanshire,18-64 years,Dementia,10,18.69158878504673
2020/21,Clackmannanshire,65-74 years,Dementia,50,121.95121951219512
2020/21,Clackmannanshire,75-84 years,Dementia,165,189.65517241379308
2020/21,Clackmannanshire,85+ years,Dementia,155,218.30985915492957
2020/21,Clackmannanshire,Unknown,Dementia,0,0
2020/21,Clackmannanshire,All Ages,Elderly / Frail,955,377.47035573122525
2020/21,Clackmannanshire,0-17 years,Elderly / Frail,0,0
2020/21,Clackmannanshire,18-64 years,Elderly / Frail,0,0
2020/21,Clackmannanshire,65-74 years,Elderly / Frail,85,207.3170731707317
2020/21,Clackmannanshire,75-84 years,Elderly / Frail,420,482.7586206896552
2020/21,Clackmannanshire,85+ years,Elderly / Frail,445,626.7605633802817
2020/21,Clackmannanshire,Unknown,Elderly / Frail,0,0
2020/21,Clackmannanshire,All Ages,Learning Disability,180,71.14624505928855
2020/21,Clackmannanshire,0-17 years,Learning Disability,0,0
2020/21,Clackmannanshire,18-64 years,Learning Disability,160,299.06542056074767
2020/21,Clackmannanshire,65-74 years,Learning Disability,15,36.58536585365854
2020/21,Clackmannanshire,75-84 years,Learning Disability,5,5.747126436781609
2020/21,Clackmannanshire,85+ years,Learning Disability,0,0
2020/21,Clackmannanshire,Unknown,Learning Disability,0,0
2020/21,Clackmannanshire,All Ages,Mental Health,210,83.00395256916997
2020/21,Clackmannanshire,0-17 years,Mental Health,0,0
2020/21,Clackmannanshire,18-64 years,Mental Health,115,214.9532710280374
2020/21,Clackmannanshire,65-74 years,Mental Health,45,109.7560975609756
2020/21,Clackmannanshire,75-84 years,Mental Health,40,45.97701149425287
2020/21,Clackmannanshire,85+ years,Mental Health,10,14.084507042253522
2020/21,Clackmannanshire,Unknown,Mental Health,0,0
2020/21,Clackmannanshire,All Ages,Physical and Sensory Disability,1730,683.7944664031621
2020/21,Clackmannanshire,0-17 years,Physical and Sensory Disability,0,0
2020/21,Clackmannanshire,18-64 years,Physical and Sensory Disability,350,654.2056074766355
2020/21,Clackmannanshire,65-74 years,Physical and Sensory Disability,315,768.2926829268292
2020/21,Clackmannanshire,75-84 years,Physical and Sensory Disability,585,672.4137931034483
2020/21,Clackmannanshire,85+ years,Physical and Sensory Disability,480,676.056338028169
2020/21,Clackmannanshire,Unknown,Physical and Sensory Disability,0,0
2020/21,Clackmannanshire,All Ages,Other,160,63.241106719367586
2020/21,Clackmannanshire,0-17 years,Other,0,0
2020/21,Clackmannanshire,18-64 years,Other,70,130.8411214953271
2020/21,Clackmannanshire,65-74 years,Other,40,97.5609756097561
2020/21,Clackmannanshire,75-84 years,Other,40,45.97701149425287
2020/21,Clackmannanshire,85+ years,Other,10,14.084507042253522
2020/21,Clackmannanshire,Unknown,Other,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Dementia,35,175
2017/18,Comhairle nan Eilean Siar,0-17 years,Dementia,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Dementia,0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Dementia,0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Dementia,15,300
2017/18,Comhairle nan Eilean Siar,85+ years,Dementia,15,230.76923076923077
2017/18,Comhairle nan Eilean Siar,Unknown,Dementia,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Elderly / Frail,85,425
2017/18,Comhairle nan Eilean Siar,0-17 years,Elderly / Frail,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Elderly / Frail,0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Elderly / Frail,10,400
2017/18,Comhairle nan Eilean Siar,75-84 years,Elderly / Frail,30,600
2017/18,Comhairle nan Eilean Siar,85+ years,Elderly / Frail,45,692.3076923076923
2017/18,Comhairle nan Eilean Siar,Unknown,Elderly / Frail,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Learning Disability,15,75
2017/18,Comhairle nan Eilean Siar,0-17 years,Learning Disability,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Learning Disability,10,166.66666666666666
2017/18,Comhairle nan Eilean Siar,65-74 years,Learning Disability,0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Learning Disability,0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Learning Disability,0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Learning Disability,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Mental Health,15,75
2017/18,Comhairle nan Eilean Siar,0-17 years,Mental Health,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Mental Health,5,83.33333333333333
2017/18,Comhairle nan Eilean Siar,65-74 years,Mental Health,5,200
2017/18,Comhairle nan Eilean Siar,75-84 years,Mental Health,5,100
2017/18,Comhairle nan Eilean Siar,85+ years,Mental Health,5,76.92307692307693
2017/18,Comhairle nan Eilean Siar,Unknown,Mental Health,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Physical and Sensory Disability,65,325
2017/18,Comhairle nan Eilean Siar,0-17 years,Physical and Sensory Disability,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Physical and Sensory Disability,10,166.66666666666666
2017/18,Comhairle nan Eilean Siar,65-74 years,Physical and Sensory Disability,10,400
2017/18,Comhairle nan Eilean Siar,75-84 years,Physical and Sensory Disability,20,400
2017/18,Comhairle nan Eilean Siar,85+ years,Physical and Sensory Disability,25,384.61538461538464
2017/18,Comhairle nan Eilean Siar,Unknown,Physical and Sensory Disability,0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Other,25,125
2017/18,Comhairle nan Eilean Siar,0-17 years,Other,0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Other,10,166.66666666666666
2017/18,Comhairle nan Eilean Siar,65-74 years,Other,10,400
2017/18,Comhairle nan Eilean Siar,75-84 years,Other,5,100
2017/18,Comhairle nan Eilean Siar,85+ years,Other,5,76.92307692307693
2017/18,Comhairle nan Eilean Siar,Unknown,Other,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Dementia,80,130.08130081300814
2018/19,Comhairle nan Eilean Siar,0-17 years,Dementia,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Dementia,0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Dementia,5,58.8235294117647
2018/19,Comhairle nan Eilean Siar,75-84 years,Dementia,25,142.85714285714286
2018/19,Comhairle nan Eilean Siar,85+ years,Dementia,45,166.66666666666666
2018/19,Comhairle nan Eilean Siar,Unknown,Dementia,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Elderly / Frail,285,463.4146341463415
2018/19,Comhairle nan Eilean Siar,0-17 years,Elderly / Frail,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Elderly / Frail,0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Elderly / Frail,30,352.94117647058823
2018/19,Comhairle nan Eilean Siar,75-84 years,Elderly / Frail,85,485.7142857142857
2018/19,Comhairle nan Eilean Siar,85+ years,Elderly / Frail,170,629.6296296296297
2018/19,Comhairle nan Eilean Siar,Unknown,Elderly / Frail,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Learning Disability,15,24.390243902439025
2018/19,Comhairle nan Eilean Siar,0-17 years,Learning Disability,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Learning Disability,10,117.6470588235294
2018/19,Comhairle nan Eilean Siar,65-74 years,Learning Disability,0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Learning Disability,0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Learning Disability,0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Learning Disability,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Mental Health,35,56.91056910569105
2018/19,Comhairle nan Eilean Siar,0-17 years,Mental Health,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Mental Health,5,58.8235294117647
2018/19,Comhairle nan Eilean Siar,65-74 years,Mental Health,10,117.6470588235294
2018/19,Comhairle nan Eilean Siar,75-84 years,Mental Health,10,57.14285714285714
2018/19,Comhairle nan Eilean Siar,85+ years,Mental Health,10,37.03703703703704
2018/19,Comhairle nan Eilean Siar,Unknown,Mental Health,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Physical and Sensory Disability,220,357.7235772357724
2018/19,Comhairle nan Eilean Siar,0-17 years,Physical and Sensory Disability,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Physical and Sensory Disability,15,176.47058823529412
2018/19,Comhairle nan Eilean Siar,65-74 years,Physical and Sensory Disability,25,294.11764705882354
2018/19,Comhairle nan Eilean Siar,75-84 years,Physical and Sensory Disability,55,314.2857142857143
2018/19,Comhairle nan Eilean Siar,85+ years,Physical and Sensory Disability,120,444.4444444444444
2018/19,Comhairle nan Eilean Siar,Unknown,Physical and Sensory Disability,0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Other,75,121.95121951219512
2018/19,Comhairle nan Eilean Siar,0-17 years,Other,0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Other,5,58.8235294117647
2018/19,Comhairle nan Eilean Siar,65-74 years,Other,15,176.47058823529412
2018/19,Comhairle nan Eilean Siar,75-84 years,Other,20,114.28571428571428
2018/19,Comhairle nan Eilean Siar,85+ years,Other,35,129.62962962962962
2018/19,Comhairle nan Eilean Siar,Unknown,Other,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Dementia,5,50
2019/20,Comhairle nan Eilean Siar,0-17 years,Dementia,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Dementia,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Dementia,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Dementia,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Dementia,5,166.66666666666666
2019/20,Comhairle nan Eilean Siar,Unknown,Dementia,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Elderly / Frail,15,150
2019/20,Comhairle nan Eilean Siar,0-17 years,Elderly / Frail,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Elderly / Frail,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Elderly / Frail,5,333.3333333333333
2019/20,Comhairle nan Eilean Siar,75-84 years,Elderly / Frail,5,250
2019/20,Comhairle nan Eilean Siar,85+ years,Elderly / Frail,10,333.3333333333333
2019/20,Comhairle nan Eilean Siar,Unknown,Elderly / Frail,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Learning Disability,5,50
2019/20,Comhairle nan Eilean Siar,0-17 years,Learning Disability,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Learning Disability,5,142.85714285714286
2019/20,Comhairle nan Eilean Siar,65-74 years,Learning Disability,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Learning Disability,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Learning Disability,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Learning Disability,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Mental Health,5,50
2019/20,Comhairle nan Eilean Siar,0-17 years,Mental Health,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Mental Health,0,0
2019/20,Comhairle nan Eilean Siar,65-74 years,Mental Health,5,333.3333333333333
2019/20,Comhairle nan Eilean Siar,75-84 years,Mental Health,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Mental Health,0,0
2019/20,Comhairle nan Eilean Siar,Unknown,Mental Health,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Physical and Sensory Disability,15,150
2019/20,Comhairle nan Eilean Siar,0-17 years,Physical and Sensory Disability,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Physical and Sensory Disability,5,142.85714285714286
2019/20,Comhairle nan Eilean Siar,65-74 years,Physical and Sensory Disability,0,0
2019/20,Comhairle nan Eilean Siar,75-84 years,Physical and Sensory Disability,0,0
2019/20,Comhairle nan Eilean Siar,85+ years,Physical and Sensory Disability,5,166.66666666666666
2019/20,Comhairle nan Eilean Siar,Unknown,Physical and Sensory Disability,0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Other,75,750
2019/20,Comhairle nan Eilean Siar,0-17 years,Other,0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Other,25,714.2857142857143
2019/20,Comhairle nan Eilean Siar,65-74 years,Other,10,666.6666666666666
2019/20,Comhairle nan Eilean Siar,75-84 years,Other,15,750
2019/20,Comhairle nan Eilean Siar,85+ years,Other,20,666.6666666666666
2019/20,Comhairle nan Eilean Siar,Unknown,Other,0,0
2020/21,Comhairle nan Eilean Siar,All Ages,Dementia,130,191.17647058823528
2020/21,Comhairle nan Eilean Siar,0-17 years,Dementia,0,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Dementia,0,0
2020/21,Comhairle nan Eilean Siar,65-74 years,Dementia,10,111.1111111111111
