financial_year,sending_location,age_group,service_group,nclient
2018/19,Clackmannanshire,All Ages,Meals,20
2018/19,Clackmannanshire,0-17 years,Meals,0
2018/19,Clackmannanshire,18-64 years,Meals,0
2018/19,Clackmannanshire,65-74 years,Meals,0
2018/19,Clackmannanshire,75-84 years,Meals,10
2018/19,Clackmannanshire,85+ years,Meals,10
2018/19,Clackmannanshire,Unknown,Meals,0
2018/19,Clackmannanshire,All Ages,Social Worker,2640
2018/19,Clackmannanshire,0-17 years,Social Worker,5
2018/19,Clackmannanshire,18-64 years,Social Worker,580
2018/19,Clackmannanshire,65-74 years,Social Worker,460
2018/19,Clackmannanshire,75-84 years,Social Worker,900
2018/19,Clackmannanshire,85+ years,Social Worker,695
2018/19,Clackmannanshire,Unknown,Social Worker,0
2019/20,Clackmannanshire,All Ages,Care Home,455
2019/20,Clackmannanshire,0-17 years,Care Home,0
2019/20,Clackmannanshire,18-64 years,Care Home,75
2019/20,Clackmannanshire,65-74 years,Care Home,50
2019/20,Clackmannanshire,75-84 years,Care Home,155
2019/20,Clackmannanshire,85+ years,Care Home,175
2019/20,Clackmannanshire,Unknown,Care Home,0
2019/20,Clackmannanshire,All Ages,Community Alarms / Telecare,1895
2019/20,Clackmannanshire,0-17 years,Community Alarms / Telecare,0
2019/20,Clackmannanshire,18-64 years,Community Alarms / Telecare,290
2019/20,Clackmannanshire,65-74 years,Community Alarms / Telecare,325
2019/20,Clackmannanshire,75-84 years,Community Alarms / Telecare,720
2019/20,Clackmannanshire,85+ years,Community Alarms / Telecare,560
2019/20,Clackmannanshire,Unknown,Community Alarms / Telecare,0
2019/20,Clackmannanshire,All Ages,Day Care,60
2019/20,Clackmannanshire,0-17 years,Day Care,0
2019/20,Clackmannanshire,18-64 years,Day Care,50
2019/20,Clackmannanshire,65-74 years,Day Care,5
2019/20,Clackmannanshire,75-84 years,Day Care,0
2019/20,Clackmannanshire,85+ years,Day Care,0
2019/20,Clackmannanshire,Unknown,Day Care,0
2019/20,Clackmannanshire,All Ages,Home Care,1150
2019/20,Clackmannanshire,0-17 years,Home Care,0
2019/20,Clackmannanshire,18-64 years,Home Care,250
2019/20,Clackmannanshire,65-74 years,Home Care,180
2019/20,Clackmannanshire,75-84 years,Home Care,385
2019/20,Clackmannanshire,85+ years,Home Care,335
2019/20,Clackmannanshire,Unknown,Home Care,0
2019/20,Clackmannanshire,All Ages,Housing Support,95
2019/20,Clackmannanshire,0-17 years,Housing Support,0
2019/20,Clackmannanshire,18-64 years,Housing Support,80
2019/20,Clackmannanshire,65-74 years,Housing Support,10
2019/20,Clackmannanshire,75-84 years,Housing Support,0
2019/20,Clackmannanshire,85+ years,Housing Support,5
2019/20,Clackmannanshire,Unknown,Housing Support,0
2019/20,Clackmannanshire,All Ages,Social Worker,2650
2019/20,Clackmannanshire,0-17 years,Social Worker,5
2019/20,Clackmannanshire,18-64 years,Social Worker,570
2019/20,Clackmannanshire,65-74 years,Social Worker,450
2019/20,Clackmannanshire,75-84 years,Social Worker,900
2019/20,Clackmannanshire,85+ years,Social Worker,720
2019/20,Clackmannanshire,Unknown,Social Worker,0
2020/21,Clackmannanshire,All Ages,Care Home,400
2020/21,Clackmannanshire,0-17 years,Care Home,0
2020/21,Clackmannanshire,18-64 years,Care Home,70
2020/21,Clackmannanshire,65-74 years,Care Home,50
2020/21,Clackmannanshire,75-84 years,Care Home,135
2020/21,Clackmannanshire,85+ years,Care Home,145
2020/21,Clackmannanshire,Unknown,Care Home,0
2020/21,Clackmannanshire,All Ages,Community Alarms / Telecare,1875
2020/21,Clackmannanshire,0-17 years,Community Alarms / Telecare,0
2020/21,Clackmannanshire,18-64 years,Community Alarms / Telecare,270
2020/21,Clackmannanshire,65-74 years,Community Alarms / Telecare,320
2020/21,Clackmannanshire,75-84 years,Community Alarms / Telecare,705
2020/21,Clackmannanshire,85+ years,Community Alarms / Telecare,575
2020/21,Clackmannanshire,Unknown,Community Alarms / Telecare,0
2020/21,Clackmannanshire,All Ages,Day Care,50
2020/21,Clackmannanshire,0-17 years,Day Care,0
2020/21,Clackmannanshire,18-64 years,Day Care,45
2020/21,Clackmannanshire,65-74 years,Day Care,5
2020/21,Clackmannanshire,75-84 years,Day Care,0
2020/21,Clackmannanshire,85+ years,Day Care,0
2020/21,Clackmannanshire,Unknown,Day Care,0
2020/21,Clackmannanshire,All Ages,Home Care,1225
2020/21,Clackmannanshire,0-17 years,Home Care,5
2020/21,Clackmannanshire,18-64 years,Home Care,295
2020/21,Clackmannanshire,65-74 years,Home Care,195
2020/21,Clackmannanshire,75-84 years,Home Care,375
2020/21,Clackmannanshire,85+ years,Home Care,360
2020/21,Clackmannanshire,Unknown,Home Care,0
2020/21,Clackmannanshire,All Ages,Social Worker,2685
2020/21,Clackmannanshire,0-17 years,Social Worker,15
2020/21,Clackmannanshire,18-64 years,Social Worker,645
2020/21,Clackmannanshire,65-74 years,Social Worker,430
2020/21,Clackmannanshire,75-84 years,Social Worker,880
2020/21,Clackmannanshire,85+ years,Social Worker,715
2020/21,Clackmannanshire,Unknown,Social Worker,0
2017/18,Comhairle nan Eilean Siar,All Ages,Community Alarms / Telecare,1175
2017/18,Comhairle nan Eilean Siar,0-17 years,Community Alarms / Telecare,5
2017/18,Comhairle nan Eilean Siar,18-64 years,Community Alarms / Telecare,100
2017/18,Comhairle nan Eilean Siar,65-74 years,Community Alarms / Telecare,165
2017/18,Comhairle nan Eilean Siar,75-84 years,Community Alarms / Telecare,450
2017/18,Comhairle nan Eilean Siar,85+ years,Community Alarms / Telecare,460
2017/18,Comhairle nan Eilean Siar,Unknown,Community Alarms / Telecare,0
2017/18,Comhairle nan Eilean Siar,All Ages,Day Care,100
2017/18,Comhairle nan Eilean Siar,0-17 years,Day Care,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Day Care,75
2017/18,Comhairle nan Eilean Siar,65-74 years,Day Care,15
2017/18,Comhairle nan Eilean Siar,75-84 years,Day Care,5
2017/18,Comhairle nan Eilean Siar,85+ years,Day Care,5
2017/18,Comhairle nan Eilean Siar,Unknown,Day Care,0
2017/18,Comhairle nan Eilean Siar,All Ages,Home Care,390
2017/18,Comhairle nan Eilean Siar,0-17 years,Home Care,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Home Care,35
2017/18,Comhairle nan Eilean Siar,65-74 years,Home Care,60
2017/18,Comhairle nan Eilean Siar,75-84 years,Home Care,120
2017/18,Comhairle nan Eilean Siar,85+ years,Home Care,180
2017/18,Comhairle nan Eilean Siar,Unknown,Home Care,0
2017/18,Comhairle nan Eilean Siar,All Ages,Housing Support,40
2017/18,Comhairle nan Eilean Siar,0-17 years,Housing Support,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Housing Support,15
2017/18,Comhairle nan Eilean Siar,65-74 years,Housing Support,5
2017/18,Comhairle nan Eilean Siar,75-84 years,Housing Support,10
2017/18,Comhairle nan Eilean Siar,85+ years,Housing Support,10
2017/18,Comhairle nan Eilean Siar,Unknown,Housing Support,0
2017/18,Comhairle nan Eilean Siar,All Ages,Social Worker,70
2017/18,Comhairle nan Eilean Siar,0-17 years,Social Worker,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Social Worker,55
2017/18,Comhairle nan Eilean Siar,65-74 years,Social Worker,5
2017/18,Comhairle nan Eilean Siar,75-84 years,Social Worker,5
2017/18,Comhairle nan Eilean Siar,85+ years,Social Worker,5
2017/18,Comhairle nan Eilean Siar,Unknown,Social Worker,0
2018/19,Comhairle nan Eilean Siar,All Ages,Community Alarms / Telecare,1200
2018/19,Comhairle nan Eilean Siar,0-17 years,Community Alarms / Telecare,5
2018/19,Comhairle nan Eilean Siar,18-64 years,Community Alarms / Telecare,100
2018/19,Comhairle nan Eilean Siar,65-74 years,Community Alarms / Telecare,170
2018/19,Comhairle nan Eilean Siar,75-84 years,Community Alarms / Telecare,460
2018/19,Comhairle nan Eilean Siar,85+ years,Community Alarms / Telecare,470
2018/19,Comhairle nan Eilean Siar,Unknown,Community Alarms / Telecare,0
2018/19,Comhairle nan Eilean Siar,All Ages,Day Care,60
2018/19,Comhairle nan Eilean Siar,0-17 years,Day Care,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Day Care,45
2018/19,Comhairle nan Eilean Siar,65-74 years,Day Care,10
2018/19,Comhairle nan Eilean Siar,75-84 years,Day Care,5
2018/19,Comhairle nan Eilean Siar,85+ years,Day Care,0
2018/19,Comhairle nan Eilean Siar,Unknown,Day Care,0
2018/19,Comhairle nan Eilean Siar,All Ages,Home Care,530
2018/19,Comhairle nan Eilean Siar,0-17 years,Home Care,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Home Care,50
2018/19,Comhairle nan Eilean Siar,65-74 years,Home Care,70
2018/19,Comhairle nan Eilean Siar,75-84 years,Home Care,160
2018/19,Comhairle nan Eilean Siar,85+ years,Home Care,250
2018/19,Comhairle nan Eilean Siar,Unknown,Home Care,0
2018/19,Comhairle nan Eilean Siar,All Ages,Housing Support,20
2018/19,Comhairle nan Eilean Siar,0-17 years,Housing Support,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Housing Support,5
2018/19,Comhairle nan Eilean Siar,65-74 years,Housing Support,5
2018/19,Comhairle nan Eilean Siar,75-84 years,Housing Support,5
2018/19,Comhairle nan Eilean Siar,85+ years,Housing Support,5
2018/19,Comhairle nan Eilean Siar,Unknown,Housing Support,0
2018/19,Comhairle nan Eilean Siar,All Ages,Social Worker,25
2018/19,Comhairle nan Eilean Siar,0-17 years,Social Worker,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Social Worker,20
2018/19,Comhairle nan Eilean Siar,65-74 years,Social Worker,5
2018/19,Comhairle nan Eilean Siar,75-84 years,Social Worker,0
2018/19,Comhairle nan Eilean Siar,85+ years,Social Worker,0
2018/19,Comhairle nan Eilean Siar,Unknown,Social Worker,0
2019/20,Comhairle nan Eilean Siar,All Ages,Community Alarms / Telecare,1210
2019/20,Comhairle nan Eilean Siar,0-17 years,Community Alarms / Telecare,5
2019/20,Comhairle nan Eilean Siar,18-64 years,Community Alarms / Telecare,95
2019/20,Comhairle nan Eilean Siar,65-74 years,Community Alarms / Telecare,185
2019/20,Comhairle nan Eilean Siar,75-84 years,Community Alarms / Telecare,450
2019/20,Comhairle nan Eilean Siar,85+ years,Community Alarms / Telecare,470
2019/20,Comhairle nan Eilean Siar,Unknown,Community Alarms / Telecare,0
2019/20,Comhairle nan Eilean Siar,All Ages,Day Care,75
2019/20,Comhairle nan Eilean Siar,0-17 years,Day Care,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Day Care,55
2019/20,Comhairle nan Eilean Siar,65-74 years,Day Care,10
2019/20,Comhairle nan Eilean Siar,75-84 years,Day Care,5
2019/20,Comhairle nan Eilean Siar,85+ years,Day Care,5
2019/20,Comhairle nan Eilean Siar,Unknown,Day Care,0
2019/20,Comhairle nan Eilean Siar,All Ages,Home Care,545
2019/20,Comhairle nan Eilean Siar,0-17 years,Home Care,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Home Care,45
2019/20,Comhairle nan Eilean Siar,65-74 years,Home Care,85
2019/20,Comhairle nan Eilean Siar,75-84 years,Home Care,160
2019/20,Comhairle nan Eilean Siar,85+ years,Home Care,255
2019/20,Comhairle nan Eilean Siar,Unknown,Home Care,0
2019/20,Comhairle nan Eilean Siar,All Ages,Housing Support,30
2019/20,Comhairle nan Eilean Siar,0-17 years,Housing Support,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Housing Support,15
2019/20,Comhairle nan Eilean Siar,65-74 years,Housing Support,5
2019/20,Comhairle nan Eilean Siar,75-84 years,Housing Support,5
2019/20,Comhairle nan Eilean Siar,85+ years,Housing Support,10
2019/20,Comhairle nan Eilean Siar,Unknown,Housing Support,0
2019/20,Comhairle nan Eilean Siar,All Ages,Social Worker,35
2019/20,Comhairle nan Eilean Siar,0-17 years,Social Worker,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Social Worker,25
2019/20,Comhairle nan Eilean Siar,65-74 years,Social Worker,5
2019/20,Comhairle nan Eilean Siar,75-84 years,Social Worker,0
2019/20,Comhairle nan Eilean Siar,85+ years,Social Worker,5
2019/20,Comhairle nan Eilean Siar,Unknown,Social Worker,0
2020/21,Comhairle nan Eilean Siar,All Ages,Community Alarms / Telecare,1370
2020/21,Comhairle nan Eilean Siar,0-17 years,Community Alarms / Telecare,5
2020/21,Comhairle nan Eilean Siar,18-64 years,Community Alarms / Telecare,85
2020/21,Comhairle nan Eilean Siar,65-74 years,Community Alarms / Telecare,190
2020/21,Comhairle nan Eilean Siar,75-84 years,Community Alarms / Telecare,415
2020/21,Comhairle nan Eilean Siar,85+ years,Community Alarms / Telecare,540
2020/21,Comhairle nan Eilean Siar,Unknown,Community Alarms / Telecare,135
2020/21,Comhairle nan Eilean Siar,All Ages,Day Care,40
2020/21,Comhairle nan Eilean Siar,0-17 years,Day Care,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Day Care,30
2020/21,Comhairle nan Eilean Siar,65-74 years,Day Care,5
2020/21,Comhairle nan Eilean Siar,75-84 years,Day Care,0
2020/21,Comhairle nan Eilean Siar,85+ years,Day Care,0
2020/21,Comhairle nan Eilean Siar,Unknown,Day Care,0
2020/21,Comhairle nan Eilean Siar,All Ages,Home Care,485
2020/21,Comhairle nan Eilean Siar,0-17 years,Home Care,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Home Care,40
2020/21,Comhairle nan Eilean Siar,65-74 years,Home Care,75
2020/21,Comhairle nan Eilean Siar,75-84 years,Home Care,145
2020/21,Comhairle nan Eilean Siar,85+ years,Home Care,225
2020/21,Comhairle nan Eilean Siar,Unknown,Home Care,0
2020/21,Comhairle nan Eilean Siar,All Ages,Social Worker,15
2020/21,Comhairle nan Eilean Siar,0-17 years,Social Worker,0
2020/21,Comhairle nan Eilean Siar,18-64 years,Social Worker,10
2020/21,Comhairle nan Eilean Siar,65-74 years,Social Worker,0
2020/21,Comhairle nan Eilean Siar,75-84 years,Social Worker,5
2020/21,Comhairle nan Eilean Siar,85+ years,Social Worker,0
2020/21,Comhairle nan Eilean Siar,Unknown,Social Worker,0
2017/18,Dumfries and Galloway,All Ages,Care Home,1250
2017/18,Dumfries and Galloway,0-17 years,Care Home,5
2017/18,Dumfries and Galloway,18-64 years,Care Home,75
2017/18,Dumfries and Galloway,65-74 years,Care Home,130
2017/18,Dumfries and Galloway,75-84 years,Care Home,380
2017/18,Dumfries and Galloway,85+ years,Care Home,665
2017/18,Dumfries and Galloway,Unknown,Care Home,0
2017/18,Dumfries and Galloway,All Ages,Community Alarms / Telecare,3720
2017/18,Dumfries and Galloway,0-17 years,Community Alarms / Telecare,20
2017/18,Dumfries and Galloway,18-64 years,Community Alarms / Telecare,295
2017/18,Dumfries and Galloway,65-74 years,Community Alarms / Telecare,435
2017/18,Dumfries and Galloway,75-84 years,Community Alarms / Telecare,1370
2017/18,Dumfries and Galloway,85+ years,Community Alarms / Telecare,1600
2017/18,Dumfries and Galloway,Unknown,Community Alarms / Telecare,0
2017/18,Dumfries and Galloway,All Ages,Day Care,235
2017/18,Dumfries and Galloway,0-17 years,Day Care,5
2017/18,Dumfries and Galloway,18-64 years,Day Care,30
2017/18,Dumfries and Galloway,65-74 years,Day Care,35
2017/18,Dumfries and Galloway,75-84 years,Day Care,90
2017/18,Dumfries and Galloway,85+ years,Day Care,80
2017/18,Dumfries and Galloway,Unknown,Day Care,0
2017/18,Dumfries and Galloway,All Ages,Home Care,2425
2017/18,Dumfries and Galloway,0-17 years,Home Care,10
2017/18,Dumfries and Galloway,18-64 years,Home Care,590
2017/18,Dumfries and Galloway,65-74 years,Home Care,370
2017/18,Dumfries and Galloway,75-84 years,Home Care,670
2017/18,Dumfries and Galloway,85+ years,Home Care,785
2017/18,Dumfries and Galloway,Unknown,Home Care,0
2017/18,Dumfries and Galloway,All Ages,Housing Support,20
2017/18,Dumfries and Galloway,0-17 years,Housing Support,0
2017/18,Dumfries and Galloway,18-64 years,Housing Support,15
2017/18,Dumfries and Galloway,65-74 years,Housing Support,0
2017/18,Dumfries and Galloway,75-84 years,Housing Support,0
2017/18,Dumfries and Galloway,85+ years,Housing Support,5
2017/18,Dumfries and Galloway,Unknown,Housing Support,0
2017/18,Dumfries and Galloway,All Ages,Meals,270
2017/18,Dumfries and Galloway,0-17 years,Meals,0
2017/18,Dumfries and Galloway,18-64 years,Meals,10
2017/18,Dumfries and Galloway,65-74 years,Meals,30
2017/18,Dumfries and Galloway,75-84 years,Meals,100
2017/18,Dumfries and Galloway,85+ years,Meals,130
2017/18,Dumfries and Galloway,Unknown,Meals,0
2017/18,Dumfries and Galloway,All Ages,Social Worker,7070
2017/18,Dumfries and Galloway,0-17 years,Social Worker,105
2017/18,Dumfries and Galloway,18-64 years,Social Worker,1195
2017/18,Dumfries and Galloway,65-74 years,Social Worker,880
2017/18,Dumfries and Galloway,75-84 years,Social Worker,2185
2017/18,Dumfries and Galloway,85+ years,Social Worker,2705
2017/18,Dumfries and Galloway,Unknown,Social Worker,0
2018/19,Dumfries and Galloway,All Ages,Care Home,1605
2018/19,Dumfries and Galloway,0-17 years,Care Home,0
2018/19,Dumfries and Galloway,18-64 years,Care Home,70
2018/19,Dumfries and Galloway,65-74 years,Care Home,170
2018/19,Dumfries and Galloway,75-84 years,Care Home,480
2018/19,Dumfries and Galloway,85+ years,Care Home,885
2018/19,Dumfries and Galloway,Unknown,Care Home,0
2018/19,Dumfries and Galloway,All Ages,Community Alarms / Telecare,3890
2018/19,Dumfries and Galloway,0-17 years,Community Alarms / Telecare,20
2018/19,Dumfries and Galloway,18-64 years,Community Alarms / Telecare,300
2018/19,Dumfries and Galloway,65-74 years,Community Alarms / Telecare,470
2018/19,Dumfries and Galloway,75-84 years,Community Alarms / Telecare,1450
2018/19,Dumfries and Galloway,85+ years,Community Alarms / Telecare,1645
2018/19,Dumfries and Galloway,Unknown,Community Alarms / Telecare,0
2018/19,Dumfries and Galloway,All Ages,Day Care,150
2018/19,Dumfries and Galloway,0-17 years,Day Care,5
2018/19,Dumfries and Galloway,18-64 years,Day Care,35
2018/19,Dumfries and Galloway,65-74 years,Day Care,15
2018/19,Dumfries and Galloway,75-84 years,Day Care,60
2018/19,Dumfries and Galloway,85+ years,Day Care,35
2018/19,Dumfries and Galloway,Unknown,Day Care,0
2018/19,Dumfries and Galloway,All Ages,Home Care,2985
2018/19,Dumfries and Galloway,0-17 years,Home Care,10
2018/19,Dumfries and Galloway,18-64 years,Home Care,645
2018/19,Dumfries and Galloway,65-74 years,Home Care,425
2018/19,Dumfries and Galloway,75-84 years,Home Care,870
2018/19,Dumfries and Galloway,85+ years,Home Care,1030
2018/19,Dumfries and Galloway,Unknown,Home Care,0
2018/19,Dumfries and Galloway,All Ages,Housing Support,20
2018/19,Dumfries and Galloway,0-17 years,Housing Support,0
2018/19,Dumfries and Galloway,18-64 years,Housing Support,20
2018/19,Dumfries and Galloway,65-74 years,Housing Support,0
2018/19,Dumfries and Galloway,75-84 years,Housing Support,0
2018/19,Dumfries and Galloway,85+ years,Housing Support,0
2018/19,Dumfries and Galloway,Unknown,Housing Support,0
2018/19,Dumfries and Galloway,All Ages,Meals,185
2018/19,Dumfries and Galloway,0-17 years,Meals,0
2018/19,Dumfries and Galloway,18-64 years,Meals,10
2018/19,Dumfries and Galloway,65-74 years,Meals,20
2018/19,Dumfries and Galloway,75-84 years,Meals,60
2018/19,Dumfries and Galloway,85+ years,Meals,95
2018/19,Dumfries and Galloway,Unknown,Meals,0
2018/19,Dumfries and Galloway,All Ages,Social Worker,7040
2018/19,Dumfries and Galloway,0-17 years,Social Worker,115
2018/19,Dumfries and Galloway,18-64 years,Social Worker,1170
2018/19,Dumfries and Galloway,65-74 years,Social Worker,875
2018/19,Dumfries and Galloway,75-84 years,Social Worker,2210
2018/19,Dumfries and Galloway,85+ years,Social Worker,2670
2018/19,Dumfries and Galloway,Unknown,Social Worker,0
2019/20,Dumfries and Galloway,All Ages,Care Home,1665
2019/20,Dumfries and Galloway,0-17 years,Care Home,0
2019/20,Dumfries and Galloway,18-64 years,Care Home,75
2019/20,Dumfries and Galloway,65-74 years,Care Home,175
2019/20,Dumfries and Galloway,75-84 years,Care Home,515
2019/20,Dumfries and Galloway,85+ years,Care Home,895
2019/20,Dumfries and Galloway,Unknown,Care Home,0
2019/20,Dumfries and Galloway,All Ages,Community Alarms / Telecare,4270
2019/20,Dumfries and Galloway,0-17 years,Community Alarms / Telecare,45
2019/20,Dumfries and Galloway,18-64 years,Community Alarms / Telecare,375
2019/20,Dumfries and Galloway,65-74 years,Community Alarms / Telecare,495
2019/20,Dumfries and Galloway,75-84 years,Community Alarms / Telecare,1545
2019/20,Dumfries and Galloway,85+ years,Community Alarms / Telecare,1810
2019/20,Dumfries and Galloway,Unknown,Community Alarms / Telecare,0
2019/20,Dumfries and Galloway,All Ages,Day Care,145
2019/20,Dumfries and Galloway,0-17 years,Day Care,0
2019/20,Dumfries and Galloway,18-64 years,Day Care,40
2019/20,Dumfries and Galloway,65-74 years,Day Care,10
2019/20,Dumfries and Galloway,75-84 years,Day Care,55
2019/20,Dumfries and Galloway,85+ years,Day Care,35
2019/20,Dumfries and Galloway,Unknown,Day Care,0
2019/20,Dumfries and Galloway,All Ages,Home Care,3070
2019/20,Dumfries and Galloway,0-17 years,Home Care,40
2019/20,Dumfries and Galloway,18-64 years,Home Care,735
2019/20,Dumfries and Galloway,65-74 years,Home Care,415
2019/20,Dumfries and Galloway,75-84 years,Home Care,870
2019/20,Dumfries and Galloway,85+ years,Home Care,1015
2019/20,Dumfries and Galloway,Unknown,Home Care,0
2019/20,Dumfries and Galloway,All Ages,Housing Support,20
2019/20,Dumfries and Galloway,0-17 years,Housing Support,0
2019/20,Dumfries and Galloway,18-64 years,Housing Support,15
2019/20,Dumfries and Galloway,65-74 years,Housing Support,0
2019/20,Dumfries and Galloway,75-84 years,Housing Support,0
2019/20,Dumfries and Galloway,85+ years,Housing Support,0
2019/20,Dumfries and Galloway,Unknown,Housing Support,0
2019/20,Dumfries and Galloway,All Ages,Social Worker,7320
2019/20,Dumfries and Galloway,0-17 years,Social Worker,205
2019/20,Dumfries and Galloway,18-64 years,Social Worker,1220
2019/20,Dumfries and Galloway,65-74 years,Social Worker,870
2019/20,Dumfries and Galloway,75-84 years,Social Worker,2250
2019/20,Dumfries and Galloway,85+ years,Social Worker,2770
2019/20,Dumfries and Galloway,Unknown,Social Worker,0
2020/21,Dumfries and Galloway,All Ages,Care Home,1565
2020/21,Dumfries and Galloway,0-17 years,Care Home,0
2020/21,Dumfries and Galloway,18-64 years,Care Home,70
2020/21,Dumfries and Galloway,65-74 years,Care Home,165
2020/21,Dumfries and Galloway,75-84 years,Care Home,500
2020/21,Dumfries and Galloway,85+ years,Care Home,830
2020/21,Dumfries and Galloway,Unknown,Care Home,0
2020/21,Dumfries and Galloway,All Ages,Community Alarms / Telecare,4185
2020/21,Dumfries and Galloway,0-17 years,Community Alarms / Telecare,50
2020/21,Dumfries and Galloway,18-64 years,Community Alarms / Telecare,395
2020/21,Dumfries and Galloway,65-74 years,Community Alarms / Telecare,485
2020/21,Dumfries and Galloway,75-84 years,Community Alarms / Telecare,1445
2020/21,Dumfries and Galloway,85+ years,Community Alarms / Telecare,1810
2020/21,Dumfries and Galloway,Unknown,Community Alarms / Telecare,0
2020/21,Dumfries and Galloway,All Ages,Day Care,120
2020/21,Dumfries and Galloway,0-17 years,Day Care,0
2020/21,Dumfries and Galloway,18-64 years,Day Care,45
2020/21,Dumfries and Galloway,65-74 years,Day Care,5
2020/21,Dumfries and Galloway,75-84 years,Day Care,35
2020/21,Dumfries and Galloway,85+ years,Day Care,35
2020/21,Dumfries and Galloway,Unknown,Day Care,0
2020/21,Dumfries and Galloway,All Ages,Home Care,3270
2020/21,Dumfries and Galloway,0-17 years,Home Care,40
2020/21,Dumfries and Galloway,18-64 years,Home Care,790
2020/21,Dumfries and Galloway,65-74 years,Home Care,460
2020/21,Dumfries and Galloway,75-84 years,Home Care,910
2020/21,Dumfries and Galloway,85+ years,Home Care,1075
2020/21,Dumfries and Galloway,Unknown,Home Care,0
2020/21,Dumfries and Galloway,All Ages,Housing Support,0
2020/21,Dumfries and Galloway,0-17 years,Housing Support,0
2020/21,Dumfries and Galloway,18-64 years,Housing Support,0
2020/21,Dumfries and Galloway,65-74 years,Housing Support,0
2020/21,Dumfries and Galloway,75-84 years,Housing Support,0
2020/21,Dumfries and Galloway,85+ years,Housing Support,0
2020/21,Dumfries and Galloway,Unknown,Housing Support,0
2020/21,Dumfries and Galloway,All Ages,Social Worker,7250
2020/21,Dumfries and Galloway,0-17 years,Social Worker,190
2020/21,Dumfries and Galloway,18-64 years,Social Worker,1260
2020/21,Dumfries and Galloway,65-74 years,Social Worker,885
2020/21,Dumfries and Galloway,75-84 years,Social Worker,2180
2020/21,Dumfries and Galloway,85+ years,Social Worker,2725
2020/21,Dumfries and Galloway,Unknown,Social Worker,5
2017/18,Dundee City,All Ages,Care Home,1255
2017/18,Dundee City,0-17 years,Care Home,0
2017/18,Dundee City,18-64 years,Care Home,105
2017/18,Dundee City,65-74 years,Care Home,130
2017/18,Dundee City,75-84 years,Care Home,390
2017/18,Dundee City,85+ years,Care Home,625
2017/18,Dundee City,Unknown,Care Home,0
2017/18,Dundee City,All Ages,Community Alarms / Telecare,6045
2017/18,Dundee City,0-17 years,Community Alarms / Telecare,0
2017/18,Dundee City,18-64 years,Community Alarms / Telecare,855
2017/18,Dundee City,65-74 years,Community Alarms / Telecare,1355
2017/18,Dundee City,75-84 years,Community Alarms / Telecare,2065
2017/18,Dundee City,85+ years,Community Alarms / Telecare,1775
2017/18,Dundee City,Unknown,Community Alarms / Telecare,0
2017/18,Dundee City,All Ages,Day Care,310
2017/18,Dundee City,0-17 years,Day Care,0
2017/18,Dundee City,18-64 years,Day Care,185
2017/18,Dundee City,65-74 years,Day Care,35
2017/18,Dundee City,75-84 years,Day Care,45
2017/18,Dundee City,85+ years,Day Care,50
2017/18,Dundee City,Unknown,Day Care,0
2017/18,Dundee City,All Ages,Home Care,2130
2017/18,Dundee City,0-17 years,Home Care,0
2017/18,Dundee City,18-64 years,Home Care,235
2017/18,Dundee City,65-74 years,Home Care,365
2017/18,Dundee City,75-84 years,Home Care,715
2017/18,Dundee City,85+ years,Home Care,810
2017/18,Dundee City,Unknown,Home Care,0
2017/18,Dundee City,All Ages,Housing Support,2875
2017/18,Dundee City,0-17 years,Housing Support,0
2017/18,Dundee City,18-64 years,Housing Support,590
2017/18,Dundee City,65-74 years,Housing Support,935
2017/18,Dundee City,75-84 years,Housing Support,895
2017/18,Dundee City,85+ years,Housing Support,455
2017/18,Dundee City,Unknown,Housing Support,0
2017/18,Dundee City,All Ages,Meals,770
2017/18,Dundee City,0-17 years,Meals,0
2017/18,Dundee City,18-64 years,Meals,45
2017/18,Dundee City,65-74 years,Meals,130
2017/18,Dundee City,75-84 years,Meals,255
2017/18,Dundee City,85+ years,Meals,340
2017/18,Dundee City,Unknown,Meals,0
2017/18,Dundee City,All Ages,Social Worker,5275
2017/18,Dundee City,0-17 years,Social Worker,20
2017/18,Dundee City,18-64 years,Social Worker,1750
2017/18,Dundee City,65-74 years,Social Worker,750
2017/18,Dundee City,75-84 years,Social Worker,1315
2017/18,Dundee City,85+ years,Social Worker,1440
2017/18,Dundee City,Unknown,Social Worker,0
2018/19,Dundee City,All Ages,Care Home,1505
2018/19,Dundee City,0-17 years,Care Home,0
2018/19,Dundee City,18-64 years,Care Home,115
2018/19,Dundee City,65-74 years,Care Home,160
2018/19,Dundee City,75-84 years,Care Home,445
2018/19,Dundee City,85+ years,Care Home,785
