financial_year,sending_location,age_group,ethnicity,measure,nclient,rate
2020/21,Clackmannanshire,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients",1260,798.5
2017/18,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",1055,789.7
2017/18,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",315,199.6
2017/18,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",275,205.8
2017/18,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,White,"Rate per 1,000 Social Care Clients",175,799.1
2017/18,Comhairle nan Eilean Siar,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",140,814
2017/18,Comhairle nan Eilean Siar,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",40,182.6
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",30,174.4
2017/18,Comhairle nan Eilean Siar,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,White,"Rate per 1,000 Social Care Clients",175,791.9
2017/18,Comhairle nan Eilean Siar,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",150,781.2
2017/18,Comhairle nan Eilean Siar,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",45,203.6
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",40,208.3
2017/18,Comhairle nan Eilean Siar,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,White,"Rate per 1,000 Social Care Clients",430,776.2
2017/18,Comhairle nan Eilean Siar,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",365,763.6
2017/18,Comhairle nan Eilean Siar,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",125,225.6
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",115,240.6
2017/18,Comhairle nan Eilean Siar,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,White,"Rate per 1,000 Social Care Clients",480,827.6
2017/18,Comhairle nan Eilean Siar,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",400,814.7
2017/18,Comhairle nan Eilean Siar,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",100,172.4
2017/18,Comhairle nan Eilean Siar,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",90,183.3
2017/18,Comhairle nan Eilean Siar,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2017/18,Comhairle nan Eilean Siar,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients",1305,789.5
2018/19,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",1070,775.9
2018/19,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",345,208.7
2018/19,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",310,224.8
2018/19,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients",5,1250
2018/19,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",5,1250
2018/19,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,White,"Rate per 1,000 Social Care Clients",185,787.2
2018/19,Comhairle nan Eilean Siar,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",130,802.5
2018/19,Comhairle nan Eilean Siar,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",45,191.5
2018/19,Comhairle nan Eilean Siar,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",35,216
2018/19,Comhairle nan Eilean Siar,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,White,"Rate per 1,000 Social Care Clients",185,790.6
2018/19,Comhairle nan Eilean Siar,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",155,778.9
2018/19,Comhairle nan Eilean Siar,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",50,213.7
2018/19,Comhairle nan Eilean Siar,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",40,201
2018/19,Comhairle nan Eilean Siar,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,White,"Rate per 1,000 Social Care Clients",420,752.7
2018/19,Comhairle nan Eilean Siar,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",370,740
2018/19,Comhairle nan Eilean Siar,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",140,250.9
2018/19,Comhairle nan Eilean Siar,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",130,260
2018/19,Comhairle nan Eilean Siar,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,White,"Rate per 1,000 Social Care Clients",510,819.9
2018/19,Comhairle nan Eilean Siar,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",415,807.4
2018/19,Comhairle nan Eilean Siar,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",110,176.8
2018/19,Comhairle nan Eilean Siar,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",100,194.6
2018/19,Comhairle nan Eilean Siar,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2018/19,Comhairle nan Eilean Siar,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients",1205,759.3
2019/20,Comhairle nan Eilean Siar,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",1005,746.7
2019/20,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",380,239.4
2019/20,Comhairle nan Eilean Siar,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",340,252.6
2019/20,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients",5,833.3
2019/20,Comhairle nan Eilean Siar,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",5,833.3
2019/20,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",5,833.3
2019/20,Comhairle nan Eilean Siar,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",5,833.3
2019/20,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2019/20,Comhairle nan Eilean Siar,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
