financial_year,sending_location,age_group,sex,measure,rate,nclient
2019/20,City of Edinburgh,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",6.1,90
2019/20,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients",11.9,215
2019/20,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",14.5,215
2019/20,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients",114.2,2065
2019/20,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",131.6,1955
2019/20,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients",128.6,2325
2019/20,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",147.4,2190
2019/20,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3.3,60
2019/20,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4,60
2019/20,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients",73,1320
2019/20,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",78.8,1170
2019/20,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients",68.6,1240
2019/20,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",72.4,1075
2019/20,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,25
2019/20,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.7,25
2019/20,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients",154.3,2790
2019/20,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",152.5,2265
2019/20,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients",88.8,1605
2019/20,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",87.2,1295
2019/20,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.1,20
2019/20,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.3,20
2019/20,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients",254.7,4605
2019/20,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",215.1,3195
2019/20,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients",93.2,1685
2019/20,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",86.8,1290
2019/20,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.6,10
2019/20,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,10
2019/20,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients",0.8,15
2019/20,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients",0.6,10
2019/20,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,City of Edinburgh,All Ages,Female,"Rate per 1,000 Social Care Clients",594.2,10535
2020/21,City of Edinburgh,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",583.9,9570
2020/21,City of Edinburgh,All Ages,Male,"Rate per 1,000 Social Care Clients",402.1,7130
2020/21,City of Edinburgh,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",412.1,6755
2020/21,City of Edinburgh,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3.7,65
2020/21,City of Edinburgh,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4,65
2020/21,City of Edinburgh,0-17 years,Female,"Rate per 1,000 Social Care Clients",3.7,65
2020/21,City of Edinburgh,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",4,65
2020/21,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients",11,195
2020/21,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",11.9,195
2020/21,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients",110.3,1955
2020/21,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",117.4,1925
2020/21,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients",134.5,2385
2020/21,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",142.8,2340
2020/21,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,25
2020/21,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.5,25
2020/21,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients",73.3,1300
2020/21,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",76.6,1255
2020/21,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients",70.5,1250
2020/21,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",73.8,1210
2020/21,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.8,15
2020/21,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.9,15
2020/21,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients",151.2,2680
2020/21,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",151.9,2490
2020/21,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients",88.6,1570
2020/21,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",89.1,1460
2020/21,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.8,15
2020/21,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.9,15
2020/21,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients",255.5,4530
2020/21,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",234,3835
2020/21,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients",97.6,1730
2020/21,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",94.9,1555
2020/21,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.6,10
2020/21,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.6,10
2020/21,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,City of Edinburgh,All Ages,Female,"Rate per 1,000 Social Care Clients",567.6,12525
2021/22,City of Edinburgh,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",559.6,11745
2021/22,City of Edinburgh,All Ages,Male,"Rate per 1,000 Social Care Clients",427.8,9440
2021/22,City of Edinburgh,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",435.4,9140
2021/22,City of Edinburgh,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",4.8,105
2021/22,City of Edinburgh,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",5,105
2021/22,City of Edinburgh,0-17 years,Female,"Rate per 1,000 Social Care Clients",10.7,235
2021/22,City of Edinburgh,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",11.2,235
2021/22,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients",20.6,455
2021/22,City of Edinburgh,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",21.7,455
2021/22,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.2,5
2021/22,City of Edinburgh,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2021/22,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients",160.9,3550
2021/22,City of Edinburgh,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",167.9,3525
2021/22,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients",192.4,4245
2021/22,City of Edinburgh,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",200.6,4210
2021/22,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.6,35
2021/22,City of Edinburgh,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.7,35
2021/22,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients",70.9,1565
2021/22,City of Edinburgh,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",71.9,1510
2021/22,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients",64.8,1430
2021/22,City of Edinburgh,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",65.7,1380
2021/22,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.1,25
2021/22,City of Edinburgh,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.2,25
2021/22,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients",126.2,2785
2021/22,City of Edinburgh,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",124.6,2615
2021/22,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients",73,1610
2021/22,City of Edinburgh,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",72.7,1525
2021/22,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,15
2021/22,City of Edinburgh,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,15
2021/22,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients",198.7,4385
2021/22,City of Edinburgh,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",183.9,3860
2021/22,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients",76.8,1695
2021/22,City of Edinburgh,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",74.6,1565
2021/22,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,15
2021/22,City of Edinburgh,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,15
2021/22,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients",0.2,5
2021/22,City of Edinburgh,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2021/22,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients",0.2,5
2021/22,City of Edinburgh,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2021/22,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.5,10
2021/22,City of Edinburgh,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.5,10
2017/18,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients",606.3,1680
2017/18,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",606.3,1680
2017/18,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients",393.4,1090
2017/18,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",393.4,1090
2017/18,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",1.8,5
2017/18,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1.8,5
2017/18,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",115.5,320
2017/18,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",115.5,320
2017/18,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",113.7,315
2017/18,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",113.7,315
2017/18,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",101,280
2017/18,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",101,280
2017/18,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",74,205
2017/18,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",74,205
2017/18,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",202.1,560
2017/18,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",202.1,560
2017/18,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",122.7,340
2017/18,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",122.7,340
2017/18,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients",187.7,520
2017/18,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",187.7,520
2017/18,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients",83,230
2017/18,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",83,230
2017/18,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients",602.5,1590
2018/19,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",602.5,1590
2018/19,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients",397.9,1050
2018/19,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",397.9,1050
2018/19,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",1.9,5
2018/19,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1.9,5
2018/19,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",106.1,280
2018/19,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",106.1,280
2018/19,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",113.7,300
2018/19,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",113.7,300
2018/19,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",94.7,250
2018/19,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",94.7,250
2018/19,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",81.5,215
2018/19,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",81.5,215
2018/19,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",214.1,565
2018/19,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",214.1,565
2018/19,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",126.9,335
2018/19,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",126.9,335
2018/19,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients",187.6,495
2018/19,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",187.6,495
2018/19,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients",75.8,200
2018/19,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",75.8,200
2018/19,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients",600.5,1590
2019/20,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",600.5,1590
2019/20,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients",400.3,1060
2019/20,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",400.3,1060
2019/20,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",105.7,280
2019/20,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",105.7,280
2019/20,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",111.4,295
2019/20,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",111.4,295
2019/20,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",90.6,240
2019/20,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",90.6,240
2019/20,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",77.4,205
2019/20,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",77.4,205
2019/20,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",215.3,570
2019/20,Clackmannanshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",215.3,570
2019/20,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",124.6,330
2019/20,Clackmannanshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",124.6,330
2019/20,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients",186.9,495
2019/20,Clackmannanshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",186.9,495
2019/20,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients",86.9,230
2019/20,Clackmannanshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",86.9,230
2019/20,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Clackmannanshire,Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients",593.2,1655
2020/21,Clackmannanshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",594,1595
2020/21,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients",405,1130
2020/21,Clackmannanshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",404.1,1085
2020/21,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",1.8,5
2020/21,Clackmannanshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1.9,5
2020/21,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",3.6,10
2020/21,Clackmannanshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",3.7,10
2020/21,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",116.5,325
2020/21,Clackmannanshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",115.5,310
2020/21,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",130.8,365
2020/21,Clackmannanshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",124.8,335
2020/21,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",84.2,235
2020/21,Clackmannanshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",85.7,230
2020/21,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",75.3,210
2020/21,Clackmannanshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",74.5,200
2020/21,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Clackmannanshire,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
