financial_year,sending_location,age_group,living_alone,measure,percentage,nclient
2017/18,Inverclyde,All Ages,Living Alone,Percentage of Social Care Clients,14.8,710
2017/18,Inverclyde,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),15.1,665
2017/18,Inverclyde,All Ages,Unknown,Percentage of Social Care Clients,85.2,4090
2017/18,Inverclyde,All Ages,Unknown,Percentage of Social Care Clients (adjusted),84.9,3730
2017/18,Inverclyde,0-17 years,Unknown,Percentage of Social Care Clients,100,40
2017/18,Inverclyde,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,40
2017/18,Inverclyde,18-64 years,Living Alone,Percentage of Social Care Clients,7.7,70
2017/18,Inverclyde,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),8,70
2017/18,Inverclyde,18-64 years,Unknown,Percentage of Social Care Clients,92.3,835
2017/18,Inverclyde,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),92,810
2017/18,Inverclyde,65-74 years,Living Alone,Percentage of Social Care Clients,11,85
2017/18,Inverclyde,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),11.6,85
2017/18,Inverclyde,65-74 years,Unknown,Percentage of Social Care Clients,89,690
2017/18,Inverclyde,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),88.4,650
2017/18,Inverclyde,75-84 years,Living Alone,Percentage of Social Care Clients,15,235
2017/18,Inverclyde,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),15.1,220
2017/18,Inverclyde,75-84 years,Unknown,Percentage of Social Care Clients,85,1335
2017/18,Inverclyde,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),84.9,1235
2017/18,Inverclyde,85+ years,Living Alone,Percentage of Social Care Clients,21.2,320
2017/18,Inverclyde,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),22.5,290
2017/18,Inverclyde,85+ years,Unknown,Percentage of Social Care Clients,78.8,1190
2017/18,Inverclyde,85+ years,Unknown,Percentage of Social Care Clients (adjusted),77.5,1000
2017/18,Midlothian,All Ages,Unknown,Percentage of Social Care Clients,100,3900
2017/18,Midlothian,All Ages,Unknown,Percentage of Social Care Clients (adjusted),100,3785
2017/18,Midlothian,0-17 years,Unknown,Percentage of Social Care Clients,100,275
2017/18,Midlothian,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,205
2017/18,Midlothian,18-64 years,Unknown,Percentage of Social Care Clients,100,780
2017/18,Midlothian,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),100,760
2017/18,Midlothian,65-74 years,Unknown,Percentage of Social Care Clients,100,590
2017/18,Midlothian,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),100,585
2017/18,Midlothian,75-84 years,Unknown,Percentage of Social Care Clients,100,1145
2017/18,Midlothian,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),100,1140
2017/18,Midlothian,85+ years,Unknown,Percentage of Social Care Clients,100,1110
2017/18,Midlothian,85+ years,Unknown,Percentage of Social Care Clients (adjusted),100,1100
2017/18,Moray,All Ages,Living Alone,Percentage of Social Care Clients,27.1,900
2017/18,Moray,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),27.1,900
2017/18,Moray,All Ages,Not Living Alone,Percentage of Social Care Clients,71.8,2385
2017/18,Moray,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),71.8,2385
2017/18,Moray,All Ages,Unknown,Percentage of Social Care Clients,1.1,35
2017/18,Moray,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1.1,35
2017/18,Moray,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,30
2017/18,Moray,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,30
2017/18,Moray,18-64 years,Living Alone,Percentage of Social Care Clients,19.8,125
2017/18,Moray,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),19.8,125
2017/18,Moray,18-64 years,Not Living Alone,Percentage of Social Care Clients,77.8,490
2017/18,Moray,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),77.8,490
2017/18,Moray,18-64 years,Unknown,Percentage of Social Care Clients,2.4,15
2017/18,Moray,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),2.4,15
2017/18,Moray,65-74 years,Living Alone,Percentage of Social Care Clients,27.8,125
2017/18,Moray,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),27.8,125
2017/18,Moray,65-74 years,Not Living Alone,Percentage of Social Care Clients,71.1,320
2017/18,Moray,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),71.1,320
2017/18,Moray,65-74 years,Unknown,Percentage of Social Care Clients,1.1,5
2017/18,Moray,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),1.1,5
2017/18,Moray,75-84 years,Living Alone,Percentage of Social Care Clients,28.3,280
2017/18,Moray,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),28.3,280
2017/18,Moray,75-84 years,Not Living Alone,Percentage of Social Care Clients,71.2,705
2017/18,Moray,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),71.2,705
2017/18,Moray,75-84 years,Unknown,Percentage of Social Care Clients,0.5,5
2017/18,Moray,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),0.5,5
2017/18,Moray,85+ years,Living Alone,Percentage of Social Care Clients,30.3,370
2017/18,Moray,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),30.3,370
2017/18,Moray,85+ years,Not Living Alone,Percentage of Social Care Clients,68.9,840
2017/18,Moray,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),68.9,840
2017/18,Moray,85+ years,Unknown,Percentage of Social Care Clients,0.8,10
2017/18,Moray,85+ years,Unknown,Percentage of Social Care Clients (adjusted),0.8,10
2017/18,North Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,37,2640
2017/18,North Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),37,2640
2017/18,North Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients,39.3,2805
2017/18,North Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),39.3,2805
2017/18,North Ayrshire,All Ages,Unknown,Percentage of Social Care Clients,23.7,1690
2017/18,North Ayrshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),23.7,1690
2017/18,North Ayrshire,0-17 years,Living Alone,Percentage of Social Care Clients,3.6,5
2017/18,North Ayrshire,0-17 years,Living Alone,Percentage of Social Care Clients (adjusted),3.6,5
2017/18,North Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,17.9,25
2017/18,North Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),17.9,25
2017/18,North Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients,78.6,110
2017/18,North Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),78.6,110
2017/18,North Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients,37.1,480
2017/18,North Ayrshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),37.1,480
2017/18,North Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,45.9,595
2017/18,North Ayrshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),45.9,595
2017/18,North Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients,17,220
2017/18,North Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),17,220
2017/18,North Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients,36.1,390
2017/18,North Ayrshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),36.1,390
2017/18,North Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,44.4,480
2017/18,North Ayrshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),44.4,480
2017/18,North Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients,19.4,210
2017/18,North Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),19.4,210
2017/18,North Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients,37.3,885
2017/18,North Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),37.3,885
2017/18,North Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,40.8,970
2017/18,North Ayrshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),40.8,970
2017/18,North Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients,21.9,520
2017/18,North Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),21.9,520
2017/18,North Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients,39.5,885
2017/18,North Ayrshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),39.2,885
2017/18,North Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients,32.8,735
2017/18,North Ayrshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),32.8,740
2017/18,North Ayrshire,85+ years,Unknown,Percentage of Social Care Clients,27.7,620
2017/18,North Ayrshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),27.9,630
2017/18,North Ayrshire,Unknown,Unknown,Percentage of Social Care Clients,100,10
2017/18,North Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients,1.7,240
2017/18,North Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1.7,240
2017/18,North Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients,2.4,340
2017/18,North Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),2.4,340
2017/18,North Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients,95.8,13300
2017/18,North Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),95.8,13300
2017/18,North Lanarkshire,0-17 years,Unknown,Percentage of Social Care Clients,100,170
2017/18,North Lanarkshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,170
2017/18,North Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients,1.4,35
2017/18,North Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),1.4,35
2017/18,North Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,6,155
2017/18,North Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),6,155
2017/18,North Lanarkshire,18-64 years,Unknown,Percentage of Social Care Clients,92.7,2400
2017/18,North Lanarkshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),92.7,2400
2017/18,North Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients,1.8,45
2017/18,North Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),1.8,45
2017/18,North Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,2.4,60
2017/18,North Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),2.4,60
2017/18,North Lanarkshire,65-74 years,Unknown,Percentage of Social Care Clients,95.8,2380
2017/18,North Lanarkshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),95.8,2380
2017/18,North Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients,1.2,60
2017/18,North Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),1.2,60
2017/18,North Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,1.4,70
2017/18,North Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1.4,70
2017/18,North Lanarkshire,75-84 years,Unknown,Percentage of Social Care Clients,97.4,4780
2017/18,North Lanarkshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),97.4,4780
2017/18,North Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients,2.7,100
2017/18,North Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),2.7,100
2017/18,North Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients,1.5,55
2017/18,North Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),1.5,55
2017/18,North Lanarkshire,85+ years,Unknown,Percentage of Social Care Clients,95.8,3575
2017/18,North Lanarkshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),95.8,3575
2017/18,Orkney Islands,All Ages,Living Alone,Percentage of Social Care Clients,4.8,50
2017/18,Orkney Islands,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),5.3,50
2017/18,Orkney Islands,All Ages,Not Living Alone,Percentage of Social Care Clients,4.8,50
2017/18,Orkney Islands,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),5.3,50
2017/18,Orkney Islands,All Ages,Unknown,Percentage of Social Care Clients,90.4,945
2017/18,Orkney Islands,All Ages,Unknown,Percentage of Social Care Clients (adjusted),89.4,845
2017/18,Orkney Islands,0-17 years,Unknown,Percentage of Social Care Clients,100,5
2017/18,Orkney Islands,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,5
2017/18,Orkney Islands,18-64 years,Living Alone,Percentage of Social Care Clients,11.1,20
2017/18,Orkney Islands,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),11.4,20
2017/18,Orkney Islands,18-64 years,Not Living Alone,Percentage of Social Care Clients,8.3,15
2017/18,Orkney Islands,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),8.6,15
2017/18,Orkney Islands,18-64 years,Unknown,Percentage of Social Care Clients,80.6,145
2017/18,Orkney Islands,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),80,140
2017/18,Orkney Islands,65-74 years,Living Alone,Percentage of Social Care Clients,3.6,5
2017/18,Orkney Islands,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),3.7,5
2017/18,Orkney Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients,7.1,10
2017/18,Orkney Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),7.4,10
2017/18,Orkney Islands,65-74 years,Unknown,Percentage of Social Care Clients,89.3,125
2017/18,Orkney Islands,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),88.9,120
2017/18,Orkney Islands,75-84 years,Living Alone,Percentage of Social Care Clients,2.7,10
2017/18,Orkney Islands,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),3,10
2017/18,Orkney Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients,4,15
2017/18,Orkney Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),4.5,15
2017/18,Orkney Islands,75-84 years,Unknown,Percentage of Social Care Clients,93.3,350
2017/18,Orkney Islands,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),92.4,305
2017/18,Orkney Islands,85+ years,Living Alone,Percentage of Social Care Clients,4.3,15
2017/18,Orkney Islands,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),5,15
2017/18,Orkney Islands,85+ years,Not Living Alone,Percentage of Social Care Clients,2.9,10
2017/18,Orkney Islands,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),3.3,10
2017/18,Orkney Islands,85+ years,Unknown,Percentage of Social Care Clients,92.8,320
2017/18,Orkney Islands,85+ years,Unknown,Percentage of Social Care Clients (adjusted),91.7,275
2017/18,Perth and Kinross,All Ages,Living Alone,Percentage of Social Care Clients,7.4,515
2017/18,Perth and Kinross,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),7.2,370
2017/18,Perth and Kinross,All Ages,Not Living Alone,Percentage of Social Care Clients,92.6,6455
2017/18,Perth and Kinross,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),92.8,4740
2017/18,Perth and Kinross,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,25
2017/18,Perth and Kinross,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,5
2017/18,Perth and Kinross,18-64 years,Living Alone,Percentage of Social Care Clients,5.4,70
2017/18,Perth and Kinross,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),6.2,60
2017/18,Perth and Kinross,18-64 years,Not Living Alone,Percentage of Social Care Clients,94.6,1220
2017/18,Perth and Kinross,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),93.8,915
2017/18,Perth and Kinross,65-74 years,Living Alone,Percentage of Social Care Clients,4.8,45
2017/18,Perth and Kinross,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),5.7,40
2017/18,Perth and Kinross,65-74 years,Not Living Alone,Percentage of Social Care Clients,95.2,895
2017/18,Perth and Kinross,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),94.3,665
2017/18,Perth and Kinross,75-84 years,Living Alone,Percentage of Social Care Clients,7.4,150
2017/18,Perth and Kinross,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),7.6,115
2017/18,Perth and Kinross,75-84 years,Not Living Alone,Percentage of Social Care Clients,92.6,1880
2017/18,Perth and Kinross,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),92.4,1390
2017/18,Perth and Kinross,85+ years,Living Alone,Percentage of Social Care Clients,9.3,250
2017/18,Perth and Kinross,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),8.3,160
2017/18,Perth and Kinross,85+ years,Not Living Alone,Percentage of Social Care Clients,90.7,2435
2017/18,Perth and Kinross,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),91.7,1765
2017/18,Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients,9.5,695
2017/18,Renfrewshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),9.2,550
2017/18,Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients,90.5,6645
2017/18,Renfrewshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),90.8,5410
2017/18,Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,15
2017/18,Renfrewshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,15
2017/18,Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients,13,160
2017/18,Renfrewshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),14,145
2017/18,Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,87,1070
2017/18,Renfrewshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),86,890
2017/18,Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients,10.2,120
2017/18,Renfrewshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),10.2,105
2017/18,Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,89.8,1060
2017/18,Renfrewshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),89.8,925
2017/18,Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients,6.9,175
2017/18,Renfrewshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),6.6,140
2017/18,Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,93.1,2370
2017/18,Renfrewshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),93.4,1985
2017/18,Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients,10.2,240
2017/18,Renfrewshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),9.1,160
2017/18,Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients,89.8,2115
2017/18,Renfrewshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),90.9,1600
2017/18,Renfrewshire,Unknown,Not Living Alone,Percentage of Social Care Clients,100,10
2017/18,Scottish Borders,All Ages,Living Alone,Percentage of Social Care Clients,15.1,610
2017/18,Scottish Borders,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),17.4,610
2017/18,Scottish Borders,All Ages,Not Living Alone,Percentage of Social Care Clients,30.5,1230
2017/18,Scottish Borders,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),20.7,725
2017/18,Scottish Borders,All Ages,Unknown,Percentage of Social Care Clients,54.4,2195
2017/18,Scottish Borders,All Ages,Unknown,Percentage of Social Care Clients (adjusted),61.9,2170
2017/18,Scottish Borders,0-17 years,Unknown,Percentage of Social Care Clients,100,45
2017/18,Scottish Borders,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,45
2017/18,Scottish Borders,18-64 years,Living Alone,Percentage of Social Care Clients,6.6,60
2017/18,Scottish Borders,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),6.9,60
2017/18,Scottish Borders,18-64 years,Not Living Alone,Percentage of Social Care Clients,8.8,80
2017/18,Scottish Borders,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),6.9,60
2017/18,Scottish Borders,18-64 years,Unknown,Percentage of Social Care Clients,84.5,765
2017/18,Scottish Borders,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),86.2,750
2017/18,Scottish Borders,65-74 years,Living Alone,Percentage of Social Care Clients,16.5,85
2017/18,Scottish Borders,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),17.5,85
2017/18,Scottish Borders,65-74 years,Not Living Alone,Percentage of Social Care Clients,23.3,120
2017/18,Scottish Borders,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),18.6,90
2017/18,Scottish Borders,65-74 years,Unknown,Percentage of Social Care Clients,60.2,310
2017/18,Scottish Borders,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),63.9,310
2017/18,Scottish Borders,75-84 years,Living Alone,Percentage of Social Care Clients,16,175
2017/18,Scottish Borders,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),18.4,175
2017/18,Scottish Borders,75-84 years,Not Living Alone,Percentage of Social Care Clients,36.1,395
2017/18,Scottish Borders,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),27.4,260
2017/18,Scottish Borders,75-84 years,Unknown,Percentage of Social Care Clients,47.9,525
2017/18,Scottish Borders,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),54.2,515
2017/18,Scottish Borders,85+ years,Living Alone,Percentage of Social Care Clients,19.6,290
2017/18,Scottish Borders,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),25.1,290
2017/18,Scottish Borders,85+ years,Not Living Alone,Percentage of Social Care Clients,42.9,635
2017/18,Scottish Borders,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),27.3,315
2017/18,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients,37.5,555
2017/18,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients (adjusted),47.6,550
2017/18,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients,5,60
2017/18,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),2.2,25
2017/18,Shetland Islands,All Ages,Unknown,Percentage of Social Care Clients,95,1150
2017/18,Shetland Islands,All Ages,Unknown,Percentage of Social Care Clients (adjusted),97.8,1130
2017/18,Shetland Islands,0-17 years,Unknown,Percentage of Social Care Clients,100,35
2017/18,Shetland Islands,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,35
2017/18,Shetland Islands,18-64 years,Unknown,Percentage of Social Care Clients,100,315
2017/18,Shetland Islands,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),100,305
2017/18,Shetland Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients,3.1,5
2017/18,Shetland Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),3.2,5
2017/18,Shetland Islands,65-74 years,Unknown,Percentage of Social Care Clients,96.9,155
2017/18,Shetland Islands,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),96.8,150
2017/18,Shetland Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients,4.2,15
2017/18,Shetland Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1.4,5
2017/18,Shetland Islands,75-84 years,Unknown,Percentage of Social Care Clients,95.8,345
2017/18,Shetland Islands,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),98.6,340
2017/18,Shetland Islands,85+ years,Not Living Alone,Percentage of Social Care Clients,10.6,35
2017/18,Shetland Islands,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),4.8,15
2017/18,Shetland Islands,85+ years,Unknown,Percentage of Social Care Clients,89.4,295
2017/18,Shetland Islands,85+ years,Unknown,Percentage of Social Care Clients (adjusted),95.2,300
2017/18,Shetland Islands,Unknown,Unknown,Percentage of Social Care Clients,100,5
2017/18,South Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,0.1,5
2017/18,South Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),0.1,5
2017/18,South Ayrshire,All Ages,Unknown,Percentage of Social Care Clients,99.9,5380
2017/18,South Ayrshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),99.9,4780
2017/18,South Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients,100,20
2017/18,South Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,20
2017/18,South Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients,100,1040
2017/18,South Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),100,1005
2017/18,South Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients,100,705
2017/18,South Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),100,640
2017/18,South Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients,0.3,5
2017/18,South Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),0.3,5
2017/18,South Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients,99.7,1690
2017/18,South Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),99.7,1485
2017/18,South Ayrshire,85+ years,Unknown,Percentage of Social Care Clients,100,1920
2017/18,South Ayrshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),100,1630
2017/18,South Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients,31.3,2225
2017/18,South Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),39.5,2010
2017/18,South Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients,68.6,4875
2017/18,South Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),60.5,3085
2017/18,South Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients,0.1,5
2017/18,South Lanarkshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,50
2017/18,South Lanarkshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,50
2017/18,South Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients,17.6,245
2017/18,South Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),19.7,230
2017/18,South Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,82.4,1150
2017/18,South Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),80.3,940
2017/18,South Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients,29.5,285
2017/18,South Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),36.2,250
2017/18,South Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,70.5,680
2017/18,South Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),63.8,440
2017/18,South Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients,33.5,730
2017/18,South Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),41.7,645
2017/18,South Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,66.5,1450
2017/18,South Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),58.3,900
2017/18,South Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients,38.5,965
2017/18,South Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),54,885
2017/18,South Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients,61.5,1540
2017/18,South Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),46,755
