financial_year,sending_location,age_group,measure,rate,nclient
2017/18,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",83.9,255
2017/18,Dundee City,85+ years,"Rate per 1,000 Social Care Clients",125.3,340
2017/18,Dundee City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",125.6,340
2017/18,Dundee City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Dundee City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dundee City,All Ages,"Rate per 1,000 Social Care Clients",59.8,680
2018/19,Dundee City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",60.5,680
2018/19,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients",16.5,55
2018/19,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",16.7,55
2018/19,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients",55.2,120
2018/19,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",55.8,120
2018/19,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients",73.7,230
2018/19,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",74.7,230
2018/19,Dundee City,85+ years,"Rate per 1,000 Social Care Clients",102.8,275
2018/19,Dundee City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",104.2,275
2018/19,Dundee City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dundee City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,All Ages,"Rate per 1,000 Social Care Clients",62.4,690
2019/20,Dundee City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",62.6,690
2019/20,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients",18.2,60
2019/20,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",18.2,60
2019/20,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients",52.7,105
2019/20,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",52.8,105
2019/20,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients",79.3,235
2019/20,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",79.6,235
2019/20,Dundee City,85+ years,"Rate per 1,000 Social Care Clients",104.7,285
2019/20,Dundee City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",105.1,285
2019/20,Dundee City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,All Ages,"Rate per 1,000 Social Care Clients",64,605
2020/21,Dundee City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",70.8,605
2020/21,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients",22.8,60
2020/21,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",25.9,60
2020/21,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients",58.5,95
2020/21,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",61.3,95
2020/21,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients",76.3,190
2020/21,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",82.4,190
2020/21,Dundee City,85+ years,"Rate per 1,000 Social Care Clients",100.2,260
2020/21,Dundee City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",113.8,260
2020/21,Dundee City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Dundee City,All Ages,"Rate per 1,000 Social Care Clients",60.1,595
2021/22,Dundee City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",63,595
2021/22,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients",19.8,55
2021/22,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",22.6,55
2021/22,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients",66.7,115
2021/22,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",67.4,115
2021/22,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients",76,195
2021/22,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",76.6,195
2021/22,Dundee City,85+ years,"Rate per 1,000 Social Care Clients",85.2,230
2021/22,Dundee City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",85.8,230
2021/22,Dundee City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Dundee City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",37.8,195
2017/18,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",38.3,195
2017/18,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",27,25
2017/18,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",27.3,25
2017/18,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",33.1,25
2017/18,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",33.6,25
2017/18,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",44.5,80
2017/18,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",45,80
2017/18,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",41.1,65
2017/18,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",41.7,65
2017/18,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",42.4,255
2018/19,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",43.7,255
2018/19,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",26.1,25
2018/19,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",26.9,25
2018/19,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",38.6,35
2018/19,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",40.3,35
2018/19,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",47,100
2018/19,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",48.4,100
2018/19,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",47.5,90
2018/19,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",48.6,90
2018/19,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients",43,255
2019/20,East Ayrshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",44.6,255
2019/20,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients",26.5,25
2019/20,East Ayrshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",27.2,25
2019/20,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients",45.1,40
2019/20,East Ayrshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",48.3,40
2019/20,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients",50.2,105
2019/20,East Ayrshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",52.4,105
2019/20,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients",44.9,85
2019/20,East Ayrshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",45.9,85
2019/20,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients",11.4,70
2017/18,East Dunbartonshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",11.4,70
2017/18,East Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Dunbartonshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients",6,10
2017/18,East Dunbartonshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",6,10
2017/18,East Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients",6.8,5
2017/18,East Dunbartonshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",6.8,5
2017/18,East Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients",14.3,25
2017/18,East Dunbartonshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",14.3,25
2017/18,East Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients",13.8,25
2017/18,East Dunbartonshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",13.8,25
2017/18,East Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Dunbartonshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,All Ages,"Rate per 1,000 Social Care Clients",67.5,255
2017/18,East Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",76.3,255
2017/18,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients",20.6,20
2017/18,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",22.4,20
2017/18,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients",75.5,40
2017/18,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",82.3,40
2017/18,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients",75.2,80
2017/18,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",84.4,80
2017/18,East Lothian,85+ years,"Rate per 1,000 Social Care Clients",93.5,110
2017/18,East Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",112.8,110
2017/18,East Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Lothian,All Ages,"Rate per 1,000 Social Care Clients",63.6,220
2018/19,East Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",80.1,220
2018/19,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients",19.1,15
2018/19,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",21.9,15
2018/19,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients",78.8,35
2018/19,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",93.3,35
2018/19,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients",80,80
2018/19,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",100,80
2018/19,East Lothian,85+ years,"Rate per 1,000 Social Care Clients",73.8,90
2018/19,East Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",102.9,90
2018/19,East Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Lothian,All Ages,"Rate per 1,000 Social Care Clients",72,255
2019/20,East Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",91.9,255
2019/20,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients",24.6,20
2019/20,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",29.4,20
2019/20,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients",105.6,45
2019/20,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",126.4,45
2019/20,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients",89.3,90
2019/20,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",110.2,90
2019/20,East Lothian,85+ years,"Rate per 1,000 Social Care Clients",81.5,105
2019/20,East Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",114.9,105
2019/20,East Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Lothian,All Ages,"Rate per 1,000 Social Care Clients",68.4,205
2021/22,East Lothian,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",102,205
2021/22,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Lothian,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients",25.8,20
2021/22,East Lothian,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",29.4,20
2021/22,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients",121.6,45
2021/22,East Lothian,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",176.5,45
2021/22,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients",94.6,70
2021/22,East Lothian,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",152.2,70
2021/22,East Lothian,85+ years,"Rate per 1,000 Social Care Clients",64.5,70
2021/22,East Lothian,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",117.6,70
2021/22,East Lothian,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,East Lothian,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,All Ages,"Rate per 1,000 Social Care Clients",20.4,165
2017/18,Falkirk,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",22.4,165
2017/18,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients",8,15
2017/18,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",8.4,15
2017/18,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients",15.2,20
2017/18,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",16.4,20
2017/18,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients",21.7,55
2017/18,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",23.8,55
2017/18,Falkirk,85+ years,"Rate per 1,000 Social Care Clients",35.3,75
2017/18,Falkirk,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",41.2,75
2017/18,Falkirk,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Falkirk,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,All Ages,"Rate per 1,000 Social Care Clients",14.9,120
2018/19,Falkirk,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",16.7,120
2018/19,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients",8.1,15
2018/19,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",8.6,15
2018/19,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients",11.6,15
2018/19,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",12.7,15
2018/19,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients",13.7,35
2018/19,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",15.4,35
2018/19,Falkirk,85+ years,"Rate per 1,000 Social Care Clients",21.7,50
2018/19,Falkirk,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",26.4,50
2018/19,Falkirk,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Falkirk,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,All Ages,"Rate per 1,000 Social Care Clients",13.1,110
2019/20,Falkirk,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",14.3,110
2019/20,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients",5.1,10
2019/20,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",5.4,10
2019/20,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients",11.3,15
2019/20,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",12.2,15
2019/20,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients",13.1,35
2019/20,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",14.4,35
2019/20,Falkirk,85+ years,"Rate per 1,000 Social Care Clients",18.7,45
2019/20,Falkirk,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",21.6,45
2019/20,Falkirk,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Falkirk,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Falkirk,All Ages,"Rate per 1,000 Social Care Clients",8.1,65
2020/21,Falkirk,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",9.2,65
2020/21,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients",5.3,10
2020/21,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",6.2,10
2020/21,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients",4,5
2020/21,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",4.4,5
2020/21,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients",8.1,20
2020/21,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",9,20
2020/21,Falkirk,85+ years,"Rate per 1,000 Social Care Clients",12.6,30
2020/21,Falkirk,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",14.8,30
2020/21,Falkirk,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Falkirk,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Falkirk,All Ages,"Rate per 1,000 Social Care Clients",5.8,45
2021/22,Falkirk,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",6.2,45
2021/22,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Falkirk,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients",2.7,5
2021/22,Falkirk,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",2.7,5
2021/22,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients",4,5
2021/22,Falkirk,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",4.3,5
2021/22,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients",6.4,15
2021/22,Falkirk,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",6.9,15
2021/22,Falkirk,85+ years,"Rate per 1,000 Social Care Clients",11,25
2021/22,Falkirk,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",12.5,25
2021/22,Falkirk,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Falkirk,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Fife,All Ages,"Rate per 1,000 Social Care Clients",157.5,2465
2017/18,Fife,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",157.5,2465
2017/18,Fife,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Fife,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Fife,18-64 years,"Rate per 1,000 Social Care Clients",70.9,200
2017/18,Fife,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",70.9,200
2017/18,Fife,65-74 years,"Rate per 1,000 Social Care Clients",126.3,295
2017/18,Fife,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",126.3,295
2017/18,Fife,75-84 years,"Rate per 1,000 Social Care Clients",159.2,800
2017/18,Fife,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",159.2,800
2017/18,Fife,85+ years,"Rate per 1,000 Social Care Clients",220.3,1170
2017/18,Fife,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",219.9,1170
2017/18,Fife,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Fife,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Fife,All Ages,"Rate per 1,000 Social Care Clients",29.9,485
2018/19,Fife,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",29.9,485
2018/19,Fife,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Fife,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Fife,18-64 years,"Rate per 1,000 Social Care Clients",17.8,50
2018/19,Fife,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",17.8,50
2018/19,Fife,65-74 years,"Rate per 1,000 Social Care Clients",35.4,85
2018/19,Fife,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",35.4,85
2018/19,Fife,75-84 years,"Rate per 1,000 Social Care Clients",34.4,180
2018/19,Fife,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",34.4,180
2018/19,Fife,85+ years,"Rate per 1,000 Social Care Clients",30.3,170
2018/19,Fife,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",30.2,170
2018/19,Fife,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Fife,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Fife,All Ages,"Rate per 1,000 Social Care Clients",80.5,1260
2019/20,Fife,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",80.5,1260
2019/20,Fife,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Fife,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Fife,18-64 years,"Rate per 1,000 Social Care Clients",28.8,80
2019/20,Fife,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",28.8,80
2019/20,Fife,65-74 years,"Rate per 1,000 Social Care Clients",69.1,160
2019/20,Fife,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",69.1,160
2019/20,Fife,75-84 years,"Rate per 1,000 Social Care Clients",85.3,420
2019/20,Fife,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",85.3,420
2019/20,Fife,85+ years,"Rate per 1,000 Social Care Clients",109.7,600
2019/20,Fife,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",109.6,600
2019/20,Fife,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Fife,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Fife,All Ages,"Rate per 1,000 Social Care Clients",95.3,1550
2020/21,Fife,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",95.3,1550
2020/21,Fife,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Fife,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Fife,18-64 years,"Rate per 1,000 Social Care Clients",44.9,140
2020/21,Fife,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",44.9,140
2020/21,Fife,65-74 years,"Rate per 1,000 Social Care Clients",80.7,190
2020/21,Fife,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",80.7,190
2020/21,Fife,75-84 years,"Rate per 1,000 Social Care Clients",103.7,520
2020/21,Fife,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",103.7,520
2020/21,Fife,85+ years,"Rate per 1,000 Social Care Clients",125.3,700
2020/21,Fife,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",125.3,700
2020/21,Fife,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Fife,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Fife,All Ages,"Rate per 1,000 Social Care Clients",86.3,1400
2021/22,Fife,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",86.3,1400
2021/22,Fife,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Fife,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Fife,18-64 years,"Rate per 1,000 Social Care Clients",44,135
2021/22,Fife,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",44,135
2021/22,Fife,65-74 years,"Rate per 1,000 Social Care Clients",76.1,180
2021/22,Fife,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",76.1,180
2021/22,Fife,75-84 years,"Rate per 1,000 Social Care Clients",86.3,430
2021/22,Fife,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",86.3,430
2021/22,Fife,85+ years,"Rate per 1,000 Social Care Clients",116.5,655
2021/22,Fife,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",116.5,655
2021/22,Fife,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Fife,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients",26.3,565
2018/19,Glasgow City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",26.6,565
2018/19,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Glasgow City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients",3.2,15
2018/19,Glasgow City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",3.2,15
2018/19,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients",30.4,105
2018/19,Glasgow City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",30.7,105
2018/19,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients",32.7,215
2018/19,Glasgow City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",33.1,215
2018/19,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients",36.6,235
2018/19,Glasgow City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",37.3,235
