financial_year,sending_location,age_group,ethnicity,measure,rate,nclient
2017/18,Aberdeen City,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",764.4,1100
2017/18,Aberdeen City,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",3.5,5
2017/18,Aberdeen City,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",3.5,5
2017/18,Aberdeen City,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",231.7,335
2017/18,Aberdeen City,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",229.3,330
2017/18,Aberdeen City,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,75-84 years,White,"Rate per 1,000 Social Care Clients",717.8,1875
2017/18,Aberdeen City,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",720.6,1875
2017/18,Aberdeen City,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",3.8,10
2017/18,Aberdeen City,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",3.8,10
2017/18,Aberdeen City,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",275.7,720
2017/18,Aberdeen City,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",272.9,710
2017/18,Aberdeen City,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,85+ years,Asian,"Rate per 1,000 Social Care Clients",1.6,5
2017/18,Aberdeen City,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1.7,5
2017/18,Aberdeen City,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,85+ years,White,"Rate per 1,000 Social Care Clients",748.9,2285
2017/18,Aberdeen City,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",747.5,2265
2017/18,Aberdeen City,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",6.6,20
2017/18,Aberdeen City,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",6.6,20
2017/18,Aberdeen City,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",242.5,740
2017/18,Aberdeen City,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",244.2,740
2017/18,Aberdeen City,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,All Ages,African,"Rate per 1,000 Social Care Clients",2.9,30
2018/19,Aberdeen City,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",3.4,30
2018/19,Aberdeen City,All Ages,Asian,"Rate per 1,000 Social Care Clients",4.8,50
2018/19,Aberdeen City,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.5,40
2018/19,Aberdeen City,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",1,10
2018/19,Aberdeen City,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",1.1,10
2018/19,Aberdeen City,All Ages,White,"Rate per 1,000 Social Care Clients",727.2,7580
2018/19,Aberdeen City,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",710,6300
2018/19,Aberdeen City,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",6.2,65
2018/19,Aberdeen City,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",6.8,60
2018/19,Aberdeen City,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",255.7,2665
2018/19,Aberdeen City,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",272.2,2415
2018/19,Aberdeen City,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",2.4,25
2018/19,Aberdeen City,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",2.3,20
2018/19,Aberdeen City,0-17 years,African,"Rate per 1,000 Social Care Clients",26.7,10
2018/19,Aberdeen City,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",33.2,10
2018/19,Aberdeen City,0-17 years,Asian,"Rate per 1,000 Social Care Clients",40,15
2018/19,Aberdeen City,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",33.2,10
2018/19,Aberdeen City,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,0-17 years,White,"Rate per 1,000 Social Care Clients",773.3,290
2018/19,Aberdeen City,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",747.5,225
2018/19,Aberdeen City,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",13.3,5
2018/19,Aberdeen City,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",16.6,5
2018/19,Aberdeen City,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",120,45
2018/19,Aberdeen City,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",149.5,45
2018/19,Aberdeen City,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",26.7,10
2018/19,Aberdeen City,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",33.2,10
2018/19,Aberdeen City,18-64 years,African,"Rate per 1,000 Social Care Clients",6.5,20
2018/19,Aberdeen City,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",7.9,20
2018/19,Aberdeen City,18-64 years,Asian,"Rate per 1,000 Social Care Clients",8.1,25
2018/19,Aberdeen City,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",7.9,20
2018/19,Aberdeen City,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",1.6,5
2018/19,Aberdeen City,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",2,5
2018/19,Aberdeen City,18-64 years,White,"Rate per 1,000 Social Care Clients",742.4,2280
2018/19,Aberdeen City,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",731.2,1855
2018/19,Aberdeen City,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",6.5,20
2018/19,Aberdeen City,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",7.9,20
2018/19,Aberdeen City,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",229.6,705
2018/19,Aberdeen City,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",238.5,605
2018/19,Aberdeen City,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",3.3,10
2018/19,Aberdeen City,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",3.9,10
2018/19,Aberdeen City,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,65-74 years,Asian,"Rate per 1,000 Social Care Clients",3.4,5
2018/19,Aberdeen City,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",3.8,5
2018/19,Aberdeen City,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,65-74 years,White,"Rate per 1,000 Social Care Clients",727.7,1085
2018/19,Aberdeen City,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",710.5,940
2018/19,Aberdeen City,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",3.4,5
2018/19,Aberdeen City,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",3.8,5
2018/19,Aberdeen City,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",264.9,395
2018/19,Aberdeen City,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",279.7,370
2018/19,Aberdeen City,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,75-84 years,Asian,"Rate per 1,000 Social Care Clients",2,5
2018/19,Aberdeen City,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.3,5
2018/19,Aberdeen City,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,75-84 years,White,"Rate per 1,000 Social Care Clients",695.2,1745
2018/19,Aberdeen City,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",675.1,1475
2018/19,Aberdeen City,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",4,10
2018/19,Aberdeen City,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",4.6,10
2018/19,Aberdeen City,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",296.8,745
2018/19,Aberdeen City,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",318.1,695
2018/19,Aberdeen City,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,85+ years,Asian,"Rate per 1,000 Social Care Clients",1.7,5
2018/19,Aberdeen City,85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2,5
2018/19,Aberdeen City,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,85+ years,White,"Rate per 1,000 Social Care Clients",734,2180
2018/19,Aberdeen City,85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",716.3,1810
2018/19,Aberdeen City,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5.1,15
2018/19,Aberdeen City,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",5.9,15
2018/19,Aberdeen City,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",259.3,770
2018/19,Aberdeen City,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",277,700
2018/19,Aberdeen City,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",833.3,5
2018/19,Aberdeen City,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Aberdeen City,All Ages,African,"Rate per 1,000 Social Care Clients",1.2,5
2020/21,Aberdeen City,All Ages,Asian,"Rate per 1,000 Social Care Clients",3.5,15
2020/21,Aberdeen City,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,White,"Rate per 1,000 Social Care Clients",841.6,3560
2020/21,Aberdeen City,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",7.1,30
2020/21,Aberdeen City,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",144.2,610
2020/21,Aberdeen City,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",2.4,10
2020/21,Aberdeen City,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,White,"Rate per 1,000 Social Care Clients",900,45
2020/21,Aberdeen City,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,African,"Rate per 1,000 Social Care Clients",6.9,5
2020/21,Aberdeen City,18-64 years,Asian,"Rate per 1,000 Social Care Clients",6.9,5
2020/21,Aberdeen City,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,White,"Rate per 1,000 Social Care Clients",840.3,605
2020/21,Aberdeen City,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",13.9,10
2020/21,Aberdeen City,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",131.9,95
2020/21,Aberdeen City,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",6.9,5
2020/21,Aberdeen City,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,White,"Rate per 1,000 Social Care Clients",833.3,475
2020/21,Aberdeen City,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",8.8,5
2020/21,Aberdeen City,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",149.1,85
2020/21,Aberdeen City,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Asian,"Rate per 1,000 Social Care Clients",4.4,5
2020/21,Aberdeen City,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,White,"Rate per 1,000 Social Care Clients",853.3,960
2020/21,Aberdeen City,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",4.4,5
2020/21,Aberdeen City,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",133.3,150
2020/21,Aberdeen City,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,White,"Rate per 1,000 Social Care Clients",838.5,1480
2020/21,Aberdeen City,85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",5.7,10
2020/21,Aberdeen City,85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",158.6,280
2020/21,Aberdeen City,85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,White,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,All Ages,African,"Rate per 1,000 Social Care Clients",0.6,5
2017/18,Aberdeenshire,All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0.6,5
2017/18,Aberdeenshire,All Ages,Asian,"Rate per 1,000 Social Care Clients",1.1,10
2017/18,Aberdeenshire,All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1.1,10
2017/18,Aberdeenshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.6,5
2017/18,Aberdeenshire,All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.6,5
2017/18,Aberdeenshire,All Ages,White,"Rate per 1,000 Social Care Clients",464.7,4215
2017/18,Aberdeenshire,All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",464.8,4190
2017/18,Aberdeenshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.7,15
2017/18,Aberdeenshire,All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.7,15
2017/18,Aberdeenshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",531.9,4825
2017/18,Aberdeenshire,All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",531.9,4795
2017/18,Aberdeenshire,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0.6,5
2017/18,Aberdeenshire,All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0.6,5
2017/18,Aberdeenshire,0-17 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,White,"Rate per 1,000 Social Care Clients",714.3,10
2017/18,Aberdeenshire,0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",714.3,10
2017/18,Aberdeenshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",357.1,5
2017/18,Aberdeenshire,0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",357.1,5
2017/18,Aberdeenshire,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,18-64 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients",2.9,5
2017/18,Aberdeenshire,18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",3,5
2017/18,Aberdeenshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,18-64 years,White,"Rate per 1,000 Social Care Clients",568.3,965
2017/18,Aberdeenshire,18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",568,960
2017/18,Aberdeenshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.9,5
2017/18,Aberdeenshire,18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",3,5
2017/18,Aberdeenshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",424,720
2017/18,Aberdeenshire,18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",423.1,715
2017/18,Aberdeenshire,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,65-74 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,65-74 years,White,"Rate per 1,000 Social Care Clients",420.1,555
2017/18,Aberdeenshire,65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",421.4,555
2017/18,Aberdeenshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",575.3,760
2017/18,Aberdeenshire,65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",573.3,755
2017/18,Aberdeenshire,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,75-84 years,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,75-84 years,White,"Rate per 1,000 Social Care Clients",460.6,1305
2017/18,Aberdeenshire,75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",460.5,1295
2017/18,Aberdeenshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.8,5
2017/18,Aberdeenshire,75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.8,5
2017/18,Aberdeenshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",536.5,1520
2017/18,Aberdeenshire,75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",535.2,1505
2017/18,Aberdeenshire,75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",0,0
