financial_year,sending_location,age_group,client_group,measure,rate,nclient
2021/22,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",11.1,10
2021/22,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",6.3,5
2021/22,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",288.9,260
2021/22,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",322.8,255
2017/18,Aberdeen City,All Ages,Dementia,"Rate per 1,000 Social Care Clients",170.7,1805
2017/18,Aberdeen City,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",173.7,1795
2017/18,Aberdeen City,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",541.5,5725
2017/18,Aberdeen City,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",551.3,5695
2017/18,Aberdeen City,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",84.7,895
2017/18,Aberdeen City,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",85.7,885
2017/18,Aberdeen City,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",171.2,1810
2017/18,Aberdeen City,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",166.5,1720
2017/18,Aberdeen City,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",251.1,2655
2017/18,Aberdeen City,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",255.1,2635
2017/18,Aberdeen City,All Ages,Other,"Rate per 1,000 Social Care Clients",306,3235
2017/18,Aberdeen City,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",302,3120
2017/18,Aberdeen City,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",31.7,335
2017/18,Aberdeen City,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",30,310
2017/18,Aberdeen City,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",97.7,30
2017/18,Aberdeen City,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",119.5,30
2017/18,Aberdeen City,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",32.6,10
2017/18,Aberdeen City,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",39.8,10
2017/18,Aberdeen City,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",48.9,15
2017/18,Aberdeen City,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",59.8,15
2017/18,Aberdeen City,0-17 years,Other,"Rate per 1,000 Social Care Clients",814.3,250
2017/18,Aberdeen City,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",816.7,205
2017/18,Aberdeen City,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",162.9,50
2017/18,Aberdeen City,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",159.4,40
2017/18,Aberdeen City,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",14.3,45
2017/18,Aberdeen City,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",15,45
2017/18,Aberdeen City,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",20.6,65
2017/18,Aberdeen City,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",21.6,65
2017/18,Aberdeen City,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",223.5,705
2017/18,Aberdeen City,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",232.6,700
2017/18,Aberdeen City,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",317,1000
2017/18,Aberdeen City,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",305.7,920
2017/18,Aberdeen City,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",240.9,760
2017/18,Aberdeen City,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",249.3,750
2017/18,Aberdeen City,18-64 years,Other,"Rate per 1,000 Social Care Clients",540.4,1705
2017/18,Aberdeen City,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",546.7,1645
2017/18,Aberdeen City,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",87.2,275
2017/18,Aberdeen City,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",86.4,260
2017/18,Aberdeen City,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",107.2,155
2017/18,Aberdeen City,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",107.7,155
2017/18,Aberdeen City,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",667.4,965
2017/18,Aberdeen City,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",667.1,960
2017/18,Aberdeen City,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",72.6,105
2017/18,Aberdeen City,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",73,105
2017/18,Aberdeen City,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",172.9,250
2017/18,Aberdeen City,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",173.7,250
2017/18,Aberdeen City,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",318.1,460
2017/18,Aberdeen City,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",316.2,455
2017/18,Aberdeen City,65-74 years,Other,"Rate per 1,000 Social Care Clients",338.9,490
2017/18,Aberdeen City,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",337,485
2017/18,Aberdeen City,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",3.5,5
2017/18,Aberdeen City,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3.5,5
2017/18,Aberdeen City,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",266.1,695
2017/18,Aberdeen City,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",267.1,695
2017/18,Aberdeen City,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",809.7,2115
2017/18,Aberdeen City,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",809,2105
2017/18,Aberdeen City,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",17.2,45
2017/18,Aberdeen City,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",17.3,45
2017/18,Aberdeen City,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",112.9,295
2017/18,Aberdeen City,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",113.4,295
2017/18,Aberdeen City,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",187.6,490
2017/18,Aberdeen City,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",186.4,485
2017/18,Aberdeen City,75-84 years,Other,"Rate per 1,000 Social Care Clients",176.1,460
2017/18,Aberdeen City,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",176.8,460
2017/18,Aberdeen City,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",1.9,5
2017/18,Aberdeen City,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1.9,5
2017/18,Aberdeen City,85+ years,Dementia,"Rate per 1,000 Social Care Clients",298.3,910
2017/18,Aberdeen City,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",295.4,895
2017/18,Aberdeen City,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",845.6,2580
2017/18,Aberdeen City,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",846.5,2565
2017/18,Aberdeen City,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",3.3,10
2017/18,Aberdeen City,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3.3,10
2017/18,Aberdeen City,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",83.6,255
2017/18,Aberdeen City,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",82.5,250
2017/18,Aberdeen City,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",306.5,935
2017/18,Aberdeen City,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",305.3,925
2017/18,Aberdeen City,85+ years,Other,"Rate per 1,000 Social Care Clients",108.2,330
2017/18,Aberdeen City,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",107.3,325
2017/18,Aberdeen City,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,All Ages,Dementia,"Rate per 1,000 Social Care Clients",168.9,1760
2018/19,Aberdeen City,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",153.8,1365
2018/19,Aberdeen City,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",492.2,5130
2018/19,Aberdeen City,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",510,4525
2018/19,Aberdeen City,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",84.4,880
2018/19,Aberdeen City,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",76.6,680
2018/19,Aberdeen City,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",178.9,1865
2018/19,Aberdeen City,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",165.1,1465
2018/19,Aberdeen City,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",260.5,2715
2018/19,Aberdeen City,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",269.4,2390
2018/19,Aberdeen City,All Ages,Other,"Rate per 1,000 Social Care Clients",304.1,3170
2018/19,Aberdeen City,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",301.5,2675
2018/19,Aberdeen City,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",81.6,850
2018/19,Aberdeen City,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",89.6,795
2018/19,Aberdeen City,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",66.7,25
2018/19,Aberdeen City,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",66.4,20
2018/19,Aberdeen City,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",13.3,5
2018/19,Aberdeen City,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",16.6,5
2018/19,Aberdeen City,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",40,15
2018/19,Aberdeen City,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",49.8,15
2018/19,Aberdeen City,0-17 years,Other,"Rate per 1,000 Social Care Clients",786.7,295
2018/19,Aberdeen City,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",814,245
2018/19,Aberdeen City,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",186.7,70
2018/19,Aberdeen City,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",182.7,55
2018/19,Aberdeen City,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",16.3,50
2018/19,Aberdeen City,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",15.8,40
2018/19,Aberdeen City,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",34.2,105
2018/19,Aberdeen City,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",39.4,100
2018/19,Aberdeen City,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",226.3,695
2018/19,Aberdeen City,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",212.8,540
2018/19,Aberdeen City,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",328.9,1010
2018/19,Aberdeen City,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",305.5,775
2018/19,Aberdeen City,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",229.6,705
2018/19,Aberdeen City,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",242.4,615
2018/19,Aberdeen City,18-64 years,Other,"Rate per 1,000 Social Care Clients",508,1560
2018/19,Aberdeen City,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",524.2,1330
2018/19,Aberdeen City,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",104.2,320
2018/19,Aberdeen City,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",116.3,295
2018/19,Aberdeen City,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",93.9,140
2018/19,Aberdeen City,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",90.7,120
2018/19,Aberdeen City,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",583.5,870
2018/19,Aberdeen City,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",600.9,795
2018/19,Aberdeen City,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",77.1,115
2018/19,Aberdeen City,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",60.5,80
2018/19,Aberdeen City,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",181.1,270
2018/19,Aberdeen City,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",170.1,225
2018/19,Aberdeen City,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",332,495
2018/19,Aberdeen City,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",340.1,450
2018/19,Aberdeen City,65-74 years,Other,"Rate per 1,000 Social Care Clients",348.8,520
2018/19,Aberdeen City,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",343.9,455
2018/19,Aberdeen City,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",67.1,100
2018/19,Aberdeen City,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",75.6,100
2018/19,Aberdeen City,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",264.9,665
2018/19,Aberdeen City,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",238,520
2018/19,Aberdeen City,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",737.1,1850
2018/19,Aberdeen City,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",748.3,1635
2018/19,Aberdeen City,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",15.9,40
2018/19,Aberdeen City,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",16,35
2018/19,Aberdeen City,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",119.5,300
2018/19,Aberdeen City,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",114.4,250
2018/19,Aberdeen City,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",207.2,520
2018/19,Aberdeen City,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",217.4,475
2018/19,Aberdeen City,75-84 years,Other,"Rate per 1,000 Social Care Clients",187.3,470
2018/19,Aberdeen City,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",183.1,400
2018/19,Aberdeen City,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",73.7,185
2018/19,Aberdeen City,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",82.4,180
2018/19,Aberdeen City,85+ years,Dementia,"Rate per 1,000 Social Care Clients",304.7,905
2018/19,Aberdeen City,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",271.1,685
2018/19,Aberdeen City,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",776.1,2305
2018/19,Aberdeen City,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",789.5,1995
2018/19,Aberdeen City,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",1.7,5
2018/19,Aberdeen City,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2,5
2018/19,Aberdeen City,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",94.3,280
2018/19,Aberdeen City,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",83.1,210
2018/19,Aberdeen City,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",328.3,975
2018/19,Aberdeen City,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",330.4,835
2018/19,Aberdeen City,85+ years,Other,"Rate per 1,000 Social Care Clients",107.7,320
2018/19,Aberdeen City,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",97,245
2018/19,Aberdeen City,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",57.2,170
2018/19,Aberdeen City,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",67.3,170
2018/19,Aberdeen City,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",833.3,5
2018/19,Aberdeen City,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Aberdeen City,All Ages,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Dementia,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Other,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeen City,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",101.4,920
2017/18,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",100.9,910
2017/18,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",96.5,875
2017/18,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",96.5,870
2017/18,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",95.4,865
2017/18,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",96,865
2017/18,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",42.4,385
2017/18,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",42.7,385
2017/18,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",461.4,4185
2017/18,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",462,4165
2017/18,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients",167,1515
2017/18,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",166.9,1505
2017/18,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",249.7,2265
2017/18,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",249,2245
2017/18,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",714.3,10
2017/18,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",714.3,10
2017/18,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
