financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2017/18,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2017/18,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",11737,1120,95.4
2018/19,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",11329,1100,97.1
2018/19,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",11737,1345,114.6
2018/19,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",11329,1330,117.4
2018/19,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",11737,1080,92
2018/19,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",11329,965,85.2
2018/19,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",11737,705,60.1
2018/19,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",11329,700,61.8
2018/19,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",11737,5655,481.8
2018/19,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",11329,5540,489
2018/19,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients",11737,2145,182.8
2018/19,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",11329,1930,170.4
2018/19,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",11737,2795,238.1
2018/19,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",11329,2735,241.4
2018/19,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",347,0,0
2018/19,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",39,0,0
2018/19,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",347,0,0
2018/19,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",39,0,0
2018/19,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",347,135,389
2018/19,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",39,20,512.8
2018/19,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",347,0,0
2018/19,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",39,0,0
2018/19,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",347,95,273.8
2018/19,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",39,20,512.8
2018/19,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",347,230,662.8
2018/19,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",39,35,897.4
2018/19,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",347,35,100.9
2018/19,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",39,0,0
2018/19,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",2876,30,10.4
2018/19,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2868,30,10.5
2018/19,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2876,10,3.5
2018/19,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2868,10,3.5
2018/19,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",2876,840,292.1
2018/19,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2868,840,292.9
2018/19,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",2876,440,153
2018/19,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2868,440,153.4
2018/19,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",2876,905,314.7
2018/19,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2868,900,313.8
2018/19,Aberdeenshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",2876,895,311.2
2018/19,Aberdeenshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",2868,890,310.3
2018/19,Aberdeenshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",2876,550,191.2
2018/19,Aberdeenshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2868,545,190
2018/19,Aberdeenshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",1639,130,79.3
2018/19,Aberdeenshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1625,130,80
2018/19,Aberdeenshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1639,85,51.9
2018/19,Aberdeenshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1625,80,49.2
2018/19,Aberdeenshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",1639,75,45.8
2018/19,Aberdeenshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1625,75,46.2
2018/19,Aberdeenshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",1639,115,70.2
2018/19,Aberdeenshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1625,115,70.8
2018/19,Aberdeenshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1639,835,509.5
2018/19,Aberdeenshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1625,835,513.8
2018/19,Aberdeenshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",1639,325,198.3
2018/19,Aberdeenshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1625,325,200
2018/19,Aberdeenshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",1639,480,292.9
2018/19,Aberdeenshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1625,470,289.2
2018/19,Aberdeenshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",3261,485,148.7
2018/19,Aberdeenshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3228,475,147.1
2018/19,Aberdeenshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3261,435,133.4
2018/19,Aberdeenshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3228,435,134.8
2018/19,Aberdeenshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",3261,30,9.2
2018/19,Aberdeenshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3228,30,9.3
2018/19,Aberdeenshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",3261,95,29.1
2018/19,Aberdeenshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3228,95,29.4
2018/19,Aberdeenshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3261,1780,545.8
2018/19,Aberdeenshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3228,1765,546.8
2018/19,Aberdeenshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",3261,425,130.3
2018/19,Aberdeenshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3228,420,130.1
2018/19,Aberdeenshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",3261,810,248.4
2018/19,Aberdeenshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3228,800,247.8
2018/19,Aberdeenshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",3614,480,132.8
2018/19,Aberdeenshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3569,470,131.7
2018/19,Aberdeenshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3614,815,225.5
2018/19,Aberdeenshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3569,805,225.6
2018/19,Aberdeenshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",3614,5,1.4
2018/19,Aberdeenshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3569,5,1.4
2018/19,Aberdeenshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",3614,50,13.8
2018/19,Aberdeenshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3569,50,14
2018/19,Aberdeenshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3614,2040,564.5
2018/19,Aberdeenshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3569,2020,566
2018/19,Aberdeenshire,85+ years,Other,"Rate per 1,000 Social Care Clients",3614,270,74.7
2018/19,Aberdeenshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3569,265,74.3
2018/19,Aberdeenshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",3614,925,255.9
2018/19,Aberdeenshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3569,915,256.4
2018/19,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2018/19,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",12784,1145,89.6
2019/20,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",12706,1130,88.9
2019/20,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",12784,1535,120.1
2019/20,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",12706,1525,120
2019/20,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",12784,990,77.4
2019/20,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",12706,985,77.5
2019/20,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",12784,830,64.9
2019/20,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",12706,825,64.9
2019/20,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",12784,6625,518.2
2019/20,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",12706,6605,519.8
2019/20,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients",12784,2400,187.7
2019/20,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",12706,2395,188.5
2019/20,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",12784,3050,238.6
2019/20,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",12706,3015,237.3
2019/20,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",20,0,0
2019/20,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",19,0,0
2019/20,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",20,0,0
2019/20,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",19,0,0
2019/20,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",20,5,250
2019/20,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",19,5,263.2
2019/20,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",20,0,0
2019/20,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",19,0,0
2019/20,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",20,5,250
2019/20,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",19,5,263.2
2019/20,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",20,15,750
2019/20,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",19,15,789.5
2019/20,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",20,5,250
2019/20,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",19,5,263.2
2019/20,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",3545,35,9.9
2019/20,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3534,35,9.9
2019/20,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3545,10,2.8
2019/20,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3534,10,2.8
2019/20,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",3545,875,246.8
2019/20,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3534,875,247.6
2019/20,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",3545,530,149.5
2019/20,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3534,530,150
2019/20,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3545,1230,347
2019/20,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3534,1225,346.6
2019/20,Aberdeenshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",3545,1200,338.5
2019/20,Aberdeenshire,18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3534,1200,339.6
2019/20,Aberdeenshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",3545,795,224.3
2019/20,Aberdeenshire,18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3534,790,223.5
2019/20,Aberdeenshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients",1886,135,71.6
2019/20,Aberdeenshire,65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1867,135,72.3
2019/20,Aberdeenshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1886,100,53
2019/20,Aberdeenshire,65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1867,100,53.6
2019/20,Aberdeenshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",1886,75,39.8
2019/20,Aberdeenshire,65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1867,75,40.2
2019/20,Aberdeenshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",1886,145,76.9
2019/20,Aberdeenshire,65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1867,145,77.7
2019/20,Aberdeenshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1886,1045,554.1
2019/20,Aberdeenshire,65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1867,1040,557
2019/20,Aberdeenshire,65-74 years,Other,"Rate per 1,000 Social Care Clients",1886,400,212.1
2019/20,Aberdeenshire,65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",1867,400,214.2
2019/20,Aberdeenshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",1886,520,275.7
2019/20,Aberdeenshire,65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",1867,515,275.8
2019/20,Aberdeenshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients",3550,475,133.8
2019/20,Aberdeenshire,75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3529,470,133.2
2019/20,Aberdeenshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3550,515,145.1
2019/20,Aberdeenshire,75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3529,515,145.9
2019/20,Aberdeenshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",3550,30,8.5
2019/20,Aberdeenshire,75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3529,30,8.5
2019/20,Aberdeenshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",3550,100,28.2
2019/20,Aberdeenshire,75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3529,100,28.3
2019/20,Aberdeenshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3550,2060,580.3
2019/20,Aberdeenshire,75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3529,2055,582.3
2019/20,Aberdeenshire,75-84 years,Other,"Rate per 1,000 Social Care Clients",3550,470,132.4
2019/20,Aberdeenshire,75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3529,470,133.2
2019/20,Aberdeenshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",3550,860,242.3
2019/20,Aberdeenshire,75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3529,850,240.9
2019/20,Aberdeenshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients",3783,495,130.8
2019/20,Aberdeenshire,85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3757,490,130.4
2019/20,Aberdeenshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3783,905,239.2
2019/20,Aberdeenshire,85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3757,900,239.6
2019/20,Aberdeenshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",3783,5,1.3
2019/20,Aberdeenshire,85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3757,5,1.3
2019/20,Aberdeenshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients",3783,50,13.2
2019/20,Aberdeenshire,85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3757,50,13.3
2019/20,Aberdeenshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3783,2285,604
2019/20,Aberdeenshire,85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3757,2275,605.5
2019/20,Aberdeenshire,85+ years,Other,"Rate per 1,000 Social Care Clients",3783,315,83.3
2019/20,Aberdeenshire,85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3757,315,83.8
2019/20,Aberdeenshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",3783,870,230
2019/20,Aberdeenshire,85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3757,860,228.9
2019/20,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",NA,0,0
2019/20,Aberdeenshire,Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2020/21,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients",9279,1180,127.2
2020/21,Aberdeenshire,All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",9087,1170,128.8
2020/21,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",9279,1640,176.7
2020/21,Aberdeenshire,All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",9087,1630,179.4
2020/21,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",9279,1150,123.9
2020/21,Aberdeenshire,All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",9087,1025,112.8
2020/21,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients",9279,445,48
2020/21,Aberdeenshire,All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",9087,425,46.8
2020/21,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",9279,5320,573.3
2020/21,Aberdeenshire,All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",9087,5275,580.5
2020/21,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients",9279,1815,195.6
2020/21,Aberdeenshire,All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",9087,1755,193.1
2020/21,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",9279,1210,130.4
2020/21,Aberdeenshire,All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",9087,1200,132.1
2020/21,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients",14,0,0
2020/21,Aberdeenshire,0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",7,0,0
2020/21,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",14,0,0
2020/21,Aberdeenshire,0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",7,0,0
2020/21,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",14,15,1071.4
2020/21,Aberdeenshire,0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",7,5,714.3
2020/21,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",14,0,0
2020/21,Aberdeenshire,0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",7,0,0
2020/21,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",14,5,357.1
2020/21,Aberdeenshire,0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",7,5,714.3
2020/21,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients",14,5,357.1
2020/21,Aberdeenshire,0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",7,5,714.3
2020/21,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",14,0,0
2020/21,Aberdeenshire,0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",7,0,0
2020/21,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients",1702,25,14.7
2020/21,Aberdeenshire,18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1580,25,15.8
2020/21,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",1702,15,8.8
2020/21,Aberdeenshire,18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",1580,15,9.5
2020/21,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",1702,1020,599.3
2020/21,Aberdeenshire,18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",1580,910,575.9
2020/21,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",1702,180,105.8
2020/21,Aberdeenshire,18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",1580,165,104.4
2020/21,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",1702,595,349.6
2020/21,Aberdeenshire,18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",1580,580,367.1
2020/21,Aberdeenshire,18-64 years,Other,"Rate per 1,000 Social Care Clients",1702,675,396.6
