financial_year,sending_location,age_group,living_alone,measure,nclient,percentage
2017/18,Scottish Borders,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),315,27.3
2017/18,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients,555,37.5
2017/18,Scottish Borders,85+ years,Unknown,Percentage of Social Care Clients (adjusted),550,47.6
2017/18,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients,60,5
2017/18,Shetland Islands,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),25,2.2
2017/18,Shetland Islands,All Ages,Unknown,Percentage of Social Care Clients,1150,95
2017/18,Shetland Islands,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1130,97.8
2017/18,Shetland Islands,0-17 years,Unknown,Percentage of Social Care Clients,35,100
2017/18,Shetland Islands,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),35,100
2017/18,Shetland Islands,18-64 years,Unknown,Percentage of Social Care Clients,315,100
2017/18,Shetland Islands,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),305,100
2017/18,Shetland Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients,5,3.1
2017/18,Shetland Islands,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,3.2
2017/18,Shetland Islands,65-74 years,Unknown,Percentage of Social Care Clients,155,96.9
2017/18,Shetland Islands,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),150,96.8
2017/18,Shetland Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients,15,4.2
2017/18,Shetland Islands,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,1.4
2017/18,Shetland Islands,75-84 years,Unknown,Percentage of Social Care Clients,345,95.8
2017/18,Shetland Islands,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),340,98.6
2017/18,Shetland Islands,85+ years,Not Living Alone,Percentage of Social Care Clients,35,10.6
2017/18,Shetland Islands,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),15,4.8
2017/18,Shetland Islands,85+ years,Unknown,Percentage of Social Care Clients,295,89.4
2017/18,Shetland Islands,85+ years,Unknown,Percentage of Social Care Clients (adjusted),300,95.2
2017/18,Shetland Islands,Unknown,Unknown,Percentage of Social Care Clients,5,100
2017/18,South Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,5,0.1
2017/18,South Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),5,0.1
2017/18,South Ayrshire,All Ages,Unknown,Percentage of Social Care Clients,5380,99.9
2017/18,South Ayrshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),4780,99.9
2017/18,South Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients,20,100
2017/18,South Ayrshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),20,100
2017/18,South Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients,1040,100
2017/18,South Ayrshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),1005,100
2017/18,South Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients,705,100
2017/18,South Ayrshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),640,100
2017/18,South Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients,5,0.3
2017/18,South Ayrshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),5,0.3
2017/18,South Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients,1690,99.7
2017/18,South Ayrshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),1485,99.7
2017/18,South Ayrshire,85+ years,Unknown,Percentage of Social Care Clients,1920,100
2017/18,South Ayrshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),1630,100
2017/18,South Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients,2225,31.3
2017/18,South Lanarkshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),2010,39.5
2017/18,South Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients,4875,68.6
2017/18,South Lanarkshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),3085,60.5
2017/18,South Lanarkshire,All Ages,Unknown,Percentage of Social Care Clients,5,0.1
2017/18,South Lanarkshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,50,100
2017/18,South Lanarkshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),50,100
2017/18,South Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients,245,17.6
2017/18,South Lanarkshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),230,19.7
2017/18,South Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,1150,82.4
2017/18,South Lanarkshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),940,80.3
2017/18,South Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients,285,29.5
2017/18,South Lanarkshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),250,36.2
2017/18,South Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,680,70.5
2017/18,South Lanarkshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),440,63.8
2017/18,South Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients,730,33.5
2017/18,South Lanarkshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),645,41.7
2017/18,South Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,1450,66.5
2017/18,South Lanarkshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),900,58.3
2017/18,South Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients,965,38.5
2017/18,South Lanarkshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),885,54
2017/18,South Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients,1540,61.5
2017/18,South Lanarkshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),755,46
2017/18,Stirling,All Ages,Living Alone,Percentage of Social Care Clients,1345,35.5
2017/18,Stirling,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1315,36.2
2017/18,Stirling,All Ages,Not Living Alone,Percentage of Social Care Clients,5,0.1
2017/18,Stirling,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),5,0.1
2017/18,Stirling,All Ages,Unknown,Percentage of Social Care Clients,2435,64.3
2017/18,Stirling,All Ages,Unknown,Percentage of Social Care Clients (adjusted),2315,63.7
2017/18,Stirling,18-64 years,Living Alone,Percentage of Social Care Clients,115,16
2017/18,Stirling,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),110,16.2
2017/18,Stirling,18-64 years,Not Living Alone,Percentage of Social Care Clients,5,0.7
2017/18,Stirling,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,0.7
2017/18,Stirling,18-64 years,Unknown,Percentage of Social Care Clients,600,83.3
2017/18,Stirling,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),565,83.1
2017/18,Stirling,65-74 years,Living Alone,Percentage of Social Care Clients,145,30.5
2017/18,Stirling,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),140,30.8
2017/18,Stirling,65-74 years,Unknown,Percentage of Social Care Clients,330,69.5
2017/18,Stirling,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),315,69.2
2017/18,Stirling,75-84 years,Living Alone,Percentage of Social Care Clients,445,36
2017/18,Stirling,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),440,36.7
2017/18,Stirling,75-84 years,Unknown,Percentage of Social Care Clients,790,64
2017/18,Stirling,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),760,63.3
2017/18,Stirling,85+ years,Living Alone,Percentage of Social Care Clients,640,47.2
2017/18,Stirling,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),620,47.7
2017/18,Stirling,85+ years,Not Living Alone,Percentage of Social Care Clients,5,0.4
2017/18,Stirling,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,0.4
2017/18,Stirling,85+ years,Unknown,Percentage of Social Care Clients,710,52.4
2017/18,Stirling,85+ years,Unknown,Percentage of Social Care Clients (adjusted),675,51.9
2017/18,West Dunbartonshire,All Ages,Living Alone,Percentage of Social Care Clients,1770,45.6
2017/18,West Dunbartonshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1745,53.4
2017/18,West Dunbartonshire,All Ages,Not Living Alone,Percentage of Social Care Clients,895,23.1
2017/18,West Dunbartonshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),875,26.8
2017/18,West Dunbartonshire,All Ages,Unknown,Percentage of Social Care Clients,1215,31.3
2017/18,West Dunbartonshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),650,19.9
2017/18,West Dunbartonshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,20,80
2017/18,West Dunbartonshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),20,80
2017/18,West Dunbartonshire,0-17 years,Unknown,Percentage of Social Care Clients,5,20
2017/18,West Dunbartonshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,20
2017/18,West Dunbartonshire,18-64 years,Living Alone,Percentage of Social Care Clients,230,40.4
2017/18,West Dunbartonshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),220,44
2017/18,West Dunbartonshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,175,30.7
2017/18,West Dunbartonshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),175,35
2017/18,West Dunbartonshire,18-64 years,Unknown,Percentage of Social Care Clients,165,28.9
2017/18,West Dunbartonshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),105,21
2017/18,West Dunbartonshire,65-74 years,Living Alone,Percentage of Social Care Clients,330,49.3
2017/18,West Dunbartonshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),325,54.6
2017/18,West Dunbartonshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,180,26.9
2017/18,West Dunbartonshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),175,29.4
2017/18,West Dunbartonshire,65-74 years,Unknown,Percentage of Social Care Clients,160,23.9
2017/18,West Dunbartonshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),95,16
2017/18,West Dunbartonshire,75-84 years,Living Alone,Percentage of Social Care Clients,600,46.2
2017/18,West Dunbartonshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),595,54.6
2017/18,West Dunbartonshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,295,22.7
2017/18,West Dunbartonshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),290,26.6
2017/18,West Dunbartonshire,75-84 years,Unknown,Percentage of Social Care Clients,405,31.2
2017/18,West Dunbartonshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),205,18.8
2017/18,West Dunbartonshire,85+ years,Living Alone,Percentage of Social Care Clients,560,46.7
2017/18,West Dunbartonshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),605,56.8
2017/18,West Dunbartonshire,85+ years,Not Living Alone,Percentage of Social Care Clients,190,15.8
2017/18,West Dunbartonshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),220,20.7
2017/18,West Dunbartonshire,85+ years,Unknown,Percentage of Social Care Clients,450,37.5
2017/18,West Dunbartonshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),240,22.5
2017/18,West Dunbartonshire,Unknown,Living Alone,Percentage of Social Care Clients,55,47.8
2017/18,West Dunbartonshire,Unknown,Not Living Alone,Percentage of Social Care Clients,30,26.1
2017/18,West Dunbartonshire,Unknown,Unknown,Percentage of Social Care Clients,30,26.1
2017/18,West Lothian,All Ages,Living Alone,Percentage of Social Care Clients,840,10.4
2017/18,West Lothian,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),750,10.5
2017/18,West Lothian,All Ages,Not Living Alone,Percentage of Social Care Clients,6870,85.4
2017/18,West Lothian,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),6380,89.5
2017/18,West Lothian,All Ages,Unknown,Percentage of Social Care Clients,335,4.2
2017/18,West Lothian,0-17 years,Not Living Alone,Percentage of Social Care Clients,70,100
2017/18,West Lothian,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),70,100
2017/18,West Lothian,18-64 years,Living Alone,Percentage of Social Care Clients,175,8.7
2017/18,West Lothian,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),170,9.6
2017/18,West Lothian,18-64 years,Not Living Alone,Percentage of Social Care Clients,1700,84.4
2017/18,West Lothian,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1610,90.4
2017/18,West Lothian,18-64 years,Unknown,Percentage of Social Care Clients,140,6.9
2017/18,West Lothian,65-74 years,Living Alone,Percentage of Social Care Clients,120,8.3
2017/18,West Lothian,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),110,8.2
2017/18,West Lothian,65-74 years,Not Living Alone,Percentage of Social Care Clients,1285,88.6
2017/18,West Lothian,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1225,91.8
2017/18,West Lothian,65-74 years,Unknown,Percentage of Social Care Clients,45,3.1
2017/18,West Lothian,75-84 years,Living Alone,Percentage of Social Care Clients,255,9.5
2017/18,West Lothian,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),230,9.6
2017/18,West Lothian,75-84 years,Not Living Alone,Percentage of Social Care Clients,2335,87.3
2017/18,West Lothian,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),2170,90.4
2017/18,West Lothian,75-84 years,Unknown,Percentage of Social Care Clients,85,3.2
2017/18,West Lothian,85+ years,Living Alone,Percentage of Social Care Clients,290,15.9
2017/18,West Lothian,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),240,15.5
2017/18,West Lothian,85+ years,Not Living Alone,Percentage of Social Care Clients,1480,81.1
2017/18,West Lothian,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),1305,84.5
2017/18,West Lothian,85+ years,Unknown,Percentage of Social Care Clients,55,3
2017/18,West Lothian,Unknown,Unknown,Percentage of Social Care Clients,10,100
2018/19,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients,50625,21
2018/19,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients (adjusted),48395,21.9
2018/19,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients,90010,37.4
2018/19,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),82400,37.3
2018/19,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients,99990,41.6
2018/19,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients (adjusted),90080,40.8
2018/19,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients,15,0.4
2018/19,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients (adjusted),15,0.5
2018/19,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients,1085,30.3
2018/19,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1050,34.3
2018/19,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients,2475,69.2
2018/19,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients (adjusted),2000,65.3
2018/19,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients,7595,14.8
2018/19,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),7355,15.4
2018/19,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients,18270,35.6
2018/19,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),17195,35.9
2018/19,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients,25475,49.6
2018/19,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients (adjusted),23320,48.7
2018/19,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients,7160,20.1
2018/19,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),6940,20.7
2018/19,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients,13495,37.8
2018/19,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),12650,37.8
2018/19,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients,15005,42.1
2018/19,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients (adjusted),13915,41.5
2018/19,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients,15620,21.5
2018/19,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),15065,22.4
2018/19,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients,28915,39.8
2018/19,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),26630,39.5
2018/19,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients,28125,38.7
2018/19,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients (adjusted),25670,38.1
2018/19,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients,20160,26.1
2018/19,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients (adjusted),19020,27.5
2018/19,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients,28175,36.5
2018/19,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),24875,36
2018/19,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients,28795,37.3
2018/19,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients (adjusted),25175,36.4
2018/19,Scotland (All Areas Submitted),Unknown,Living Alone,Percentage of Social Care Clients,75,29.4
2018/19,Scotland (All Areas Submitted),Unknown,Not Living Alone,Percentage of Social Care Clients,65,25.5
2018/19,Scotland (All Areas Submitted),Unknown,Unknown,Percentage of Social Care Clients,115,45.1
2018/19,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients,2695,25.9
2018/19,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),2440,27.5
2018/19,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients,2550,24.5
2018/19,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),2075,23.4
2018/19,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients,5180,49.7
2018/19,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),4360,49.1
2018/19,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients,35,9.3
2018/19,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),30,10
2018/19,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients,340,90.7
2018/19,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),270,90
2018/19,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients,460,15
2018/19,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),405,16
2018/19,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients,600,19.5
2018/19,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),460,18.1
2018/19,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients,2015,65.5
2018/19,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),1670,65.9
2018/19,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients,435,29.2
2018/19,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),410,30.9
2018/19,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients,395,26.5
2018/19,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),335,25.3
2018/19,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients,660,44.3
2018/19,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),580,43.8
2018/19,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients,675,26.9
2018/19,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),615,28.1
2018/19,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients,770,30.7
2018/19,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),660,30.2
2018/19,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients,1060,42.3
2018/19,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),910,41.6
2018/19,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients,1125,37.8
2018/19,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),1010,40
2018/19,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients,750,25.2
2018/19,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),590,23.4
2018/19,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients,1100,37
2018/19,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),925,36.6
2018/19,Aberdeen City,Unknown,Unknown,Percentage of Social Care Clients,5,100
2018/19,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients,11735,100
2018/19,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),11330,100
2018/19,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients,345,100
2018/19,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),40,100
2018/19,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients,2875,100
2018/19,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),2870,100
2018/19,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients,1640,100
2018/19,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),1625,100
2018/19,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients,3260,100
2018/19,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),3230,100
2018/19,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients,3615,100
2018/19,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),3570,100
2018/19,Angus,All Ages,Living Alone,Percentage of Social Care Clients,1875,29.1
2018/19,Angus,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1875,29.1
2018/19,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients,4110,63.7
2018/19,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),4110,63.7
2018/19,Angus,All Ages,Unknown,Percentage of Social Care Clients,465,7.2
2018/19,Angus,All Ages,Unknown,Percentage of Social Care Clients (adjusted),465,7.2
2018/19,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients,15,100
2018/19,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),15,100
2018/19,Angus,18-64 years,Living Alone,Percentage of Social Care Clients,325,31
2018/19,Angus,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),325,31
2018/19,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients,650,61.9
2018/19,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),650,61.9
2018/19,Angus,18-64 years,Unknown,Percentage of Social Care Clients,75,7.1
2018/19,Angus,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),75,7.1
2018/19,Angus,65-74 years,Living Alone,Percentage of Social Care Clients,230,26.7
2018/19,Angus,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),230,26.7
2018/19,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients,565,65.7
2018/19,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),565,65.7
2018/19,Angus,65-74 years,Unknown,Percentage of Social Care Clients,65,7.6
2018/19,Angus,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),65,7.6
2018/19,Angus,75-84 years,Living Alone,Percentage of Social Care Clients,580,28.8
2018/19,Angus,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),580,28.8
2018/19,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients,1275,63.3
2018/19,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1275,63.3
2018/19,Angus,75-84 years,Unknown,Percentage of Social Care Clients,160,7.9
2018/19,Angus,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),160,7.9
2018/19,Angus,85+ years,Living Alone,Percentage of Social Care Clients,745,29.5
2018/19,Angus,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),745,29.5
2018/19,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients,1610,63.8
2018/19,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),1610,63.8
2018/19,Angus,85+ years,Unknown,Percentage of Social Care Clients,170,6.7
2018/19,Angus,85+ years,Unknown,Percentage of Social Care Clients (adjusted),170,6.7
2018/19,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients,150,3.8
2018/19,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),150,3.8
2018/19,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients,1425,35.8
2018/19,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),1425,35.8
2018/19,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients,2405,60.4
2018/19,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients (adjusted),2405,60.4
2018/19,Argyll and Bute,0-17 years,Not Living Alone,Percentage of Social Care Clients,20,80
2018/19,Argyll and Bute,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),20,80
2018/19,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients,5,20
2018/19,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,20
2018/19,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients,45,7.9
2018/19,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),45,7.9
2018/19,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients,205,36
2018/19,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),205,36
2018/19,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients,320,56.1
2018/19,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),320,56.1
2018/19,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients,20,3.8
2018/19,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),20,3.8
2018/19,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients,175,33
2018/19,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),175,33
2018/19,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients,335,63.2
2018/19,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),335,63.2
2018/19,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients,35,2.7
2018/19,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),35,2.7
2018/19,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients,410,32
2018/19,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),410,32
2018/19,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients,835,65.2
2018/19,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),835,65.2
