financial_year,sending_location,age_group,sex,measure,nclient,rate
2018/19,Dundee City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,All Ages,Female,"Rate per 1,000 Social Care Clients",6630,599.5
2019/20,Dundee City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",6610,599.2
2019/20,Dundee City,All Ages,Male,"Rate per 1,000 Social Care Clients",4430,400.5
2019/20,Dundee City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",4415,400.2
2019/20,Dundee City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,0-17 years,Female,"Rate per 1,000 Social Care Clients",20,1.8
2019/20,Dundee City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",20,1.8
2019/20,Dundee City,0-17 years,Male,"Rate per 1,000 Social Care Clients",60,5.4
2019/20,Dundee City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",60,5.4
2019/20,Dundee City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,18-64 years,Female,"Rate per 1,000 Social Care Clients",1745,157.8
2019/20,Dundee City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1745,158.2
2019/20,Dundee City,18-64 years,Male,"Rate per 1,000 Social Care Clients",1555,140.6
2019/20,Dundee City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1555,141
2019/20,Dundee City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,65-74 years,Female,"Rate per 1,000 Social Care Clients",1105,99.9
2019/20,Dundee City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1100,99.7
2019/20,Dundee City,65-74 years,Male,"Rate per 1,000 Social Care Clients",890,80.5
2019/20,Dundee City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",885,80.2
2019/20,Dundee City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,75-84 years,Female,"Rate per 1,000 Social Care Clients",1835,165.9
2019/20,Dundee City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1830,165.9
2019/20,Dundee City,75-84 years,Male,"Rate per 1,000 Social Care Clients",1125,101.7
2019/20,Dundee City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1120,101.5
2019/20,Dundee City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,85+ years,Female,"Rate per 1,000 Social Care Clients",1925,174.1
2019/20,Dundee City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1915,173.6
2019/20,Dundee City,85+ years,Male,"Rate per 1,000 Social Care Clients",795,71.9
2019/20,Dundee City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",795,72.1
2019/20,Dundee City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,All Ages,Female,"Rate per 1,000 Social Care Clients",5595,591.4
2020/21,Dundee City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",5145,601.9
2020/21,Dundee City,All Ages,Male,"Rate per 1,000 Social Care Clients",3865,408.6
2020/21,Dundee City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",3400,397.8
2020/21,Dundee City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.5
2020/21,Dundee City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,0-17 years,Female,"Rate per 1,000 Social Care Clients",35,3.7
2020/21,Dundee City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",25,2.9
2020/21,Dundee City,0-17 years,Male,"Rate per 1,000 Social Care Clients",85,9
2020/21,Dundee City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",65,7.6
2020/21,Dundee City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,18-64 years,Female,"Rate per 1,000 Social Care Clients",1280,135.3
2020/21,Dundee City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1180,138
2020/21,Dundee City,18-64 years,Male,"Rate per 1,000 Social Care Clients",1350,142.7
2020/21,Dundee City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1140,133.4
2020/21,Dundee City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.5
2020/21,Dundee City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,65-74 years,Female,"Rate per 1,000 Social Care Clients",905,95.7
2020/21,Dundee City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",870,101.8
2020/21,Dundee City,65-74 years,Male,"Rate per 1,000 Social Care Clients",715,75.6
2020/21,Dundee City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",680,79.6
2020/21,Dundee City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,75-84 years,Female,"Rate per 1,000 Social Care Clients",1550,163.8
2020/21,Dundee City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1460,170.8
2020/21,Dundee City,75-84 years,Male,"Rate per 1,000 Social Care Clients",940,99.4
2020/21,Dundee City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",840,98.3
2020/21,Dundee City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,85+ years,Female,"Rate per 1,000 Social Care Clients",1825,192.9
2020/21,Dundee City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1615,188.9
2020/21,Dundee City,85+ years,Male,"Rate per 1,000 Social Care Clients",770,81.4
2020/21,Dundee City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",670,78.4
2020/21,Dundee City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,Dundee City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",3220,623.9
2017/18,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",3175,623.2
2017/18,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",1940,375.9
2017/18,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",1920,376.8
2017/18,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",40,7.8
2017/18,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",40,7.9
2017/18,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",60,11.6
2017/18,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",60,11.8
2017/18,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",450,87.2
2017/18,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",445,87.3
2017/18,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",475,92
2017/18,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",470,92.2
2017/18,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",435,84.3
2017/18,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",430,84.4
2017/18,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",320,62
2017/18,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",315,61.8
2017/18,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",1180,228.6
2017/18,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1165,228.7
2017/18,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",620,120.1
2017/18,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",615,120.7
2017/18,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients",1110,215.1
2017/18,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1095,214.9
2017/18,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients",475,92
2017/18,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",465,91.3
2017/18,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",3705,616.7
2018/19,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",3605,617.9
2018/19,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2300,382.8
2018/19,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2230,382.2
2018/19,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",45,7.5
2018/19,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",45,7.7
2018/19,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",75,12.5
2018/19,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",75,12.9
2018/19,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",470,78.2
2018/19,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",455,78
2018/19,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",485,80.7
2018/19,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",475,81.4
2018/19,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",520,86.6
2018/19,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",495,84.8
2018/19,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",390,64.9
2018/19,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",375,64.3
2018/19,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",1335,222.2
2018/19,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1300,222.8
2018/19,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",795,132.3
2018/19,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",765,131.1
2018/19,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients",1335,222.2
2018/19,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1305,223.7
2018/19,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients",555,92.4
2018/19,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",545,93.4
2018/19,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",3670,618.6
2019/20,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",3555,621.5
2019/20,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2260,380.9
2019/20,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2165,378.5
2019/20,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",40,6.7
2019/20,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",40,7
2019/20,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",80,13.5
2019/20,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",80,14
2019/20,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",465,78.4
2019/20,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",455,79.5
2019/20,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",480,80.9
2019/20,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",465,81.3
2019/20,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",510,86
2019/20,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",475,83
2019/20,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",380,64
2019/20,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",355,62.1
2019/20,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",1320,222.5
2019/20,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1280,223.8
2019/20,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",770,129.8
2019/20,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",725,126.7
2019/20,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients",1340,225.9
2019/20,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1310,229
2019/20,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients",555,93.5
2019/20,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",540,94.4
2019/20,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients",3630,583.5
2020/21,East Ayrshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",3055,596.3
2020/21,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2590,416.3
2020/21,East Ayrshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2065,403.1
2020/21,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",40,6.4
2020/21,East Ayrshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",35,6.8
2020/21,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",115,18.5
2020/21,East Ayrshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",85,16.6
2020/21,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",680,109.3
2020/21,East Ayrshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",510,99.6
2020/21,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",875,140.7
2020/21,East Ayrshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",590,115.2
2020/21,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",495,79.6
2020/21,East Ayrshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",440,85.9
2020/21,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients",390,62.7
2020/21,East Ayrshire,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",335,65.4
2020/21,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients",1210,194.5
2020/21,East Ayrshire,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1080,210.8
2020/21,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients",710,114.1
2020/21,East Ayrshire,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",630,123
2020/21,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients",1205,193.7
2020/21,East Ayrshire,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",995,194.2
2020/21,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients",495,79.6
2020/21,East Ayrshire,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",430,83.9
2020/21,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2020/21,East Ayrshire,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,East Dunbartonshire,All Ages,Female,"Rate per 1,000 Social Care Clients",3455,562.7
2017/18,East Dunbartonshire,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",3455,562.7
2017/18,East Dunbartonshire,All Ages,Male,"Rate per 1,000 Social Care Clients",2505,408
2017/18,East Dunbartonshire,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",2505,408
2017/18,East Dunbartonshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",180,29.3
2017/18,East Dunbartonshire,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",180,29.3
2017/18,East Dunbartonshire,0-17 years,Female,"Rate per 1,000 Social Care Clients",60,9.8
2017/18,East Dunbartonshire,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",60,9.8
2017/18,East Dunbartonshire,0-17 years,Male,"Rate per 1,000 Social Care Clients",110,17.9
2017/18,East Dunbartonshire,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",110,17.9
2017/18,East Dunbartonshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.8
2017/18,East Dunbartonshire,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,0.8
2017/18,East Dunbartonshire,18-64 years,Female,"Rate per 1,000 Social Care Clients",735,119.7
2017/18,East Dunbartonshire,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",735,119.7
2017/18,East Dunbartonshire,18-64 years,Male,"Rate per 1,000 Social Care Clients",875,142.5
2017/18,East Dunbartonshire,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",875,142.5
2017/18,East Dunbartonshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",60,9.8
2017/18,East Dunbartonshire,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",60,9.8
2017/18,East Dunbartonshire,65-74 years,Female,"Rate per 1,000 Social Care Clients",420,68.4
2017/18,East Dunbartonshire,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",420,68.4
